0	Index      	 *	Score 	Summary	Detail	
1	26234 23612	 * 	221.88	DCR|4VULN|2DMG|1AART|2ZMB|1CDMG	1AART|247aVULN|3LIT|57ZMB|67DMG|7BPWR|8RCR|9CDMG
28	22212 23612	   	193.62	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1AART|27LIT|3aVULN|47ASPD|5RCVC|67DMG|7BPWR|8RCR|9CDMG
29	26212 23611	   	193.62	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1AART|27VULN|3LIT|47ASPD|5RCVC|67DMG|7BPWR|8RCR|9CDMG|aRMIN
30	26212 23614	   	193.62	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1AART|27VULN|3LIT|47ASPD|5RCVC|67DMG|7BPWR|8RCR|9CDMG|aLHND
31	26212 23616	   	193.62	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1AART|27VULN|3LIT|47ASPD|5RCVC|67DMG|7BPWR|8RCR|9CDMG|aFEWX
32	26212 23613	   	193.52	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	1AART|27VULN|3LIT|47ASPD|5RCVC|67DMG|7BPWR|8RCR|9CDMG|aERES
33	22233 25612	 * 	193.52	DCR|3VULN|2AART|1DMG|1CDMG	15AART|2LIT|34aVULN|6DMG|7ASPD|8RCR|9CDMG
34	26233 25612	   	193.52	DCR|3VULN|2AART|1DMG|1CDMG	15AART|24aVULN|3LIT|6DMG|7ASPD|8RCR|9CDMG
35	33213 16153	   	192.92	DCR|3VULN|3DMG|1AART	1RMIN|2BELT|3aTLV|4AART|57aVULN|69aDMG|8RCR|aBPWR
36	26234 33212	   	192.40	DCR|3VULN|1AART|3ZMB|1CDMG|2ASPD	1AART|247VULN|3LIT|578ZMB|67ASPD|7BPWR|9CDMG|aRCR
37	33123 16153	   	192.32	DCR|3VULN|3DMG|1AART	1RMIN|2BELT|37aVULN|4aERES|5AART|69aDMG|8RCR|aBPWR
38	22234 23611	   	192.12	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1AART|27LIT|34VULN|57ZMB|67DMG|7BPWR|8RCR|9CDMG|aRMIN
39	22234 23614	   	192.12	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1AART|27LIT|34VULN|57ZMB|67DMG|7BPWR|8RCR|9CDMG|aLHND
40	22234 23616	   	192.12	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1AART|27LIT|34VULN|57ZMB|67DMG|7BPWR|8RCR|9CDMG|aFEWX
41	22234 23613	   	192.02	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1AART|27LIT|34VULN|57ZMB|67DMG|7BPWR|8RCR|9CDMG|aERES
42	22234 23635	   	191.90	DCR|2VULN|2DMG|1AART|3ZMB	1AART|27LIT|34VULN|57aZMB|67DMG|7BPWR|8RCR|9TLV
