0	Index      	 *	Score 	Summary	Detail	
1	25514 11332	 * 	183.19	ACR|3VULN|2DMG|1AART	14LWND|2RCVC|3RCR|4BPWR|578VULN|6aDMG|9AART
48	33162 35523	   	166.74	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4RMIN|5RCR|68DMG|78VULN|8BPWR|9LHND|aERES
49	33162 35533	   	166.74	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4RMIN|5RCR|68DMG|78VULN|8BPWR|9MBVNT|aFEWX
50	33162 35534	   	166.74	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4RMIN|5RCR|68DMG|78VULN|8BPWR|9MBVNT|aLWND
51	33162 35531	   	166.64	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4RMIN|5RCR|68DMG|78VULN|8BPWR|9MBVNT|aDUST
52	33162 35532	   	166.64	ACR|2VULN|2DMG|1AART	1RCVC|28MLV|3AART|4RMIN|5RCR|68DMG|78VULN|8BPWR|9MBVNT|aERES
53	63242 11623	   	166.52	DCR|2VULN|2DMG|1AART|1ZMB	16LIT|2ZMB|38VULN|47DMG|5DUST|9RCR|aAART
54	63243 12623	   	166.52	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2ZMB|38VULN|45DMG|6DMSP|7DUST|9RCR|aAART
55	52311 12137	 * 	166.38	DCR|2VULN|3ZMB|1AART|2DUR	14aZMB|2DUST|3RPLT|5aDUR|6RCR|7aVULN|8MBVNT|9AART|aBPWR
56	23226 12115	 * 	166.19	DCR|4VULN|1DMG|1ZMB	1LWND|278aVULN|3RCVC|4DMG|5RPLT|6RCR|9ZMB
57	23416 14113	   	165.82	DCR|4VULN|1AART|1ZMB	1LWND|2478VULN|3ERES|5RPLT|6RCR|9ZMB|aAART
58	63222 36223	   	165.66	DCR|4VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|3457VULN|6ASPD|8LWND|9RCR|aAART
59	63222 41223	   	165.66	DCR|4VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|3456VULN|7LHND|8ASPD|9RCR|aAART
60	63222 43223	   	165.66	DCR|4VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|3456VULN|7FEWX|8ASPD|9RCR|aAART
61	32166 61332	   	165.58	DCR|3VULN|1AART|1DMG	1RCVC|24FEWX|34CGEN|4BPWR|578VULN|6RCR|9AART|aDMG
62	63222 32623	   	165.56	DCR|4VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|3458VULN|6ASPD|7DUST|9RCR|aAART
63	63222 42223	   	165.56	DCR|4VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|3456VULN|7DUST|8ASPD|9RCR|aAART
64	52132 42621	 * 	165.50	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3CDMG|4aVULN|5MGNLIT|6AART|7FLTHEA|8DUR|9RCR
65	32126 61332	   	165.48	DCR|3VULN|1AART|1DMG	1RCVC|24FEWX|3CGEN|578VULN|6RCR|9AART|aDMG
66	33234 11416	   	165.11	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1RCVC|2MLV|3DUR|46DMG|5VULN|7ZMB|8ASPD|9AART|aRCR
67	63111 34826	 * 	164.79	ACR|3DMG|1VULN|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|68aDMG|7CDMG|9VULN
68	32313 12421	   	164.79	DCR|2DMG|1AART|1VULN|2ZMB	1RCVC|2aFEWX|3RPLT|4aDMG|5DUST|6RCR|7VULN|8aZMB|9AART|aBPWR
69	23255 61332	   	164.68	DCR|3VULN|1AART|1DMG	1LWND|278VULN|3RCVC|45TLV|6RCR|9AART|aDMG
70	33234 14117	   	164.66	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|2MLV|3DUR|46DMG|58VULN|7MBVNT|9AART|aRCR
71	33236 18117	   	164.66	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|2MLV|3DUR|46DMG|5MBVNT|78VULN|9AART|aRCR
72	63222 24123	   	164.58	DCR|3VULN|1AART|1DMG|1ZMB	1LIT|2ZMB|345VULN|6CGEN|7DMG|8ERES|9RCR|aAART
73	25313 12421	   	164.49	DCR|2DMG|1AART|1VULN|2ZMB	1aLWND|2RCVC|3RPLT|4aDMG|5DUST|6RCR|7VULN|8aZMB|9AART|aBPWR
74	52143 31423	 * 	164.24	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1ZMB|2DUST|37CDMG|4AART|5DMG|6LIT|8RCR|9DUR|aVULN
75	23226 12123	   	164.18	DCR|3VULN|1AART|1DMG	1LWND|278VULN|3RCVC|4DMG|5RPLT|6RCR|9ERES|aAART
76	52422 12521	 * 	163.89	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|68CDMG|7ERES|9aDMG
77	52422 15121	   	163.89	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|67CDMG|8NUKE|9aDMG
78	52422 15221	   	163.89	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|67CDMG|8TLV|9aDMG
79	32311 12424	   	163.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2FEWX|3RPLT|4DMG|5DUR|6RCR|7VULN|8ZMB|9AART|aCDMG
80	25512 11334	   	163.60	ACR|2VULN|1AART|1DMG|1CDMG	14LWND|2RCVC|3RCR|4BPWR|5LHND|6DMG|78VULN|9AART|aCDMG
81	25311 12424	   	163.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2RCVC|3RPLT|4DMG|5DUR|6RCR|7VULN|8ZMB|9AART|aCDMG
82	53652 22132	 * 	163.46	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3BELT|4RCR|5DUST|6CDMG|78AART|9VULN|aDMG
83	25512 32331	   	163.00	ACR|2VULN|1AART|1DMG|1CDMG	14LWND|2RCVC|3RCR|4BPWR|5LHND|6CDMG|79VULN|8DMG|aAART
84	25514 11323	 * 	162.84	ACR|4VULN|1DMG|1ASPD	14LWND|2RCVC|3RCR|4BPWR|5789VULN|6DMG|aASPD
85	33434 34117	   	162.72	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2MLV|358VULN|4DMG|6MBVNT|7DUR|9AART|aRCR
86	33162 35143	   	162.70	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2MLV|3AART|4RMIN|5RCR|6DMG|7aVULN|8LIT|9CDMG
87	63222 36224	   	162.52	DCR|4VULN|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3457VULN|6ASPD|8LWND|9RCR|aDMG
88	63222 41224	   	162.52	DCR|4VULN|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3456VULN|7LHND|8ASPD|9RCR|aDMG
89	63222 43224	   	162.52	DCR|4VULN|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3456VULN|7FEWX|8ASPD|9RCR|aDMG
90	63111 37445	 * 	162.50	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD|1SELL	19LIT|29ZMB|3ASPD|4MBVNT|5RCR|6DMG|79VULN|8SELL|9BPWR|aAART
91	52143 12413	   	162.44	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1ZMB|2DUST|3CDMG|46AART|5DMG|7LIT|8RCR|9LHND|aVULN
92	52143 12433	   	162.44	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1ZMB|2DUST|3CDMG|46AART|5DMG|7LIT|8RCR|9FEWX|aVULN
93	63222 32624	   	162.42	DCR|4VULN|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3458VULN|6ASPD|7DUST|9RCR|aDMG
94	63222 42224	   	162.42	DCR|4VULN|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3456VULN|7DUST|8ASPD|9RCR|aDMG
95	63222 54223	 * 	162.35	DCR|3VULN|1AART|2ZMB|1DUR|1ASPD	1LIT|26ZMB|345VULN|7DUR|8ASPD|9RCR|aAART
96	52422 13125	   	162.25	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7RCVC|8NUKE|9DMG|aVULN
97	52422 13225	   	162.25	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7RCVC|8TLV|9DMG|aVULN
98	23236 11416	   	162.12	DCR|3VULN|1AART|1DMG|1ASPD	1LWND|247VULN|3RCVC|5DUST|6DMG|8ASPD|9AART|aRCR
99	23226 12133	   	162.12	DCR|4VULN|1DMG|1ASPD	1LWND|2789VULN|3RCVC|4DMG|5RPLT|6RCR|aASPD
100	63222 24222	 * 	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|345VULN|6CGEN|7DMG|8ASPD|9RCR|aCDMG
101	25543 12231	   	162.05	ACR|2DMG|1AART|1VULN|1ZMB	1LWND|2RCVC|3RCR|4ZMB|5ERES|6aDMG|7AART|8LHND|9VULN
102	31334 22547	   	162.04	DCR|3VULN|1AART|1DMG|1SELL	1RCVC|2SELL|3ERES|4MBVNT|569VULN|7RCR|8DMG|aAART
103	63222 34122	   	161.97	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2ZMB|345VULN|6ASPD|7DMG|8ERES|9RCR|aCDMG
104	42431 41112	   	161.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2DUST|3DUR|4AART|56VULN|7LHND|8RCR|9ZMB|aDMG
105	52143 31421	 * 	161.77	DCR|2DMG|1AART|2CDMG|1ZMB|1DUR	1ZMB|2DUST|37CDMG|4AART|5aDMG|6LIT|8RCR|9DUR
106	12431 41112	   	161.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2DUST|3DUR|4AART|56VULN|7LHND|8RCR|9ZMB|aDMG
107	12431 44112	   	161.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2DUST|3DUR|4AART|56VULN|7BEXP|8RCR|9ZMB|aDMG
108	23232 11435	 * 	161.73	DCR|4VULN|1DMG|2ASPD	1aLWND|247aVULN|3RCVC|5LHND|6DMG|8aASPD|9RCR|aBPWR
109	23335 63111	   	161.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18LWND|28VULN|3DUR|4CDMG|5BELT|6LEGI|78DMG|8BPWR|9ZMB|aRCR
110	63232 44223	   	161.60	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	1LIT|2ZMB|356VULN|4RCVC|7DUR|8ASPD|9RCR|aAART
111	25543 12312	 * 	161.60	ACR|3DMG|1AART|2ZMB	19LWND|2RCVC|3RCR|48ZMB|59ERES|69aDMG|7AART|9BPWR
112	23133 13643	   	161.57	DCR|4VULN|2AART	1LWND|2457VULN|3LIT|6aAART|8FEWX|9RCR
113	22346 43311	 * 	161.48	DCR|2AART|1DMG|1VULN|2ZMB|1DUR	1LWND|2LHND|3DUR|49ZMB|58AART|6VULN|7RCR|aDMG
114	23133 22224	 * 	161.47	DCR|3VULN|2DMG|1CDMG|1SELL	1LWND|245VULN|3LIT|6CDMG|7aDMG|8SELL|9RCR
115	23133 13243	   	161.47	DCR|4VULN|2AART	1LWND|2457VULN|3LIT|6aAART|8DUST|9RCR
116	12236 24622	   	161.41	DCR|2VULN|2DMG|1AART	1ERES|2DUST|3FEWX|4AART|5aDMG|67VULN|8RCR|9LWND
117	23133 13644	   	161.12	DCR|4VULN|1AART|1ZMB	1LWND|2457VULN|3LIT|6AART|8FEWX|9RCR|aZMB
118	33531 46232	 * 	161.08	DCR|2DMG|1AART|1VULN|1FLTHEA	1RCVC|2MLV|3BEXP|4aDMG|5LWND|6FLTHEA|7RCR|8VULN|9AART
119	33532 46232	   	161.08	DCR|2DMG|1AART|1VULN|1FLTHEA	1RCVC|2MLV|3BEXP|4aDMG|5LHND|6FLTHEA|7RCR|8VULN|9AART
120	23133 13244	   	161.02	DCR|4VULN|1AART|1ZMB	1LWND|2457VULN|3LIT|6AART|8DUST|9RCR|aZMB
121	53652 22133	 * 	160.98	ACR|2VULN|2AART|1CDMG|1ZMB	1ZMB|2LWND|3BELT|4RCR|5DUST|6CDMG|78AART|9aVULN
122	25543 11331	   	160.85	ACR|2VULN|1AART|1DMG|1ZMB	1LWND|2RCVC|3RCR|4ZMB|5ERES|6DMG|78VULN|9AART|aRMIN
123	23133 11625	   	160.62	DCR|3VULN|1AART|1DMG|1DUR	1LWND|245VULN|3LIT|6AART|7DMG|8DUR|9LHND|aRCR
124	23133 14354	   	160.62	DCR|3VULN|1AART|1DMG|1DUR	1LWND|245VULN|3LIT|6AART|7CGEN|8DMG|9DUR|aRCR
125	25214 11336	 * 	160.62	DCR|4VULN|1DMG|2DUR	14LWND|2RCVC|34DUR|4BPWR|578aVULN|6DMG|9RCR
126	23135 42312	   	160.58	DCR|2VULN|1AART|1DMG|1FLTHEA	1LWND|24VULN|3LIT|5RMIN|6RCR|7AART|8FLTHEA|9VENICY|aDMG
127	23133 11454	   	160.52	DCR|3VULN|1AART|1DMG|1DUR	1LWND|245VULN|3LIT|6AART|7DMG|8ERES|9DUR|aRCR
128	23133 11634	   	160.52	DCR|3VULN|1AART|1DMG|1DUR	1LWND|245VULN|3LIT|6AART|7DMG|8DUR|9ERES|aRCR
129	23133 12354	   	160.52	DCR|3VULN|1AART|1DMG|1DUR	1LWND|245VULN|3LIT|6AART|7TLV|8DMG|9DUR|aRCR
130	23133 16364	   	160.52	DCR|3VULN|1AART|1DMG|1DUR	1LWND|245VULN|3LIT|6AART|7DUR|8NUKE|9DMG|aRCR
131	63111 32247	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6DMG|7AART|8LHND|9aVULN
132	63111 32348	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6DMG|7AART|8FEWX|9aVULN
133	63111 32753	 * 	160.40	ACR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	1LIT|28ZMB|3ASPD|4MBVNT|5RCR|6DMG|7AART|9CDMG|aVULN
134	36162 31132	 * 	160.40	ACR|2AART|2DMG|1VULN	1RCVC|2CGEN|37AART|4RMIN|5RCR|6aDMG|8ERES|9VULN
135	21132 35221	 * 	160.39	DCR|2DMG|1AART|1VULN|2CDMG	1aLWND|2CGEN|3aCDMG|4VULN|5LSRHEA|6AART|7aDMG|8MBVNT|9RCR|aBPWR
136	43132 35221	   	160.39	DCR|2DMG|1AART|1VULN|2CDMG	1aCGEN|2LWND|3aCDMG|4VULN|5LSRHEA|6AART|7aDMG|8MBVNT|9RCR|aBPWR
137	63111 32444	   	160.39	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6aDMG|7AART|8DUST|9VULN
138	63111 32447	   	160.39	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6DMG|7AART|8DUST|9aVULN
139	63111 32863	   	160.39	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6DMG|7AART|8TLV|9aVULN
140	25516 11343	   	160.25	ACR|2VULN|1AART|1DMG|1ZMB	14LWND|2RCVC|3RCR|4BPWR|5MBVNT|6DMG|78VULN|9ZMB|aAART
141	23226 12252	   	160.23	DCR|2VULN|1AART|1DMG|1ZMB	1LWND|27VULN|3RCVC|4DMG|5RPLT|6RCR|8ZMB|9AART|aBEXP
142	23226 12256	   	160.23	DCR|2VULN|1AART|1DMG|1ZMB	1LWND|27VULN|3RCVC|4DMG|5RPLT|6RCR|8ZMB|9AART|aRMIN
143	23226 15253	   	160.23	DCR|2VULN|1AART|1DMG|1ZMB	1LWND|2aVULN|3RCVC|4DMG|57RPLT|6RCR|8ZMB|9AART
144	23226 12255	   	160.13	DCR|2VULN|1AART|1DMG|1ZMB	1LWND|27VULN|3RCVC|4DMG|5RPLT|6RCR|8ZMB|9AART|aTLV
145	33162 35333	   	160.05	ACR|2VULN|1AART|1DMG|1ZMB	1RCVC|2MLV|3AART|4RMIN|5RCR|6DMG|7aVULN|8ZMB|9RPLT
146	36162 35223	   	160.05	ACR|2VULN|1AART|1DMG|1ZMB	1RCVC|2CGEN|3AART|4RMIN|5RCR|6DMG|7aVULN|8LHND|9ZMB
147	36162 35312	   	160.05	ACR|2DMG|1AART|1VULN|1ZMB	1RCVC|29CGEN|3AART|4RMIN|5RCR|6aDMG|7VULN|8ZMB
148	36162 35323	   	160.05	ACR|2VULN|1AART|1DMG|1ZMB	1RCVC|2CGEN|3AART|4RMIN|5RCR|6DMG|7aVULN|8ZMB|9LHND
149	52422 12353	   	160.05	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7ERES|8LIT|9DMG|aVULN
150	52422 12421	   	160.05	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7ERES|8DMG|9VULN|aMLV
151	52422 12422	   	160.05	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7ERES|8DMG|9VULN|aFEWX
152	52143 12153	   	160.04	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1ZMB|2DUST|3CDMG|46AART|5DMG|7LIT|8MLV|9RCR|aVULN
153	52143 12411	   	159.96	DCR|2AART|2DMG|1CDMG|1ZMB	1ZMB|2DUST|3CDMG|46AART|5aDMG|7LIT|8RCR|9LHND
154	52143 12431	   	159.96	DCR|2AART|2DMG|1CDMG|1ZMB	1ZMB|2DUST|3CDMG|46AART|5aDMG|7LIT|8RCR|9FEWX
155	36162 35333	   	159.95	ACR|2VULN|1AART|1DMG|1ZMB	1RCVC|2CGEN|3AART|4RMIN|5RCR|6DMG|7aVULN|8ZMB|9MBVNT
156	12143 12453	   	159.94	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1ERES|2DUST|3CDMG|46AART|5DMG|7LIT|8ZMB|9RCR|aVULN
157	52422 13621	   	159.88	ACR|2DMG|1AART|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7RCVC|8RMIN|9aDMG
158	33233 11336	   	159.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2MLV|3DUR|46DMG|5DUST|7ZMB|8VULN|9RCR|aAART
159	52422 13121	   	159.78	ACR|2DMG|1AART|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7RCVC|8NUKE|9aDMG
160	52422 13143	   	159.78	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7RCVC|8NUKE|9aVULN
161	52422 13221	   	159.78	ACR|2DMG|1AART|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7RCVC|8TLV|9aDMG
162	52422 13243	   	159.78	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6CDMG|7RCVC|8TLV|9aVULN
163	32166 61333	   	159.62	DCR|4VULN|1AART	1RCVC|24FEWX|34CGEN|4BPWR|578aVULN|6RCR|9AART
