0	Index      	 *	Score 	Summary	Detail	
1	51111 11463	 * 	215.17	ACR|3DMG|2VULN|1AART|1CDMG|2DUR	1AART|2RCR|39DUR|49VULN|5CDMG|6RCVC|7TLV|89aDMG|9BPWR
25	51611 33231	 * 	200.96	ACR|5VULN|2AART|1CDMG	19AART|2RCR|3457aVULN|6ERES|8CDMG
26	51611 12151	   	200.34	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|345VULN|6BEXP|7CDMG|8LWND|9aDMG
27	51611 12351	   	200.24	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|345VULN|6BEXP|7CDMG|8DUST|9aDMG
28	51111 11461	   	199.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2RCR|39DUR|49VULN|5CDMG|6RCVC|7TLV|89DMG|9BPWR|aBEXP
29	51111 11462	   	199.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2RCR|39DUR|49VULN|5CDMG|6RCVC|7TLV|89DMG|9BPWR|aFEWX
30	51611 33233	   	199.14	ACR|4VULN|2AART|1CDMG|1ZMB	19AART|2RCR|3457VULN|6ERES|8CDMG|aZMB
31	43812 21723	 * 	198.09	DCR|5VULN|3DMG	1MBVNT|23678VULN|467DMG|5RCVC|67BPWR|9ASPD|aRCR
32	43872 21123	   	197.19	DCR|5VULN|3DMG	1MBVNT|23467VULN|567DMG|67BPWR|8RCVC|9ASPD|aRCR
33	51111 51423	   	196.82	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2RCR|39DUR|46VULN|5CDMG|7TLV|8aDMG
34	51111 52161	   	196.63	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|469VULN|5CDMG|7FEWX|8ASPD|aDMG
35	51611 22225	   	196.55	ACR|5VULN|1AART|1CDMG	1AART|2RCR|3458aVULN|6DUR|7CDMG|9BEXP
36	51221 42353	   	196.40	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	1AART|2RCR|38CGEN|468VULN|58ASPD|7MBVNT|8BPWR|9CDMG|aDMG
37	51613 33351	   	195.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2RCR|34VULN|5RMIN|6LHND|7ZMB|8CDMG|9aDMG
38	51113 61226	 * 	195.33	ACR|4VULN|1AART|1DMG|2DUR	1AART|2RCR|39DUR|478aVULN|5LEGI|6DMG
39	43822 21723	   	195.29	DCR|5VULN|3DMG	1MBVNT|23678VULN|4DMSP|567DMG|67BPWR|9ASPD|aRCR
40	51313 62112	   	195.20	ACR|3DMG|1AART|3CDMG|1VULN	1AART|2RCR|378VENICY|4aRPLT|578DMG|678CDMG|78BPWR|9VULN
41	51313 62115	   	195.20	ACR|3DMG|1AART|3CDMG|1VULN	1AART|2RCR|378VENICY|4RPLT|578DMG|678CDMG|78BPWR|9VULN|aFEWX
42	51313 62116	   	195.20	ACR|3DMG|1AART|3CDMG|1VULN	1AART|2RCR|378VENICY|4RPLT|578DMG|678CDMG|78BPWR|9VULN|aBEXP
43	51313 62122	   	195.20	ACR|3DMG|1AART|3CDMG|1VULN	1AART|2RCR|378VENICY|4RPLT|578DMG|678CDMG|78BPWR|9BEXP|aVULN
44	51313 62142	   	195.20	ACR|3DMG|1AART|3CDMG|1VULN	1AART|2RCR|378VENICY|4RPLT|578DMG|678CDMG|78BPWR|9LHND|aVULN
45	51313 62152	   	195.20	ACR|3DMG|1AART|3CDMG|1VULN	1AART|2RCR|378VENICY|4RPLT|578DMG|678CDMG|78BPWR|9BELT|aVULN
46	51611 22115	   	195.17	ACR|4VULN|2AART|1CDMG	19AART|2RCR|345aVULN|6DUR|7CDMG|8LWND
47	51313 62111	   	195.10	ACR|3DMG|1AART|3CDMG|1VULN	1AART|2RCR|378VENICY|4RPLT|578DMG|678CDMG|78BPWR|9VULN|aCANHEL
48	51313 62135	   	195.10	ACR|3DMG|1AART|3CDMG|1VULN	1AART|2RCR|378VENICY|4RPLT|578DMG|678CDMG|78BPWR|9MBVNT|aVULN
49	51612 42323	   	194.88	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RCR|346VULN|59DUR|7CDMG|8DUST|aDMG
50	51611 22323	   	194.88	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RCR|345VULN|69DUR|7CDMG|8DUST|aDMG
51	51111 56323	   	194.88	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|2RCR|39DUR|467VULN|5CDMG|8DUST|aDMG
52	51133 13651	   	194.68	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	1AART|2RCR|38DUR|48ASPD|5CDMG|6BEXP|78VULN|8BPWR|9RCVC|aDMG
53	51111 12261	   	194.13	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|49VULN|5CDMG|6RCVC|7FEWX|8aDMG
54	51111 12551	   	194.13	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|48VULN|5CDMG|6RCVC|7FEWX|9aDMG
55	51111 13551	   	194.13	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|48VULN|5CDMG|6RCVC|7LWND|9aDMG
56	51111 15261	   	194.13	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|49VULN|5CDMG|6RCVC|7BEXP|8aDMG
57	51111 16151	   	194.13	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|47VULN|5CDMG|6RCVC|8LWND|9aDMG
58	51611 33162	   	194.10	ACR|4VULN|1AART|1DMG|1ZMB	1AART|2RCR|3457VULN|6ERES|8ZMB|9DMG|aMLV
59	51611 33163	   	194.10	ACR|4VULN|1AART|1DMG|1ZMB	1AART|2RCR|3457VULN|6ERES|8ZMB|9DMG|aFEWX
60	51111 16351	   	194.03	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|47VULN|5CDMG|6RCVC|8DUST|9aDMG
61	51611 33161	   	194.00	ACR|4VULN|1AART|1DMG|1ZMB	1AART|2RCR|3457VULN|6ERES|8ZMB|9DMG|aAIRHEA
62	51113 61231	   	193.88	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2RCR|3DUR|478VULN|5LEGI|6DMG|9ASPD|aZMB
63	51113 61243	   	193.88	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2RCR|3DUR|478VULN|5LEGI|6DMG|9ZMB|aASPD
64	21112 21255	   	193.88	DCR|3VULN|3DMG|1AART|1SELL	145DMG|2SELL|3RPLT|6RCR|789VULN|aAART
65	31142 28234	   	193.23	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2RPLT|3RCR|4DUR|5AART|6MBVNT|7BELT|8aVULN|9aDMG|aBPWR
66	51111 52251	   	193.23	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|46VULN|5CDMG|7FEWX|8aDMG|9RCVC
67	51133 13561	   	192.42	ACR|2AART|2VULN|1DMG|1CDMG	18AART|2RCR|3DUR|4ASPD|5CDMG|6BEXP|79VULN|aDMG
68	51121 32161	   	192.42	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|69VULN|8ASPD|aDMG
69	51631 12161	   	192.32	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|39VULN|4DUST|5CDMG|6DUR|8ASPD|aDMG
70	51111 12265	   	192.19	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|49aVULN|5CDMG|6RCVC|7FEWX|8DMG
71	51111 11453	   	192.09	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2RCR|3DUR|4VULN|5CDMG|6RCVC|7TLV|89aDMG
72	51611 23243	   	191.89	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7RCVC|8LHND|9CDMG|aDMG
73	51631 12216	 * 	191.69	ACR|2AART|2VULN|1DMG|2CDMG	17AART|2RCR|3aVULN|4DUST|5aCDMG|6DUR|8DMG|9aTLV|aBPWR
74	51111 53221	   	191.62	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|46VULN|5CDMG|79LWND|8aDMG
75	51111 51413	   	191.52	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|46VULN|5CDMG|7TLV|8aDMG|9DMSP
76	51111 51431	   	191.42	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2RCR|3DUR|46VULN|5CDMG|7TLV|8aDMG|9ERES
77	51612 42123	   	191.29	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|346VULN|5DUR|7CDMG|8LWND|9RCVC|aDMG
78	51611 22123	   	191.29	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8LWND|9RCVC|aDMG
79	51111 53523	   	191.29	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|468VULN|5CDMG|7LWND|9RCVC|aDMG
80	51111 56123	   	191.29	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|467VULN|5CDMG|8LWND|9RCVC|aDMG
81	51631 33236	   	191.00	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2RCR|3aVULN|4DUST|5aCDMG|6ERES|7CGEN|8aDMG|9RMIN|aBPWR
82	51313 62341	   	191.00	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2RCR|37VENICY|4RPLT|57DMG|67CDMG|7BPWR|8aVULN|9FEWX
83	51313 62351	   	191.00	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2RCR|37VENICY|4RPLT|57DMG|67CDMG|7BPWR|8aVULN|9BEXP
84	51611 33153	 * 	190.92	ACR|5VULN|1AART|2ZMB	1AART|2RCR|3457aVULN|6ERES|8aZMB|9aMGNSTR|aBPWR
85	51113 61241	 * 	190.79	ACR|3VULN|1AART|1DMG|2ZMB	1AART|2RCR|3DUR|478VULN|5LEGI|6DMG|9aZMB
86	51611 43231	   	190.74	ACR|4VULN|2AART|1CDMG	19AART|2RCR|345aVULN|6RCVC|7CGEN|8CDMG
87	51611 33123	   	190.72	ACR|5VULN|1AART|2ZMB	1AART|2RCR|3457aVULN|69aERES|8aZMB|aBPWR
88	51661 22323	   	190.68	ACR|2AART|2VULN|1DMG|1CDMG|2DUR	14AART|2RCR|35VULN|69DUR|7CDMG|8DUST|aDMG
89	51631 12523	   	190.68	ACR|2AART|2VULN|1DMG|1CDMG|2DUR	17AART|2RCR|38VULN|4DUST|5CDMG|69DUR|aDMG
90	51612 42222	   	190.67	ACR|4VULN|1AART|1CDMG	1AART|2RCR|3468VULN|5DUR|7CDMG|9BEXP|aASPD
91	51611 22222	   	190.67	ACR|4VULN|1AART|1CDMG	1AART|2RCR|3458VULN|6DUR|7CDMG|9BEXP|aASPD
92	51111 56222	   	190.67	ACR|4VULN|1AART|1CDMG	1AART|2RCR|3DUR|4678VULN|5CDMG|9BEXP|aASPD
93	51611 41231	   	190.64	ACR|4VULN|2AART|1CDMG	19AART|2RCR|345aVULN|6RCVC|7ERES|8CDMG
94	51611 62231	   	190.44	ACR|4VULN|2AART|1CDMG	19AART|2RCR|345aVULN|6MLV|7RCVC|8CDMG
95	51611 32231	   	190.34	ACR|4VULN|2AART|1CDMG	19AART|2RCR|345aVULN|6ERES|7RCVC|8CDMG
96	51612 53323	   	190.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2RCR|34VULN|59DUR|6MLV|7ZMB|8CDMG|aDMG
97	51612 33323	   	190.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2RCR|34VULN|59DUR|6TLV|7ZMB|8CDMG|aDMG
98	51611 22252	 * 	190.04	ACR|4VULN|1AART|2CDMG	1AART|2RCR|3458VULN|6DUR|7aCDMG|9MLV
99	51612 42212	   	189.94	ACR|4VULN|1AART|2CDMG	1AART|2RCR|3468VULN|5DUR|7aCDMG|9ERES
100	51612 42232	   	189.94	ACR|4VULN|1AART|2CDMG	1AART|2RCR|3468VULN|5DUR|7aCDMG|9TLV
101	51611 22212	   	189.94	ACR|4VULN|1AART|2CDMG	1AART|2RCR|3458VULN|6DUR|7aCDMG|9ERES
102	51611 22232	   	189.94	ACR|4VULN|1AART|2CDMG	1AART|2RCR|3458VULN|6DUR|7aCDMG|9TLV
103	51633 61223	   	189.94	ACR|4VULN|1AART|1DMG	1AART|2RCR|3789VULN|4DUST|5LEGI|6DMG|aDUR
104	51635 21223	   	189.94	ACR|4VULN|1AART|1DMG	1AART|2RCR|3789VULN|4DUST|5DMG|6MBVNT|aDUR
105	51111 56212	   	189.94	ACR|4VULN|1AART|2CDMG	1AART|2RCR|3DUR|4678VULN|5aCDMG|9ERES
106	51111 56232	   	189.94	ACR|4VULN|1AART|2CDMG	1AART|2RCR|3DUR|4678VULN|5aCDMG|9TLV
107	51611 22153	   	189.69	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8LWND|9DMG|aFEWX
108	51611 22163	   	189.69	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|89LWND|aDMG
109	51611 22611	   	189.69	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8RMIN|9FEWX|aDMG
110	51111 52263	   	189.69	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|469VULN|5CDMG|7FEWX|8DMG|aBELT
111	51111 53225	   	189.69	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|46aVULN|5CDMG|79LWND|8DMG
112	51111 53232	   	189.69	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|46aVULN|5CDMG|7LWND|8DMG|9RPLT
113	51611 12611	   	189.62	ACR|5VULN|1AART|1CDMG	1AART|2RCR|3459aVULN|6BEXP|7CDMG|8LIT
114	51612 42313	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|346VULN|5DUR|7CDMG|8DUST|9DMSP|aDMG
115	51611 12531	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6BEXP|7CDMG|8DUR|9ERES|aDMG
116	51611 22141	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8LWND|9ERES|aDMG
117	51611 22152	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8LWND|9DMG|aERES
118	51611 22313	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8DUST|9DMSP|aDMG
119	51611 22353	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8DUST|9DMG|aBELT
120	51611 22411	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8TLV|9FEWX|aDMG
121	51611 22623	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8RMIN|9ERES|aDMG
122	51111 51361	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|469VULN|5CDMG|7TLV|8BEXP|aDMG
123	51111 52262	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|469VULN|5CDMG|7FEWX|8DMG|aERES
124	51111 52531	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|468VULN|5CDMG|7FEWX|9ERES|aDMG
125	51111 56313	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|467VULN|5CDMG|8DUST|9DMSP|aDMG
126	51113 63423	   	189.59	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2RCR|3DUR|4VULN|5LEGI|689DMG|7MLV|aCDMG
127	51313 64331	   	189.59	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3VENICY|4RPLT|5DMG|6CDMG|79aVULN|8DUR
128	51224 42113	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	19AART|2RCR|3CGEN|46VULN|5ZMB|7CDMG|8LWND|aDMG
129	51613 33313	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	19AART|2RCR|34VULN|5RMIN|6LHND|7ZMB|8CDMG|aDMG
130	51615 13313	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	19AART|2RCR|34VULN|5LWND|6RMIN|7ZMB|8CDMG|aDMG
131	51612 42331	   	189.49	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|346VULN|5DUR|7CDMG|8DUST|9ERES|aDMG
132	51611 22331	   	189.49	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8DUST|9ERES|aDMG
133	51611 22352	   	189.49	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8DUST|9DMG|aERES
134	51611 22423	   	189.49	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|345VULN|6DUR|7CDMG|8TLV|9ERES|aDMG
135	51111 56331	   	189.49	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3DUR|467VULN|5CDMG|8DUST|9ERES|aDMG
136	51526 33313	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	19AART|2RCR|35ERES|45VULN|5BPWR|6LHND|7ZMB|8CDMG|aDMG
137	51614 33313	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	19AART|2RCR|34VULN|5TLV|6LHND|7ZMB|8CDMG|aDMG
138	51626 33313	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	19AART|2RCR|35VULN|45ERES|5BPWR|6LHND|7ZMB|8CDMG|aDMG
139	51611 33236	   	189.44	ACR|4VULN|2AART|1CDMG	19AART|2RCR|3457VULN|6ERES|8CDMG|aRCVC
140	51661 33123	 * 	189.34	ACR|4VULN|2AART|2ZMB	14AART|2RCR|357aVULN|69aERES|8aZMB|aBPWR
141	51313 62326	   	189.06	ACR|3DMG|1AART|1VULN|2CDMG	1AART|2RCR|37VENICY|4RPLT|57aDMG|67CDMG|7BPWR|8VULN|9CGEN
142	51611 22263	   	189.02	ACR|4VULN|1AART|1CDMG|2DUR	1AART|2RCR|3458VULN|6aDUR|7CDMG|9RPLT
143	51313 62315	   	188.96	ACR|3DMG|1AART|1VULN|2CDMG	1AART|2RCR|37aVENICY|4RPLT|57aDMG|67CDMG|7aBPWR|8VULN|9aBASHEA
144	51611 22325	   	188.92	ACR|4VULN|1AART|1CDMG|2DUR	1AART|2RCR|345aVULN|69DUR|7CDMG|8DUST
145	51113 63321	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3DUR|48VULN|5LEGI|69DMG|7MLV|aZMB
146	51113 66321	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3DUR|48VULN|5LEGI|69DMG|7RMIN|aZMB
147	51612 33143	   	188.79	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1AART|2RCR|34VULN|5DUR|6TLV|78ZMB|9CDMG|aDMG
148	51113 61521	   	188.77	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2RCR|3DUR|47VULN|5LEGI|69DMG|8TLV|aZMB
149	21415 11325	 * 	188.74	DCR|2VULN|2DMG|1AART|3ASPD|1SELL	1aDMG|2SELL|3AART|4LSRICY|57aASPD|6RCR|8RCVC|9aVULN|aBPWR
150	51133 13635	   	188.67	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	1AART|2RCR|38DUR|48ASPD|5CDMG|6BEXP|78aVULN|8BPWR|9RMIN
151	51133 13662	   	188.67	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	1AART|2RCR|38DUR|48ASPD|5CDMG|6BEXP|789VULN|8BPWR|aRPLT
152	51133 13615	   	188.57	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	1AART|2RCR|38DUR|48ASPD|5CDMG|6BEXP|78aVULN|8BPWR|9TLV
153	51133 13663	   	188.57	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	1AART|2RCR|38DUR|48ASPD|5CDMG|6BEXP|789VULN|8BPWR|aTLV
154	47137 44241	   	188.25	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1MBVNT|2MLV|3RCR|4ZMB|5CDMG|6AART|7VULN|89aDMG
155	51611 12115	   	188.24	ACR|4VULN|2AART|1CDMG	19AART|2RCR|345aVULN|6BEXP|7CDMG|8LWND
156	51611 33211	   	188.14	ACR|4VULN|2AART|1CDMG	1aAART|2RCR|3457VULN|6ERES|8CDMG|9LWND
157	51611 33235	   	188.14	ACR|4VULN|2AART|1CDMG	19AART|2RCR|3457VULN|6ERES|8CDMG|aMLV
158	51611 33232	   	188.04	ACR|4VULN|2AART|1CDMG	19AART|2RCR|3457VULN|6aERES|8CDMG
159	51661 22222	   	188.01	ACR|3VULN|2AART|1CDMG	14AART|2RCR|358VULN|6DUR|7CDMG|9BEXP|aASPD
160	51611 22114	   	188.01	ACR|3VULN|2AART|1CDMG	19AART|2RCR|345VULN|6DUR|7CDMG|8LWND|aASPD
161	51121 32165	   	188.01	ACR|3VULN|2AART|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|69aVULN|8ASPD
162	51111 13513	   	187.99	ACR|2AART|2VULN|1DMG|1CDMG	19AART|2RCR|3DUR|48VULN|5CDMG|6RCVC|7LWND|aDMG
163	51111 16113	   	187.99	ACR|2AART|2VULN|1DMG|1CDMG	19AART|2RCR|3DUR|47VULN|5CDMG|6RCVC|8LWND|aDMG
164	51111 52236	   	187.68	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1AART|2RCR|3DUR|46VULN|5CDMG|7FEWX|8DMG|9RMIN|aFLTHEA
165	51611 41233	   	187.54	ACR|3VULN|2AART|1CDMG|1ZMB	19AART|2RCR|345VULN|6RCVC|7ERES|8CDMG|aZMB
166	51661 22212	 * 	187.29	ACR|3VULN|2AART|2CDMG	14AART|2RCR|358VULN|6DUR|7aCDMG|9ERES
167	51661 22232	   	187.29	ACR|3VULN|2AART|2CDMG	14AART|2RCR|358VULN|6DUR|7aCDMG|9TLV
168	51635 24223	   	187.29	ACR|3VULN|2AART|1DMG	17AART|2RCR|389VULN|4DUST|5DMG|6MBVNT|aDUR
169	51611 32233	   	187.24	ACR|3VULN|2AART|1CDMG|1ZMB	19AART|2RCR|345VULN|6ERES|7RCVC|8CDMG|aZMB
170	51661 22123	   	187.09	ACR|2AART|2VULN|1DMG|1CDMG	14AART|2RCR|35VULN|6DUR|7CDMG|8LWND|9RCVC|aDMG
171	51121 32251	   	187.09	ACR|2AART|2DMG|1VULN|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|6VULN|8aDMG|9RCVC
172	51121 32255	   	187.09	ACR|2AART|2VULN|1DMG|1CDMG	17AART|2RCR|3DUR|4BEXP|5CDMG|6aVULN|8DMG|9RCVC
173	51631 12251	   	186.99	ACR|2AART|2DMG|1VULN|1CDMG	17AART|2RCR|3VULN|4DUST|5CDMG|6DUR|8aDMG|9RCVC
174	51113 61242	   	186.94	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2RCR|3DUR|478VULN|5LEGI|6DMG|9ZMB|aLHND
175	51113 61253	   	186.94	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2RCR|3DUR|478VULN|5LEGI|6DMG|9LHND|aZMB
176	51113 61261	   	186.84	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2RCR|3DUR|478VULN|5LEGI|6DMG|9ERES|aZMB
177	51611 33121	   	186.77	ACR|5VULN|1AART|1ZMB	1AART|2RCR|3457aVULN|69ERES|8ZMB
