0	Index      	 *	Score 	Summary	Detail	
1	26256 12332	 * 	203.16	DCR|4VULN|2DMG|2CDMG|2DUR|1ZMB	17DMG|27CDMG|3489VULN|5ZMB|67DUR|7BPWR|aRCR
16	22361 25215	   	187.97	DCR|4VULN|2DMG|1AART	17DMG|2CGEN|3579VULN|47FEWX|6BELT|7BPWR|8RCR|aAART
17	18523 42425	 * 	187.33	ACR|4VULN|3ZMB|1AART	1MBVNT|2RCVC|3RCR|4AART|58aZMB|679aVULN|aBPWR
18	24124 22315	 * 	187.01	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	18DMG|26ASPD|3AART|4MGNLIT|5CDMG|7aVULN|9RCR
19	26431 11332	   	186.77	DCR|4VULN|2DMG|2CDMG|1DUR	17DMG|25CDMG|3RMIN|4589VULN|5BPWR|6DUR|aRCR
20	13438 37472	   	186.60	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|2aLWND|34DUR|5aDMG|67aVULN|8RCR|9AART|aBPWR
21	23142 42361	 * 	186.43	ACR|3DMG|2VULN|1AART|1DUR	146DMG|2LHND|3RCR|5DUR|7FEWX|8aVULN|9AART
22	24131 52512	 * 	186.26	DCR|3DMG|1AART|1VULN|2ASPD|2DUR	15aDMG|2aASPD|3AART|4FEWX|6RMIN|7VULN|8RCR|9aDUR|aBPWR
23	23122 36155	   	185.83	ACR|3VULN|2DMG|1AART|1DUR	18DMG|2LHND|3RCR|4DMSP|5DUR|679VULN|aAART
24	23142 36162	   	185.83	ACR|3DMG|2VULN|1AART|1DUR	148DMG|2LHND|3RCR|5DUR|67VULN|9RCVC|aAART
25	23121 32363	 * 	185.74	ACR|4VULN|3DMG	19aDMG|2LHND|3RCR|4DMSP|5LEGI|689aVULN|79aMLV|9aBPWR
26	26531 15312	   	185.54	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	15DMG|2CDMG|3ASPD|45VULN|5BPWR|6DUR|7RPLT|8RCR|9DUST|aAART
27	21362 24353	 * 	185.52	DCR|3VULN|2DMG|1AART|2ASPD	18DMG|2ERES|348VULN|5AART|69RCVC|78ASPD|8BPWR|aRCR
28	17247 22741	   	184.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2ERES|3RCR|4AART|58VULN|6ZMB|7DUR|9aDMG
29	18523 33222	 * 	184.16	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	1MBVNT|2RCVC|3RCR|4AART|5aZMB|6DMG|7aCDMG|8RPLT|9aVULN|aBPWR
30	23142 43522	 * 	183.69	ACR|3DMG|1AART|1VULN|2ZMB|1DUR	146DMG|2LHND|3RCR|5DUR|7aZMB|8VULN|9AART
31	21364 22521	 * 	183.51	DCR|5VULN|1AART|1DMG	1DMG|2ERES|3467aVULN|5CGEN|8RCR|9AART
32	26226 26331	   	183.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2CDMG|39VULN|4TLV|5CGEN|6AART|7RCR|89LWND|9BPWR|aDUR
33	33611 32524	 * 	183.20	ACR|3VULN|1AART|2CDMG|3DUR|1SELL	1SELL|2RCR|35aDUR|4AART|6aCDMG|79aVULN|8RCVC|aBPWR
34	26226 26221	   	182.88	DCR|2VULN|2DMG|1AART|2CDMG	1aDMG|2aCDMG|39VULN|4TLV|5aCGEN|6AART|7RCR|8RCVC|aBPWR
35	24131 32521	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	15DMG|2ASPD|3AART|4FEWX|6MLV|79VULN|8RCR|aCDMG
36	24131 52521	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	15DMG|2ASPD|3AART|4FEWX|6RMIN|79VULN|8RCR|aCDMG
37	24141 32521	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2ASPD|3AART|4CGEN|5BEXP|79VULN|8RCR|aCDMG
38	24151 32521	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2ASPD|3AART|4MLV|5BEXP|79VULN|8RCR|aCDMG
39	24161 32521	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	15DMG|2ASPD|3AART|4BEXP|6MLV|79VULN|8RCR|aCDMG
40	18521 14442	   	182.79	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|58aBEXP|68LWND|78aVULN|8aBPWR|9aDMG
41	18521 14742	   	182.59	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|5aBEXP|6LWND|78aVULN|9aDMG|aBPWR
42	18521 24242	   	182.59	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|5aBEXP|6LHND|78aVULN|9aDMG|aBPWR
43	18524 14712	   	182.59	ACR|3DMG|2VULN|1AART	1MBVNT|2RCVC|3RCR|4AART|5aVULN|6LWND|79aDMG|8aLHND|aBPWR
44	18524 15342	   	182.59	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|57aVULN|6LWND|8aFEWX|9aDMG|aBPWR
45	18524 22242	   	182.59	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|58aVULN|6LHND|7aLWND|9aDMG|aBPWR
46	18524 24242	   	182.59	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|58aVULN|6LHND|7aBEXP|9aDMG|aBPWR
47	18524 25342	   	182.59	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|57aVULN|6LHND|8aFEWX|9aDMG|aBPWR
48	14824 14146	   	182.53	DCR|2VULN|2DMG|1AART|3ASPD|1SELL	1MBVNT|24aASPD|3aDMG|5SELL|6AART|7RCR|8aVULN|9DMSP|aBPWR
49	14824 14222	   	182.53	DCR|2VULN|2DMG|1AART|3ASPD|1SELL	1MBVNT|24aASPD|3aDMG|5SELL|6AART|7RCR|8RPLT|9aVULN|aBPWR
50	18524 18442	   	182.49	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|58aVULN|68LWND|78aDUST|8aBPWR|9aDMG
51	18524 43112	   	182.49	ACR|3DMG|2VULN|1AART	1MBVNT|2RCVC|3RCR|4AART|5aVULN|6DUST|79aDMG|8aLWND|aBPWR
52	18524 43712	   	182.49	ACR|3DMG|2VULN|1AART	1MBVNT|2RCVC|3RCR|4AART|5aVULN|6DUST|79aDMG|8aLHND|aBPWR
53	18524 44842	   	182.49	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|57aVULN|6DUST|8aLHND|9aDMG|aBPWR
54	18524 28242	   	182.39	ACR|3VULN|2DMG|1AART	1MBVNT|2RCVC|3RCR|4AART|58aVULN|6LHND|7aDUST|9aDMG|aBPWR
55	24134 31334	 * 	182.38	DCR|3DMG|1AART|1VULN|2CDMG|1ASPD	189DMG|2ASPD|3AART|4FEWX|56CDMG|7VULN|aRCR
56	21363 12426	 * 	182.07	DCR|3VULN|3DMG|2ASPD	19aDMG|2ERES|34aVULN|5LSRHEA|6CGEN|7RCR|8aASPD|aBPWR
57	26431 12235	 * 	181.93	4VULN|3DMG|1AART|2CDMG|3DUR	17aDMG|25CDMG|3RMIN|457aVULN|57aBPWR|67aDUR|8LEGI|9AART
58	23522 31462	   	181.70	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1aDMG|2aLHND|3RMIN|48ASPD|5DUR|6aVULN|7RCR|9AART|aBPWR
59	18524 43262	 * 	181.69	ACR|2VULN|2DMG|1AART|2ZMB	1MBVNT|2RCVC|3RCR|4AART|5aVULN|6DUST|7aDMG|8RPLT|9aZMB|aBPWR
60	17241 25341	   	181.59	ACR|2VULN|2DMG|1AART|2ZMB	1MBVNT|28ERES|3RCR|4AART|5FEWX|68ZMB|78VULN|8BPWR|9aDMG
61	17246 24441	   	181.59	ACR|2VULN|2DMG|1AART|2ZMB	1MBVNT|28ERES|3RCR|4AART|5LWND|68ZMB|78VULN|8BPWR|9aDMG
62	17242 25341	   	181.49	ACR|2VULN|2DMG|1AART|2ZMB	1MBVNT|28ERES|3RCR|4AART|5DUST|68ZMB|78VULN|8BPWR|9aDMG
63	13448 37472	   	181.31	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|24aLWND|3DUR|5aDMG|67aVULN|8RCR|9AART|aBPWR
64	26226 22531	   	181.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2CDMG|39VULN|4TLV|5CGEN|6AART|79LWND|8RCR|9BPWR|aDUR
65	26253 62231	   	181.08	DCR|3VULN|2AART|1DMG|1CDMG	1DMG|2CDMG|348VULN|5LIT|67AART|9RCR|aDLOT
66	26252 26322	 * 	180.84	DCR|3VULN|1AART|1DMG|2CDMG	1DMG|28CDMG|349VULN|5FEWX|6AART|7RCR|aLWND
67	26252 26321	   	180.74	DCR|3VULN|1AART|1DMG|2CDMG	1DMG|28CDMG|349VULN|5FEWX|6AART|7RCR|aAIRHEL
68	26252 26323	   	180.74	DCR|3VULN|1AART|1DMG|2CDMG	1DMG|28CDMG|349VULN|5FEWX|6AART|7RCR|aTLV
69	18523 33126	   	180.74	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1MBVNT|2RCVC|3RCR|4AART|5ZMB|6aDMG|7CDMG|8VULN|9ASPD
70	18523 33128	   	180.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1MBVNT|2RCVC|3RCR|4AART|5ZMB|6DMG|7CDMG|8aVULN|9ASPD
71	17247 23841	   	180.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2ERES|3RCR|4AART|59VULN|6ZMB|7DMG|8CDMG|aDUR
72	17247 22743	   	180.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2ERES|3RCR|4AART|58VULN|6ZMB|7DUR|9DMG|aCDMG
73	22361 25253	   	180.52	DCR|4VULN|3DMG	179DMG|2CGEN|3579VULN|479FEWX|6BELT|79BPWR|8RCR|aERES
74	22361 25252	   	180.38	DCR|4VULN|3DMG|1SELL	179DMG|2CGEN|3579VULN|479FEWX|6BELT|79BPWR|8RCR|aSELL
75	26251 11332	   	180.35	DCR|4VULN|2DMG|1CDMG|1DUR	17DMG|2CDMG|3489VULN|5CGEN|6DUR|aRCR
76	26252 23531	   	180.16	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1DMG|2CDMG|34VULN|5FEWX|6aAART|79DUR|8RCR
77	26431 52232	   	180.03	DCR|4VULN|2DMG|2CDMG	17DMG|25CDMG|3RMIN|4579VULN|57BPWR|67LWND|8DMSP|aRCR
78	18524 32811	 * 	179.75	ACR|3VULN|1AART|2CDMG|2ZMB	1MBVNT|2RCVC|3RCR|4AART|58aVULN|6LIT|7aCDMG|9aZMB|aBPWR
79	23142 43521	   	179.74	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	146DMG|2LHND|3RCR|5DUR|7ZMB|8VULN|9AART|aDUST
80	17246 24443	 * 	179.65	ACR|3VULN|1AART|1DMG|2ZMB	1MBVNT|28ERES|3RCR|4AART|5LWND|68ZMB|78aVULN|8BPWR|9DMG
81	23623 22212	   	179.57	DCR|3DMG|2VULN|1AART	19aDMG|2LHND|3LEGI|4AART|5aVULN|6aDUST|7RCR|8RCVC|aBPWR
82	18524 14112	   	179.17	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|2RCVC|3RCR|4AART|5aVULN|68LWND|7aDMG|9aDUR|aBPWR
83	18524 43235	   	179.07	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|2RCVC|3RCR|4AART|5aVULN|6DUST|7aDMG|8RPLT|9aDUR|aBPWR
84	18524 43312	   	178.97	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|2RCVC|3RCR|4AART|5aVULN|68DUST|7aDMG|9aDUR|aBPWR
85	21352 11261	   	178.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ERES|38VULN|4ZMB|5DUR|6FEWX|7RCR|9AART
86	17251 71122	   	178.79	ACR|3VULN|2DMG|1AART	1MBVNT|27ERES|3RCR|47DMG|578VULN|6RPLT|7BPWR|9LHND|aAART
87	17251 71132	   	178.79	ACR|3VULN|2DMG|1AART	1MBVNT|27ERES|3RCR|47DMG|578VULN|6RPLT|7BPWR|9LWND|aAART
88	17251 71312	   	178.79	ACR|3VULN|2DMG|1AART	1MBVNT|27ERES|3RCR|47DMG|579VULN|6RPLT|7BPWR|8DMSP|aAART
89	23121 36155	   	178.79	ACR|3VULN|2DMG|1AART	18DMG|2LHND|3RCR|4DMSP|5LEGI|679VULN|aAART
90	21154 31261	   	178.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ERES|3DUR|4ZMB|5DUST|68VULN|7RCR|9AART
91	23144 36132	   	178.69	ACR|3DMG|2VULN|1AART	148DMG|2LHND|3RCR|59DUST|67VULN|aAART
92	22332 36133	   	178.67	DCR|3VULN|2DMG|1AART	19DMG|2aCGEN|389VULN|49LSRICY|5RPLT|6AART|7RCR|9BPWR
93	22332 36134	   	178.67	DCR|3VULN|2DMG|1AART	19DMG|2CGEN|389VULN|49LSRICY|5RPLT|6AART|7RCR|9BPWR|aBEXP
94	22332 36136	   	178.67	DCR|3VULN|2DMG|1AART	19DMG|2CGEN|389VULN|49LSRICY|5RPLT|6AART|7RCR|9BPWR|aRCVC
95	22332 36532	   	178.67	DCR|3DMG|2VULN|1AART	19aDMG|2CGEN|39VULN|49LSRICY|5RPLT|6AART|7RCR|8RCVC|9BPWR
96	22332 36131	   	178.57	DCR|3VULN|2DMG|1AART	19DMG|2CGEN|389VULN|49LSRICY|5RPLT|6AART|7RCR|9BPWR|aCANSTR
97	22332 36135	   	178.57	DCR|3VULN|2DMG|1AART	19DMG|2CGEN|389VULN|49LSRICY|5RPLT|6AART|7RCR|9BPWR|aTLV
98	18523 42632	 * 	178.53	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1MBVNT|2RCVC|3RCR|49AART|5ZMB|67VULN|8DUR|aDMG
99	18524 22342	 * 	178.38	ACR|2AART|2DMG|2VULN	1MBVNT|2RCVC|3RCR|48AART|5aVULN|6LHND|7aLWND|9aDMG|aBPWR
100	23141 32362	   	178.38	ACR|3VULN|3DMG|1ASPD	149DMG|2LHND|3RCR|5LEGI|689VULN|79MLV|9BPWR|aASPD
101	17248 62321	   	178.35	ACR|3DMG|1AART|1VULN|1CDMG	1MBVNT|2ERES|3RCR|4AART|58aDMG|6RPLT|7CDMG|9VULN
102	23142 36111	   	178.28	ACR|3VULN|3DMG|1DUR	148DMG|2LHND|3RCR|5DUR|67aVULN|9FEWX
103	21324 36521	   	178.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2ERES|369VULN|4ASPD|5DUST|7AART|8RCR|aCDMG
104	23142 36131	   	178.18	ACR|3VULN|3DMG|1DUR	148DMG|2LHND|3RCR|5DUR|67aVULN|9DUST
105	26531 15321	   	178.09	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	15DMG|2CDMG|3ASPD|45aVULN|5BPWR|6DUR|7RPLT|8RCR|9BELT
106	23152 13144	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2LHND|3RCR|48VULN|5CDMG|6CGEN|7DUR|9AART|aZMB
107	23111 43144	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2LHND|3RCR|4ERES|58VULN|6CDMG|7DUR|9AART|aZMB
108	17241 25343	   	177.65	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MBVNT|28ERES|3RCR|4AART|5FEWX|68ZMB|78VULN|8BPWR|9DMG|aCDMG
109	17241 25741	   	177.64	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2ERES|3RCR|4AART|5FEWX|6ZMB|78VULN|9aDMG
110	17243 24241	   	177.64	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2ERES|3RCR|4AART|5LHND|6ZMB|78VULN|9aDMG
111	17246 24741	   	177.64	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2ERES|3RCR|4AART|5LWND|6ZMB|78VULN|9aDMG
112	17247 21284	   	177.64	ACR|2DMG|2VULN|1AART|1ZMB	1MBVNT|2aERES|3RCR|4AART|5aVULN|6ZMB|7LEGI|8FEWX|9aDMG|aBPWR
113	17247 23113	   	177.64	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2ERES|3RCR|4AART|5aVULN|6ZMB|79DMG|8LWND
114	17247 23181	   	177.64	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2ERES|3RCR|4AART|59VULN|6ZMB|7aDMG|8LWND
115	17247 24541	   	177.64	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2ERES|3RCR|4AART|57VULN|6ZMB|8BEXP|9aDMG
116	17247 24641	   	177.64	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2ERES|3RCR|4AART|57VULN|6ZMB|8FEWX|9aDMG
117	17247 24841	   	177.64	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2ERES|3RCR|4AART|57VULN|6ZMB|8LHND|9aDMG
118	17242 25343	   	177.55	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MBVNT|28ERES|3RCR|4AART|5DUST|68ZMB|78VULN|8BPWR|9DMG|aCDMG
119	17247 23381	   	177.54	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2ERES|3RCR|4AART|59VULN|6ZMB|7aDMG|8DUST
120	17241 25348	 * 	177.53	ACR|2VULN|3ZMB|1AART|1DMG	1MBVNT|28ERES|3RCR|4AART|5FEWX|68aZMB|78VULN|8BPWR|9DMG
121	23623 22642	 * 	177.46	DCR|2VULN|2DMG|1AART|1FLTHEA	1aDMG|2LHND|3LEGI|4AART|59VULN|6DUST|7RCR|8FLTHEA
122	17242 25348	   	177.43	ACR|2VULN|3ZMB|1AART|1DMG	1MBVNT|28ERES|3RCR|4AART|5DUST|68aZMB|78VULN|8BPWR|9DMG
123	22361 25225	   	177.32	DCR|3VULN|3DMG|1ZMB	17aDMG|2CGEN|357VULN|47FEWX|6BELT|7BPWR|8RCR|9ZMB
124	26212 15361	   	177.27	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	15aDMG|2CDMG|3VULN|4CGEN|6DUR|7RPLT|8RCR|9AART
125	26246 11332	   	177.26	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	17DMG|2CDMG|389VULN|4RCVC|5ZMB|6DUR|aRCR
126	26256 11312	   	177.26	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	17DMG|2CDMG|348VULN|5ZMB|6DUR|9RCVC|aRCR
127	26222 15361	   	177.17	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	15aDMG|2CDMG|3VULN|4TLV|6DUR|7RPLT|8RCR|9AART
128	26532 26131	   	177.16	DCR|2DMG|2AART|1VULN|1CDMG|1ASPD	19DMG|2CDMG|3ASPD|4VULN|5ERES|68AART|7RCR|aLSRICY
129	26532 26132	   	177.16	DCR|2DMG|2AART|1VULN|1CDMG|1ASPD	19DMG|2CDMG|3ASPD|4VULN|5ERES|68AART|7RCR|aLWND
130	26532 26133	   	177.16	DCR|2DMG|2AART|1VULN|1CDMG|1ASPD	19DMG|2CDMG|3ASPD|4VULN|5ERES|68AART|7RCR|aMLV
131	13221 37682	   	176.95	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|24aLWND|3AART|56DMG|7RCR|8aDUR|9aVULN|aBPWR
132	23141 36221	 * 	176.78	ACR|2VULN|2DMG|1AART|1CDMG	14DMG|2LHND|3RCR|5LEGI|67VULN|8LWND|9CDMG|aAART
133	23122 36151	   	176.72	ACR|4VULN|2DMG|1DUR	18DMG|2LHND|3RCR|4DMSP|5DUR|679aVULN
134	12428 53642	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2LHND|3DUR|48VULN|5DMG|6RCR|7ZMB|9CDMG|aAART
135	13428 53642	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2LWND|3DUR|48VULN|5DMG|6RCR|7ZMB|9CDMG|aAART
136	17251 41842	   	176.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2ERES|3RCR|48DMG|57VULN|6FEWX|9CDMG|aAART
137	17254 41842	   	176.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2ERES|3RCR|48DMG|5BEXP|67VULN|9CDMG|aAART
138	12124 41872	   	176.67	DCR|3VULN|2DMG|1AART	1MBVNT|2aLHND|3DUST|45aVULN|6aDMG|7RCR|8RCVC|9AART|aBPWR
139	13125 41672	   	176.67	DCR|3VULN|2DMG|1AART	1MBVNT|28aLWND|3DUST|45aVULN|6aDMG|7RCR|9AART|aBPWR
140	24131 32531	   	176.66	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	15DMG|2ASPD|39AART|4FEWX|6MLV|7VULN|8RCR|aCDMG
141	24131 52531	   	176.66	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	15DMG|2ASPD|39AART|4FEWX|6RMIN|7VULN|8RCR|aCDMG
142	24141 32531	   	176.66	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	16DMG|2ASPD|39AART|4CGEN|5BEXP|7VULN|8RCR|aCDMG
143	24151 32531	   	176.66	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	16DMG|2ASPD|39AART|4MLV|5BEXP|7VULN|8RCR|aCDMG
144	24161 32531	   	176.66	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	15DMG|2ASPD|39AART|4BEXP|6MLV|7VULN|8RCR|aCDMG
145	26226 26131	   	176.64	DCR|2DMG|2AART|1VULN|2CDMG	1aDMG|2aCDMG|3VULN|49TLV|5aCGEN|68AART|7RCR|aBPWR
146	17252 41842	   	176.58	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2ERES|3RCR|48DMG|5DUST|67VULN|9CDMG|aAART
147	26226 26123	   	176.54	DCR|2VULN|2AART|1DMG|2CDMG	1DMG|2aCDMG|39VULN|4TLV|5CGEN|68AART|7RCR
148	26226 26332	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2CDMG|39VULN|4TLV|5CGEN|6AART|7RCR|89LWND|9BPWR|aERES
149	21332 36436	   	176.46	DCR|2VULN|2DMG|1AART|2ASPD	1aDMG|2ERES|3aVULN|4LSRICY|5RPLT|6AART|7RCR|8CGEN|9aASPD|aBPWR
150	22332 36436	   	176.46	DCR|2VULN|2DMG|1AART|2ASPD	1aDMG|2CGEN|3aVULN|4LSRICY|5RPLT|6AART|7RCR|8ERES|9aASPD|aBPWR
151	26252 26221	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2CDMG|34VULN|5FEWX|6AART|7RCR|8BELT|aLHND
152	26252 26222	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2CDMG|34VULN|5FEWX|6AART|7RCR|8BELT|aMLV
153	26252 26223	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2CDMG|34VULN|5FEWX|6AART|7RCR|8BELT|aERES
154	26226 26333	   	176.32	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	19DMG|2CDMG|39VULN|4TLV|5CGEN|6AART|7RCR|89LWND|9BPWR|aSELL
155	23142 36422	 * 	176.27	ACR|3VULN|2DMG|1CDMG|1DUR	14DMG|2aLHND|3RCR|5DUR|679VULN|8CDMG
156	23142 36423	   	176.27	ACR|3VULN|2DMG|1CDMG|1DUR	14DMG|2LHND|3RCR|5DUR|679VULN|8CDMG|aLWND
157	17247 42322	 * 	176.15	ACR|3VULN|2AART|1DMG	1MBVNT|2ERES|3RCR|46AART|579VULN|8LHND|aDMG
158	17247 42722	   	176.15	ACR|3VULN|2AART|1DMG	1MBVNT|2ERES|3RCR|46AART|579VULN|8LWND|aDMG
159	24131 32522	   	176.09	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	15DMG|2ASPD|3AART|4FEWX|6MLV|79VULN|8RCR|aDUR
160	24131 52522	   	176.09	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	15DMG|2ASPD|3AART|4FEWX|6RMIN|79VULN|8RCR|aDUR
161	24141 32522	   	176.09	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	16DMG|2ASPD|3AART|4CGEN|5BEXP|79VULN|8RCR|aDUR
162	24151 32522	   	176.09	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	16DMG|2ASPD|3AART|4MLV|5BEXP|79VULN|8RCR|aDUR
163	24161 32522	   	176.09	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	15DMG|2ASPD|3AART|4BEXP|6MLV|79VULN|8RCR|aDUR
164	17247 42422	   	176.05	ACR|3VULN|2AART|1DMG	1MBVNT|2ERES|3RCR|46AART|579VULN|8LEGI|aDMG
165	23142 36421	   	176.03	ACR|3VULN|2DMG|1CDMG|1DUR|1SELL	14DMG|2LHND|3RCR|5DUR|679VULN|8CDMG|aSELL
