0	Index      	 *	Score 	Summary	Detail	
1	15136 36323	 * 	206.74	ACR|4VULN|3DMG|3CDMG	149CDMG|2ERES|3679VULN|5RCR|89aDMG|9BPWR
35	22414 21152	   	193.16	DCR|3DMG|2VULN|1AART|2ZMB|1DUR	127DMG|3DUR|47VULN|57ZMB|6AART|7BPWR|8LHND|9AIRHEA|aRCR
36	22414 21332	   	193.16	DCR|3DMG|2VULN|1AART|2ZMB|1DUR	127DMG|3DUR|47VULN|57ZMB|6AART|7BPWR|8CANHEL|9LWND|aRCR
37	14162 63123	   	192.44	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|28DMG|39aVULN|4RCR|5TLV|6AART|7LIT
38	66222 52233	   	192.32	ACR|3VULN|2DMG|2ASPD|1CDMG|1DUR	1DUR|2RCR|36ASPD|456VULN|6BPWR|7aDMG|8CDMG|9BEXP
39	15116 36321	   	191.99	ACR|4VULN|2DMG|2CDMG|1ASPD	19CDMG|2ERES|3679VULN|4DMSP|5RCR|89DMG|9BPWR|aASPD
40	14163 31632	   	191.94	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|356VULN|4RCR|7AART|8FEWX|9MLV
41	13683 43814	   	191.91	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3MBVNT|49DMG|5aVULN|6AART|7ZMB|8RCR
42	14163 31322	   	191.84	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|356VULN|4RCR|7AART|8TLV|9LHND
43	14163 31332	   	191.74	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|356VULN|4RCR|7AART|8TLV|9DUST
44	14161 31235	   	191.67	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	15CDMG|2DMG|368VULN|4RCR|7AART|9MGNSTR|aZMB
45	14211 28272	   	191.38	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4RPLT|5MBVNT|6AART|79VULN|8RCR|aZMB
46	66222 22234	   	191.23	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2RCR|3ASPD|456VULN|7DMG|8CDMG|9BEXP|aAART
47	11614 47254	   	191.13	DCR|3VULN|2DMG|1AART|2CDMG	14CDMG|289VULN|3MBVNT|57DMG|6AART|aRCR
48	11644 47224	   	191.13	DCR|3VULN|2DMG|1AART|2CDMG	19CDMG|248VULN|3MBVNT|57DMG|6AART|aRCR
49	11683 47224	   	191.13	DCR|3VULN|2DMG|1AART|2CDMG	19CDMG|258VULN|3MBVNT|47DMG|6AART|aRCR
50	15136 36321	   	191.09	ACR|4VULN|2DMG|3CDMG	149CDMG|2ERES|3679VULN|5RCR|89DMG|9BPWR|aLIT
51	15136 36322	   	191.09	ACR|4VULN|2DMG|3CDMG	149CDMG|2ERES|3679VULN|5RCR|89DMG|9BPWR|aLHND
52	63121 15612	   	190.90	DCR|3VULN|2DMG|1AART|2DUR	17DUR|279VULN|3LIT|4CGEN|57DMG|6RCR|7BPWR|8LWND|aAART
53	22411 21236	   	190.82	DCR|3VULN|3DMG|2FLTHEA|1DUR	12aDMG|3DUR|46aVULN|5BEXP|7LWND|8aFLTHEA|9RCR|aBPWR
54	14163 33422	   	190.74	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|356VULN|4RCR|7CGEN|8LWND|9AART
55	13613 48335	   	190.50	DCR|2VULN|3CDMG|1AART|1DMG|2DUR|1ASPD	14aCDMG|2aDUR|3MBVNT|5ASPD|6AART|7RCR|8DMG|9aVULN|aBPWR
56	14165 31221	   	190.41	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2DMG|368VULN|4RCR|5RCVC|7AART|aDUR
57	14165 31222	   	190.41	ACR|3VULN|1AART|1DMG|2CDMG|1ASPD	19CDMG|2DMG|368VULN|4RCR|5RCVC|7AART|aASPD
58	14163 31143	   	190.36	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3569VULN|4RCR|7AART|8RCVC|aRMIN
59	21224 38831	   	190.32	DCR|3DMG|2VULN|1AART|1CDMG	139DMG|2TLV|49BEXP|5AART|6MBVNT|79VULN|8RCR|9BPWR|aCDMG
60	12341 31134	   	190.32	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1aCDMG|2ASPD|3aDUST|47DMG|5LWND|6RCR|8aVULN|9AART|aBPWR
61	12344 31134	   	190.32	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1aCDMG|2ASPD|3aDUST|47DMG|5LHND|6RCR|8aVULN|9AART|aBPWR
62	11648 48314	   	190.01	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1CDMG|24VULN|3MBVNT|5MLV|6AART|7RCR|8aDMG|9FLTHEA
63	11642 48314	   	189.91	DCR|2VULN|2DMG|1AART|1FLTHEA|1CDMG	1CDMG|24VULN|3MBVNT|5ERES|6AART|7RCR|8aDMG|9FLTHEA
64	23521 28831	   	189.82	DCR|3DMG|2VULN|1AART|1CDMG	139DMG|2MLV|49BEXP|5MBVNT|6AART|79VULN|8RCR|9BPWR|aCDMG
65	14163 31251	   	189.76	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3568VULN|4RCR|7AART|9BEXP|aRCVC
66	21221 28831	   	189.72	DCR|3DMG|2VULN|1AART|1CDMG	139DMG|2TLV|49BEXP|5MBVNT|6AART|79VULN|8RCR|9BPWR|aCDMG
67	14161 31532	 * 	189.53	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	15CDMG|2aDMG|36VULN|4RCR|7AART|8DUR|9MLV
68	14161 31141	   	189.51	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	15CDMG|2DMG|369VULN|4RCR|7AART|8RCVC|aDUR
69	14161 31142	   	189.51	ACR|3VULN|1AART|1DMG|2CDMG|1ASPD	15CDMG|2DMG|369VULN|4RCR|7AART|8RCVC|aASPD
70	14163 31121	   	189.51	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2DMG|356VULN|4RCR|7AART|8RCVC|aDUR
71	14163 31122	   	189.51	ACR|3VULN|1AART|1DMG|2CDMG|1ASPD	19CDMG|2DMG|356VULN|4RCR|7AART|8RCVC|aASPD
72	14213 22155	 * 	189.45	DCR|3DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|239DMG|3BPWR|4RPLT|5LEGI|6AART|7ZMB|8RCR|aVULN
73	63121 15221	   	189.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DUR|27VULN|3LIT|4CGEN|57DMG|6RCR|7BPWR|8ERES|9AART|aCDMG
74	63141 15321	   	189.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DUR|27VULN|3LIT|4TLV|57DMG|6RCR|7BPWR|8CGEN|9AART|aCDMG
75	63141 15221	   	189.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DUR|27VULN|3LIT|4TLV|57DMG|6RCR|7BPWR|8ERES|9AART|aCDMG
76	63113 64233	   	189.21	DCR|4VULN|1AART|1DMG|2DUR	1aDUR|289aVULN|3LIT|4DMG|5aLHND|6RCR|7AART|aBPWR
77	63121 15143	   	188.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17DUR|27VULN|3LIT|4CGEN|57DMG|6RCR|7BPWR|8CDMG|9BEXP|aAART
78	66222 22136	 * 	188.82	ACR|4VULN|1DMG|2ZMB|2DUR|1ASPD	1aDUR|2RCR|3ASPD|456aVULN|7DMG|8LIT|9aZMB|aBPWR
79	14161 31125	   	188.61	ACR|3VULN|3CDMG|1AART|1DMG	159CDMG|2DMG|36aVULN|4RCR|7AART|8RCVC
80	25233 23236	   	188.51	DCR|3DMG|2VULN|1AART|1DUR	13aDMG|2ERES|4aCGEN|5AART|6RCR|7LIT|8DUR|9aVULN|aBPWR
81	14163 31232	   	188.45	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3568VULN|4RCR|7AART|9MGNSTR|aCGEN
82	14163 31233	   	188.45	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3568VULN|4RCR|7AART|9MGNSTR|aLWND
83	14163 31252	   	188.45	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3568VULN|4RCR|7AART|9BEXP|aLWND
84	14163 31262	   	188.45	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3568VULN|4RCR|7AART|9BELT|aLWND
85	25233 24352	   	188.43	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	13aDMG|2ERES|4CGEN|5AART|6RCR|7ZMB|8VULN|9CDMG
86	22643 23236	   	188.41	DCR|3DMG|2VULN|1AART|1DUR	12aDMG|3CGEN|4aERES|5AART|6RCR|7LIT|8DUR|9aVULN|aBPWR
87	14163 31231	   	188.35	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3568VULN|4RCR|7AART|9MGNSTR|aERES
88	14163 31234	   	188.35	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3568VULN|4RCR|7AART|9MGNSTR|aTLV
89	14163 31261	   	188.35	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3568VULN|4RCR|7AART|9BELT|aDUST
90	21243 24352	   	188.33	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	13aDMG|2TLV|4ERES|5AART|6RCR|7ZMB|8VULN|9CDMG
91	13644 33284	 * 	188.16	DCR|4VULN|3CDMG|1AART|1DUR	189CDMG|2DUR|3MBVNT|4789VULN|589LWND|6RCR|89BPWR|aAART
92	63113 62423	   	188.01	DCR|4VULN|1AART|1DMG|2DUR	1aDUR|278aVULN|3LIT|4DMG|5aLHND|6RCR|9AART|aBPWR
93	22466 12113	 * 	187.91	DCR|3DMG|1AART|2CDMG|2ZMB|1ASPD|1DUR	128DMG|3DUR|4BELT|58ZMB|68CDMG|7RCR|8BPWR|9AART|aASPD
94	11643 48335	   	187.88	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	1aCDMG|24aVULN|3MBVNT|5ASPD|6AART|7RCR|8DMG|9aFEWX|aBPWR
95	11643 48345	   	187.88	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	1aCDMG|24aVULN|3MBVNT|5ASPD|6AART|7RCR|8DMG|9aBEXP|aBPWR
96	14162 63121	   	187.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|28DMG|39VULN|4RCR|5TLV|6AART|7LIT|aZMB
97	11643 48354	   	187.68	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	1aCDMG|24aVULN|3MBVNT|5ASPD|6AART|7RCR|8DMG|9aERES|aBPWR
98	63121 15134	   	187.66	DCR|3VULN|2DMG|2CDMG|2DUR	17DUR|279VULN|3LIT|4CGEN|57DMG|6RCR|7BPWR|8aCDMG
99	14161 31263	   	187.60	ACR|3VULN|1AART|1DMG|2CDMG|1ASPD	15CDMG|2DMG|368VULN|4RCR|7AART|9BELT|aASPD
100	14163 31135	   	187.26	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|356VULN|4RCR|7AART|8RCVC|9MGNSTR|aZMB
101	11614 31254	 * 	187.04	DCR|4VULN|1AART|1DMG|2CDMG	14CDMG|2689VULN|3MBVNT|5DMG|7AART|aRCR
102	11644 31224	   	187.04	DCR|4VULN|1AART|1DMG|2CDMG	19CDMG|2468VULN|3MBVNT|5DMG|7AART|aRCR
103	11681 31254	   	187.04	DCR|4VULN|1AART|1DMG|2CDMG	15CDMG|2689VULN|3MBVNT|4DMG|7AART|aRCR
104	11683 31224	   	187.04	DCR|4VULN|1AART|1DMG|2CDMG	19CDMG|2568VULN|3MBVNT|4DMG|7AART|aRCR
105	11163 36324	 * 	186.87	DCR|4VULN|2DMG|2CDMG|1ASPD	19CDMG|2679VULN|3RMIN|4MLV|5ASPD|89DMG|9BPWR|aRCR
106	11123 36324	   	186.77	DCR|4VULN|2DMG|2CDMG|1ASPD	19CDMG|2679VULN|3RMIN|4TLV|5ASPD|89DMG|9BPWR|aRCR
107	11644 47154	   	186.72	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|249VULN|3MBVNT|57DMG|6AART|8RCVC|aRCR
108	14161 31223	   	186.70	ACR|3VULN|3CDMG|1AART|1DMG	159CDMG|2DMG|368VULN|4RCR|7AART|aCGEN
109	14161 31224	   	186.70	ACR|3VULN|3CDMG|1AART|1DMG	159CDMG|2DMG|368VULN|4RCR|7AART|aFEWX
110	14161 31226	   	186.70	ACR|3VULN|3CDMG|1AART|1DMG	159CDMG|2DMG|368VULN|4RCR|7AART|aLWND
111	14161 31253	   	186.70	ACR|3VULN|3CDMG|1AART|1DMG	15aCDMG|2DMG|368VULN|4RCR|7AART|9BEXP
112	14161 31221	   	186.60	ACR|3VULN|3CDMG|1AART|1DMG	159CDMG|2DMG|368VULN|4RCR|7AART|aDUST
113	14161 31315	   	186.60	ACR|3VULN|3CDMG|1AART|1DMG	159CDMG|2DMG|36aVULN|4RCR|7AART|8TLV
114	22413 52213	   	186.40	DCR|2VULN|2DMG|1AART|1FLTHEA|2DUR	12DMG|35DUR|45VULN|5BPWR|69LWND|7RCR|8FLTHEA|aAART
115	14163 36323	   	186.31	ACR|4VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2DMG|3567VULN|4RCR|8LSRHEA|9SELL|aAART
116	22463 12113	 * 	185.98	DCR|3DMG|1AART|3ASPD|2CDMG|1DUR	128DMG|3DUR|4BELT|58aASPD|68CDMG|7RCR|8BPWR|9AART
117	11634 12365	   	185.85	DCR|3DMG|1AART|1VULN|2CDMG|2ASPD|1SELL	19CDMG|2VULN|3MBVNT|4SELL|579DMG|69ASPD|8AART|9BPWR|aRCR
118	22463 12114	 * 	185.71	DCR|3DMG|3CDMG|1AART|2ASPD|1DUR	128DMG|3DUR|4BELT|58ASPD|68aCDMG|7RCR|8BPWR|9AART
119	66222 22233	   	185.61	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1DUR|2RCR|3ASPD|456VULN|7aDMG|8CDMG|9BEXP
120	66222 22243	   	185.61	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1DUR|2RCR|3ASPD|456VULN|7aDMG|8CDMG|9RPLT
121	66222 22253	   	185.51	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1DUR|2RCR|3ASPD|456VULN|7aDMG|8CDMG|9DUST
122	15116 36322	   	185.05	ACR|4VULN|2DMG|2CDMG	19CDMG|2ERES|3679VULN|4DMSP|5RCR|89DMG|9BPWR|aLHND
123	13644 33286	 * 	185.02	DCR|4VULN|3CDMG|1DMG|1DUR	189CDMG|2DUR|3MBVNT|4789VULN|589LWND|6RCR|89BPWR|aDMG
124	15116 36323	   	184.95	ACR|4VULN|2DMG|2CDMG	19CDMG|2ERES|3679VULN|4DMSP|5RCR|89DMG|9BPWR|aTLV
125	22423 34312	   	184.85	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1ZMB|1DUR	12DMG|3DUR|4FEWX|5FLTHEA|6RCR|7aVULN|8CDMG|9ZMB
126	11644 47236	   	184.82	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|248VULN|3MBVNT|57DMG|6AART|9MGNSTR|aRCR
127	11613 48325	   	184.78	DCR|2DMG|3CDMG|1AART|1VULN|2ASPD	14aCDMG|2VULN|3MBVNT|5aASPD|6AART|7RCR|8aDMG|9LEGI|aBPWR
128	14211 23118	 * 	184.68	DCR|3DMG|3CDMG|1AART|1VULN	139CDMG|239DMG|39BPWR|4RPLT|5MBVNT|6AART|79MLV|8RCR|aVULN
129	15136 21522	   	184.57	ACR|2VULN|2DMG|3CDMG|2DUR|1ZMB	147CDMG|2ERES|37VULN|5RCR|67DUR|7BPWR|89DMG|aZMB
130	22414 13226	   	184.56	DCR|3DMG|2VULN|2ASPD|1ZMB|1DUR	12aDMG|3DUR|4aVULN|5ZMB|68ASPD|7RCR|9aLIT|aBPWR
131	52321 12453	   	184.46	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aLIT|2ZMB|3aVULN|4AART|5RMIN|6RCR|7ASPD|8ERES|9aDMG|aBPWR
132	52321 14213	   	184.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aLIT|2ZMB|3aVULN|4AART|5RMIN|6RCR|7CANHEL|8DUR|9aDMG|aBPWR
133	26413 21236	   	184.26	DCR|3VULN|2DMG|2FLTHEA|2DUR	1aDMG|2RCVC|35DUR|45aVULN|5aBPWR|6BEXP|7LWND|8aFLTHEA|9RCR
134	14161 31122	   	183.96	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	159CDMG|2DMG|36VULN|4RCR|7AART|8RCVC|aZMB
135	12146 32235	   	183.93	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	18CDMG|2ASPD|38VULN|4DMG|5FEWX|6RCR|78LWND|8BPWR|9AART|aZMB
136	11644 43254	   	183.54	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2489VULN|3MBVNT|5DMG|6AART|7RCVC|aRCR
137	11683 43254	   	183.54	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2589VULN|3MBVNT|4DMG|6AART|7RCVC|aRCR
138	14165 31223	   	183.47	ACR|3VULN|1AART|1DMG|2CDMG	19CDMG|2DMG|368VULN|4RCR|5RCVC|7AART|aRMIN
139	12146 31134	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2ASPD|38VULN|47DMG|5FEWX|6RCR|9BEXP|aAART
140	63113 64231	   	183.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|289VULN|3LIT|4DMG|5LHND|6RCR|7AART|aCDMG
141	14163 31163	   	183.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DMG|356VULN|4RCR|7AART|8RCVC|9BELT|aASPD
142	22313 66433	 * 	183.08	DCR|3DMG|2VULN|2CDMG|2ZMB	12aDMG|3RMIN|47CDMG|5BELT|6aVULN|8aZMB|9RCR|aBPWR
143	66222 22363	   	182.96	ACR|3VULN|2DMG|1ZMB|1ASPD|1DUR	1DUR|2RCR|3ASPD|456VULN|7aDMG|8FEWX|9ZMB
144	66522 22313	   	182.96	ACR|3VULN|2DMG|1ZMB|1ASPD|1DUR	1DUR|2RCR|3ZMB|456VULN|7aDMG|8FEWX|9ASPD
145	11644 31154	   	182.64	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2469VULN|3MBVNT|5DMG|7AART|8RCVC|aRCR
146	11683 31154	   	182.64	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2569VULN|3MBVNT|4DMG|7AART|8RCVC|aRCR
147	15136 21122	   	182.63	ACR|3VULN|3CDMG|1DMG|2DUR|1ZMB	147CDMG|2ERES|37aVULN|5RCR|67DUR|7BPWR|8ZMB|9DMG
148	14161 31632	   	182.60	ACR|2VULN|2DMG|1AART|2CDMG	15CDMG|2aDMG|36VULN|4RCR|7AART|8FEWX|9MLV
149	14161 31143	   	182.57	ACR|3VULN|1AART|1DMG|2CDMG	15CDMG|2DMG|369VULN|4RCR|7AART|8RCVC|aRMIN
150	14163 31123	   	182.57	ACR|3VULN|1AART|1DMG|2CDMG	19CDMG|2DMG|356VULN|4RCR|7AART|8RCVC|aRMIN
151	14163 31124	   	182.57	ACR|3VULN|1AART|1DMG|2CDMG	19CDMG|2DMG|356VULN|4RCR|7AART|8RCVC|aLHND
152	14163 31125	   	182.57	ACR|3VULN|1AART|1DMG|2CDMG	19CDMG|2DMG|356VULN|4RCR|7AART|8RCVC|aLIT
153	14163 31153	   	182.57	ACR|3VULN|1AART|1DMG|2CDMG	1aCDMG|2DMG|356VULN|4RCR|7AART|8RCVC|9BEXP
154	26413 52223	   	182.55	DCR|3VULN|2DMG|1FLTHEA|2DUR	1aDMG|2RCVC|35DUR|45aVULN|5aBPWR|6LWND|7RCR|8FLTHEA|9aERES
155	26114 21362	 * 	182.53	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG|1MSE	17DMG|2RCVC|3MSE|478VULN|57ZMB|6AART|7BPWR|9RCR|aCDMG
156	14161 31322	   	182.50	ACR|2VULN|2DMG|1AART|2CDMG	15CDMG|2aDMG|36VULN|4RCR|7AART|8TLV|9LHND
157	14163 32512	   	182.42	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1CDMG|28DMG|356VULN|4RCR|7DUR|9RCVC|aASPD
158	14161 31332	   	182.40	ACR|2VULN|2DMG|1AART|2CDMG	15CDMG|2aDMG|36VULN|4RCR|7AART|8TLV|9DUST
159	66222 22235	   	182.13	ACR|4VULN|1DMG|1CDMG|1ASPD|1DUR	1DUR|2RCR|3ASPD|456aVULN|7DMG|8CDMG|9BEXP
160	63113 62421	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|278VULN|3LIT|4DMG|5LHND|6RCR|9AART|aCDMG
161	22463 12136	   	181.97	DCR|3DMG|3CDMG|1VULN|2ASPD|1DUR	128DMG|3DUR|4BELT|58ASPD|68aCDMG|7RCR|8BPWR|9VULN
162	14161 31251	   	181.97	ACR|3VULN|1AART|1DMG|2CDMG	15CDMG|2DMG|368VULN|4RCR|7AART|9BEXP|aRCVC
163	14161 31314	   	181.95	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	159CDMG|2DMG|36VULN|4RCR|7AART|8TLV|aZMB
164	13644 33235	   	181.92	DCR|4VULN|1AART|2CDMG|1DUR	18CDMG|2DUR|3MBVNT|4789VULN|58LWND|6RCR|8BPWR|aAART
165	22466 11121	   	181.91	DCR|3DMG|1AART|2CDMG|2ZMB|1ASPD|1DUR	128DMG|3DUR|4BELT|58ZMB|68CDMG|7AART|8BPWR|9ASPD|aRCR
166	14162 61113	 * 	181.85	ACR|3AART|2DMG|1VULN|1CDMG|1ASPD	1CDMG|2aDMG|3VULN|4RCR|5TLV|678AART|9ASPD
167	14211 12226	   	181.78	DCR|3DMG|1AART|1VULN|2CDMG|1ASPD	13CDMG|237DMG|3BPWR|4RPLT|5MBVNT|6ASPD|8AART|9RCR|aVULN
