0	Index      	 *	Score 	Summary	Detail	
1	12515 23252	 * 	201.22	DCR|3DMG|2VULN|1AART|1CDMG|1ZMB	1AART|24ERES|36VULN|567DMG|6BPWR|8ZMB|9RCR|aCDMG
31	44212 25131	 * 	184.42	DCR|3VULN|2DMG|1AART|2ZMB	137VULN|2BEXP|47DMG|5MBVNT|67ZMB|7BPWR|8BELT|9AART|aRCR
32	15321 83326	 * 	184.33	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2LHND|3MBVNT|4567VULN|8CDMG|9DMG|aRCR
33	27241 21164	   	184.26	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1MBVNT|2LWND|35VULN|4AART|6RCR|78DMG|9ZMB|aASPD
34	27241 21167	   	184.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2LWND|35VULN|4AART|6RCR|78DMG|9ZMB|aDUR
35	15321 27232	   	184.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|27LHND|3MBVNT|457VULN|6RCR|7BPWR|8ZMB|9DUR|aDMG
36	15321 22232	   	184.12	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2LHND|3MBVNT|457VULN|6RCR|8ZMB|9DUR|aDMG
37	11421 21156	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2DUST|3LWND|4RCR|56VULN|78DMG|9ZMB|aDUR
38	15321 21187	   	183.77	DCR|3VULN|2DMG|1AART	1AART|2LHND|3MBVNT|45aVULN|6RCR|78DMG|9FEWX
39	15321 21172	   	183.67	DCR|3VULN|2DMG|1AART	1AART|2LHND|3MBVNT|45aVULN|6RCR|78DMG|9BASICY
40	11345 33146	   	183.51	DCR|2AART|2VULN|2DMG|1CDMG	16AART|2DUST|3MBVNT|4CDMG|57DMG|89VULN|aRCR
41	12163 23155	   	183.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2ERES|3BEXP|47DMG|5ZMB|6CDMG|89VULN|aRCR
42	24811 32174	   	183.11	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29DMG|39LWND|4CGEN|5DUR|689VULN|7RCR|9BPWR|aAART
43	27811 32174	   	183.11	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29LWND|39DMG|4CGEN|5DUR|689VULN|7RCR|9BPWR|aAART
44	24821 32174	   	183.01	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29DMG|39LWND|4TLV|5DUR|689VULN|7RCR|9BPWR|aAART
45	27821 32174	   	183.01	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29LWND|39DMG|4TLV|5DUR|689VULN|7RCR|9BPWR|aAART
46	22541 14812	   	182.72	ACR|3VULN|2DMG|2DUR|1ZMB	1MBVNT|2RCVC|3RCR|489VULN|59DUR|6BELT|79DMG|9BPWR|aZMB
47	27241 27232	   	182.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|27LWND|357VULN|4AART|6RCR|7BPWR|8ZMB|9DUR|aDMG
48	27241 22232	   	182.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2LWND|357VULN|4AART|6RCR|8ZMB|9DUR|aDMG
49	12415 33316	 * 	182.07	DCR|2AART|2DMG|1VULN|2ASPD|1CDMG	1aAART|2ERES|36ASPD|4RMIN|56DMG|6BPWR|7VULN|8CDMG|9RCR
50	15111 23412	 * 	182.07	DCR|3DMG|1AART|1VULN|1FLTHEA|1DUR	1AART|2LHND|3LIT|4FLTHEA|57aDMG|6DUR|8RCR|9VULN
51	24172 28318	   	182.06	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	1MBVNT|2aDMG|3DUR|45aVULN|6ZMB|7CGEN|8RCR|9aASPD|aBPWR
52	22582 22347	 * 	182.05	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2RCVC|3RCR|4AART|57aVULN|6DUST|8CDMG|9DMG
53	15321 21134	   	181.99	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2LHND|3MBVNT|45VULN|6RCR|78DMG|9DUR|aASPD
54	15321 21474	   	181.99	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2LHND|3MBVNT|45VULN|6RCR|79DMG|8DUR|aASPD
55	27241 21157	   	181.97	DCR|3VULN|2DMG|1AART	1MBVNT|2LWND|35aVULN|4AART|6RCR|78DMG|9LHND
56	27241 21277	   	181.97	DCR|3VULN|2DMG|1AART	1MBVNT|2LWND|35aVULN|4AART|6RCR|79DMG|8LHND
57	27241 21477	   	181.97	DCR|3VULN|2DMG|1AART	1MBVNT|2LWND|35aVULN|4AART|6RCR|79DMG|8FEWX
58	24172 24318	   	181.96	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	1MBVNT|2aDMG|3DUR|45aVULN|6ZMB|7TLV|8RCR|9aASPD|aBPWR
59	24172 26318	   	181.96	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	1MBVNT|2aDMG|3DUR|45aVULN|6ZMB|7ERES|8RCR|9aASPD|aBPWR
60	22582 21442	   	181.88	ACR|2AART|2VULN|2DMG	1MBVNT|2RCVC|3RCR|49AART|5aVULN|6aDUST|7aDMG|8BELT|aBPWR
61	24476 42271	 * 	181.86	DCR|3VULN|3DMG|2DUR	1MBVNT|26aDMG|3RCVC|4LSRICY|57aVULN|8RCR|9aDUR|aBPWR
62	11421 21146	   	181.79	ACR|3VULN|2DMG|1AART	1AART|2DUST|3LWND|4RCR|56aVULN|78DMG|9LHND
63	11421 21266	   	181.79	ACR|3VULN|2DMG|1AART	1AART|2DUST|3LWND|4RCR|56aVULN|79DMG|8LHND
64	15321 21532	   	181.76	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|3MBVNT|45VULN|6RCR|7aDMG|8LIT|9CDMG
65	15321 73326	 * 	181.68	DCR|3VULN|2AART|1DMG|1CDMG	16AART|2LHND|3MBVNT|457VULN|8CDMG|9DMG|aRCR
66	22551 31142	   	181.64	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1MBVNT|2RCVC|3RCR|4DUR|59AART|6VULN|78DMG|aZMB
67	12515 21316	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|24ERES|36VULN|56DMG|6BPWR|7LWND|8CDMG|9RCR|aDUR
68	24152 33261	   	181.50	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	1MBVNT|29DMG|37DUR|4BELT|59VULN|6AART|89ASPD|9BPWR|aRCR
69	24142 51424	 * 	181.15	DCR|3VULN|2DMG|1CDMG|2DUR	1MBVNT|24DMG|34DUR|4BPWR|5RPLT|6RCR|78aVULN|9CDMG
70	24152 35146	   	181.00	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1MBVNT|2aDMG|3DUR|49BELT|5aVULN|6AART|7aASPD|8RCR|aBPWR
71	27241 22275	 * 	180.87	DCR|4VULN|2AART|1ZMB	1MBVNT|2LWND|3579VULN|4aAART|6RCR|8ZMB
72	22511 31163	   	180.84	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2RCVC|3RCR|4BEXP|5AART|6aVULN|78DMG|9ZMB
73	24331 34466	   	180.81	DCR|2VULN|2DMG|2AART|1CDMG	1MBVNT|29DMG|39LHND|4BEXP|5CDMG|68AART|79VULN|9BPWR|aRCR
74	24151 83146	   	180.40	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1MBVNT|2aDMG|3DUR|49BELT|5aASPD|6aVULN|7AART|8RCR|aBPWR
75	15321 21387	   	180.28	DCR|4VULN|1AART|1DMG	1AART|2LHND|3MBVNT|458aVULN|6RCR|7DMG|9FEWX
76	27241 21134	   	180.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1MBVNT|2LWND|35VULN|4AART|6RCR|78DMG|9DUR|aASPD
77	15321 21372	   	180.18	DCR|4VULN|1AART|1DMG	1AART|2LHND|3MBVNT|458aVULN|6RCR|7DMG|9BASICY
78	15321 21334	   	180.06	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1AART|2LHND|3MBVNT|458VULN|6RCR|7DMG|9DUR|aASPD
79	27241 21847	   	179.86	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2LWND|35VULN|4AART|6RCR|7aDMG|8DUST|9CDMG
80	15321 21531	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LHND|3MBVNT|45aVULN|6RCR|7DMG|8LIT|9CDMG
81	16337 37424	   	179.69	ACR|3VULN|2DMG|1AART	1AART|247FEWX|3MBVNT|5RCR|67aVULN|7aBPWR|8aCGEN|9aDMG
82	11422 36336	 * 	179.68	ACR|2VULN|2DMG|1AART|2ASPD	1AART|2aDUST|3LWND|4RCR|5aDMG|68ASPD|7LSRHEA|9aVULN|aBPWR
83	11342 53467	   	179.67	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|3MBVNT|4CDMG|5RCVC|67DMG|8RCR|9aVULN
84	24161 54464	   	179.56	DCR|2VULN|2DMG|1AART|3DUR	1MBVNT|29DMG|39aDUR|4LIT|5AART|6LHND|7RCR|89VULN|9BPWR
85	15321 21155	   	179.56	DCR|2AART|2VULN|2DMG	1aAART|29LHND|3MBVNT|45VULN|6RCR|78DMG
86	12515 26311	   	179.36	DCR|2VULN|2DMG|1AART|1CDMG	1AART|24ERES|36VULN|56DMG|6BPWR|7RCR|8CDMG|9RMIN|aRPLT
87	12515 26312	   	179.36	DCR|2VULN|2DMG|1AART|1CDMG	1AART|24ERES|36VULN|56DMG|6BPWR|7RCR|8CDMG|9RMIN|aCGEN
88	12515 26313	   	179.36	DCR|2VULN|2DMG|1AART|1CDMG	1AART|24ERES|36VULN|56DMG|6BPWR|7RCR|8CDMG|9RMIN|aLIT
89	24114 32175	 * 	179.30	DCR|4VULN|2DMG|2DUR	1MBVNT|29DMG|39DUR|4CGEN|5LHND|689aVULN|7RCR|9BPWR
90	15421 21134	   	179.28	ACR|2AART|2DMG|2VULN	1aAART|2LHND|3LWND|4RCR|56VULN|78DMG|9RCVC
91	24124 32175	   	179.20	DCR|4VULN|2DMG|2DUR	1MBVNT|29DMG|39DUR|4TLV|5LHND|689aVULN|7RCR|9BPWR
92	24711 32175	   	179.20	DCR|4VULN|2DMG|2DUR	1MBVNT|29DMG|3LEGI|4CGEN|59DUR|689aVULN|7RCR|9BPWR
93	12533 21114	   	179.12	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|3aVULN|4LWND|5ZMB|6RCR|78DMG|9LIT
94	15321 21117	   	179.12	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2LHND|3MBVNT|45VULN|6RCR|78DMG|9LIT|aZMB
95	24721 32175	   	179.10	DCR|4VULN|2DMG|2DUR	1MBVNT|29DMG|3LEGI|4TLV|59DUR|689aVULN|7RCR|9BPWR
96	22354 16448	 * 	178.92	DCR|2VULN|1AART|1DMG|2FLTHEA|2ASPD	1MBVNT|26RCVC|38FLTHEA|4AART|58VULN|78ASPD|8BPWR|9DMG|aRCR
97	22511 31166	 * 	178.91	ACR|3DMG|1AART|1VULN|1ZMB	1MBVNT|2RCVC|3RCR|4BEXP|5AART|6VULN|78aDMG|9ZMB
98	11323 47328	   	178.77	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1ASPD	1AART|27DUST|3MBVNT|4VULN|57ZMB|67DMG|7BPWR|8CDMG|9RCR|aASPD
99	24124 32873	   	178.75	DCR|3DMG|2VULN|1CDMG|2DUR	1MBVNT|289DMG|39DUR|4TLV|5LHND|69VULN|7RCR|9BPWR|aCDMG
100	22541 14814	   	178.66	ACR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|2RCVC|3RCR|489VULN|59DUR|6BELT|79DMG|9BPWR|aASPD
101	24721 32873	   	178.65	DCR|3DMG|2VULN|1CDMG|2DUR	1MBVNT|289DMG|3LEGI|4TLV|59DUR|69VULN|7RCR|9BPWR|aCDMG
102	12523 11161	   	178.34	ACR|2DMG|2VULN|1AART|1ZMB	1AART|2ERES|39VULN|4RCR|5ZMB|6LEGI|78DMG|aRCVC
103	24152 31441	   	178.31	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29DMG|3DUR|4BELT|579VULN|6AART|89CGEN|9BPWR|aRCR
104	15321 27237	   	178.26	DCR|4VULN|1AART|1ZMB|1DUR	1AART|27LHND|3MBVNT|457aVULN|6RCR|7BPWR|8ZMB|9DUR
105	15321 27438	   	178.25	DCR|3VULN|2AART|1CDMG|1DUR	19AART|27LHND|3MBVNT|457VULN|6RCR|7BPWR|8DUR|aCDMG
106	15321 22237	   	178.16	DCR|4VULN|1AART|1ZMB|1DUR	1AART|2LHND|3MBVNT|457aVULN|6RCR|8ZMB|9DUR
107	15321 22438	   	178.15	DCR|3VULN|2AART|1CDMG|1DUR	19AART|2LHND|3MBVNT|457VULN|6RCR|8DUR|aCDMG
108	11323 47327	 * 	178.14	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	1AART|27DUST|3MBVNT|4VULN|57ZMB|67DMG|7BPWR|8aCDMG|9RCR
109	24152 35361	   	178.11	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1MBVNT|29DMG|3DUR|4BELT|59VULN|6AART|79ASPD|8RCVC|9BPWR|aRCR
110	24152 31141	   	178.11	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|29DMG|3DUR|4BELT|579VULN|6AART|89ERES|9BPWR|aRCR
111	61331 23255	   	178.06	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|2RCVC	14RCVC|2CDMG|3FEWX|59VULN|6RCR|7DMG|8AART|aZMB
112	16111 23411	 * 	177.86	DCR|2AART|2DMG|1VULN|1FLTHEA|1DUR	1aAART|2FEWX|3LIT|4FLTHEA|57DMG|6DUR|8RCR|9VULN
113	15111 26412	   	177.86	DCR|2AART|2DMG|1VULN|1FLTHEA|1DUR	17AART|2LHND|3LIT|4FLTHEA|5aDMG|6DUR|8RCR|9VULN
114	15324 21137	   	177.86	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LHND|3MBVNT|4aVULN|5RCVC|6RCR|78DMG|9DUR
115	15324 21477	   	177.86	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LHND|3MBVNT|4aVULN|5RCVC|6RCR|79DMG|8DUR
116	11111 23411	   	177.76	DCR|2AART|2DMG|1VULN|1FLTHEA|1DUR	1aAART|2DUST|3LIT|4FLTHEA|57DMG|6DUR|8RCR|9VULN
117	11345 33468	   	177.66	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	16AART|2DUST|3MBVNT|4CDMG|57DMG|8RCR|9VULN|aASPD
118	22551 37443	 * 	177.64	ACR|3VULN|1AART|3DUR|1CDMG	1MBVNT|2RCVC|3RCR|478DUR|5AART|67aVULN|7BPWR|9CDMG
119	15321 21355	   	177.63	DCR|3VULN|2AART|1DMG	1aAART|29LHND|3MBVNT|458VULN|6RCR|7DMG
120	22551 31144	   	177.57	ACR|2AART|2DMG|1VULN|1ASPD|1DUR	1MBVNT|2RCVC|3RCR|4DUR|59AART|6VULN|78DMG|aASPD
121	41322 32581	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	19aVULN|2ERES|3aCGEN|4ZMB|5MBVNT|6CDMG|7RCR|8aDMG|aBPWR
122	24145 71461	   	177.52	DCR|3VULN|2DMG|3DUR|1ZMB	1MBVNT|24DMG|345DUR|4BPWR|679VULN|8RCR|aZMB
123	24151 83361	   	177.51	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1MBVNT|29DMG|3DUR|4BELT|59ASPD|69VULN|7AART|8RCVC|9BPWR|aRCR
124	22582 31137	   	177.38	ACR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RCVC|3RCR|4AART|5aVULN|6LHND|78DMG|9DUR
125	15421 21334	 * 	177.35	ACR|3VULN|2AART|1DMG	1aAART|2LHND|3LWND|4RCR|568VULN|7DMG|9RCVC
126	27241 21117	   	177.32	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2LWND|35VULN|4AART|6RCR|78DMG|9LIT|aZMB
127	27241 21161	   	177.32	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2LWND|35VULN|4AART|6RCR|78DMG|9ZMB|aBEXP
128	27241 21163	   	177.32	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2LWND|35VULN|4AART|6RCR|78DMG|9ZMB|aRPLT
129	27241 21168	   	177.32	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2LWND|35VULN|4AART|6RCR|78DMG|9ZMB|aMLV
130	15321 27222	   	177.28	DCR|3VULN|1AART|1DMG|1ZMB	1AART|27LHND|3MBVNT|457VULN|6RCR|7BPWR|8ZMB|9BEXP|aDMG
131	22582 11137	   	177.28	ACR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RCVC|3RCR|4AART|5aVULN|6LEGI|78DMG|9DUR
132	22582 21137	   	177.28	ACR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RCVC|3RCR|4AART|5aVULN|6DUST|78DMG|9DUR
133	15421 21116	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2LHND|3LWND|4RCR|56VULN|78DMG|9LIT|aZMB
134	16421 21116	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3LWND|4RCR|56VULN|78DMG|9LIT|aZMB
135	16421 21151	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3LWND|4RCR|56VULN|78DMG|9ZMB|aBEXP
136	16421 21153	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3LWND|4RCR|56VULN|78DMG|9ZMB|aRPLT
137	27241 21165	   	177.22	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2LWND|35VULN|4AART|6RCR|78DMG|9ZMB|aLEGI
138	15321 21317	   	177.18	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2LHND|3MBVNT|458VULN|6RCR|7DMG|9LIT|aZMB
139	15321 22222	   	177.18	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2LHND|3MBVNT|457VULN|6RCR|8ZMB|9BEXP|aDMG
140	11421 21116	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2DUST|3LWND|4RCR|56VULN|78DMG|9LIT|aZMB
141	11421 21151	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2DUST|3LWND|4RCR|56VULN|78DMG|9ZMB|aBEXP
142	11421 21153	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2DUST|3LWND|4RCR|56VULN|78DMG|9ZMB|aRPLT
143	12522 12255	   	177.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|37VULN|4RCR|5BEXP|6RMIN|8aDMG|9ZMB
144	22551 31164	   	177.13	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1MBVNT|2RCVC|3RCR|4DUR|5AART|6VULN|78DMG|9ZMB|aASPD
145	42424 23331	 * 	177.10	ACR|4VULN|1DMG|1FLTHEA|1CDMG	1568VULN|2LHND|3CDMG|4RCR|7DMG|9FLTHEA|aLIT
146	42424 23333	   	177.10	ACR|4VULN|1DMG|1CDMG|1FLTHEA	1568VULN|2LHND|3CDMG|4RCR|7DMG|9FLTHEA|aRPLT
147	12523 11114	   	177.04	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|3aVULN|4RCR|5ZMB|6LEGI|78DMG|9LIT
148	12523 11162	   	177.04	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|39VULN|4RCR|5ZMB|6LEGI|78DMG|aLIT
149	12523 11166	   	177.04	ACR|2DMG|2VULN|1AART|1ZMB	1AART|2ERES|39VULN|4RCR|5ZMB|6LEGI|78DMG|aFEWX
150	11421 21154	   	177.04	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2DUST|3LWND|4RCR|56VULN|78DMG|9ZMB|aLEGI
151	12222 12255	   	177.04	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|3DUST|4RCR|57VULN|6RMIN|8aDMG|9ZMB
152	12521 12255	   	177.04	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|37VULN|4RCR|5DUST|6RMIN|8aDMG|9ZMB
153	22537 33226	   	177.03	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1MBVNT|2RCVC|3RCR|4BELT|5aDUR|6DMG|7AART|8aASPD|9aVULN|aBPWR
154	15341 53447	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|3MBVNT|4CDMG|5DMSP|67DMG|8RCR|9aVULN
155	15343 53447	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1AART|25LHND|3MBVNT|4CDMG|67DMG|8RCR|9aVULN
156	15345 23447	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1AART|26LHND|3MBVNT|4CDMG|57DMG|8RCR|9aVULN
157	12523 11163	   	176.94	ACR|2DMG|2VULN|1AART|1ZMB	1AART|2aERES|39VULN|4RCR|5ZMB|6LEGI|78DMG
158	12523 11165	   	176.94	ACR|2DMG|2VULN|1AART|1ZMB	1AART|2ERES|39VULN|4RCR|5ZMB|6LEGI|78DMG|aBASHEA
159	12515 22321	   	176.90	DCR|2AART|2VULN|2DMG|1DUR	17AART|24ERES|36VULN|56DMG|6BPWR|8MGNLIT|9DUR|aRCR
160	24144 58464	   	176.87	DCR|2VULN|2DMG|1AART|3DUR	1MBVNT|24DMG|347DUR|4BPWR|5RCVC|69VULN|8RCR|aAART
161	42424 23332	   	176.85	ACR|4VULN|1DMG|1CDMG|1FLTHEA|1SELL	1568VULN|2LHND|3CDMG|4RCR|7DMG|9FLTHEA|aSELL
162	22551 31437	   	176.78	ACR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RCVC|3RCR|4DUR|5AART|6aVULN|79DMG|8FEWX
163	11155 33633	 * 	176.64	DCR|3VULN|1AART|2CDMG|1DMG	1AART|27DUST|35LIT|47CDMG|678VULN|7BPWR|9DMG|aRCR
164	12515 23351	   	176.57	DCR|3DMG|2VULN|1AART	1AART|24ERES|36VULN|567DMG|6BPWR|8CGEN|9RCR|aFEWX
165	12515 23353	   	176.57	DCR|3DMG|2VULN|1AART	1AART|24ERES|36VULN|567DMG|6BPWR|8CGEN|9RCR|aMLV
166	24114 32378	   	176.56	DCR|2VULN|2DMG|1AART|3DUR	1MBVNT|29DMG|389DUR|4CGEN|5LHND|69VULN|7RCR|9BPWR|aAART
167	24142 51426	   	176.50	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1MBVNT|24DMG|34DUR|4BPWR|5RPLT|6RCR|78VULN|9CDMG|aZMB
