0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31136 21116	9	 * 	276.69	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56aVULN|79DMG|8RCR|9BPWR
139	53513 11114	6	   	250.94	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1RCVC|2AART|3DMG|46TLV|56aVULN|6BPWR|7DUR|8LHND|9RCR
140	53513 11314	6	   	250.94	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1RCVC|2AART|3DMG|46TLV|56aVULN|6BPWR|7DUR|8BEXP|9RCR
141	53512 43113	9	   	250.84	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1RCVC|2AART|3DMG|46TLV|5DUR|789VULN|aRCR
142	31136 21156	9	 * 	250.74	DCR|3VULN|1DMG|2CDMG|1DUR|1AART	1DUST|2DUR|3AART|49CDMG|56aVULN|7DMG|8RCR
143	13161 15512	8	   	250.15	DCR|3VULN|2DUR|1TLV|1AART	1RMIN|28LHND|3TLV|4AART|568VULN|78DUR|8BPWR|9RCR|aLIT
144	23152 23463	3	   	250.15	DCR|3VULN|2DUR|1TLV|1AART	1aLHND|2BEXP|3AART|45aVULN|6TLV|7RCR|8LIT|9aDUR|aBPWR
145	16312 41412	4	   	250.00	DCR|3VULN|2DMG|1DUR|1ASPD	1RMIN|239ZMB|49aVULN|5ASPD|6DUR|7RCR|89DMG|9BPWR
146	14523 11112	9	   	249.99	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1RMIN|29VULN|39ZMB|4aDUR|5CDMG|6AART|79DMG|8RCR|9BPWR
147	55123 21112	9	   	249.99	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1RCVC|29VULN|39LWND|4aDUR|5CDMG|6AART|79DMG|8RCR|9BPWR
148	14123 16263	6	   	249.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1RMIN|28VULN|3TLV|46DUR|5CDMG|7RCR|9ASPD|aDMG
149	31136 21111	10	   	249.79	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR|aLWND
150	31136 21111	9	   	249.79	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR|aLHND
151	31136 21112	10	   	249.79	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR|aRPLT
152	31136 21113	9	   	249.79	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR|aFEWX
153	31136 21115	9	   	249.79	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR|aZMB
154	31136 21116	10	   	249.79	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR|aCGEN
155	53153 22313	7	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1RCVC|2AART|345aVULN|6CGEN|7TLV|8RCR|9DUR
156	53121 33641	8	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1RCVC|2AART|389aVULN|4LHND|5TLV|6DUR|7RCR
157	53121 33641	10	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1RCVC|2AART|389aVULN|4LHND|5TLV|6DUR|7RCR
158	53121 33641	9	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1RCVC|2AART|389aVULN|4LHND|5TLV|6DUR|7RCR
159	31136 21113	10	   	249.69	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	19DUST|29DUR|3AART|4CDMG|56VULN|79DMG|8RCR|9BPWR|aERES
160	53153 32313	7	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1RCVC|2AART|345aVULN|6ERES|7TLV|8RCR|9DUR
161	21152 14334	3	   	249.56	DCR|2VULN|3DUR|2DMG|1AART	1aLHND|26aDUR|3AART|45VULN|7RCR|8BEXP|9aDMG|aBPWR
162	12235 51236	9	   	249.36	DCR|2VULN|3DUR|2DMG|1AART	1RMIN|23DLOT|479DUR|57DMG|67VULN|7BPWR|8AART|aRCR
163	55222 21112	9	   	249.32	DCR|2VULN|3DUR|2DMG|1AART|1SELL	1RCVC|29VULN|3SELL|4LWND|59aDUR|6AART|79DMG|8RCR|9BPWR
164	14126 12153	8	   	249.22	DCR|3VULN|3DUR|2TLV	1RMIN|278VULN|38TLV|457DUR|678CGEN|78BPWR|9RCR|aDUST
165	14126 52133	10	 * 	249.22	DCR|3VULN|3DUR|3TLV	1RMIN|278VULN|389TLV|457DUR|678MLV|78BPWR|aRCR
166	55123 11325	8	   	249.12	DCR|3VULN|3DUR|2CDMG	1RCVC|279VULN|3LWND|467DUR|57CDMG|7BPWR|8CGEN|aRCR
