0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23512 24511	1	 * 	283.37	DCR|3VULN|3DMG|1TLV|2CDMG|1AART	16aDMG|25aVULN|3TLV|46FEWX|6aBPWR|7RCR|8aCDMG|9AART
112	23533 82411	1	 * 	255.29	DCR|3VULN|2DMG|3TLV|1AART|1SELL	1aDMG|24aVULN|38aTLV|5MBVNT|6SELL|7RCR|9AART|aBPWR
113	26316 31314	6	   	255.22	DCR|2VULN|3DMG|3DUR	158DMG|2CGEN|38MLV|45VULN|58BPWR|6LIT|78aDUR|9RCR
114	21164 53211	7	 * 	255.16	DCR|2VULN|2DMG|2DUR|3ASPD|1CDMG	1aDMG|25aASPD|3RCVC|4CDMG|6RCR|78DUR|9aVULN|aBPWR
115	21164 53321	6	   	255.16	DCR|2VULN|2DMG|2DUR|3ASPD|1CDMG	1aDMG|25aASPD|3RCVC|4CDMG|6RCR|78VULN|9aDUR|aBPWR
116	23536 14321	1	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1DMG|2458VULN|3TLV|6LWND|7RCR|9BEXP|aCDMG
117	23413 13145	2	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1DMG|2BELT|3TLV|4689VULN|5RCVC|7CDMG|aRCR
118	23533 42781	1	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1DMG|2479VULN|3TLV|5MBVNT|6BEXP|8RCR|aCDMG
119	23533 75221	1	   	254.70	DCR|4VULN|1TLV|1DMG|1CDMG	1DMG|249aVULN|3TLV|5MBVNT|6CDMG|7TBNT|8RCR
120	21632 42311	3	   	254.67	DCR|3VULN|3DUR|1DMG	1DMG|2ASPD|378DUR|45aVULN|6LIT|9RCR
121	24212 31313	6	   	254.62	DCR|3DMG|1VULN|2TLV|2DUR	128DMG|3VULN|48TLV|5MLV|6LIT|78DUR|8BPWR|9RCR|aASPD
122	24212 35313	7	   	254.62	DCR|3DMG|1VULN|2TLV|2DUR	128DMG|3VULN|48TLV|5MLV|6LIT|78DUR|8BPWR|9RCR|aASPD
123	21631 16362	2	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1DMG|2ASPD|3LHND|478VULN|5AART|6TLV|9RCR|aDUR
124	24213 22214	6	   	254.29	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD	126DMG|3VULN|4TLV|56ASPD|6BPWR|7aDUR|8LIT|9RCR
125	24213 25214	7	   	254.29	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD	126DMG|3VULN|4TLV|56ASPD|6BPWR|7aDUR|8LIT|9RCR
126	24216 22122	4	   	254.28	DCR|3VULN|2DMG|2TLV	12DMG|356VULN|46TLV|6BPWR|7LWND|8RCR|9BEXP|aLIT
127	24216 22152	4	   	254.28	DCR|3VULN|2DMG|2TLV	12DMG|356VULN|46TLV|6BPWR|7LWND|8RCR|9LHND|aLIT
128	24216 23216	4	   	254.28	DCR|3VULN|2DMG|2TLV	12DMG|356VULN|46TLV|6BPWR|7ZMB|8LWND|9ASPD|aRCR
129	21535 34332	1	   	254.18	DCR|3VULN|2DMG|2TLV	16DMG|2BEXP|35TLV|48aVULN|7RCR|9LIT
130	24211 23132	7	   	254.18	DCR|3VULN|2DMG|2TLV	12DMG|37aVULN|46TLV|5BEXP|8RCR|9LIT
131	24211 23332	8	   	254.18	DCR|3VULN|2DMG|2TLV	12DMG|37aVULN|46TLV|5BEXP|8RCR|9LIT
132	24211 24332	6	   	254.18	DCR|3VULN|2DMG|2TLV	12DMG|38aVULN|46TLV|5BEXP|7RCR|9LIT
133	24215 43132	7	   	254.18	DCR|3VULN|2DMG|2TLV	12DMG|37aVULN|45TLV|6BEXP|8RCR|9LIT
134	24215 43332	8	   	254.18	DCR|3VULN|2DMG|2TLV	12DMG|37aVULN|45TLV|6BEXP|8RCR|9LIT
135	24216 23362	9	   	254.18	DCR|3VULN|2DMG|2TLV	12DMG|37aVULN|46TLV|5LWND|8RCR|9LIT
136	26316 21622	7	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	15DMG|2CGEN|3MLV|457VULN|5BPWR|6LWND|8RCR|9DUR|aTLV
137	24216 21431	4	   	254.08	DCR|3VULN|2DMG|2TLV	12DMG|356VULN|46TLV|6BPWR|7TBNT|8ERES|9LIT|aRCR
138	21532 34325	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|29BEXP|3TLV|458VULN|7RCR|aDUR
139	21532 34343	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|2BEXP|3TLV|458VULN|7RCR|9ZMB|aDUR
140	22532 34335	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|29LWND|3TLV|458VULN|7RCR|aDUR
141	22532 34343	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|2LHND|3TLV|458VULN|7RCR|9ZMB|aDUR
142	22532 34343	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|2LWND|3TLV|458VULN|7RCR|9ZMB|aDUR
143	23532 34343	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|248VULN|3TLV|5LHND|7RCR|9ZMB|aDUR
144	24232 41126	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	12DMG|379VULN|4LHND|5BEXP|6TLV|8RCR|aDUR
145	24312 41126	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	12DMG|3LHND|479VULN|5BEXP|6TLV|8RCR|aDUR
146	26316 43313	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	15DMG|2CGEN|3MLV|457VULN|5BPWR|6TLV|8RCR|9DUST|aDUR
147	23343 26121	1	   	253.96	DCR|2VULN|2DMG|1TLV|2ASPD|2LIT|1AART	17DMG|26VULN|37LIT|4AART|57ASPD|7BPWR|8RCR|9TLV|aCGEN
148	23343 26122	1	   	253.96	DCR|2VULN|2DMG|1TLV|2ASPD|2LIT|1AART	17DMG|26VULN|37LIT|4AART|57ASPD|7BPWR|8RCR|9TLV|aLWND
149	23343 26125	1	   	253.96	DCR|2VULN|2DMG|1TLV|2ASPD|2LIT|1AART	17DMG|26VULN|37LIT|4AART|57ASPD|7BPWR|8RCR|9TLV|aLHND
150	24216 51123	10	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	12DMG|379VULN|4TLV|5LWND|6DUST|8RCR|aDUR
151	23343 26123	1	   	253.86	DCR|2VULN|2DMG|1TLV|2ASPD|2LIT|1AART	17DMG|26VULN|37LIT|4AART|57ASPD|7BPWR|8RCR|9TLV|aDUST
152	23533 32783	1	   	253.84	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|249VULN|3TLV|5MBVNT|7DUR|8RCR|aBBNT
153	23533 32784	1	   	253.84	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|249VULN|3TLV|5MBVNT|7DUR|8RCR|aDUST
154	24125 51123	10	   	253.84	DCR|3VULN|2DMG|1TLV|1DUR	12DMG|3TLV|4LEGI|579VULN|6DUST|8RCR|aDUR
155	24122 62413	3	   	253.64	DCR|2VULN|3DMG|2TLV	128DMG|38TLV|4LIT|5LWND|6RMIN|78VULN|8BPWR|9RCR|aASPD
156	24216 62211	4	   	253.44	DCR|3VULN|3DMG|1TLV	129DMG|35aVULN|4TLV|6RPLT|7RCR|8LHND
157	23212 62461	1	 * 	253.44	DCR|3VULN|3DMG|3CDMG	19aDMG|25aVULN|3ZMB|4FEWX|68aCDMG|7RCR|aBPWR
158	23232 62461	1	   	253.44	DCR|3VULN|3DMG|3CDMG	19aDMG|24aVULN|3ZMB|5LHND|68aCDMG|7RCR|aBPWR
