0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24663 13223	6	 * 	281.10	DCR|4VULN|2DMG|2DUR|2AART	14AART|2DMSP|39DMG|569aVULN|79DUR|8RCR|9BPWR
97	23326 22421	8	   	251.79	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	1AART|2RPLT|3aFEWX|4aTLV|5DMG|6RCR|7CDMG|89aVULN|aBPWR
98	23426 22411	9	   	251.79	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	1AART|2RPLT|3aBEXP|4aTLV|5DMG|6RCR|7CDMG|89aVULN|aBPWR
99	23426 22421	8	   	251.79	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	1AART|2RPLT|3aBEXP|4aTLV|5DMG|6RCR|7CDMG|89aVULN|aBPWR
100	24124 26222	4	 * 	251.44	DCR|3VULN|3DUR|3ASPD|1AART	1AART|2DMSP|359ASPD|49aVULN|679DUR|8RCR|9BPWR
101	24136 16222	6	   	251.44	DCR|3VULN|3DUR|3ASPD|1AART	1AART|2DMSP|349ASPD|579DUR|69aVULN|8RCR|9BPWR
102	31334 43115	1	   	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1RPLT|29VULN|3ERES|49DMG|5LWND|6CDMG|7RCR|89TLV|9BPWR|aDUR
103	51425 31133	4	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	1RMIN|26DUR|3BEXP|4TLV|569VULN|6BPWR|7RCR|8LWND|aDMG
104	51525 31133	4	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	1RMIN|26DUR|3FEWX|4TLV|569VULN|6BPWR|7RCR|8LWND|aDMG
105	23644 21212	1	 * 	251.13	DCR|2VULN|2DMG|1TLV|2CDMG|1AART	1AART|2DMSP|35DMG|45CDMG|5BPWR|6aVULN|7LIT|8RCR|9TLV
106	32621 23563	1	 * 	251.12	DCR|2VULN|3DUR|2DMG|2CDMG	1RPLT|27DMG|37VULN|4LWND|58CDMG|679DUR|7BPWR|aRCR
