0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16343 13162	9	 * 	317.53	DCR|3VULN|3DMG|3DUR|2ASPD|1CDMG	19aDMG|29aVULN|36ASPD|4DMSP|5CDMG|79aDUR|8RCR|9aBPWR
32	16611 41313	8	   	292.65	DCR|4VULN|2DMG|1TLV|1DUR|2LIT	17DMG|2347VULN|57LIT|6RCR|7BPWR|8DUR|9TBNT|aTLV
33	16611 41313	7	   	292.65	DCR|4VULN|2DMG|1TLV|1DUR|2LIT	17DMG|2347VULN|57LIT|6RCR|7BPWR|8DUR|9TBNT|aTLV
34	16611 41112	10	   	292.51	DCR|4VULN|2DMG|3LIT|1DUR|1ASPD	17DMG|2347VULN|57aLIT|6RCR|7BPWR|8ASPD|9DUR
35	16211 41113	10	   	292.15	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9RMIN|aTLV
36	16211 41116	9	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9RMIN|aDUR
37	16211 41121	9	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9LWND|aDUR
38	16211 41122	10	   	292.15	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9LWND|aTLV
39	16211 41131	9	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9LHND|aDUR
40	16211 41132	10	   	292.15	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9LHND|aTLV
41	16211 41141	8	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9FEWX|aDUR
42	16211 41353	10	   	292.15	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|2479VULN|57LIT|6RCR|7BPWR|8ZMB|aTLV
43	16211 41421	7	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	137DMG|2479VULN|57LIT|6RCR|7BPWR|8LWND|aDUR
44	16611 41321	9	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	17aDMG|2347VULN|57LIT|6RCR|7BPWR|8DUR|9BELT
45	16211 41116	8	   	292.05	DCR|4VULN|3DMG|1DUR|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9ERES|aDUR
46	16211 41121	8	   	292.05	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9BBNT|aTLV
47	16211 41124	8	   	292.05	DCR|4VULN|3DMG|1DUR|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9BBNT|aDUR
48	16211 41161	9	   	292.05	DCR|4VULN|3DMG|1DUR|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9DUST|aDUR
49	16211 41162	10	   	292.05	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|2478VULN|57LIT|6RCR|7BPWR|9DUST|aTLV
50	16211 41334	7	   	292.05	DCR|4VULN|3DMG|1TLV|2LIT	137DMG|247aVULN|57LIT|6RCR|7BPWR|8TBNT|9TLV
51	16211 41621	8	   	292.05	DCR|4VULN|3DMG|1DUR|2LIT	137DMG|2479VULN|57LIT|6RCR|7BPWR|8DUST|aDUR
52	16212 26243	7	   	291.98	DCR|4VULN|3DMG|2DUR	138DMG|248aVULN|58aFEWX|6RCR|7LEGI|8aBPWR|9aDUR
53	16252 18243	7	   	291.98	DCR|4VULN|3DMG|2DUR	138DMG|278aVULN|48aBEXP|5MBVNT|6RCR|8aBPWR|9aDUR
54	23212 55243	7	   	291.98	DCR|4VULN|3DMG|2DUR	18aLWND|238DMG|468aVULN|5MBVNT|7RCR|8aBPWR|9aDUR
55	33212 18243	7	   	291.98	DCR|4VULN|3DMG|2DUR	18aFEWX|238DMG|478aVULN|5MBVNT|6RCR|8aBPWR|9aDUR
56	33212 55243	7	   	291.98	DCR|4VULN|3DMG|2DUR	18aFEWX|238DMG|468aVULN|5MBVNT|7RCR|8aBPWR|9aDUR
57	33652 18243	7	   	291.98	DCR|4VULN|3DMG|2DUR	18aFEWX|248DMG|378aVULN|5MBVNT|6RCR|8aBPWR|9aDUR
58	12351 42361	7	   	291.92	DCR|4VULN|3DMG|2ASPD	18aDMG|2aASPD|3BELT|4AART|567aVULN|9RCR|aBPWR
59	16213 26243	7	   	291.68	DCR|4VULN|3DMG|2DUR	138DMG|248aVULN|58aDUST|6RCR|7LEGI|8aBPWR|9aDUR
60	11213 55412	9	   	291.63	DCR|4VULN|3DMG|2DUR|1SELL	13aDMG|2aDUR|467aVULN|5SELL|8RCR|9RMIN|aBPWR
61	16214 13121	10	   	291.34	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|2458VULN|6DUR|7TLV|9RCR|aCDMG
62	16611 41332	8	   	291.16	DCR|4VULN|2DMG|3LIT|1DUR	17DMG|2347VULN|579LIT|6RCR|7BPWR|8DUR|aAART
63	16611 41332	7	   	291.16	DCR|4VULN|2DMG|3LIT|1DUR	17DMG|2347VULN|579LIT|6RCR|7BPWR|8DUR|aAART
64	16611 41332	10	   	291.08	DCR|4VULN|2DMG|2DUR|2LIT	17DMG|2347VULN|57LIT|6RCR|7BPWR|8aDUR|9LHND
65	16214 12432	8	   	290.94	DCR|4VULN|3DMG|1DUR|1CDMG	13aDMG|245aVULN|6DUR|7CDMG|8RCR|9aZMB|aBPWR
66	16211 62133	4	   	290.74	DCR|4VULN|3DMG|1TLV|1CDMG	138DMG|2456VULN|7CDMG|9RCR|aTLV
67	16214 62133	5	   	290.74	DCR|4VULN|3DMG|1TLV|1CDMG	138DMG|2456VULN|7CDMG|9RCR|aTLV
68	16614 22133	6	   	290.74	DCR|4VULN|3DMG|1TLV|1CDMG	168DMG|2345VULN|7CDMG|9RCR|aTLV
69	16326 12243	7	   	290.65	DCR|3VULN|3DMG|2DUR|2ASPD	178DMG|28aVULN|3aASPD|4ZMB|58BEXP|6RCR|8aBPWR|9aDUR
70	16611 41323	9	   	290.15	DCR|4VULN|2DMG|1DUR|2LIT|1CDMG	17DMG|2347VULN|57LIT|6RCR|7BPWR|8DUR|9BELT|aCDMG
71	16211 41113	9	   	289.55	DCR|4VULN|3DMG|2LIT|1CDMG	137DMG|2478VULN|57LIT|6RCR|7BPWR|9RMIN|aCDMG
72	16211 41343	8	   	289.55	DCR|4VULN|3DMG|2LIT|1CDMG	137DMG|2479VULN|57LIT|6RCR|7BPWR|8ZMB|aCDMG
73	16211 41353	9	   	289.55	DCR|4VULN|3DMG|2LIT|1CDMG	137DMG|2479VULN|57LIT|6RCR|7BPWR|8ZMB|aCDMG
74	16211 41113	8	   	289.45	DCR|4VULN|3DMG|2LIT|1CDMG	137DMG|2478VULN|57LIT|6RCR|7BPWR|9ERES|aCDMG
75	16221 24242	8	   	289.20	DCR|3VULN|3DMG|2DUR|2CDMG	13aDMG|29aVULN|45DUR|6RCR|7ZMB|8aCDMG|aBPWR
76	16221 24412	7	   	289.20	DCR|3VULN|3DMG|2DUR|2CDMG	13aDMG|28aVULN|45DUR|6RCR|7ZMB|9aCDMG|aBPWR
77	16214 12412	9	   	289.20	DCR|3VULN|3DMG|2DUR|2CDMG	13aDMG|245VULN|6aDUR|7aCDMG|8RCR|9RMIN|aBPWR
78	16621 26233	7	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	18DMG|238VULN|458DUR|6RCR|7LEGI|8BPWR|9LIT|aCDMG
79	16343 13142	8	   	288.45	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	1aDMG|29aVULN|36ASPD|4DMSP|5CDMG|7aDUR|8RCR|aBPWR
80	16211 41221	9	   	287.57	DCR|3VULN|3DMG|2LIT|1CDMG|1ASPD	137DMG|247VULN|57LIT|6RCR|7BPWR|8AART|9CDMG|aASPD
81	16211 41222	10	   	287.57	DCR|3VULN|3DMG|2LIT|1CDMG|1ASPD	137DMG|247VULN|57LIT|6RCR|7BPWR|8AART|9CDMG|aASPD
