0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21361 64238	9	 * 	296.21	DCR|3VULN|3DUR|3ASPD|2CDMG|1TLV	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aTLV
27	21361 64237	9	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aLHND
28	21361 64242	9	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9BEXP|aRCR
29	21361 64282	8	   	279.96	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9FEWX|aRCR
30	21361 64231	9	   	279.86	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aBBNT
31	21361 64233	10	   	279.86	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aDUST
32	21361 64238	10	   	279.86	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9RCR|aLEGI
33	21361 64242	8	   	279.86	DCR|3VULN|3DUR|3ASPD|2CDMG	157ASPD|28CDMG|378VULN|478DUR|6MBVNT|78BPWR|9LEGI|aRCR
34	25512 53233	9	 * 	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	18ASPD|2BEXP|3789VULN|4RPLT|58DUR|6RCR|8BPWR|aDMG
35	11512 53234	9	 * 	278.18	DCR|5VULN|2DUR|1DMG	18FEWX|2DMG|3789aVULN|4RPLT|58DUR|6RCR|8BPWR
36	31512 53234	9	   	278.18	DCR|5VULN|2DUR|1DMG	18BEXP|2DMG|3789aVULN|4RPLT|58DUR|6RCR|8BPWR
37	21361 64115	7	   	276.47	DCR|3VULN|3ASPD|2DUR|1TLV|1CDMG	157ASPD|2CDMG|379VULN|47DUR|6MBVNT|7BPWR|8TLV|aRCR
38	11512 53233	9	 * 	276.22	DCR|4VULN|2DMG|2DUR	18FEWX|2aDMG|3789VULN|4RPLT|58DUR|6RCR|8BPWR
39	31512 53233	9	   	276.22	DCR|4VULN|2DMG|2DUR	18BEXP|2aDMG|3789VULN|4RPLT|58DUR|6RCR|8BPWR
40	21331 24335	2	 * 	275.06	DCR|2VULN|3DMG|3CDMG|2ASPD|1TLV	1aASPD|245CDMG|34aDMG|4aBPWR|6BEXP|7TLV|8RCR|9aVULN
41	21331 33442	9	 * 	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	1aASPD|2CDMG|35aVULN|4RMIN|6ERES|7RCR|8TLV|9aDMG|aBPWR
42	11512 53236	10	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	18FEWX|2DMG|3789VULN|4RPLT|58DUR|6RCR|8BPWR|aCDMG
43	31512 53236	10	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	18BEXP|2DMG|3789VULN|4RPLT|58DUR|6RCR|8BPWR|aCDMG
44	21316 12256	10	   	271.96	DCR|3VULN|2DUR|2ASPD|2CDMG|2LIT	19ASPD|29CDMG|378VULN|45LIT|69DUR|9BPWR|aRCR
45	11512 53235	10	 * 	271.86	DCR|4VULN|3DUR|1DMG	18FEWX|2DMG|3789VULN|4RPLT|58aDUR|6RCR|8BPWR
46	31512 53235	10	   	271.86	DCR|4VULN|3DUR|1DMG	18BEXP|2DMG|3789VULN|4RPLT|58aDUR|6RCR|8BPWR
47	11512 53225	9	   	271.86	DCR|4VULN|3DUR|1DMG	18FEWX|2DMG|378aVULN|4RPLT|589DUR|6RCR|8BPWR
48	31512 53225	9	   	271.86	DCR|4VULN|3DUR|1DMG	18BEXP|2DMG|378aVULN|4RPLT|589DUR|6RCR|8BPWR
49	62531 35211	1	 * 	271.42	DCR|4VULN|3DUR|3LIT|1SELL	1SELL|29aDUR|39aLIT|4DUST|5ERES|689aVULN|7RCR|9aBPWR
50	21363 11661	9	 * 	271.33	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR|1ASPD	1ASPD|2aCDMG|39VULN|4DUR|5aTLV|6LIT|7aDMG|8RCR|aBPWR
51	21315 42216	10	   	270.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|378VULN|4LIT|5DMG|6TLV|9DUR|aRCR
52	21361 13151	10	   	269.98	DCR|3VULN|3ASPD|2DUR|1CDMG	158ASPD|2CDMG|389VULN|48DUR|6RPLT|7RCR|8BPWR|aAART
53	15353 42331	7	   	269.95	DCR|4VULN|2DMG|1DUR	18FEWX|2348VULN|5LIT|6LHND|78DMG|8BPWR|9DUR|aRCR
54	61332 21611	8	 * 	269.23	DCR|3VULN|3DMG|3LIT|1ASPD|1SELL	1SELL|29aVULN|3CGEN|49aDMG|5LWND|6ASPD|79aLIT|8RCR|9aBPWR
55	61315 31611	8	 * 	269.13	DCR|3VULN|3DMG|3LIT|1ASPD|1SELL	1SELL|29aVULN|3CGEN|49aLIT|5ASPD|6DUST|79aDMG|8RCR|9aBPWR
56	21361 64415	7	   	268.52	DCR|3VULN|2DUR|3ASPD|1CDMG	157ASPD|2CDMG|379VULN|47DUR|6MBVNT|7BPWR|8LIT|aRCR
57	11512 53216	9	   	268.30	DCR|4VULN|2DUR|1DMG	18FEWX|2DMG|378aVULN|4RPLT|58DUR|6RCR|8BPWR|9AART
58	31512 53216	9	   	268.30	DCR|4VULN|2DUR|1DMG	18BEXP|2DMG|378aVULN|4RPLT|58DUR|6RCR|8BPWR|9AART
59	61331 41161	5	   	268.27	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1SELL|25aVULN|3CGEN|4aDMG|6DUR|7LIT|8RCR|9aASPD|aBPWR
60	22255 32223	10	 * 	268.25	DCR|5VULN|2ASPD|2TLV	1aASPD|27ERES|3456aVULN|8aTLV|9RCR|aBPWR
61	21315 25611	8	 * 	267.91	DCR|3DMG|3DUR|1VULN|3CDMG|1ASPD	1ASPD|29aCDMG|3VULN|4LIT|59aDMG|6CGEN|79aDUR|8RCR|9aBPWR
62	21325 53142	10	 * 	267.85	DCR|4VULN|3ASPD|2CDMG|1SELL	179ASPD|29CDMG|359aVULN|4SELL|6AART|8RCR|9BPWR
63	11553 31431	7	   	267.37	DCR|3VULN|2DMG|2CDMG|1TLV	1aFEWX|25DMG|35aVULN|4RMIN|5aBPWR|6TLV|7RCR|8LIT|9aCDMG
64	21322 44631	6	   	266.93	DCR|3VULN|2DMG|2ASPD|1CDMG|1NUKE|1SELL	18ASPD|2CDMG|38aVULN|4SELL|5NUKE|6RCR|78DMG|8BPWR|9AART
65	11512 53226	10	   	266.81	DCR|3VULN|3DUR|2DMG	18FEWX|2aDMG|378VULN|4RPLT|589DUR|6RCR|8BPWR
66	21361 13152	10	   	266.63	DCR|3VULN|3ASPD|2DUR|2CDMG	158ASPD|2aCDMG|389VULN|48DUR|6RPLT|7RCR|8BPWR
67	63316 16321	1	   	266.57	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|2RPLT|3BELT|45aDUR|6aDMG|7RCR|89aVULN|aBPWR
68	21144 31421	1	   	266.56	DCR|2VULN|3DMG|3DUR|1ASPD	1ASPD|245DUR|345DMG|45BPWR|6BELT|7aVULN|8RCR|9RPLT
69	21144 31162	1	   	266.56	DCR|2VULN|3DMG|3DUR|1ASPD	1ASPD|245DUR|345DMG|45BPWR|69BELT|78VULN|aRCR
70	62115 14813	1	   	266.37	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|278DUR|3MBVNT|48DMG|58aVULN|6RCR|8BPWR|9TBNT
