0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66312 23143	9	 * 	281.27	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	1FEWX|269VULN|3LIT|4CDMG|59TLV|7DMG|89DUR|9BPWR|aRCR
27	21314 36531	4	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ZMB|2CDMG|3aDUR|4TLV|59DMG|68VULN|7RCR
28	22243 36531	2	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ZMB|2TLV|39DMG|4CDMG|5aDUR|68VULN|7RCR
29	43233 36531	1	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|29DMG|3TLV|4ZMB|5aDUR|68VULN|7RCR
30	36243 36322	10	 * 	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1DUST|2359VULN|4DUR|6TLV|7MLV|8RCR|aDMG
31	21115 25114	10	   	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	1ZMB|2aCDMG|3ASPD|4DUST|5aTLV|6DMG|7RCR|89aVULN|aBPWR
32	21362 35114	10	 * 	256.31	DCR|3VULN|2DMG|2CDMG|1DUR	1ZMB|2aCDMG|3DUR|4ASPD|5aDMG|6MLV|7RCR|89aVULN|aBPWR
33	23511 34724	2	   	255.85	DCR|3VULN|3DUR|2DMG	148ZMB|245DUR|3MBVNT|48BPWR|68DMG|789VULN|aRCR
34	66243 33223	9	 * 	255.78	DCR|5VULN|1TLV|1DUR	1FEWX|23579VULN|4DUR|6TLV|8CGEN|aRCR
35	66243 32221	9	   	255.78	DCR|5VULN|1TLV|1DUR	1FEWX|2359aVULN|4DUR|6TLV|7ZMB|8RCR
36	36243 32221	9	   	255.68	DCR|5VULN|1TLV|1DUR	1DUST|2359aVULN|4DUR|6TLV|7ZMB|8RCR
37	36243 36321	9	   	255.68	DCR|5VULN|1TLV|1DUR	1DUST|2359aVULN|4DUR|6TLV|7MLV|8RCR
38	36243 33223	9	   	255.68	DCR|5VULN|1TLV|1DUR	1DUST|23579VULN|4DUR|6TLV|8CGEN|aRCR
39	66243 33123	9	   	255.68	DCR|5VULN|1TLV|1DUR|1NUKE	1FEWX|23579VULN|4DUR|6TLV|8NUKE|aRCR
40	32233 23423	9	   	255.58	DCR|5VULN|1TLV|1DUR	1DUST|2ERES|3DUR|45679VULN|8TLV|aRCR
41	36243 23423	9	   	255.58	DCR|5VULN|1TLV|1DUR	1DUST|23579VULN|4DUR|6ERES|8TLV|aRCR
42	36243 33123	9	   	255.58	DCR|5VULN|1TLV|1DUR|1NUKE	1DUST|23579VULN|4DUR|6TLV|8NUKE|aRCR
43	13111 61353	3	   	255.52	DCR|3VULN|2TLV|2DUR|1SELL	1SELL|28TLV|3ASPD|489VULN|5DUST|6LIT|78DUR|8BPWR|aRCR
44	14111 61353	2	   	255.52	DCR|3VULN|2TLV|2DUR|1SELL	1SELL|289VULN|3ASPD|48TLV|5DUST|6LIT|78DUR|8BPWR|aRCR
45	14613 21143	9	   	255.52	DCR|3VULN|2TLV|2DUR|1SELL	1SELL|239VULN|39BPWR|4DUST|59TLV|6ASPD|7LIT|89DUR|aRCR
46	14211 61353	1	   	255.28	DCR|3VULN|2DUR|1TLV|2ASPD|1SELL	1SELL|28ASPD|3TLV|489VULN|5DUST|6LIT|78DUR|8BPWR|aRCR
47	14613 23532	8	   	255.06	DCR|3VULN|2TLV|2DUR|2ASPD|1SELL	1SELL|237VULN|37BPWR|4DUST|57TLV|67ASPD|89DUR|aRCR
48	36312 25622	6	   	254.73	DCR|3VULN|2TLV|1DUR|1CDMG	17DUST|267VULN|3LIT|4CDMG|57TLV|7BPWR|8DUR|9RCR|aASPD
49	14232 26143	9	   	253.99	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	1SELL|269VULN|3DUST|49LIT|5TLV|7ASPD|89DUR|9BPWR|aRCR
50	14232 51353	6	   	253.99	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	1SELL|289VULN|3DUST|48LIT|5TLV|6ASPD|78DUR|8BPWR|aRCR
51	14232 52143	9	   	253.99	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	1SELL|279VULN|3DUST|49LIT|5TLV|6ASPD|89DUR|9BPWR|aRCR
52	42231 11451	5	 * 	253.86	DCR|3VULN|3DUR|3CDMG|1AART	159CDMG|2LWND|3AART|49aDUR|679VULN|8RCR|9BPWR
53	15412 26132	7	   	253.80	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1SELL|2RMIN|378VULN|4TLV|58DMG|68ERES|8BPWR|9DUR|aRCR
54	13532 43431	6	 * 	253.76	DCR|3VULN|3TLV|2DUR|2LIT|1SELL	1SELL|258TLV|34DUR|68LIT|78aVULN|8BPWR|9RCR
55	36312 25623	6	   	252.97	DCR|3VULN|2TLV|1DUR|2LIT|1CDMG	17DUST|267VULN|3aLIT|4CDMG|57TLV|7BPWR|8DUR|9RCR
56	21313 11356	6	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1ZMB|2CDMG|37DUR|4TLV|59aVULN|6LIT|8RCR
57	21313 61356	5	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1ZMB|2CDMG|37DUR|4TLV|59aVULN|6LIT|8RCR
58	41413 11353	6	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|28DUST|3ZMB|4TLV|589VULN|6LIT|78DUR|8BPWR|aRCR
59	41413 12143	9	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|29DUST|3ZMB|4TLV|579VULN|6LIT|89DUR|9BPWR|aRCR
60	23241 41351	10	   	252.51	DCR|3VULN|3DUR|1TLV	1ZMB|235DUR|4TLV|6RCR|789VULN|aASPD
61	23241 41352	9	   	252.51	DCR|3VULN|3DUR|1TLV	1ZMB|235DUR|4TLV|6RCR|789VULN|aASPD
62	14232 21164	7	   	252.50	DCR|3VULN|2DMG|1TLV|2LIT|1SELL	1SELL|26aVULN|3DUST|4aLIT|5TLV|7FEWX|8RCR|9aDMG|aBPWR
63	14232 22164	7	   	252.50	DCR|3VULN|2DMG|1TLV|2LIT|1SELL	1SELL|26aVULN|3DUST|4aLIT|5TLV|7LHND|8RCR|9aDMG|aBPWR
64	23241 51363	7	 * 	252.38	DCR|3VULN|3DUR|2TLV	18ZMB|235DUR|48TLV|678VULN|8BPWR|9DUST|aRCR
65	23241 53363	6	   	252.38	DCR|3VULN|3DUR|2TLV	18ZMB|235DUR|48TLV|678VULN|8BPWR|9DUST|aRCR
66	23251 13363	4	   	252.38	DCR|3VULN|3DUR|2TLV	18ZMB|235DUR|478VULN|68TLV|8BPWR|9DUST|aRCR
67	23255 13363	5	   	252.38	DCR|3VULN|3DUR|2TLV	18ZMB|235DUR|478VULN|68TLV|8BPWR|9DUST|aRCR
68	13534 23163	4	   	252.36	DCR|3VULN|3DUR|1TLV|1SELL	1SELL|2TLV|346DUR|567VULN|6BPWR|8LHND|9RCR|aLIT
69	13413 21156	2	   	252.03	DCR|3VULN|3DUR|2TLV|1SELL	1SELL|24TLV|36aVULN|569DUR|6BPWR|7BBNT|8RCR
70	66241 32221	9	 * 	252.02	DCR|4VULN|2DUR|1TLV	1FEWX|239aVULN|45DUR|6TLV|7ZMB|8RCR
71	13114 12531	3	   	251.99	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1SELL|2TLV|3ASPD|48VULN|59DMG|6RCR|7aDUR
72	13154 12531	3	   	251.99	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1SELL|2TLV|3ASPD|49DMG|58VULN|6RCR|7aDUR
73	14114 12531	2	   	251.99	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1SELL|28VULN|3ASPD|4TLV|59DMG|6RCR|7aDUR
74	14214 12531	1	   	251.99	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1SELL|2ASPD|3TLV|48VULN|59DMG|6RCR|7aDUR
75	36243 36321	10	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|2359VULN|4aDUR|6TLV|7MLV|8RCR
76	36241 32221	9	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|239aVULN|45DUR|6TLV|7ZMB|8RCR
77	36241 36321	9	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|239aVULN|45DUR|6TLV|7MLV|8RCR
78	36241 33523	10	   	251.92	DCR|4VULN|2DUR|1TLV	1DUST|2379VULN|45DUR|6TLV|8BEXP|aRCR
79	21412 21434	2	   	251.54	DCR|3VULN|2DMG|1TLV|1CDMG	1aZMB|2CDMG|36aVULN|4TLV|5CGEN|7TBNT|8RCR|9aDMG|aBPWR
80	21323 16354	4	   	251.41	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	1ZMB|28CDMG|3DUR|4LWND|589VULN|6TLV|78LIT|8BPWR|aRCR
81	36312 22356	6	   	251.35	DCR|4VULN|1TLV|1CDMG	1DUST|269aVULN|3LIT|4CDMG|5TLV|7ASPD|8RCR
82	44134 42153	9	   	251.31	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	19CDMG|29LIT|3RMIN|4MBVNT|5TLV|6DUR|789VULN|9BPWR|aRCR
83	44134 42343	7	   	251.31	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	18CDMG|28LIT|3RMIN|4MBVNT|5TLV|6DUR|789VULN|8BPWR|aRCR
84	43263 14131	1	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|29DMG|3TLV|4ASPD|5DUR|6RCR|7CGEN|8aVULN
