0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52412 24233	2	 * 	285.30	DCR|4VULN|3DUR|2DMG	17LHND|2479VULN|348DUR|47BPWR|5ASPD|67DMG|aRCR
114	13426 61233	5	   	257.84	ACR|3VULN|3DUR|2DMG|2TLV	18TLV|268DUR|3RCR|4BEXP|5aDMG|789VULN|8BPWR
115	13435 31233	5	   	257.84	ACR|3VULN|3DUR|2DMG|2TLV	18TLV|248DUR|3RCR|5aDMG|6FEWX|789VULN|8BPWR
116	13435 61233	6	   	257.84	ACR|3VULN|3DUR|2DMG|2TLV	18TLV|248DUR|3RCR|5aDMG|6FEWX|789VULN|8BPWR
117	21632 31264	1	   	257.82	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1CGEN|2aDMG|3TLV|4RMIN|5ASPD|6aVULN|7RCR|8DUR|9aCDMG|aBPWR
118	13342 11366	1	   	257.82	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1TLV|2aVULN|3ASPD|4LHND|5aDMG|6DMSP|7RCR|8DUR|9aCDMG|aBPWR
119	13342 21366	1	   	257.82	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1TLV|2aVULN|3ASPD|46LHND|5aDMG|7RCR|8DUR|9aCDMG|aBPWR
120	11151 56323	1	 * 	257.75	DCR|3VULN|2DMG|1TLV|2CDMG	1TLV|2aDMG|345VULN|69CDMG|7RCVC|8RCR
121	13435 11233	6	   	257.74	ACR|3VULN|3DUR|2DMG|2TLV	18TLV|248DUR|3RCR|5aDMG|6DUST|789VULN|8BPWR
122	13313 21366	1	   	257.62	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1TLV|2aVULN|3ASPD|46DMG|5aDUST|7RCR|8DUR|9aCDMG|aBPWR
123	15313 21366	2	   	257.62	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1TLV|2aVULN|3ASPD|46DMG|5aDUST|7RCR|8DUR|9aCDMG|aBPWR
124	11114 51326	1	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|24DMG|39VULN|58DUR|6ZMB|7RCR|aCDMG
125	11114 63231	1	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	1TLV|24DMG|39VULN|578DUR|6LWND|aRCR
126	11132 63321	1	   	256.61	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|2DMG|36VULN|48DUR|5ASPD|7CDMG|9LIT|aRCR
127	15542 12212	8	   	256.58	DCR|3VULN|2TLV|2DUR|2AART	19TLV|249VULN|37AART|5RMIN|6RCR|89DUR|9BPWR|aERES
128	16211 11361	3	   	256.32	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|2ERES|34CDMG|57aVULN|6DUR|8RCR|9DMG
129	16212 21361	3	   	256.32	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|2ERES|34CDMG|5DUR|67aVULN|8RCR|9DMG
130	12131 51312	2	   	256.16	DCR|2VULN|3DUR|2TLV|1DMG	19TLV|2ASPD|39VULN|458DUR|69ZMB|7RCR|9BPWR|aDMG
131	13431 51312	2	   	256.16	DCR|2VULN|3DUR|2TLV|1DMG	19TLV|248DUR|3ASPD|59VULN|69ZMB|7RCR|9BPWR|aDMG
132	13451 51312	2	   	256.16	DCR|2VULN|3DUR|2TLV|1DMG	19TLV|258DUR|3ASPD|49VULN|69ZMB|7RCR|9BPWR|aDMG
133	11131 51315	1	   	256.16	DCR|2VULN|3DUR|2TLV|1DMG	19TLV|2DMG|39VULN|458DUR|69ZMB|7RCR|9BPWR|aLIT
134	11132 61316	1	   	256.14	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD|1CDMG	1TLV|2DMG|36VULN|48DUR|59ASPD|7RCR|aCDMG
135	12312 31366	6	 * 	256.05	DCR|2VULN|2TLV|1DMG|2CDMG|2ASPD|1DUR	15TLV|2aASPD|3DUST|4DMG|6aVULN|7RCR|8DUR|9aCDMG|aBPWR
136	12312 61366	5	   	256.05	DCR|2VULN|2TLV|1DMG|2CDMG|2ASPD|1DUR	15TLV|2aASPD|3DUST|4DMG|6aVULN|7RCR|8DUR|9aCDMG|aBPWR
137	34362 23511	5	   	255.75	DCR|3VULN|3DUR|2DMG	1RMIN|28DMG|3DUST|4BELT|568VULN|789DUR|8BPWR|aRCR
138	34362 23511	6	   	255.75	DCR|3VULN|3DUR|2DMG	1RMIN|28DMG|3DUST|4BELT|568VULN|789DUR|8BPWR|aRCR
139	13232 36216	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1aTLV|27aVULN|3AART|4BEXP|5FEWX|6aDMG|8RCR|9RMIN|aBPWR
140	13232 36261	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5aFEWX|69DMG|8RCR|9BPWR
141	13232 36262	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5FEWX|69DMG|8RCR|9BPWR|aLWND
142	13232 36264	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5FEWX|69DMG|8RCR|9BPWR|aRCVC
143	13241 36216	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1aTLV|27aVULN|3AART|4FEWX|5BEXP|6aDMG|8RCR|9RMIN|aBPWR
144	13241 36261	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4aFEWX|5BEXP|69DMG|8RCR|9BPWR
145	13241 36262	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4FEWX|5BEXP|69DMG|8RCR|9BPWR|aLWND
146	13561 33261	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3LHND|4AART|5BEXP|69DMG|8RCR|9BPWR|aFEWX
147	13561 33263	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3aLHND|4AART|5BEXP|69DMG|8RCR|9BPWR
148	15122 33261	4	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3LHND|4BEXP|5AART|69DMG|8RCR|9BPWR|aFEWX
149	15122 33263	4	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3aLHND|4BEXP|5AART|69DMG|8RCR|9BPWR
150	15122 33264	4	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3LHND|4BEXP|5AART|69DMG|8RCR|9BPWR|aRCVC
151	15161 33261	3	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3LHND|4AART|5BEXP|69DMG|8RCR|9BPWR|aFEWX
152	15161 33263	3	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3aLHND|4AART|5BEXP|69DMG|8RCR|9BPWR
153	15232 36216	2	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1aTLV|27aVULN|3AART|4BEXP|5FEWX|6aDMG|8RCR|9RMIN|aBPWR
154	15232 36261	2	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5aFEWX|69DMG|8RCR|9BPWR
155	15232 36262	2	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5FEWX|69DMG|8RCR|9BPWR|aLWND
156	15512 33216	5	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1aTLV|27aVULN|3AART|4BEXP|5LWND|6aDMG|8RCR|9RMIN|aBPWR
157	15512 33261	5	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5LWND|69DMG|8RCR|9BPWR|aFEWX
158	15512 33263	5	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3AART|4BEXP|5LWND|69DMG|8RCR|9BPWR|aLHND
159	15531 35222	5	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	17TLV|27aVULN|3AART|4RCVC|5DMSP|67DMG|7BPWR|8RCR|9ZMB
160	15612 33216	4	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1aTLV|27aVULN|3BEXP|4LWND|5AART|6aDMG|8RCR|9RMIN|aBPWR
161	15612 33261	4	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|279VULN|3BEXP|4LWND|5AART|69DMG|8RCR|9BPWR|aFEWX
