0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12344 43112	1	 * 	273.64	DCR|2VULN|3DUR|2DMG|2TLV	16TLV|248DUR|34DMG|4BPWR|5LIT|7RCR|9aVULN
69	16314 11522	1	 * 	248.25	DCR|3VULN|2TLV|3LIT|1DMG	16TLV|245LIT|345VULN|45BPWR|7ERES|8RCR|9DMG|aDMSP
70	16314 11521	1	   	248.15	DCR|3VULN|2TLV|3LIT|1DMG	16TLV|245LIT|345VULN|45BPWR|7ERES|8RCR|9DMG|aBBNT
71	16314 11523	1	   	248.15	DCR|3VULN|2TLV|3LIT|1DMG	16TLV|245LIT|345VULN|45BPWR|7aERES|8RCR|9DMG
72	12232 12366	2	   	247.65	DCR|2VULN|3DUR|2TLV|1DMG	19TLV|2RMIN|3DMG|458DUR|67VULN|aRCR
73	15262 53332	7	   	247.56	DCR|3VULN|2TLV|2DUR	19TLV|29LWND|3ASPD|47DUR|589VULN|6RCR|9BPWR|aFEWX
74	15262 53333	7	   	247.56	DCR|3VULN|2TLV|2DUR	19TLV|29LWND|3ASPD|47DUR|589VULN|6RCR|9BPWR|aRPLT
75	15262 53331	7	   	247.46	DCR|3VULN|2TLV|2DUR	19TLV|29LWND|3ASPD|47DUR|589VULN|6RCR|9BPWR|aTBNT
76	12422 61232	1	   	247.31	DCR|3VULN|2TLV|2DUR|1SELL	1aTLV|2aDUR|3LIT|4RCVC|5FEWX|67aVULN|8RCR|9SELL|aBPWR
77	12411 61123	10	   	247.29	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1aTLV|2RMIN|3aVULN|4RPLT|5DUR|6CGEN|7RCR|8AART|9aDMG|aBPWR
78	21154 17324	2	 * 	247.06	DCR|3VULN|3DMG|2CDMG|1SELL	1SELL|2RMIN|3MBVNT|48CDMG|589DMG|68aVULN|7RCR|8BPWR
79	12111 54126	3	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1TLV|2RMIN|3AART|469aVULN|5DUR|7RCR|8BBNT
80	12111 54326	3	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1TLV|2RMIN|3AART|469aVULN|5DUR|7RCR|8TBNT
81	46232 12362	1	 * 	246.71	DCR|2VULN|3DMG|3DUR	1RCVC|248DUR|356DMG|78VULN|8BPWR|9RCR|aCGEN
82	46232 12363	1	   	246.71	DCR|2VULN|3DMG|3DUR	1aRCVC|248DUR|356DMG|78VULN|8BPWR|9RCR
83	46232 12361	1	   	246.61	DCR|2VULN|3DMG|3DUR	1RCVC|248DUR|356DMG|78VULN|8BPWR|9RCR|aBBNT
84	13442 53132	9	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|2FEWX|3LWND|4DMG|589VULN|6RCR|7DUR|aAART
85	13443 51132	9	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|2FEWX|3LWND|4DMG|5DUR|6RCR|789VULN|aAART
86	15342 53132	9	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|2LWND|3FEWX|4DMG|589VULN|6RCR|7DUR|aAART
87	15343 51132	9	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|2LWND|3FEWX|4DMG|5DUR|6RCR|789VULN|aAART
88	42152 22431	1	   	246.10	DCR|3VULN|2DMG|1TLV	1RCVC|23aVULN|3BPWR|4CGEN|5TLV|6LIT|78DMG|9RCR
89	12111 54253	3	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|2RMIN|3AART|46aVULN|5DUR|7RCR|8ERES|9DMG
90	15142 51322	7	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|2LWND|3DUST|4DMG|578VULN|6RCR|9DUR|aAART
91	15142 53132	9	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|2LWND|3DUST|4DMG|589VULN|6RCR|7DUR|aAART
92	15143 51132	9	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1TLV|2LWND|3DUST|4DMG|5DUR|6RCR|789VULN|aAART
93	42231 62382	2	 * 	245.98	DCR|4VULN|2DUR|1DMG	1RCVC|28FEWX|3DMG|48DUR|5MBVNT|6789VULN|8BPWR|aRCR
94	13142 51232	10	 * 	245.97	DCR|3VULN|2DMG|2TLV	19TLV|289FEWX|3DUST|4aDMG|579VULN|6RCR|9BPWR
95	45321 21831	10	   	245.97	DCR|3VULN|2DMG|2TLV	1RCVC|25aVULN|3aTLV|4LWND|6MBVNT|7LHND|8RCR|9aDMG|aBPWR
96	16361 23162	1	   	245.93	DCR|2VULN|2DMG|2TLV|1DUR	19TLV|2LIT|39VULN|4DUR|5BELT|6LHND|7RMIN|89DMG|9BPWR|aRCR
97	12432 46332	8	   	245.75	DCR|4VULN|1TLV|1DUR	1TLV|2RMIN|359aVULN|4LWND|6LIT|7DUR|8RCR
98	55251 32222	6	   	245.73	DCR|2VULN|2DMG|2TLV|1DUR	1LHND|2ASPD|38DMG|46TLV|57VULN|9DUR|aRCR
99	12451 31162	8	   	245.72	DCR|4VULN|2TLV|1DUR	1aTLV|2RMIN|358aVULN|4MLV|6DUR|7aLHND|9RCR|aBPWR
100	12344 33326	1	   	245.69	DCR|1VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1TLV|24DUR|34DMG|4BPWR|5LIT|6RCR|7ERES|8CDMG|9VULN|aAART
101	15262 51312	7	   	245.65	DCR|4VULN|1TLV|1DUR	1TLV|2LWND|3ASPD|4DUR|578aVULN|6RCR|9BBNT
102	16352 74444	1	   	245.65	DCR|4VULN|1TLV|1DUR	1TLV|2LIT|3689VULN|4MBVNT|5LWND|7RCR|aDUR
103	16354 74444	1	   	245.65	DCR|4VULN|1TLV|1DUR	1TLV|2LIT|3689VULN|4MBVNT|5BEXP|7RCR|aDUR
104	16363 61232	1	   	245.65	DCR|4VULN|1TLV|1DUR	1TLV|2LIT|367aVULN|4DUR|5DUST|8RCR|9CGEN
105	16333 51131	10	   	245.62	DCR|4VULN|2TLV|1DUR	1aTLV|2DUST|3aZMB|4LWND|5DUR|6RCR|789aVULN|aBPWR
106	16433 51131	10	   	245.62	DCR|4VULN|2TLV|1DUR	1aTLV|2DUST|3aLWND|4ZMB|5DUR|6RCR|789aVULN|aBPWR
107	11133 51131	10	   	245.52	DCR|4VULN|2TLV|1DUR	1aTLV|2LHND|3aDUST|4ZMB|5DUR|6RCR|789aVULN|aBPWR
108	13133 51131	10	   	245.52	DCR|4VULN|2TLV|1DUR	1aTLV|2FEWX|3aDUST|4ZMB|5DUR|6RCR|789aVULN|aBPWR
109	15133 51131	10	   	245.52	DCR|4VULN|2TLV|1DUR	1aTLV|2LWND|3aDUST|4ZMB|5DUR|6RCR|789aVULN|aBPWR
110	55251 22222	6	   	245.50	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	1LHND|26ASPD|38DMG|4TLV|57VULN|9DUR|aRCR
111	16533 51131	10	   	245.42	DCR|4VULN|2TLV|1DUR	1aTLV|2aDUST|3LEGI|4ZMB|5DUR|6RCR|789aVULN|aBPWR
112	23124 31543	6	   	245.35	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1SELL	1SELL|2RCVC|37ASPD|4TLV|57DMG|67VULN|7BPWR|8MBVNT|9DUR|aRCR
113	12411 21252	8	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2RMIN|38aVULN|4RPLT|5DUR|6DMG|7RCR|9LIT
114	43421 12236	1	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|2ASPD|3ZMB|4TLV|5DUR|67aVULN|8DMG|9RCR
115	12451 62122	8	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2RMIN|357VULN|4MLV|6ASPD|8DMG|9DUR|aRCR
116	13232 51535	10	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2FEWX|3ASPD|4LWND|579VULN|6RCR|8DUR|aDMG
117	13232 51536	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2FEWX|3ASPD|4LWND|579VULN|6RCR|8DUR|aDMG
118	13232 53135	10	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2FEWX|3ASPD|4LWND|589VULN|6RCR|7DUR|aDMG
119	13232 53136	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2FEWX|3ASPD|4LWND|589VULN|6RCR|7DUR|aDMG
120	13233 51135	10	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2FEWX|3ASPD|4LWND|5DUR|6RCR|789VULN|aDMG
121	13233 51136	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2FEWX|3ASPD|4LWND|5DUR|6RCR|789VULN|aDMG
122	45321 63122	8	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1RCVC|257VULN|3TLV|4LWND|6ASPD|8DMG|9DUR|aRCR
123	11343 51111	10	   	244.73	DCR|3VULN|2TLV|1DMG|1DUR	1aTLV|29LHND|3aFEWX|4DMG|5DUR|6RCR|78aVULN|aBPWR
124	13443 51331	10	   	244.73	DCR|3VULN|2TLV|1DMG|1DUR	1aTLV|2FEWX|38aLWND|4DMG|5DUR|6RCR|79aVULN|aBPWR
125	15343 51331	10	   	244.73	DCR|3VULN|2TLV|1DMG|1DUR	1aTLV|28LWND|3aFEWX|4DMG|5DUR|6RCR|79aVULN|aBPWR
126	16314 23523	1	   	244.66	DCR|3VULN|1TLV|3LIT|1DUR	1TLV|245LIT|345VULN|45BPWR|6BBNT|7ASPD|8RCR|9RCVC|aDUR
127	13143 51135	10	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2FEWX|3DUST|4DMG|5DUR|6RCR|789VULN|aASPD
128	26125 61111	1	   	244.66	DCR|2VULN|3DMG|1TLV|1DUR|1SELL	1SELL|246DMG|3DUR|5TBNT|7aVULN|8TLV|9RCR
129	11343 51161	10	 * 	244.63	DCR|3VULN|3TLV|1DMG|1DUR	19aTLV|2LHND|3aFEWX|4DMG|5DUR|6RCR|78aVULN|aBPWR
130	11343 51531	10	   	244.63	DCR|3VULN|3TLV|1DMG|1DUR	18aTLV|2LHND|3aFEWX|4DMG|5DUR|6RCR|79aVULN|aBPWR
131	13142 51236	10	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	19TLV|289FEWX|3DUST|4DMG|579VULN|6RCR|9BPWR|aDUR
132	11143 51111	10	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	1aTLV|29LHND|3aDUST|4DMG|5DUR|6RCR|78aVULN|aBPWR
133	11143 51116	7	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	18TLV|2LHND|38DUST|4DMG|5DUR|6RCR|78aVULN|8BPWR|9FEWX
134	13143 51136	7	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	18TLV|2FEWX|38DUST|4DMG|5DUR|6RCR|78aVULN|8BPWR|9BEXP
135	15143 51331	10	   	244.53	DCR|3VULN|2TLV|1DMG|1DUR	1aTLV|28LWND|3aDUST|4DMG|5DUR|6RCR|79aVULN|aBPWR
136	11143 51151	10	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1aTLV|2LHND|39aDUST|4DMG|5DUR|6RCR|78aVULN|aBPWR
137	11143 51531	10	   	244.43	DCR|3VULN|3TLV|1DMG|1DUR	18aTLV|2LHND|3aDUST|4DMG|5DUR|6RCR|79aVULN|aBPWR
138	13143 51151	10	   	244.43	DCR|3VULN|2TLV|1DMG|1DUR	1aTLV|2FEWX|39aDUST|4DMG|5DUR|6RCR|78aVULN|aBPWR
139	13143 51531	10	   	244.43	DCR|3VULN|3TLV|1DMG|1DUR	18aTLV|2FEWX|3aDUST|4DMG|5DUR|6RCR|79aVULN|aBPWR
140	42411 51112	7	 * 	244.40	DCR|3VULN|3DUR|1TLV	1RCVC|29FEWX|369VULN|4RPLT|567DUR|69BPWR|8RCR|aTLV
141	43411 51112	7	   	244.40	DCR|3VULN|3DUR|1TLV	1RCVC|29LHND|369VULN|4RPLT|567DUR|69BPWR|8RCR|aTLV
142	16224 61232	1	   	244.29	DCR|3VULN|2TLV|3LIT|1DUR|1SELL	1aTLV|25aLIT|3FEWX|4DUR|67aVULN|8RCR|9SELL|aBPWR
143	12344 43332	1	   	244.21	DCR|1VULN|2DMG|2TLV|2DUR|1CDMG	16TLV|24DUR|34DMG|4BPWR|5LIT|7RCR|8CGEN|9CDMG|aVULN
144	15143 51132	7	   	244.08	DCR|2VULN|2TLV|2DUR|1DMG|1AART	18TLV|2LWND|38DUST|4DMG|59DUR|6RCR|78VULN|8BPWR|aAART
145	16311 31232	1	   	244.08	DCR|4VULN|2TLV|2LIT|1SELL	1aTLV|24LIT|347aVULN|4aBPWR|5aLWND|6LEGI|8RCR|9SELL
146	13536 11232	6	   	243.98	DCR|4VULN|2TLV|2LIT|1SELL	1aTLV|2FEWX|3LEGI|4aLIT|567aVULN|8RCR|9SELL|aBPWR
147	13536 15232	7	   	243.98	DCR|4VULN|2TLV|2LIT|1SELL	1aTLV|2FEWX|3LEGI|4aLIT|567aVULN|8RCR|9SELL|aBPWR
148	13536 61232	5	   	243.98	DCR|4VULN|2TLV|2LIT|1SELL	1aTLV|2FEWX|3LEGI|4aLIT|567aVULN|8RCR|9SELL|aBPWR
149	11442 25322	5	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2LHND|3LWND|47DMG|58VULN|6RCR|9aDUR
150	11143 51136	8	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2LHND|3DUST|4aDMG|59DUR|6RCR|78VULN
151	12231 62242	2	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2RMIN|38DMG|49DUR|5MBVNT|67VULN|aRCR
152	12344 41233	1	   	243.79	DCR|3DUR|1VULN|2DMG|2TLV	16TLV|248DUR|34DMG|4BPWR|5LIT|7ZMB|9RCR|aVULN
153	12344 43111	1	   	243.79	DCR|3DUR|1VULN|2DMG|2TLV	16TLV|248DUR|34DMG|4BPWR|5LIT|7RCR|9VULN|aCGEN
154	12344 43113	1	   	243.79	DCR|3DUR|1VULN|2DMG|2TLV	16TLV|248DUR|34DMG|4BPWR|5LIT|7RCR|9VULN|aBEXP
155	12344 43132	1	   	243.79	DCR|3DUR|1VULN|2DMG|2TLV	16TLV|248DUR|34DMG|4BPWR|5LIT|7RCR|9LWND|aVULN
156	23224 11262	5	   	243.69	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1SELL|2RCVC|35DMG|4TLV|6aVULN|7RCR|89DUR
