0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43162 61232	1	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	18TLV|28DMG|3ZMB|4BBNT|57DUR|689VULN|8BPWR|aRCR
38	32321 55251	3	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	1LEGI|29DUR|36DMG|456VULN|6BPWR|7RCR|8RMIN|aCDMG
39	32323 53336	3	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	1LEGI|25DUR|36DMG|469VULN|6BPWR|7CDMG|8FEWX|aRCR
40	22214 25153	8	   	255.86	DCR|3VULN|2DMG|1TLV|1AART	19FEWX|2TLV|39DMG|4LIT|5DUST|6RCR|7AART|89aVULN|9BPWR
41	22214 25153	7	   	255.86	DCR|3VULN|2DMG|1TLV|1AART	19FEWX|2TLV|39DMG|4LIT|5DUST|6RCR|7AART|89aVULN|9BPWR
42	32325 11261	3	 * 	255.65	DCR|3VULN|3DUR|2DMG	1LEGI|278DUR|38DMG|468VULN|5TBNT|8BPWR|9BEXP|aRCR
43	32325 11211	3	   	255.55	DCR|3VULN|3DUR|2DMG	1LEGI|278DUR|38DMG|468VULN|5TBNT|8BPWR|9DUST|aRCR
44	36453 11211	1	   	255.55	DCR|3VULN|3DUR|2DMG	1LEGI|28DMG|3BBNT|468VULN|578DUR|8BPWR|9DUST|aRCR
45	32224 24223	9	 * 	255.27	DCR|2VULN|3DUR|1TLV|3CDMG|1AART	1LEGI|245DUR|345CDMG|45BPWR|6TLV|78VULN|9AART|aRCR
46	22241 34233	5	   	254.76	DCR|2VULN|3DMG|1TLV|1DUR|1AART	19FEWX|2TLV|349DMG|5ERES|6DUR|79VULN|8RCR|9BPWR|aAART
47	22215 36513	7	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1FEWX|2TLV|3DMG|4LIT|57aVULN|6AART|8RCR|9DUR
48	22242 35215	10	   	254.40	DCR|3VULN|2DMG|1TLV	1FEWX|2TLV|34DMG|5LIT|69aVULN|7RCR|8ASPD
49	22215 15332	8	   	254.28	DCR|3VULN|2DMG|2TLV	18FEWX|26TLV|3aDMG|4LIT|569VULN|6BPWR|7RCR
50	32321 55226	3	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1LEGI|2DUR|36DMG|456VULN|6BPWR|7RCR|8RMIN|9RPLT|aTLV
51	22215 16326	7	   	254.03	DCR|3VULN|2DMG|2TLV|1SELL	1FEWX|26TLV|3aDMG|4LIT|567VULN|6BPWR|8SELL|9RCR
52	41115 41323	6	   	254.03	DCR|3VULN|2DMG|2TLV|1SELL	1aTLV|2ERES|35aVULN|4LIT|6MLV|7aDMG|8SELL|9RCR|aBPWR
53	41115 41323	5	   	254.03	DCR|3VULN|2DMG|2TLV|1SELL	1aTLV|2ERES|35aVULN|4LIT|6MLV|7aDMG|8SELL|9RCR|aBPWR
54	32321 55151	3	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1LEGI|2DUR|36DMG|456VULN|6BPWR|7RCR|8LHND|9TBNT|aTLV
55	32321 55351	3	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1LEGI|2DUR|36DMG|456VULN|6BPWR|7RCR|8BEXP|9TBNT|aTLV
56	32321 56251	3	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1LEGI|2DUR|36DMG|456VULN|6BPWR|7LWND|8RCR|9TBNT|aTLV
57	15324 32531	9	   	253.64	DCR|3VULN|3DMG|1TLV	1RPLT|27ZMB|357VULN|467DMG|7BPWR|8CGEN|9TLV|aRCR
58	23521 62125	3	   	253.44	DCR|3VULN|3DMG|1TLV	1FEWX|267DMG|3MBVNT|456VULN|6BPWR|8ZMB|9RCR|aTLV
59	23521 62324	3	   	253.34	DCR|3VULN|3DMG|1TLV	1FEWX|267DMG|3MBVNT|456VULN|6BPWR|8RCR|9BBNT|aTLV
60	22215 15331	8	   	252.94	DCR|3VULN|2TLV|1DMG|1DUR	18FEWX|26TLV|3DMG|4LIT|569VULN|6BPWR|7RCR|aDUR
61	41115 33225	5	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|2ERES|357VULN|4LIT|6CDMG|8aDUR|9RCR
62	43215 13362	6	 * 	252.82	ACR|3VULN|2DMG|3TLV|2DUR	16aTLV|2RCR|3aDMG|4LIT|568VULN|6aBPWR|7TBNT|9aDUR
63	42315 63333	10	 * 	252.38	DCR|3VULN|3DUR|2TLV	1aTLV|2DUST|357DUR|4aBEXP|68aVULN|9RCR|aBPWR
64	14611 11363	8	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|2LEGI|3AART|4DMSP|59DUR|69aVULN|7RCR|89DMG|9BPWR
65	31611 11363	8	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	1LEGI|2RPLT|3AART|4DMSP|59DUR|69aVULN|7RCR|89DMG|9BPWR
66	31641 11363	8	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	1LEGI|2RPLT|3AART|4RCVC|59DUR|69aVULN|7RCR|89DMG|9BPWR
67	32643 31511	10	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|28DUR|38TLV|4LHND|59VULN|68DMG|7RMIN|8BPWR|aRCR
68	43132 12232	1	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	18TLV|28DMG|37ZMB|49VULN|5TBNT|68DUR|8BPWR|aRCR
69	13523 33643	7	 * 	252.02	DCR|4VULN|2DUR|1TLV	1RPLT|2BELT|3678VULN|45DUR|9TLV|aRCR
70	23521 62384	3	   	251.80	DCR|3VULN|3DMG|1DUR	1FEWX|267DMG|3MBVNT|456VULN|6BPWR|8RCR|9ASPD|aDUR
71	22243 33336	4	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|2TLV|34DMG|5DUR|6ASPD|7CDMG|89VULN|aRCR
72	44311 35221	7	   	251.28	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	17TLV|2RPLT|37VULN|4LHND|5LWND|67DMG|7BPWR|8DUR|9CDMG|aRCR
73	44311 35321	8	   	251.28	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	17TLV|2RPLT|37VULN|4LHND|5LWND|67DMG|7BPWR|8DUR|9CDMG|aRCR
74	41115 32622	5	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|2ERES|35VULN|4LIT|6CDMG|7DUR|8aDMG|9RCR
75	46113 31213	3	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|24RCVC|3CDMG|568aVULN|7RCR|9DUR
76	25222 63532	9	 * 	250.94	DCR|3VULN|2DUR|1TLV|2CDMG	1FEWX|24DUR|34CDMG|4BPWR|5ERES|6RCR|789VULN|aTLV
77	25222 63532	8	   	250.94	DCR|3VULN|2DUR|1TLV|2CDMG	1FEWX|24DUR|34CDMG|4BPWR|5ERES|6RCR|789VULN|aTLV
78	32214 63431	9	   	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	1LEGI|28DUR|35CDMG|4TLV|6RCR|79aVULN
79	32214 63531	10	   	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	1LEGI|2aDUR|35CDMG|4TLV|6RCR|789VULN
80	32211 44857	6	   	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	1LEGI|28DUR|38CDMG|4TLV|5MBVNT|6ERES|789VULN|8BPWR|aRCR
81	32211 44857	5	   	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	1LEGI|28DUR|38CDMG|4TLV|5MBVNT|6ERES|789VULN|8BPWR|aRCR
82	32222 63532	10	   	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	1LEGI|24DUR|34CDMG|4BPWR|5ERES|6RCR|789VULN|aTLV
83	32222 63532	9	   	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	1LEGI|24DUR|34CDMG|4BPWR|5ERES|6RCR|789VULN|aTLV
84	32264 35312	8	 * 	250.84	DCR|3VULN|2DUR|3CDMG|1DMG	1LEGI|25DUR|345CDMG|5BPWR|6DMG|789VULN|aRCR
85	32264 35332	9	   	250.84	DCR|3VULN|2DUR|3CDMG|1DMG	1LEGI|25DUR|345CDMG|5BPWR|6DMG|789VULN|aRCR
86	32561 21335	10	   	250.73	DCR|3VULN|2DMG|2DUR	1LEGI|2aDUR|3LIT|4aDMG|58aVULN|6MBVNT|7RCR|9BELT|aBPWR
87	22215 14223	8	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	1FEWX|26TLV|3DMG|4LIT|56aVULN|6BPWR|7ERES|8CDMG|9RCR
88	15324 32141	9	   	248.49	DCR|4VULN|3DMG	1RPLT|27ZMB|3579VULN|467DMG|7BPWR|8LWND|aRCR
89	15324 32411	9	   	248.49	DCR|4VULN|3DMG	1RPLT|27ZMB|3578VULN|467DMG|7BPWR|9FEWX|aRCR
90	15324 32421	8	   	248.49	DCR|4VULN|3DMG	1RPLT|27ZMB|3578VULN|467DMG|7BPWR|9FEWX|aRCR
91	15324 32431	9	   	248.39	DCR|4VULN|3DMG	1RPLT|27ZMB|3578VULN|467DMG|7BPWR|9DUST|aRCR
92	23521 62331	3	   	248.29	DCR|4VULN|3DMG	1FEWX|267DMG|3MBVNT|4569VULN|6BPWR|8RCR|aRMIN
93	23521 62334	3	   	248.29	DCR|4VULN|3DMG	1FEWX|267DMG|3MBVNT|4569VULN|6BPWR|8RCR|aLWND
94	23521 62337	3	   	248.29	DCR|4VULN|3DMG	1FEWX|267DMG|3MBVNT|4569VULN|6BPWR|8RCR|aBEXP
95	23521 62338	3	   	248.29	DCR|4VULN|3DMG	1FEWX|267DMG|3MBVNT|4569VULN|6BPWR|8RCR|aLHND
96	23521 62116	3	   	248.29	DCR|4VULN|3DMG	1FEWX|267DMG|3MBVNT|4569VULN|6BPWR|8ZMB|aRCR
97	32215 21436	9	   	248.20	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LEGI|28DUR|3CDMG|4TLV|59VULN|6DMG|7ASPD|aRCR
98	23521 62332	3	   	248.19	DCR|4VULN|3DMG	1FEWX|267DMG|3MBVNT|4569VULN|6BPWR|8RCR|aBBNT
99	23521 62333	3	   	248.19	DCR|4VULN|3DMG	1FEWX|267DMG|3MBVNT|4569VULN|6BPWR|8RCR|aDLOT
100	23521 62335	3	   	248.19	DCR|4VULN|3DMG	1FEWX|267DMG|3MBVNT|4569VULN|6BPWR|8RCR|aTBNT
101	31224 45121	8	   	248.17	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1LEGI|2RPLT|37TLV|4DMG|57VULN|67DUR|7BPWR|8LWND|9CDMG|aRCR
102	31224 45121	7	   	248.17	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1LEGI|2RPLT|37TLV|4DMG|57VULN|67DUR|7BPWR|8LHND|9CDMG|aRCR
103	22215 15226	8	   	247.55	DCR|2VULN|2DMG|2TLV|1AART	1FEWX|26TLV|3aDMG|4LIT|56VULN|6BPWR|7RCR|8ASPD|9AART
104	41132 63513	7	   	247.46	DCR|3VULN|2TLV|2DUR	19TLV|2ERES|389VULN|4LHND|5LIT|6RPLT|79DUR|9BPWR|aRCR
105	41132 63513	6	   	247.46	DCR|3VULN|2TLV|2DUR	19TLV|2ERES|389VULN|4LHND|5LIT|6RPLT|79DUR|9BPWR|aRCR
106	22215 32513	7	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1FEWX|2TLV|37DMG|4LIT|5aVULN|6AART|8RCR|9DUR
107	22215 41513	5	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1FEWX|2TLV|36DMG|4LIT|5aVULN|7AART|8RCR|9DUR
108	22242 31513	6	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1FEWX|2TLV|34DMG|5LIT|6aVULN|7AART|8RCR|9DUR
109	23333 41513	3	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1FEWX|26DMG|3aVULN|4LIT|5TLV|7AART|8RCR|9DUR
110	22242 35113	8	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1FEWX|2TLV|34DMG|5LIT|6aVULN|7RCR|8AART|9DUR
111	32323 52412	3	   	247.03	DCR|2VULN|3DMG|2DUR|1CDMG	1LEGI|25DUR|367DMG|46VULN|6BPWR|8BELT|9CDMG|aRCR
112	32323 53356	3	   	247.03	DCR|2VULN|3DMG|2DUR|1CDMG	1LEGI|25DUR|369DMG|46VULN|6BPWR|7CDMG|8FEWX|aRCR
113	32323 52333	3	   	246.93	DCR|2VULN|3DMG|2DUR|1CDMG	1LEGI|25DUR|367DMG|46VULN|6BPWR|8BBNT|9RCR|aCDMG
114	32325 51133	3	   	246.93	DCR|2VULN|3DMG|2DUR|1CDMG	1LEGI|27DUR|368DMG|46VULN|5TBNT|6BPWR|9RCR|aCDMG
