0	Index      	 *	Score 	Summary	Detail	
1	23432 23227	 * 	284.10	DCR|DCR|2DMG|1VULN|2ASPD	13DUST|23DMG|3BPWR|4TBNT|56ASPD|7aRCR|8VULN|9MBVNT
42	42322 14431	   	256.54	DCR|DCR|2VULN|2ZMB	18ZMB|24LHND|38VULN|5MBVNT|68LWND|7aRCR|8BPWR|9DUR
43	42355 14431	   	256.54	DCR|DCR|2VULN|2ZMB	18ZMB|26LHND|38VULN|48LWND|5MBVNT|7aRCR|8BPWR|9DUR
44	42612 14431	   	256.54	DCR|DCR|2VULN|2ZMB	18ZMB|2LHND|3DMSP|48VULN|5MBVNT|68LWND|7aRCR|8BPWR|9DUR
45	42412 14731	   	256.44	DCR|DCR|2VULN|2ZMB	13ZMB|23LHND|3BPWR|48VULN|5MBVNT|6LWND|7aRCR|9DUR
46	33512 53621	   	255.80	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	12TLV|3MLV|4VULN|5SELL|6aRCR|7LWND|8DUR|9RPLT
47	23412 35251	   	254.32	DCR|2VULN|3DMG|1MLV|1ASPD|1RPLT	13DUST|235DMG|35BPWR|45VULN|6ASPD|7MLV|8RPLT|9MDPS|aRCR
48	31313 12421	   	254.26	DCR|DCR|1VULN|1DMG|1ASPD	1TLV|2RMIN|3AAC|4VULN|5DMG|6ASPD|7FEWX|8LHND|9aRCR
49	31313 12521	   	254.26	DCR|DCR|1VULN|1DMG|1ASPD	1TLV|2RMIN|3AAC|4VULN|5DMG|6ASPD|7FEWX|8LWND|9aRCR
50	31313 14421	   	254.26	DCR|DCR|1VULN|1DMG|1ASPD	1TLV|2RMIN|3AAC|4VULN|5DMG|6ASPD|7BEXP|8LHND|9aRCR
51	31313 14521	   	254.26	DCR|DCR|1VULN|1DMG|1ASPD	1TLV|2RMIN|3AAC|4VULN|5DMG|6ASPD|7BEXP|8LWND|9aRCR
