0	Index      	 *	Score 	Summary	Detail	
1	32235 22522	 * 	318.61	DCR|3LIT|3VULN|1FLTARM|1MLV|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9BEXP|aMLV
22	34211 23513	   	304.76	DCR|2LIT|2MLV|2VULN|1NUKE|1CDMG	19VULN|26LIT|39MLV|4DUST|5CDMG|7RCR|89LWND|9BPWR|aNUKE
23	32233 32366	   	304.73	DCR|2LIT|4VULN|1MLV|1DMG	1248VULN|24BPWR|34LIT|5DUST|6CGEN|7RCR|9DMG|aMLV
24	32233 12366	   	304.63	DCR|2LIT|4VULN|1MLV|1DMG	1248VULN|24BPWR|34LIT|5DUST|6ERES|7RCR|9DMG|aMLV
25	32235 32361	   	304.12	DCR|3LIT|4VULN|1FLTARM	1248VULN|24BPWR|345LIT|6LWND|7FLTARM|9RCR|aRCVC
26	32235 32362	   	304.12	DCR|3LIT|4VULN|1FLTARM	1248VULN|24BPWR|345LIT|6LWND|7FLTARM|9RCR|aLHND
27	32235 32364	   	304.12	DCR|3LIT|4VULN|1FLTARM	1248VULN|24BPWR|345LIT|6LWND|7FLTARM|9RCR|aTLV
28	32235 32365	   	304.12	DCR|3LIT|4VULN|1FLTARM	1248VULN|24BPWR|345LIT|6LWND|7FLTARM|9RCR|aCGEN
29	34222 32163	   	301.15	DCR|2LIT|2MLV|3VULN|1ASPD	19aVULN|29LIT|34MLV|5ASPD|69CGEN|7RCR|8RMIN|9BPWR
30	34222 12163	   	300.85	DCR|2LIT|2MLV|3VULN|1ASPD	19aVULN|29LIT|34MLV|5ASPD|69ERES|7RCR|8RMIN|9BPWR
31	32235 22541	   	300.16	DCR|3LIT|3VULN|1FLTARM|1ASPD|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9ASPD|aCGEN
32	32235 22543	   	300.06	DCR|3LIT|3VULN|1FLTARM|1ASPD|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9ASPD|aDUR
33	22336 14334	 * 	299.65	DCR|2LIT|3VULN|1FLTARM|1MLV	1LHND|2FLTARM|3FEWX|45aVULN|67LIT|8MLV|9RCR
34	32231 23643	   	298.46	DCR|3LIT|4VULN|1MLV	1246VULN|24BPWR|34aLIT|5LHND|7MLV|8AART|9RCR
35	32232 23643	   	298.46	DCR|3LIT|4VULN|1MLV	1246VULN|24BPWR|34aLIT|5LWND|7MLV|8AART|9RCR
36	32234 23235	   	298.36	DCR|3LIT|4VULN|1MLV	1246VULN|24BPWR|34aLIT|5DUR|7MLV|8TLV|9RCR
37	32234 23335	   	298.36	DCR|3LIT|4VULN|1MLV	1246VULN|24BPWR|34aLIT|5DUR|7MLV|8CGEN|9RCR
38	32234 23233	   	297.96	DCR|5VULN|2LIT|1MLV	1246aVULN|24BPWR|34LIT|5DUR|7MLV|8TLV|9RCR
39	32234 23333	   	297.96	DCR|5VULN|2LIT|1MLV	1246aVULN|24BPWR|34LIT|5DUR|7MLV|8CGEN|9RCR
40	22336 34325	   	297.95	DCR|2LIT|3VULN|1FLTARM|1MLV	16LHND|2FLTARM|3FEWX|456VULN|6BPWR|79LIT|8MLV|aRCR
41	34226 32163	   	297.95	DCR|2LIT|2MLV|3VULN	19aVULN|29LIT|34MLV|5ZMB|69CGEN|7RCR|8RMIN|9BPWR
42	32234 21643	   	297.86	DCR|5VULN|2LIT|1MLV	12467VULN|24BPWR|34LIT|5DUR|8NUKE|9RCR|aMLV
43	34226 12163	   	297.65	DCR|2LIT|2MLV|3VULN	19aVULN|29LIT|34MLV|5ZMB|69ERES|7RCR|8RMIN|9BPWR
44	32231 23563	   	296.66	DCR|3LIT|4VULN|1MLV	1246VULN|24BPWR|349LIT|5LHND|7MLV|8BEXP|aRCR
45	32232 23563	   	296.66	DCR|3LIT|4VULN|1MLV	1246VULN|24BPWR|349LIT|5LWND|7MLV|8BEXP|aRCR
46	31235 22522	 * 	296.47	DCR|3LIT|2VULN|1FLTARM|1MLV|1SELL	14VULN|2RCVC|345LIT|4BPWR|6SELL|7FLTARM|8RCR|9BEXP|aMLV
47	32216 53363	 * 	295.55	DCR|2LIT|3VULN|3DMG	12aVULN|2aBPWR|3aLIT|4ERES|5ZMB|6RCR|7BELT|89aDMG
48	34222 16362	 * 	294.90	DCR|2LIT|3MLV|2VULN|2CDMG|1ASPD	18VULN|29LIT|348MLV|5ASPD|6ERES|78CDMG|8BPWR|aRCR
49	32231 23642	   	294.82	DCR|2LIT|4VULN|1MLV|1ASPD	1246VULN|24BPWR|34LIT|5LHND|7MLV|8AART|9RCR|aASPD
50	32232 23642	   	294.82	DCR|2LIT|4VULN|1MLV|1ASPD	1246VULN|24BPWR|34LIT|5LWND|7MLV|8AART|9RCR|aASPD
51	32231 56321	 * 	294.23	DCR|2LIT|4VULN|2ASPD|1CDMG	124aVULN|24BPWR|34LIT|5LHND|6RCR|7CDMG|89ASPD
52	34222 32165	 * 	293.88	DCR|3LIT|2MLV|2VULN|1ASPD	19VULN|29aLIT|34MLV|5ASPD|69CGEN|7RCR|8RMIN|9BPWR
53	34222 12165	   	293.58	DCR|3LIT|2MLV|2VULN|1ASPD	19VULN|29aLIT|34MLV|5ASPD|69ERES|7RCR|8RMIN|9BPWR
54	32235 22515	   	293.45	DCR|3LIT|3VULN|1FLTARM|1SELL	124VULN|24BPWR|345LIT|6SELL|7FLTARM|8RCR|9RCVC|aZMB
55	32233 53515	   	293.41	DCR|2LIT|4VULN|1MLV	1248VULN|24BPWR|34LIT|5DUST|6RCR|7BELT|9ZMB|aMLV
56	34222 22362	 * 	292.42	DCR|2LIT|2MLV|2VULN|2ASPD|1CDMG	16VULN|29LIT|34MLV|58ASPD|7CDMG|aRCR
57	34226 53112	   	292.10	DCR|2LIT|3MLV|2VULN|3ZMB	1aVULN|2aLIT|34aMLV|589ZMB|6RCR|7BELT|aBPWR
58	22336 34334	 * 	292.10	DCR|4VULN|1LIT|1FLTARM|1MLV	16LHND|2FLTARM|3FEWX|456aVULN|6BPWR|7LIT|8MLV|9RCR
59	32235 32163	   	291.90	DCR|3LIT|3VULN|1FLTARM	124VULN|24BPWR|345LIT|68LWND|7FLTARM|9RCR|aZMB
60	31235 32363	   	291.90	DCR|3LIT|3VULN|1FLTARM	148VULN|2RCVC|345LIT|4BPWR|6LWND|7FLTARM|9RCR|aZMB
61	32233 56351	   	291.86	DCR|5VULN|2LIT|1CDMG	1249aVULN|24BPWR|34LIT|5DUST|6RCR|7CDMG|8ZMB
62	32233 12336	   	291.51	DCR|2LIT|4VULN|1MLV	1248VULN|24BPWR|34LIT|5DUST|6ERES|7RCR|9ZMB|aMLV
63	32233 42336	   	291.51	DCR|2LIT|4VULN|1MLV	1248VULN|24BPWR|34LIT|5DUST|6NUKE|7RCR|9ZMB|aMLV
64	31235 22532	   	291.38	DCR|3LIT|2VULN|1FLTARM|1DMG|1SELL	14VULN|2RCVC|345LIT|4BPWR|6SELL|7FLTARM|8RCR|9DMG|aZMB
65	32233 52363	   	291.33	DCR|5VULN|2LIT|1DMG	1248aVULN|24BPWR|34LIT|5DUST|6RCR|7TLV|9DMG
66	32234 52363	   	291.33	DCR|5VULN|2LIT|1DMG	1248aVULN|24BPWR|34LIT|5DUR|6RCR|7TLV|9DMG
67	32234 32365	   	289.93	DCR|3LIT|4VULN|1DMG	1248VULN|24BPWR|34aLIT|5DUR|6CGEN|7RCR|9DMG
68	32234 12365	   	289.83	DCR|3LIT|4VULN|1DMG	1248VULN|24BPWR|34aLIT|5DUR|6ERES|7RCR|9DMG
69	32233 32363	   	289.53	DCR|5VULN|2LIT|1DMG	1248aVULN|24BPWR|34LIT|5DUST|6CGEN|7RCR|9DMG
70	32234 32363	   	289.53	DCR|5VULN|2LIT|1DMG	1248aVULN|24BPWR|34LIT|5DUR|6CGEN|7RCR|9DMG
71	32233 12363	   	289.43	DCR|5VULN|2LIT|1DMG	1248aVULN|24BPWR|34LIT|5DUST|6ERES|7RCR|9DMG
72	32234 12363	   	289.43	DCR|5VULN|2LIT|1DMG	1248aVULN|24BPWR|34LIT|5DUR|6ERES|7RCR|9DMG
73	32233 52562	 * 	288.76	DCR|3LIT|5VULN	1249aVULN|249BPWR|349LIT|5DUST|6RCR|7TLV|89CGEN
