0	Index      	 *	Score 	Summary	Detail	
1	12241 32616	 * 	277.15	DCR|2LIT|3VULN|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|567VULN|8RCR|9aLIT
15	33253 25236	   	259.27	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1SELL	1SELL|2MULHEA|3DMG|4aLIT|5ZMB|6RCR|7VULN|8CDMG|9MLV
16	16144 32213	   	258.61	DCR|2LIT|2VULN|1MLV|1ASPD|1DUR	13aDUST|2MLV|4aLIT|5ASPD|6RCR|7RPLT|8DUR|9aVULN|aBPWR
17	33632 13236	   	258.23	DCR|2LIT|2VULN|1MLV|1CDMG|2SELL	14SELL|2MULHEA|35VULN|6RCR|7aLIT|8CDMG|9MLV
18	42521 33521	   	257.16	DCR|1LIT|2VULN|3DMG|1ASPD	14VULN|2BEXP|3ASPD|57aDMG|6RCR|8FEWX|9LIT
19	43521 33521	   	257.16	DCR|1LIT|2VULN|3DMG|1ASPD	14VULN|2LHND|3ASPD|57aDMG|6RCR|8FEWX|9LIT
20	42521 33321	   	257.06	DCR|1LIT|2VULN|3DMG|1ASPD	14VULN|2BEXP|3ASPD|57aDMG|6RCR|8LEGI|9LIT
21	43521 31633	   	257.06	DCR|1LIT|2VULN|3DMG|1ASPD	14VULN|2LHND|3ASPD|589DMG|6RCR|7ERES|aLIT
22	64511 33322	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2RMIN|3MLV|4LWND|5DMG|6RCR|78VULN|9ASPD|aLIT
23	64513 33332	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2RMIN|3MLV|4LWND|5ASPD|6RCR|78VULN|9DMG|aLIT
24	16144 32132	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	13DUST|2MLV|4LIT|5ASPD|6RCR|7RPLT|8DMG|9aVULN
25	43521 31234	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	14VULN|2LHND|3ASPD|5DMG|6RCR|7ERES|8DUST|9MLV|aLIT
26	43521 31334	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	14VULN|2LHND|3ASPD|5DMG|6RCR|7ERES|8DUR|9MLV|aLIT
27	33632 13233	 * 	255.42	DCR|1LIT|2VULN|1MLV|1NUKE|1CDMG|2SELL	14SELL|2MULHEA|35VULN|6RCR|7LIT|8CDMG|9MLV|aNUKE
28	42521 33122	   	255.15	DCR|1LIT|2VULN|2DMG|1ASPD|1CDMG	14VULN|2BEXP|3ASPD|57DMG|6RCR|8CDMG|9RPLT|aLIT
29	43521 33122	   	255.15	DCR|1LIT|2VULN|2DMG|1ASPD|1CDMG	14VULN|2LHND|3ASPD|57DMG|6RCR|8CDMG|9RPLT|aLIT
30	45521 33122	   	255.15	DCR|1LIT|2VULN|2DMG|1ASPD|1CDMG	14VULN|2LWND|3ASPD|57DMG|6RCR|8CDMG|9RPLT|aLIT
31	42521 33153	   	255.05	DCR|1LIT|2VULN|2DMG|1ASPD|1CDMG|1DUR	14VULN|2BEXP|3ASPD|57DMG|6RCR|8CDMG|9DUR|aLIT
32	42521 33336	   	255.05	DCR|1LIT|2VULN|2DMG|1ASPD|1CDMG	14VULN|2BEXP|3ASPD|57DMG|6RCR|8LEGI|9CDMG|aLIT
33	43521 33153	   	255.05	DCR|1LIT|2VULN|2DMG|1ASPD|1CDMG|1DUR	14VULN|2LHND|3ASPD|57DMG|6RCR|8CDMG|9DUR|aLIT
34	12241 22616	   	255.01	DCR|2LIT|2VULN|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|57VULN|6RCVC|8RCR|9aLIT
35	12241 32612	   	254.28	DCR|3VULN|1LIT|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|567VULN|8RCR|9LIT|aBEXP
36	12241 32613	   	254.28	DCR|3VULN|1LIT|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|567VULN|8RCR|9LIT|aFEWX
37	12241 32615	   	254.28	DCR|3VULN|1LIT|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|567VULN|8RCR|9LIT|aMGNSTR
38	12241 32663	   	254.28	DCR|3VULN|1LIT|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|567VULN|8RCR|9DMSP|aLIT
39	46112 32612	   	254.28	DCR|3VULN|1LIT|1MLV|1ASPD	167VULN|2CANARM|3DUST|4ASPD|5MLV|8RCR|9LIT|aBEXP
40	46112 32613	   	254.28	DCR|3VULN|1LIT|1MLV|1ASPD	167VULN|2CANARM|3DUST|4ASPD|5MLV|8RCR|9LIT|aFEWX
41	26624 31221	   	254.23	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1LHND|2MLV|3MBVNT|4VULN|5ZMB|6RCR|7LIT|8aDMG|9ASPD
42	12241 32611	   	254.18	DCR|3VULN|1LIT|1MLV|1ASPD	1aDUST|2SNITOX|3MLV|4ASPD|567VULN|8RCR|9LIT
43	12241 32614	   	254.18	DCR|3VULN|1LIT|1MLV|1ASPD|1DUR	1DUST|2SNITOX|3MLV|4ASPD|567VULN|8RCR|9LIT|aDUR
44	46112 32611	   	254.18	DCR|3VULN|1LIT|1MLV|1ASPD	167VULN|2CANARM|3aDUST|4ASPD|5MLV|8RCR|9LIT
45	42222 21312	 * 	253.47	DCR|2LIT|3VULN|1DMG	146VULN|2BEXP|3CGEN|5RPLT|7RCR|89LIT|aDMG
46	43222 21312	   	253.47	DCR|2LIT|3VULN|1DMG	146VULN|2LHND|3CGEN|5RPLT|7RCR|89LIT|aDMG
47	45222 21312	   	253.47	DCR|2LIT|3VULN|1DMG	146VULN|2LWND|3CGEN|5RPLT|7RCR|89LIT|aDMG
48	46512 22333	 * 	253.21	DCR|2LIT|2VULN|1MLV|3DUR|1ASPD	1aVULN|2CANARM|37aDUR|4ASPD|5MLV|6BELT|8aLIT|9RCR|aBPWR
49	26624 31228	   	252.89	DCR|1LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1LHND|2MLV|3MBVNT|4VULN|5ZMB|6RCR|7LIT|8DMG|9ASPD|aAART
50	12241 32343	   	252.48	DCR|3VULN|1LIT|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|567VULN|8RCVC|9RCR|aLIT
51	12241 36412	   	252.48	DCR|3VULN|1LIT|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|568VULN|7LIT|9RCR|aBEXP
52	12241 36413	   	252.48	DCR|3VULN|1LIT|1MLV|1ASPD	1DUST|2SNITOX|3MLV|4ASPD|568VULN|7LIT|9RCR|aFEWX
53	46112 32343	   	252.48	DCR|3VULN|1LIT|1MLV|1ASPD	167VULN|2CANARM|3DUST|4ASPD|5MLV|8RCVC|9RCR|aLIT
54	12241 36411	   	252.38	DCR|3VULN|1LIT|1MLV|1ASPD	1aDUST|2SNITOX|3MLV|4ASPD|568VULN|7LIT|9RCR
55	12251 22115	   	252.30	DCR|1LIT|2VULN|1FLTARM|1MLV	1DUST|2SNITOX|3MLV|4CGEN|57VULN|6RCVC|8RCR|9LIT|aFLTARM
56	16331 22115	   	252.30	DCR|1LIT|2VULN|1FLTARM|1MLV	1DUST|2MLV|3TLV|4LSRREG|57VULN|6RCVC|8RCR|9LIT|aFLTARM
57	12251 35115	   	252.20	DCR|1LIT|2VULN|1FLTARM|1MLV	17DUST|2SNITOX|3MLV|4CGEN|56VULN|8RCR|9LIT|aFLTARM
58	16331 35115	   	252.20	DCR|1LIT|2VULN|1FLTARM|1MLV	17DUST|2MLV|3TLV|4LSRREG|56VULN|8RCR|9LIT|aFLTARM
59	51522 31363	   	252.00	DCR|2LIT|2VULN|1MLV|1DUR	1CGEN|23LIT|4ZMB|5DUR|6RCR|7TLV|8aVULN|9MLV
60	26624 31426	   	252.00	DCR|2LIT|2VULN|1MLV	1LHND|2MLV|3MBVNT|48VULN|5ZMB|6RCR|7aLIT|9TLV
61	26624 31436	   	252.00	DCR|2LIT|2VULN|1MLV	1LHND|2MLV|3MBVNT|48VULN|5ZMB|6RCR|7aLIT|9CGEN
62	26624 31462	   	251.90	DCR|2LIT|2VULN|1MLV	1LHND|2MLV|3MBVNT|48VULN|5ZMB|6RCR|7aLIT|9CANSTR
63	26624 32342	   	251.90	DCR|2LIT|2VULN|1MLV	1LHND|2MLV|3MBVNT|49VULN|5ZMB|6RCR|7MULARM|8aLIT
64	43225 21361	   	251.87	DCR|2LIT|3VULN|1DMG	14aVULN|2LHND|3aCGEN|5FEWX|6AART|7DMG|8RCR|9aLIT|aBPWR
65	26624 31433	   	251.27	DCR|3VULN|1LIT|1MLV	1LHND|2MLV|3MBVNT|48aVULN|5ZMB|6RCR|7LIT|9CGEN
66	26624 31445	   	251.17	DCR|3VULN|1LIT|1MLV|1DUR	1LHND|2MLV|3MBVNT|48aVULN|5ZMB|6RCR|7LIT|9DUR
67	26624 32345	   	251.17	DCR|3VULN|1LIT|1MLV	1LHND|2MLV|3MBVNT|49aVULN|5ZMB|6RCR|7MULARM|8LIT
68	61352 12315	 * 	251.11	DCR|2LIT|2MLV|1FLTARM|1VULN	1ERES|27LIT|3LSRICY|45MLV|6VULN|8LWND|9RCR|aFLTARM
69	61351 22115	   	251.01	DCR|2LIT|1FLTARM|1VULN|1MLV	16ERES|27LIT|3LSRICY|4MLV|5BEXP|8VULN|9RCR|aFLTARM
70	42621 33632	 * 	250.91	DCR|4VULN|3DMG	1489VULN|2BEXP|3NUKE|57aDMG|6RCR
71	16222 21754	   	250.58	DCR|3VULN|1LIT|1MLV|1CDMG	1DUST|2MLV|3MBVNT|478VULN|5SPLREG|6LIT|9CDMG|aRCR
72	16223 21754	   	250.58	DCR|3VULN|1LIT|1MLV|1CDMG	1DUST|2MLV|3MBVNT|478VULN|5BLASTR|6LIT|9CDMG|aRCR
73	41132 14422	   	250.51	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	16VULN|2BELT|3CDMG|4MLV|5BLASTR|7BEXP|8DMG|9RCR|aLIT
74	61312 32615	   	250.40	DCR|1LIT|2VULN|1FLTARM|1MLV	14ERES|2LIT|3LSRICY|5LHND|67VULN|8MLV|9RCR|aFLTARM
75	42521 31115	 * 	249.92	DCR|1LIT|2VULN|2ASPD|1DMG|1CDMG	14VULN|2BEXP|39ASPD|5DMG|6RCR|7ERES|8CDMG|aLIT
76	43521 31115	   	249.92	DCR|1LIT|2VULN|2ASPD|1DMG|1CDMG	14VULN|2LHND|39ASPD|5DMG|6RCR|7ERES|8CDMG|aLIT
77	43222 21332	 * 	249.77	DCR|4VULN|1LIT|1DMG	1469VULN|2LHND|3CGEN|5RPLT|7RCR|8LIT|aDMG
78	45222 21332	   	249.77	DCR|4VULN|1LIT|1DMG	1469VULN|2LWND|3CGEN|5RPLT|7RCR|8LIT|aDMG
79	16226 11521	 * 	249.66	DCR|4VULN|1MLV|2CDMG	1aDUST|2MLV|3MBVNT|478aVULN|5BELT|6RCR|9aCDMG|aBPWR
80	62674 44144	 * 	249.31	DCR|2LIT|2DMG|1VULN|1MLV	1ERES|29BEXP|3MBVNT|4MLV|5VULN|69DMG|7DUST|89LIT|9BPWR|aRCR
81	26624 31282	   	249.19	DCR|1LIT|2VULN|1MLV|1DMG	1LHND|2MLV|3MBVNT|49VULN|5ZMB|6RCR|7LIT|8DMG|aCGEN
82	26624 31283	   	249.19	DCR|1LIT|2VULN|1MLV|1DMG	1LHND|2MLV|3MBVNT|49VULN|5ZMB|6RCR|7LIT|8DMG|aBEXP
83	26624 31284	   	249.19	DCR|1LIT|2VULN|1MLV|1DMG	1LHND|2MLV|3MBVNT|49VULN|5ZMB|6RCR|7LIT|8DMG|aLWND
84	26624 31411	   	249.19	DCR|1LIT|2VULN|1MLV|1DMG	19LHND|2MLV|3MBVNT|48VULN|5ZMB|6RCR|7LIT|aDMG
85	26624 31451	   	249.19	DCR|1LIT|2VULN|1MLV|1DMG	1LHND|2MLV|3MBVNT|48VULN|5ZMB|6RCR|7LIT|9BEXP|aDMG
86	26624 38331	   	249.19	DCR|1LIT|2VULN|1MLV|1DMG	17LHND|2MLV|3MBVNT|48VULN|5ZMB|6RCR|9LIT|aDMG
87	16146 32232	   	249.10	DCR|1LIT|2VULN|1MLV|1DMG	13DUST|2MLV|4LIT|5DMG|6RCR|7RPLT|8ZMB|9aVULN
88	16226 11263	   	249.10	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2MLV|3MBVNT|47VULN|5BELT|6RCR|8ZMB|9DMG|aLIT
89	16226 11313	   	249.10	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2MLV|3MBVNT|47VULN|5BELT|6RCR|8DMG|9ZMB|aLIT
90	26624 31441	   	249.09	DCR|1LIT|2VULN|1MLV|1DMG|1DUR	1LHND|2MLV|3MBVNT|48VULN|5ZMB|6RCR|7LIT|9DUR|aDMG
91	26624 31471	   	249.09	DCR|1LIT|2VULN|1MLV|1DMG	1LHND|2MLV|3MBVNT|48VULN|5ZMB|6RCR|7LIT|9DUST|aDMG
92	26624 31212	   	248.95	DCR|1LIT|2VULN|1MLV|1DMG|1SELL	1LHND|2MLV|3MBVNT|4aVULN|5ZMB|6RCR|7LIT|8DMG|9SELL
93	51222 26122	 * 	248.40	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1DUR	1CGEN|2LIT|3DUR|4VULN|5TLV|6DMG|7MLV|8FEWX|9RCR|aFLTARM
94	45343 11313	   	248.40	DCR|2LIT|2VULN|1MLV	1aVULN|2LWND|3MLV|46LIT|5DUST|7DMSP|8RCR|9ZMB
95	45115 33413	 * 	248.38	DCR|3VULN|2DMG|1MLV	149VULN|23LWND|5MBVNT|6RCR|79DMG|89TLV|9BPWR|aMLV
96	51226 26122	   	248.30	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1DUR	1CGEN|2LIT|3DUR|4VULN|5ERES|6DMG|7MLV|8FEWX|9RCR|aFLTARM
97	12311 12616	   	248.30	DCR|2LIT|2VULN|1MLV	1DUST|2SNITOX|3ZMB|4RCVC|5MLV|67VULN|8RCR|9aLIT
98	12361 12616	   	248.20	DCR|2LIT|2VULN|1MLV	14DUST|2SNITOX|3ZMB|5MLV|67VULN|8RCR|9aLIT
99	42523 31612	   	248.18	DCR|3VULN|2DMG|1MLV|1ASPD	149VULN|29BEXP|3ASPD|5NUKE|6RCR|7ERES|89DMG|9BPWR|aMLV
100	42623 31612	   	248.18	DCR|3VULN|2DMG|1MLV|1ASPD	149VULN|29BEXP|3NUKE|5ASPD|6RCR|7ERES|89DMG|9BPWR|aMLV
101	43523 31612	   	248.18	DCR|3VULN|2DMG|1MLV|1ASPD	149VULN|29LHND|3ASPD|5NUKE|6RCR|7ERES|89DMG|9BPWR|aMLV
102	43621 33623	   	248.18	DCR|3VULN|2DMG|1MLV	148VULN|2LHND|3NUKE|57DMG|6RCR|9BEXP|aMLV
103	43623 31612	   	248.18	DCR|3VULN|2DMG|1MLV|1ASPD	149VULN|29LHND|3NUKE|5ASPD|6RCR|7ERES|89DMG|9BPWR|aMLV
104	45115 24344	 * 	248.07	DCR|2LIT|3VULN|2CDMG	147VULN|237LWND|5MBVNT|67CDMG|7BPWR|89LIT|aRCR
105	32552 26141	   	247.43	DCR|3VULN|1LIT|1MLV|1SELL	1SELL|2FEWX|3MBVNT|456VULN|7ZMB|8RCR|9LIT|aMLV
106	21362 11435	 * 	247.37	DCR|2LIT|1VULN|1MLV|1NUKE|1CDMG	1LHND|2BELT|35TLV|45LIT|5BPWR|6CDMG|7MLV|8VULN|9RCR|aNUKE
107	31552 26141	   	247.33	DCR|3VULN|1LIT|1MLV|1SELL	1SELL|2DUST|3MBVNT|456VULN|7ZMB|8RCR|9LIT|aMLV
108	61421 34221	 * 	247.18	ACR|2LIT|2MLV|2VULN|1DMG	1ERES|2aLIT|3AART|4RCR|5LWND|6DMG|7aVULN|8CANARM|9aMLV|aBPWR
