0	Index      	 *	Score 	Summary	Detail	
1	62213 17521	 * 	192.36	ACR|2DMG|3VULN|1ASPD|1AART|1AAC	169VULN|2MBVNT|39ERES|4AART|5RCR|7AAC|89DMG|9BPWR|aASPD
12	62542 48433	   	186.02	DCR|3BEXP|2ASPD|2DMG|2VULN	17VULN|2MBVNT|348BEXP|57ASPD|67DMG|7BPWR|9FEWX|aRCR
13	23111 64533	 * 	185.51	ACR|3BEXP|2DMG|1AART|1CDMG	1CGEN|237BEXP|4AART|5RCR|6ERES|89DMG|aCDMG
14	26211 66112	 * 	184.02	ACR|2BEXP|2AART|2VULN|1ASPD|1AAC	129CGEN|39VULN|48AART|5RCR|69BEXP|7AAC|9BPWR|aASPD
15	62213 37111	 * 	183.42	ACR|1BASARM|2AART|2VULN|1AAC	19VULN|2MBVNT|369ERES|48AART|5RCR|7AAC|9BPWR|aBASARM
16	62213 17523	 * 	183.30	ACR|4VULN|2DMG|1AART|1AAC	169aVULN|2MBVNT|39ERES|4AART|5RCR|7AAC|89DMG|9BPWR
17	26211 61723	 * 	180.15	ACR|3BEXP|3VULN|1CDMG|1AART	1289CGEN|389VULN|4AART|5RCR|689BEXP|7MBVNT|89BPWR|aCDMG
18	63222 61412	   	178.47	ACR|2ASPD|2AART|2VULN|1CDMG	19VULN|29LIT|3CDMG|4aCGEN|5RCR|67AART|89ASPD|9BPWR
19	63222 61413	   	178.37	ACR|2ASPD|2AART|2VULN|1CDMG	19VULN|29LIT|3CDMG|4CGEN|5RCR|67AART|89ASPD|9BPWR|aDUST
20	63232 61412	   	178.37	ACR|2ASPD|2AART|2VULN|1CDMG	19VULN|29LIT|3CDMG|4AME|5RCR|67AART|89ASPD|9BPWR|aCGEN
21	63232 61413	   	178.27	ACR|2ASPD|2AART|2VULN|1CDMG	19VULN|29LIT|3CDMG|4aAME|5RCR|67AART|89ASPD|9BPWR
22	23142 11315	 * 	177.46	DCR|3BEXP|2ASPD|1DMG|1AART|1AAC|1VULN	19CGEN|239BEXP|4AAC|5VULN|6DMG|79ASPD|8AART|9BPWR|aRCR
23	23111 61161	 * 	177.41	ACR|2BEXP|2AART|1DMG|1CDMG|1AAC	1CGEN|23BEXP|4aAART|5RCR|6ERES|7CDMG|8DMG|9AAC
24	62213 16722	 * 	177.20	ACR|4VULN|3BEXP|1AART	1689VULN|2MBVNT|389ERES|4AART|5RCR|789BEXP|89BPWR|aRCVC
25	62213 16721	   	177.10	ACR|4VULN|3BEXP|1AART	1689VULN|2MBVNT|389ERES|4AART|5RCR|789BEXP|89BPWR|aAEMAG
26	62213 16723	   	177.10	ACR|4VULN|3BEXP|1AART	1689VULN|2MBVNT|389ERES|4AART|5RCR|789BEXP|89BPWR|aDUST
27	63222 63316	 * 	177.03	ACR|1BASARM|1CDMG|1BEXP|1AART|1VULN	1VULN|2LIT|3CDMG|4CGEN|5RCR|6AART|7ERES|8BEXP|9LEGI|aBASARM
28	23111 61136	 * 	176.72	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	1CGEN|23BEXP|4AART|5RCR|6ERES|7CDMG|8DMG|9RPLT|aASPD
29	23111 61155	   	176.62	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	1CGEN|23BEXP|4AART|5RCR|6ERES|7CDMG|8DMG|9MDPS|aASPD
30	62713 12421	 * 	175.09	ACR|3VULN|2BEXP|1ASPD|1AART	169VULN|2MBVNT|39CGEN|4AART|5RCR|7RCVC|89BEXP|9BPWR|aASPD
31	62213 12421	   	174.89	ACR|3VULN|2BEXP|1ASPD|1AART	169VULN|2MBVNT|39ERES|4AART|5RCR|7RCVC|89BEXP|9BPWR|aASPD
32	62213 16734	   	174.89	ACR|3VULN|2BEXP|1ASPD|1AART	168VULN|2MBVNT|38ERES|4AART|5RCR|78BEXP|8BPWR|9LIT|aASPD
33	62213 16744	   	174.89	ACR|3VULN|2BEXP|1ASPD|1AART	168VULN|2MBVNT|38ERES|4AART|5RCR|78BEXP|8BPWR|9ASPD|aDMSP
34	64112 32231	   	174.86	ACR|3DMG|1ASPD|1BEXP|1VULN	1VULN|2RPLT|3BEXP|4LIT|5RCR|689DMG|7ASPD|aLHND
35	64112 32235	   	174.86	ACR|3DMG|1ASPD|1BEXP|1VULN	1VULN|2RPLT|3BEXP|4LIT|5RCR|689DMG|7ASPD|aDUR
36	64112 32236	   	174.86	ACR|3DMG|1ASPD|1BEXP|1VULN	1VULN|2RPLT|3BEXP|4aLIT|5RCR|689DMG|7ASPD
37	65312 32231	   	174.86	ACR|3DMG|1ASPD|1BEXP|1VULN	1VULN|2BEXP|3RPLT|4LIT|5RCR|689DMG|7ASPD|aLHND
38	65312 32235	   	174.86	ACR|3DMG|1ASPD|1BEXP|1VULN	1VULN|2BEXP|3RPLT|4LIT|5RCR|689DMG|7ASPD|aDUR
39	65312 32236	   	174.86	ACR|3DMG|1ASPD|1BEXP|1VULN	1VULN|2BEXP|3RPLT|4aLIT|5RCR|689DMG|7ASPD
40	23111 25211	   	174.86	ACR|3BEXP|1DMG|1AART|1CDMG|1VULN	1CGEN|237BEXP|4AART|5RCR|6DUST|8DMG|9VULN|aCDMG
41	62213 36712	   	174.79	ACR|3VULN|2BEXP|1ASPD|1AART	18aVULN|2MBVNT|368ERES|4AART|5RCR|78BEXP|8BPWR|9ASPD
42	62213 16741	   	174.79	ACR|3VULN|2BEXP|1ASPD|1AART	168VULN|2MBVNT|38ERES|4AART|5RCR|78BEXP|8BPWR|9ASPD|aLEGI
43	62213 16742	   	174.79	ACR|3VULN|2BEXP|1ASPD|1AART	168VULN|2MBVNT|38ERES|4AART|5RCR|78BEXP|8BPWR|9ASPD|aMSLFST
44	62213 16743	   	174.79	ACR|3VULN|2BEXP|1ASPD|1AART	168VULN|2MBVNT|38ERES|4AART|5RCR|78BEXP|8BPWR|9ASPD|aDUST
45	26211 14136	 * 	174.79	ACR|1BASARM|3VULN|1AART	12CGEN|378VULN|4AART|5RCR|6RCVC|9TLV|aBASARM
46	26211 34136	   	174.79	ACR|1BASARM|3VULN|1AART	126CGEN|378VULN|4AART|5RCR|9TLV|aBASARM
47	61312 32232	   	174.76	ACR|3DMG|1ASPD|1AART|1VULN	1VULN|2DUST|3RPLT|4LIT|5RCR|689DMG|7ASPD|aAART
48	61312 32233	   	174.76	ACR|3DMG|1ASPD|1BEXP|1VULN	1VULN|2DUST|3RPLT|4LIT|5RCR|689DMG|7ASPD|aBEXP
49	64112 32234	   	174.76	ACR|3DMG|1ASPD|1BEXP|1VULN	1VULN|2RPLT|3BEXP|4LIT|5RCR|689DMG|7ASPD|aAEFBLL
50	65312 32234	   	174.76	ACR|3DMG|1ASPD|1BEXP|1VULN	1VULN|2BEXP|3RPLT|4LIT|5RCR|689DMG|7ASPD|aAEFBLL
51	62542 48122	   	174.75	DCR|2ASPD|2DMG|2BEXP|2VULN	17VULN|2MBVNT|34BEXP|57ASPD|67DMG|7BPWR|8LWND|9DMSP|aRCR
52	62542 48212	   	174.75	DCR|2ASPD|2DMG|2BEXP|2VULN	17VULN|2MBVNT|34BEXP|57ASPD|67DMG|7BPWR|89LHND|aRCR
53	62542 41433	 * 	174.70	DCR|1BASARM|2BEXP|1ASPD|1DMG|1VULN	1VULN|2MBVNT|34BEXP|5ASPD|6DMG|7RPLT|8MDPS|9BASARM|aRCR
54	63222 61431	   	174.33	ACR|2AART|2VULN|1ASPD|1CDMG|1BEXP	19VULN|2LIT|3CDMG|4CGEN|5RCR|67AART|8ASPD|aBEXP
55	63232 61431	   	174.23	ACR|2AART|2VULN|1ASPD|1BEXP|1CDMG	19VULN|2LIT|3CDMG|4AME|5RCR|67AART|8ASPD|aBEXP
56	34112 32241	   	174.04	ACR|2DMG|2BEXP|1ASPD|1VULN	1DUR|2RPLT|3aBEXP|4LIT|5RCR|68DMG|7ASPD|9VULN
57	64112 32161	   	174.04	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|2RPLT|3aBEXP|4LIT|5RCR|69DMG|7ASPD|8FEWX
58	64112 32211	   	174.04	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|2RPLT|3aBEXP|4LIT|5RCR|68DMG|7ASPD|9LHND
59	64112 32221	   	174.04	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|2RPLT|3aBEXP|4LIT|5RCR|68DMG|7ASPD|9DUR
60	64212 32261	   	174.04	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|2RPLT|3DUR|4LIT|5RCR|68DMG|7ASPD|9aBEXP
61	65312 32161	   	174.04	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|2aBEXP|3RPLT|4LIT|5RCR|69DMG|7ASPD|8FEWX
62	65312 32211	   	174.04	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|2aBEXP|3RPLT|4LIT|5RCR|68DMG|7ASPD|9LHND
63	65312 32221	   	174.04	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|2aBEXP|3RPLT|4LIT|5RCR|68DMG|7ASPD|9DUR
64	61312 32261	   	173.94	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|2DUST|3RPLT|4LIT|5RCR|68DMG|7ASPD|9aBEXP
65	64112 32261	   	173.94	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|2RPLT|39BEXP|4LIT|5RCR|68DMG|7ASPD|aMDPS
66	64112 32336	 * 	173.94	ACR|2ASPD|2BEXP|1DMG|1VULN	1VULN|2RPLT|3aBEXP|4LIT|5RCR|6DMG|7aASPD|8AME|9aERES|aBPWR
67	65312 32261	   	173.94	ACR|2DMG|2BEXP|1ASPD|1VULN	1VULN|29BEXP|3RPLT|4LIT|5RCR|68DMG|7ASPD|aMDPS
68	65312 32336	   	173.94	ACR|2ASPD|2BEXP|1DMG|1VULN	1VULN|2aBEXP|3RPLT|4LIT|5RCR|6DMG|7aASPD|8AME|9aERES|aBPWR
69	62213 37521	 * 	173.92	ACR|2DMG|2VULN|1AART|1CDMG|1AAC	19VULN|2MBVNT|369ERES|4AART|5RCR|7AAC|89DMG|9BPWR|aCDMG
70	23111 66151	 * 	172.94	ACR|2ASPD|2BEXP|2AART	1CGEN|23BEXP|48AART|5RCR|6ERES|7LEGI|9aASPD
71	62552 41433	 * 	172.88	DCR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	14VULN|2MBVNT|3BEXP|5ASPD|6DMG|7RPLT|8MDPS|9BASARM|aRCR
72	64112 32532	   	172.85	ACR|2DMG|1ASPD|1BEXP|1AART|1VULN	1VULN|2RPLT|3BEXP|4LIT|5RCR|69DMG|7ASPD|8DMSP|aAART
73	65312 32532	   	172.85	ACR|2DMG|1ASPD|1BEXP|1AART|1VULN	1VULN|2BEXP|3RPLT|4LIT|5RCR|69DMG|7ASPD|8DMSP|aAART
74	64112 32242	   	172.75	ACR|2DMG|1ASPD|1AART|1BEXP|1VULN	1VULN|2RPLT|3BEXP|4LIT|5RCR|68DMG|7ASPD|9AEFBLL|aAART
75	65312 32242	   	172.75	ACR|2DMG|1ASPD|1AART|1BEXP|1VULN	1VULN|2BEXP|3RPLT|4LIT|5RCR|68DMG|7ASPD|9AEFBLL|aAART
76	62213 37524	 * 	172.72	ACR|2DMG|2AART|2VULN|1AAC	19VULN|2MBVNT|369ERES|4aAART|5RCR|7AAC|89DMG|9BPWR
77	62213 17161	   	172.72	ACR|2ASPD|2AART|2VULN|1AAC	16VULN|2MBVNT|3ERES|48AART|5RCR|7AAC|9aASPD
78	62213 17522	   	172.30	ACR|2DMG|3VULN|1AART|1AAC	169VULN|2MBVNT|39ERES|4AART|5RCR|7AAC|89DMG|9BPWR|aDUR
79	64112 31233	 * 	172.23	ACR|2DMG|2VULN|1ASPD|1BEXP	1aVULN|2RPLT|3BEXP|4LIT|5RCR|68DMG|7ZMB|9ASPD
80	65312 31233	   	172.23	ACR|2DMG|2VULN|1ASPD|1BEXP	1aVULN|2BEXP|3RPLT|4LIT|5RCR|68DMG|7ZMB|9ASPD
81	62213 17524	   	172.20	ACR|2DMG|3VULN|1AART|1AAC	169VULN|2MBVNT|39ERES|4AART|5RCR|7AAC|89DMG|9BPWR|aAME
82	16234 21411	   	172.13	ACR|2DMG|2VULN|1ASPD|1BEXP	1RPLT|28DMG|3NUKE|47VULN|5RCR|6MLV|9BEXP|aASPD
83	16234 36233	   	172.13	ACR|2DMG|2VULN|1ASPD|1BEXP	1RPLT|28DMG|3NUKE|4aVULN|5RCR|6LIT|7BEXP|9ASPD
84	23111 55241	   	171.96	ACR|3BEXP|2DMG|1AART	19CGEN|239BEXP|4AART|5RCR|6FLTFST|7ERES|89DMG|9BPWR|aRMIN
85	23111 55242	   	171.96	ACR|3BEXP|2DMG|1AART	19CGEN|239BEXP|4AART|5RCR|6FLTFST|7ERES|89DMG|9BPWR|aDUR
86	23111 64531	   	171.86	ACR|3BEXP|2DMG|1AART	1CGEN|237BEXP|4AART|5RCR|6ERES|89DMG|aRCVC
87	23111 64532	   	171.76	ACR|3BEXP|2DMG|1AART	1CGEN|237BEXP|4AART|5RCR|6aERES|89DMG
88	23111 46411	   	171.47	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1CGEN|23BEXP|4AART|5RCR|69DUR|7AAC|8DMG|aASPD
89	62713 34127	 * 	171.46	ACR|2ASPD|2AART|1DMG|1VULN	1VULN|2MBVNT|3CGEN|49AART|5RCR|6ERES|7aASPD|8DMG
90	31252 12326	 * 	170.41	DCR|1BASARM|2DMG|2VULN|1BEXP	1DUR|2DUST|3BEXP|4SNITOX|5BASARM|67DMG|89VULN|aRCR
91	23111 43142	 * 	170.10	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6DUR|7LWND|8DMG|9BASICY|aVULN
92	23111 44142	   	170.10	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6DUR|7LHND|8DMG|9BASICY|aVULN
93	23111 12142	   	170.00	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6RCVC|7MDPS|8DMG|9BASICY|aVULN
94	23111 23142	   	170.00	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6DUST|7LWND|8DMG|9BASICY|aVULN
95	23111 24142	   	170.00	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6DUST|7LHND|8DMG|9BASICY|aVULN
96	23111 32142	   	170.00	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	16CGEN|23BEXP|4AART|5RCR|7MDPS|8DMG|9BASICY|aVULN
97	23111 41152	   	170.00	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6DUR|7MBVNT|8DMG|9BASICY|aVULN
98	23111 42142	   	170.00	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6DUR|7DUST|8DMG|9BASICY|aVULN
99	62213 16173	 * 	169.98	ACR|2VULN|1DMG|1AART|1BEXP|1CDMG|1AAC	16VULN|2MBVNT|3ERES|4AART|5RCR|7BEXP|8DMG|9AAC|aCDMG
100	23111 21152	   	169.90	ACR|2BEXP|1DMG|1BASICY|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6DUST|7MBVNT|8DMG|9BASICY|aVULN
101	12263 62411	 * 	169.65	ACR|2ASPD|2DMG|1BEXP	1RPLT|2AME|38DMG|4MLV|5RCR|6aASPD|7ERES|9BEXP
102	23111 25516	   	169.51	ACR|3BEXP|1DMG|1AART|1AAC|1VULN	1CGEN|237BEXP|4AART|5RCR|6DUST|8AAC|9VULN|aDMG
103	64112 32126	 * 	169.48	ACR|2BEXP|2VULN|1ASPD|1DMG	1aVULN|2RPLT|39BEXP|4LIT|5RCR|6DMG|7ASPD|8FEWX
104	65312 32126	   	169.48	ACR|2BEXP|2VULN|1ASPD|1DMG	1aVULN|29BEXP|3RPLT|4LIT|5RCR|6DMG|7ASPD|8FEWX
105	64112 32363	   	169.38	ACR|2BEXP|2VULN|1ASPD|1DMG	1aVULN|2RPLT|39BEXP|4LIT|5RCR|6DMG|7ASPD|8AME
106	65312 32363	   	169.38	ACR|2BEXP|2VULN|1ASPD|1DMG	1aVULN|29BEXP|3RPLT|4LIT|5RCR|6DMG|7ASPD|8AME
107	23111 46422	   	169.20	ACR|2DMG|2BEXP|1AART|1AAC	19CGEN|23BEXP|4AART|5RCR|69aDUR|7AAC|89DMG|9BPWR
108	12363 22415	 * 	169.17	ACR|1BASARM|1ASPD|1DMG	1RPLT|2AME|3ASPD|4MLV|5RCR|6FEWX|7DUST|8MDPS|9DMG|aBASARM
109	23162 11315	   	169.16	DCR|3BEXP|2ASPD|1DMG|1AART|1VULN	19CGEN|239BEXP|4RMIN|5VULN|6DMG|79ASPD|8AART|9BPWR|aRCR
110	12263 53241	   	169.11	ACR|2BEXP|2AART|1DMG|1CDMG	1RPLT|2AME|3DMG|4MLV|5RCR|69BEXP|78AART|aCDMG
111	12363 53241	 * 	169.11	ACR|2BEXP|2AART|1ASPD|1CDMG	1RPLT|2AME|3ASPD|4MLV|5RCR|69BEXP|78AART|aCDMG
112	23111 46423	   	169.10	ACR|2DMG|2BEXP|1AART|1AAC	19CGEN|23BEXP|4AART|5RCR|69DUR|7AAC|89DMG|9BPWR|aTLV
113	62713 62123	 * 	169.01	ACR|2BEXP|2AART|2VULN|1CDMG	19VULN|2MBVNT|3CGEN|48AART|5RCR|69DUST|79BEXP|9BPWR|aCDMG
114	23111 46151	   	169.00	ACR|2ASPD|2BEXP|1AART|1AAC	1CGEN|23BEXP|4AART|5RCR|6DUR|7AAC|8DMSP|9aASPD
115	63222 62151	 * 	168.92	ACR|1DMG|1BASICY|1AART|1BEXP|1CDMG|1VULN	1VULN|2LIT|3CDMG|4CGEN|5RCR|6AART|7DUR|8BASICY|9DMG|aBEXP
116	62213 62123	   	168.91	ACR|2BEXP|2AART|2VULN|1CDMG	19VULN|2MBVNT|3ERES|48AART|5RCR|69DUST|79BEXP|9BPWR|aCDMG
117	63232 62151	   	168.82	ACR|1DMG|1BASICY|1BEXP|1CDMG|1AART|1VULN	1VULN|2LIT|3CDMG|4AME|5RCR|6AART|7DUR|8BASICY|9DMG|aBEXP
118	62213 16713	   	168.48	ACR|3VULN|2BEXP|1AART|1CDMG	168VULN|2MBVNT|38ERES|4AART|5RCR|78BEXP|8BPWR|9DUR|aCDMG
119	32112 63454	 * 	168.38	DCR|1BASARM|2BEXP|1BASICY|1CDMG|1VULN	1DUR|2MBVNT|3VULN|4BASICY|5VENTOX|68BEXP|7BASARM|9CDMG|aRCR
120	62412 63454	   	168.38	DCR|1BASARM|2BEXP|1BASICY|1CDMG|1VULN	1VULN|2MBVNT|3DUR|4BASICY|5VENTOX|68BEXP|7BASARM|9CDMG|aRCR
121	62213 16321	   	168.38	ACR|3VULN|2BEXP|1AART|1CDMG	169VULN|2MBVNT|389ERES|4AART|5RCR|79BEXP|9BPWR|aCDMG
122	32116 63454	   	168.28	DCR|1BASARM|2BEXP|1BASICY|1CDMG|1VULN	1DUR|2MBVNT|3VULN|4BASICY|5SPLARM|68BEXP|7BASARM|9CDMG|aRCR
123	62213 16171	 * 	168.26	ACR|3VULN|1DMG|1AART|1BEXP|1AAC	16aVULN|2MBVNT|3ERES|4AART|5RCR|7BEXP|8DMG|9AAC
124	63232 65221	 * 	168.19	ACR|2VULN|1DMG|2CDMG|1AART|1BEXP	17VULN|2LIT|37CDMG|47AME|5RCR|6AART|7BPWR|8BEXP|9DMG|aLHND
125	63232 65222	   	168.19	ACR|2VULN|2CDMG|1DMG|1BEXP|1AART	17VULN|2LIT|37CDMG|47AME|5RCR|6AART|7BPWR|8BEXP|9DMG|aCGEN
126	63232 65223	   	168.19	ACR|2VULN|1DMG|2CDMG|1AART|1BEXP	17VULN|2LIT|37CDMG|47AME|5RCR|6AART|7BPWR|8BEXP|9DMG|aDUR
127	33222 51531	 * 	168.12	ACR|3ASPD|1DMG|1CDMG	19DUR|269LIT|3CDMG|4RMIN|5RCR|7DMG|89aASPD|9BPWR
128	23111 25223	   	167.92	ACR|3BEXP|1DMG|1AART|1CDMG	1CGEN|237BEXP|4AART|5RCR|6DUST|8DMG|9ZMB|aCDMG
129	23111 25231	   	167.92	ACR|3BEXP|1DMG|1CDMG|1AART	1CGEN|237BEXP|4AART|5RCR|6DUST|8DMG|9DUR|aCDMG
130	23111 25241	   	167.92	ACR|3BEXP|1DMG|1CDMG|1AART	1CGEN|237BEXP|4AART|5RCR|6DUST|8DMG|9LWND|aCDMG
131	23111 25261	   	167.92	ACR|3BEXP|1DMG|1CDMG|1AART	1CGEN|237BEXP|4AART|5RCR|6DUST|8DMG|9LHND|aCDMG
132	23111 54131	   	167.92	ACR|3BEXP|1DMG|1CDMG|1AART	1CGEN|237BEXP|4AART|5RCR|6FLTFST|8DMSP|9CDMG|aDMG
133	23111 54133	 * 	167.92	ACR|3BEXP|1ASPD|1CDMG|1AART	1CGEN|237BEXP|4AART|5RCR|6FLTFST|8DMSP|9CDMG|aASPD
134	23111 64523	   	167.92	ACR|3BEXP|1DMG|1AART|1CDMG	1CGEN|237BEXP|4AART|5RCR|6ERES|8DMG|9RCVC|aCDMG
135	23111 61114	   	167.92	ACR|3BEXP|1DMG|1AART|1CDMG	1CGEN|23aBEXP|4AART|5RCR|6ERES|7CDMG|8DMG|9DUR
136	23111 61124	   	167.92	ACR|3BEXP|1DMG|1AART|1CDMG	1CGEN|23aBEXP|4AART|5RCR|6ERES|7CDMG|8DMG|9FEWX
137	23111 54351	   	167.82	ACR|3BEXP|1ASPD|1CDMG|1AART	1CGEN|237BEXP|4AART|5RCR|6FLTFST|8AME|9CDMG|aASPD
138	23111 56231	   	167.82	ACR|3BEXP|1DMG|1CDMG|1AART	1CGEN|238BEXP|4AART|5RCR|6FLTFST|7AEMAG|9CDMG|aDMG
139	23111 56233	   	167.82	ACR|3BEXP|1ASPD|1CDMG|1AART	1CGEN|238BEXP|4AART|5RCR|6FLTFST|7AEMAG|9CDMG|aASPD
140	64112 32121	 * 	167.72	ACR|3BEXP|1ASPD|1DMG|1VULN	1VULN|2RPLT|39aBEXP|4LIT|5RCR|6DMG|7ASPD|8FEWX
141	65312 32121	   	167.72	ACR|3BEXP|1ASPD|1DMG|1VULN	1VULN|29aBEXP|3RPLT|4LIT|5RCR|6DMG|7ASPD|8FEWX
142	31252 14326	 * 	167.66	DCR|1BASARM|2BEXP|2VULN|1DMG	1DUR|2DUST|37BEXP|4SNITOX|5BASARM|6DMG|89VULN|aRCR
143	31252 15126	   	167.66	DCR|1BASARM|2BEXP|2VULN|1DMG	1DUR|2DUST|38BEXP|4SNITOX|5BASARM|6DMG|79VULN|aRCR
144	23111 14151	   	167.63	ACR|2ASPD|2BEXP|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6RCVC|7VULN|8ZMB|9aASPD
145	23111 34151	   	167.63	ACR|2ASPD|2BEXP|1AART|1VULN	16CGEN|23BEXP|4AART|5RCR|7VULN|8ZMB|9aASPD
146	64112 31262	   	167.63	ACR|2DMG|2BEXP|1AART|1VULN	1VULN|2RPLT|39BEXP|4LIT|5RCR|68DMG|7ZMB|aAART
147	65312 31262	   	167.63	ACR|2DMG|2BEXP|1AART|1VULN	1VULN|29BEXP|3RPLT|4LIT|5RCR|68DMG|7ZMB|aAART
148	23111 14451	   	167.53	ACR|2ASPD|2BEXP|1AART|1VULN	1CGEN|23BEXP|4AART|5RCR|6RCVC|7VULN|8ERES|9aASPD
149	23111 34451	   	167.53	ACR|2ASPD|2BEXP|1AART|1VULN	16CGEN|23BEXP|4AART|5RCR|7VULN|8ERES|9aASPD
150	26211 26421	   	167.51	ACR|2DMG|1ASPD|1AART|1AAC|1VULN	129CGEN|3VULN|4AART|5RCR|69DUST|7AAC|89DMG|9BPWR|aASPD
151	62713 16324	 * 	167.28	ACR|3VULN|2BEXP|2AART	16aVULN|2MBVNT|3CGEN|49AART|5RCR|7aBEXP|8aERES|aBPWR
152	62713 62121	   	167.28	ACR|3VULN|2BEXP|2AART	19aVULN|2MBVNT|3CGEN|48AART|5RCR|69DUST|79BEXP|9BPWR
153	62713 17112	 * 	167.27	ACR|3VULN|2AART|1ASPD|1AAC	169VULN|2MBVNT|39CGEN|48AART|5RCR|7AAC|9BPWR|aASPD
154	62213 62121	   	167.18	ACR|3VULN|2BEXP|2AART	19aVULN|2MBVNT|3ERES|48AART|5RCR|69DUST|79BEXP|9BPWR
155	62213 16324	   	167.18	ACR|3VULN|2BEXP|2AART	169VULN|2MBVNT|389ERES|4aAART|5RCR|79BEXP|9BPWR
156	64112 13123	 * 	167.10	ACR|2DMG|2BEXP|2VULN	1aVULN|2RPLT|3aBEXP|4LIT|5RCR|6LWND|7BELT|8MDPS|9aDMG|aBPWR
157	65312 13123	   	167.10	ACR|2DMG|2BEXP|2VULN	1aVULN|2aBEXP|3RPLT|4LIT|5RCR|6LWND|7BELT|8MDPS|9aDMG|aBPWR
158	34112 32211	   	167.10	ACR|2DMG|2BEXP|1ASPD	1DUR|2RPLT|3aBEXP|4LIT|5RCR|68DMG|7ASPD|9LHND
159	62213 17112	   	167.07	ACR|3VULN|2AART|1ASPD|1AAC	169VULN|2MBVNT|39ERES|48AART|5RCR|7AAC|9BPWR|aASPD
160	34112 32356	   	167.00	ACR|2ASPD|2BEXP|1DMG	1DUR|2RPLT|3aBEXP|4LIT|5RCR|6DMG|7aASPD|8TLV|9aAEMAG|aBPWR
161	12363 36334	   	167.00	ACR|2ASPD|2BEXP|1DMG	1RPLT|29AME|39ASPD|4MLV|5RCR|6AEFBLL|7RMIN|89BEXP|9BPWR|aDMG
