0	Index      	 *	Score 	Summary	Detail	
1	43113 22154	 * 	223.78	ACR|1BASARM|2VULN|2ASPD|2BEXP	16AME|27ASPD|39VULN|46BEXP|5RCR|6BPWR|8MLV|aBASARM
19	43113 32343	   	209.64	ACR|2VULN|2ASPD|2BEXP|1AART|1CDMG	1AME|27ASPD|36VULN|49BEXP|5RCR|8CDMG|aAART
20	43113 22451	 * 	209.28	ACR|3ASPD|3BEXP|1VULN|1AART	16AME|278ASPD|3VULN|46aBEXP|5RCR|6BPWR|9AART
21	43313 42162	 * 	208.99	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1AME|2ASPD|3DUST|49BEXP|5RCR|6CDMG|7AART|8RMIN|aBASARM
22	43313 42362	   	208.99	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1AME|2ASPD|3DUST|49BEXP|5RCR|6CDMG|7AART|8ZMB|aBASARM
23	63122 61153	   	208.69	ACR|1BASARM|2DMG|2BEXP|1AAC	1aBEXP|26DMG|3ERES|4RCR|58MLV|7AAC|9BASARM
24	43113 32435	 * 	208.40	ACR|4VULN|3ASPD|2BEXP	19AME|278ASPD|369aVULN|49BEXP|5RCR|9BPWR
25	61325 33633	 * 	207.73	ACR|3BEXP|2VULN|1ASPD|1BASICY|1CDMG	127BEXP|3DUST|4RCR|5BASICY|6ASPD|89VULN|aCDMG
26	63522 13421	 * 	206.75	ACR|2ASPD|2DMG|2BEXP|1AART	19BEXP|29DMG|3RMIN|4RCR|5MLV|6ZMB|7RCVC|89ASPD|9BPWR|aAART
27	43113 14336	 * 	206.62	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG|1AAC	19AME|2ASPD|39VULN|4BEXP|5RCR|6AAC|7FEWX|89DMG|9BPWR|aCDMG
28	43113 22345	   	206.28	ACR|3ASPD|3BEXP|1VULN|1CDMG	16AME|27aASPD|3VULN|469BEXP|5RCR|6BPWR|8CDMG
29	43113 22515	   	206.28	ACR|3ASPD|3BEXP|1VULN|1CDMG	16AME|27aASPD|3VULN|468BEXP|5RCR|6BPWR|9CDMG
30	21363 14333	   	206.16	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AAC	1LWND|29BEXP|3ERES|4ASPD|5RCR|6AAC|7FEWX|8DMG|aBASARM
31	63163 15333	   	206.06	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AAC	19BEXP|2DMG|3ERES|4DUST|5RCR|6AAC|7DUR|8ASPD|aBASARM
32	63525 12223	 * 	205.71	ACR|1BASARM|2DMG|1BASICY|1BEXP	1BEXP|2aDMG|37RMIN|4RCR|5BASICY|6LWND|8FEWX|9BASARM
33	43113 22432	   	204.36	ACR|3ASPD|2VULN|3BEXP	169AME|278ASPD|39VULN|469BEXP|5RCR|69BPWR|aDUR
34	43113 22433	   	204.36	ACR|3ASPD|2VULN|3BEXP	169AME|278ASPD|39VULN|469BEXP|5RCR|69BPWR|aLWND
35	43113 22434	   	204.36	ACR|3ASPD|2VULN|3BEXP	169AME|278ASPD|39VULN|469BEXP|5RCR|69BPWR|aCGEN
36	43113 22435	   	204.36	ACR|3ASPD|2VULN|3BEXP	169AME|278ASPD|39VULN|469BEXP|5RCR|69BPWR|aLIT
37	63163 33421	   	203.92	ACR|2ASPD|2DMG|2BEXP|1AART	19BEXP|29DMG|3ERES|4DUST|5RCR|67RCVC|89ASPD|9BPWR|aAART
38	63525 32233	 * 	203.33	ACR|3BEXP|2ASPD|1DMG|1BASICY	19aBEXP|2DMG|3RMIN|4RCR|5BASICY|67ASPD|8ERES
39	63525 33233	 * 	203.33	ACR|3BEXP|2DMG|1ASPD|1BASICY	179BEXP|2aDMG|3RMIN|4RCR|5BASICY|6ASPD|8ERES
40	63124 13421	 * 	203.26	ACR|3BEXP|2ASPD|2DMG	159BEXP|29DMG|3ERES|4RCR|6DUR|7RCVC|89ASPD|9BPWR|aZMB
41	61325 32233	   	203.23	ACR|3BEXP|2ASPD|1DMG|1BASICY	129BEXP|3DUST|4RCR|5BASICY|67ASPD|8ERES|aDMG
42	63124 13422	   	203.16	ACR|3BEXP|2ASPD|2DMG	159BEXP|29DMG|3ERES|4RCR|6DUR|7RCVC|89ASPD|9BPWR|aLEGI
43	63124 12421	   	202.96	ACR|3BEXP|2ASPD|2DMG	159BEXP|29DMG|3ERES|4RCR|6DUR|79ASPD|8RCVC|9BPWR|aZMB
44	63124 12422	   	202.86	ACR|3BEXP|2ASPD|2DMG	159BEXP|29DMG|3ERES|4RCR|6DUR|79ASPD|8RCVC|9BPWR|aLEGI
45	61322 61135	 * 	202.76	ACR|1BASARM|2BEXP|1BASICY|1DMG	12BEXP|3DUST|4RCR|5MLV|6DMG|7BASICY|8RMIN|9ERES|aBASARM
46	63123 21236	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DMG|3ERES|4RCR|5MDPS|6LWND|7ASPD|8BASARM|9FEWX
47	63123 21253	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DMG|3ERES|4RCR|5MDPS|6LWND|7ASPD|8BASARM|9MLV
48	63123 41253	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DMG|3ERES|4RCR|5MDPS|6LHND|7ASPD|8BASARM|9MLV
49	63123 21216	   	202.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DMG|3ERES|4RCR|5MDPS|6LWND|7ASPD|8BASARM|9DUST
50	63123 21223	   	202.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DMG|3ERES|4RCR|5MDPS|6LWND|7ASPD|8BASARM|9TLV
51	63123 41223	   	202.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DMG|3ERES|4RCR|5MDPS|6LHND|7ASPD|8BASARM|9TLV
52	63123 21255	   	202.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BEXP|2DMG|3ERES|4RCR|5MDPS|6LWND|7ASPD|8BASARM|9MLV|aAART
53	63123 21225	   	202.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BEXP|2DMG|3ERES|4RCR|5MDPS|6LWND|7ASPD|8BASARM|9TLV|aAART
54	63123 41225	   	202.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BEXP|2DMG|3ERES|4RCR|5MDPS|6LHND|7ASPD|8BASARM|9TLV|aAART
55	43113 32432	   	202.10	ACR|3VULN|3ASPD|2BEXP	19AME|278ASPD|369VULN|49BEXP|5RCR|9BPWR|aDUR
56	43113 62632	   	202.10	ACR|3VULN|3ASPD|2BEXP	19AME|267ASPD|389VULN|49BEXP|5RCR|9BPWR|aDUR
57	43113 32431	   	202.00	ACR|3VULN|3ASPD|2BEXP	19AME|278ASPD|369VULN|49BEXP|5RCR|9BPWR|aERES
58	43113 32433	   	202.00	ACR|3VULN|3ASPD|2BEXP	19AME|278ASPD|369VULN|49BEXP|5RCR|9BPWR|aDUST
59	43113 62631	   	202.00	ACR|3VULN|3ASPD|2BEXP	19AME|267ASPD|389VULN|49BEXP|5RCR|9BPWR|aERES
60	43113 62633	   	202.00	ACR|3VULN|3ASPD|2BEXP	19AME|267ASPD|389VULN|49BEXP|5RCR|9BPWR|aDUST
61	63123 21243	   	201.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1BEXP|2DMG|39ERES|4RCR|5MDPS|6LWND|7ASPD|8BASARM|aCDMG
62	63123 41243	   	201.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1BEXP|2DMG|39ERES|4RCR|5MDPS|6LHND|7ASPD|8BASARM|aCDMG
63	43113 42622	   	201.24	ACR|3ASPD|1VULN|1DMG|1BEXP|1CDMG	1AME|29aASPD|3VULN|4BEXP|5RCR|6CDMG|7DUR|8DMG
64	63124 12521	   	201.06	ACR|3BEXP|2ASPD|2DMG	159BEXP|29DMG|3ERES|4RCR|68DUR|79ASPD|9BPWR|aZMB
65	63124 12522	   	200.96	ACR|3BEXP|2ASPD|2DMG	159BEXP|29DMG|3ERES|4RCR|68DUR|79ASPD|9BPWR|aLEGI
66	63525 23211	 * 	200.55	ACR|2BEXP|2BASICY|1ASPD|1DMG|1AART	1aBEXP|2DMG|3RMIN|4RCR|58BASICY|6ERES|7AART|9ASPD
67	43213 61135	 * 	200.51	ACR|1BASARM|2ASPD|1BASICY|1BEXP	1AME|26ASPD|3LWND|4BEXP|5RCR|7BASICY|8RMIN|9ERES|aBASARM
68	43313 61135	   	200.41	ACR|1BASARM|2ASPD|1BASICY|1BEXP	1AME|26ASPD|3DUST|4BEXP|5RCR|7BASICY|8RMIN|9ERES|aBASARM
69	63123 33333	   	200.08	ACR|1BASARM|2DMG|2BEXP	19BEXP|26DMG|3ERES|4RCR|5MDPS|78DUST|aBASARM
70	43113 32626	   	199.99	ACR|3VULN|2ASPD|2BEXP|1CDMG	1AME|27ASPD|368VULN|49BEXP|5RCR|aCDMG
71	43113 14335	 * 	199.97	ACR|3VULN|2DMG|1ASPD|1BEXP|1AAC	19AME|2ASPD|39aVULN|4BEXP|5RCR|6AAC|7FEWX|89DMG|9BPWR
72	61325 32234	 * 	199.93	ACR|3BEXP|2ASPD|1BASICY|1VULN	129BEXP|3DUST|4RCR|5BASICY|67ASPD|8ERES|aVULN
73	61325 32321	   	199.93	ACR|3BEXP|2ASPD|1BASICY|1VULN	129BEXP|3DUST|4RCR|5BASICY|67ASPD|8MDPS|aVULN
74	63246 22333	   	199.75	ACR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	19BEXP|2DMG|3RPLT|4AAC|5RCR|6FEWX|7ERES|8CDMG|aBASARM
75	43113 23212	   	199.42	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	16AME|28ASPD|3VULN|46BEXP|5RCR|6BPWR|7LIT|9CDMG|aDMG
76	61325 33431	   	199.39	ACR|3BEXP|1ASPD|1DMG|1BASICY|1CDMG	127BEXP|3DUST|4RCR|5BASICY|6ASPD|8FEWX|9DMG|aCDMG
77	61325 33162	   	199.29	ACR|3BEXP|1ASPD|1DMG|1BASICY|1CDMG	127BEXP|3DUST|4RCR|5BASICY|6ASPD|8TLV|9CDMG|aDMG
78	61325 33262	   	199.29	ACR|3BEXP|1ASPD|1DMG|1BASICY|1CDMG	127BEXP|3DUST|4RCR|5BASICY|6ASPD|8ERES|9CDMG|aDMG
79	43113 62151	   	199.01	ACR|3ASPD|1VULN|2BEXP|1AART	1AME|267ASPD|3VULN|4aBEXP|5RCR|8AART|9DMSP
80	61321 52622	 * 	198.92	ACR|3DMG|3BEXP|1ASPD	129BEXP|3DUST|4RCR|5RPLT|689DMG|79TLV|9BPWR|aASPD
81	61321 53622	   	198.92	ACR|3DMG|3BEXP|1ASPD	129BEXP|3DUST|4RCR|5RPLT|689DMG|79ERES|9BPWR|aASPD
82	43113 62124	   	198.91	ACR|3ASPD|1VULN|2BEXP|1AART	1AME|267ASPD|3VULN|4aBEXP|5RCR|8AART|9LEGI
83	61325 32325	 * 	198.82	ACR|3ASPD|3BEXP|1BASICY	129BEXP|3DUST|4RCR|5BASICY|67aASPD|8MDPS
84	43113 62114	   	198.80	ACR|3ASPD|2VULN|1AART|1BEXP	1AME|267ASPD|3aVULN|4BEXP|5RCR|8AART|9LIT
85	63121 43631	 * 	198.80	ACR|3DMG|2VULN|1BEXP|1CDMG	1BEXP|289DMG|3ERES|4RCR|5RPLT|67VULN|aCDMG
86	63523 24331	   	198.78	ACR|3DMG|3BEXP|1ASPD|1SELL	167BEXP|269DMG|3RMIN|4RCR|5MDPS|6BPWR|8SELL|aASPD
87	43113 62125	   	198.72	ACR|3ASPD|1VULN|1AART|1BEXP|1CDMG	1AME|267ASPD|3VULN|4BEXP|5RCR|8AART|9LEGI|aCDMG
88	43113 62123	   	198.70	ACR|3ASPD|2VULN|1AART|1BEXP	1AME|267ASPD|3aVULN|4BEXP|5RCR|8AART|9LEGI
89	63123 34322	   	198.68	ACR|3DMG|3BEXP|1ASPD|1SELL	179BEXP|269DMG|39ERES|4RCR|5MDPS|8SELL|9BPWR|aASPD
90	63236 21252	   	198.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BEXP|2DMG|3RPLT|4ASPD|5RCR|6FEWX|78AME|9AART|aBASARM
91	43113 33212	   	198.21	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	1AME|28ASPD|36VULN|4BEXP|5RCR|7LIT|9CDMG|aDMG
92	43113 22452	   	198.01	ACR|3ASPD|1VULN|2BEXP|1AART	16AME|278ASPD|3VULN|46BEXP|5RCR|6BPWR|9AART|aLWND
93	63525 23111	 * 	197.96	ACR|2DMG|2BEXP|1BASICY|1AART|1AAC	1aBEXP|29DMG|3RMIN|4RCR|5BASICY|6ERES|7AART|8AAC
94	43113 22341	   	197.93	ACR|3BEXP|2ASPD|1VULN|1CDMG|1AAC	16AME|27ASPD|3VULN|469BEXP|5RCR|6BPWR|8CDMG|aAAC
95	43113 22511	   	197.93	ACR|3BEXP|2ASPD|1VULN|1CDMG|1AAC	16AME|27ASPD|3VULN|468BEXP|5RCR|6BPWR|9CDMG|aAAC
96	43113 32452	   	197.80	ACR|3ASPD|2VULN|1AART|1BEXP	1AME|278ASPD|36VULN|4BEXP|5RCR|9AART|aLWND
97	43113 62236	   	197.80	ACR|3ASPD|2VULN|1AART|1BEXP	1AME|267ASPD|3aVULN|4BEXP|5RCR|8RPLT|9AART
98	43113 41353	   	197.72	ACR|3ASPD|1VULN|1AART|1BEXP|1CDMG	1AME|27aASPD|3VULN|4BEXP|5RCR|6CDMG|8AEFBLL|9AART
99	21163 23336	 * 	197.61	ACR|1BASARM|2DMG|1VULN|1BEXP	169LWND|2BEXP|39DUR|4VULN|5RCR|7MLV|89DMG|9BPWR|aBASARM
100	61325 32523	 * 	197.09	ACR|2ASPD|2BEXP|2BASICY|1VULN	12BEXP|3DUST|4RCR|58BASICY|67ASPD|9ERES|aVULN
101	61325 32533	   	197.09	ACR|2ASPD|2BEXP|2BASICY|1VULN	12BEXP|3DUST|4RCR|58BASICY|67ASPD|9AME|aVULN
102	61325 32153	   	197.02	ACR|3BEXP|2ASPD|1BASICY|1CDMG	129BEXP|39DUST|4RCR|5BASICY|67ASPD|89LWND|9BPWR|aCDMG
103	61325 32163	   	196.92	ACR|3BEXP|2ASPD|1BASICY|1CDMG	129BEXP|3DUST|4RCR|5BASICY|67ASPD|8LWND|aCDMG
104	43113 13424	 * 	196.89	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1AAC	1AME|2ASPD|3VULN|4BEXP|5RCR|6AAC|7LIT|8AART|9aDMG
105	63236 22353	   	196.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1BEXP|2DMG|3RPLT|4ASPD|5RCR|6FEWX|7ERES|8CDMG|9DMSP|aBASARM
106	63236 22323	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1BEXP|2DMG|3RPLT|4ASPD|5RCR|6FEWX|79ERES|8CDMG|aBASARM
107	63521 22333	   	196.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	19BEXP|2DMG|3RMIN|4RCR|5RPLT|6FEWX|7ERES|8CDMG|aBASARM
108	63236 12621	   	196.41	ACR|3DMG|2BEXP|1ASPD|1CDMG	19BEXP|289DMG|3RPLT|4ASPD|5RCR|6ZMB|79TLV|9BPWR|aCDMG
109	63236 13621	   	196.41	ACR|3DMG|2BEXP|1ASPD|1CDMG	19BEXP|289DMG|3RPLT|4ASPD|5RCR|6ZMB|79ERES|9BPWR|aCDMG
110	63123 21254	   	196.23	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1BEXP|2DMG|3ERES|4RCR|5MDPS|6LWND|7ASPD|8BASARM|9MLV|aAAC
111	63123 21224	   	196.13	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1BEXP|2DMG|3ERES|4RCR|5MDPS|6LWND|7ASPD|8BASARM|9TLV|aAAC
112	63123 41224	   	196.13	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1BEXP|2DMG|3ERES|4RCR|5MDPS|6LHND|7ASPD|8BASARM|9TLV|aAAC
113	61325 33623	   	196.10	ACR|3BEXP|1VULN|1ASPD|1BASICY|1CDMG	127BEXP|3DUST|4RCR|5BASICY|6ASPD|8VULN|9DMSP|aCDMG
114	43113 22356	   	196.01	ACR|2ASPD|1VULN|2BEXP|1AART|1CDMG	16AME|27ASPD|3VULN|46BEXP|5RCR|6BPWR|8CDMG|9AART|aFEWX
115	61325 33613	   	196.00	ACR|3BEXP|1VULN|1ASPD|1BASICY|1CDMG	127BEXP|39DUST|4RCR|5BASICY|6ASPD|8VULN|aCDMG
116	65323 22262	 * 	195.97	DCR|2VULN|3BEXP|3CDMG|1AART|1DMG	148BEXP|2AART|348CDMG|48BPWR|5MDPS|68VULN|7BELT|9DMG|aRCR
117	43113 22351	   	195.91	ACR|2ASPD|1VULN|2BEXP|1AART|1CDMG	16AME|27ASPD|3VULN|46BEXP|5RCR|6BPWR|8CDMG|9AART|aAEMAG
118	43113 22354	   	195.91	ACR|2ASPD|1VULN|2BEXP|1AART|1CDMG	16AME|27ASPD|3VULN|46BEXP|5RCR|6BPWR|8CDMG|9AART|aDUST
119	43113 22355	   	195.91	ACR|2ASPD|1VULN|2BEXP|1AART|1CDMG	16AME|27ASPD|3VULN|46BEXP|5RCR|6BPWR|8CDMG|9AART|aAEFBLL
120	43113 32356	   	195.80	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	1AME|27ASPD|36VULN|4BEXP|5RCR|8CDMG|9AART|aFEWX
121	43113 32351	   	195.70	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	1AME|27ASPD|36VULN|4BEXP|5RCR|8CDMG|9AART|aAEMAG
122	43113 32354	   	195.70	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	1AME|27ASPD|36VULN|4BEXP|5RCR|8CDMG|9AART|aDUST
123	43113 32355	   	195.70	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	1AME|27ASPD|36VULN|4BEXP|5RCR|8CDMG|9AART|aAEFBLL
124	63236 63322	   	195.16	ACR|2DMG|2BEXP|1ASPD|1AART|1CDMG|1SELL	19BEXP|29DMG|3RPLT|4ASPD|5RCR|6CDMG|79AME|8SELL|9BPWR|aAART
125	33312 12635	 * 	195.11	ACR|3VULN|3DMG|1AART|1SELL	1aLIT|2SELL|3ERES|47aDMG|5RCR|68aVULN|9AART|aBPWR
126	63525 31113	 * 	195.09	ACR|2DMG|1VULN|1ASPD|1BASICY|1BEXP	1BEXP|2aDMG|3RMIN|4RCR|5BASICY|6ASPD|7FEWX|8VULN|9RPLT
127	63525 32122	 * 	195.09	ACR|2ASPD|1DMG|1BASICY|1VULN|1BEXP	1BEXP|2DMG|3RMIN|4RCR|5BASICY|67ASPD|8LWND|9FEWX|aVULN
128	43113 22412	   	195.01	ACR|3ASPD|1VULN|2BEXP|1CDMG	16AME|278ASPD|3VULN|46BEXP|5RCR|6BPWR|9CGEN|aCDMG
129	43113 22461	   	195.01	ACR|3ASPD|1VULN|2BEXP|1CDMG	16AME|278ASPD|3VULN|46BEXP|5RCR|6BPWR|9CDMG|aDMSP
130	43113 22462	   	195.01	ACR|3ASPD|1VULN|2BEXP|1CDMG	16AME|278ASPD|3VULN|46BEXP|5RCR|6BPWR|9CDMG|aLWND
131	43113 22463	   	195.01	ACR|3ASPD|1VULN|2BEXP|1CDMG	16AME|278ASPD|3VULN|46BEXP|5RCR|6BPWR|9CDMG|aCGEN
132	43113 62342	   	195.01	ACR|3ASPD|1VULN|2BEXP|1CDMG	1AME|267ASPD|3VULN|49BEXP|5RCR|8CGEN|aCDMG
133	63525 32133	   	194.99	ACR|2ASPD|1DMG|1BASICY|1VULN|1BEXP	1BEXP|2DMG|3RMIN|4RCR|5BASICY|67ASPD|8LWND|9ERES|aVULN
134	63525 32213	   	194.99	ACR|2ASPD|1DMG|1BASICY|1VULN|1BEXP	1BEXP|2DMG|3RMIN|4RCR|5BASICY|67ASPD|8ERES|9LHND|aVULN
135	43113 22424	   	194.91	ACR|3ASPD|1VULN|2BEXP|1CDMG	16AME|278ASPD|3VULN|46BEXP|5RCR|6BPWR|9ERES|aCDMG
136	43113 22362	   	194.91	ACR|2ASPD|1VULN|2BEXP|1AART|1CDMG	16AME|27ASPD|3VULN|46BEXP|5RCR|6BPWR|8CDMG|9DUST|aAART
137	43113 41343	   	194.91	ACR|2ASPD|1VULN|2BEXP|1AART|1CDMG	1AME|27ASPD|3VULN|49BEXP|5RCR|6CDMG|8AEFBLL|aAART
138	63525 32223	   	194.89	ACR|2ASPD|1DMG|1BASICY|1VULN|1BEXP	1BEXP|2DMG|3RMIN|4RCR|5BASICY|67ASPD|8ERES|9VENICY|aVULN
139	43113 32362	   	194.70	ACR|2VULN|2ASPD|1AART|1BEXP|1CDMG	1AME|27ASPD|36VULN|4BEXP|5RCR|8CDMG|9DUST|aAART
140	43313 42122	   	194.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1AME|2ASPD|3DUST|4BEXP|5RCR|6CDMG|7AART|8RMIN|9LHND|aBASARM
141	43313 42142	   	194.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1AME|2ASPD|3DUST|4BEXP|5RCR|6CDMG|7AART|8RMIN|9FEWX|aBASARM
142	43313 42322	   	194.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1AME|2ASPD|3DUST|4BEXP|5RCR|6CDMG|7AART|8ZMB|9LHND|aBASARM
143	43313 42342	   	194.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1AME|2ASPD|3DUST|4BEXP|5RCR|6CDMG|7AART|8ZMB|9FEWX|aBASARM
144	43113 26262	 * 	194.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1AART	16AME|2ASPD|3VULN|467BEXP|5RCR|6BPWR|8DUR|9DMG|aAART
145	63525 23311	   	194.03	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AART	1aBEXP|2DMG|3RMIN|4RCR|5BASICY|6ERES|7AART|8RCVC|9ASPD
146	43113 22613	   	193.99	ACR|2VULN|2ASPD|2BEXP|1AART	16AME|27ASPD|38VULN|46BEXP|5RCR|6BPWR|9BELT|aAART
147	43113 36413	   	193.99	ACR|2VULN|2ASPD|2BEXP|1AART	1AME|28ASPD|36VULN|47BEXP|5RCR|9BELT|aAART
148	43113 32513	   	193.99	ACR|2VULN|2ASPD|2BEXP|1AART	1AME|27ASPD|36VULN|48BEXP|5RCR|9BELT|aAART
149	63122 61152	   	193.85	ACR|1BASARM|2DMG|1BEXP|1AAC	1BEXP|26DMG|3ERES|4RCR|58MLV|7AAC|9BASARM|aFEWX
150	43113 32412	   	193.80	ACR|3ASPD|2VULN|1BEXP|1CDMG	1AME|278ASPD|36VULN|4BEXP|5RCR|9CGEN|aCDMG
151	43113 32461	   	193.80	ACR|3ASPD|2VULN|1BEXP|1CDMG	1AME|278ASPD|36VULN|4BEXP|5RCR|9CDMG|aDMSP
152	43113 32462	   	193.80	ACR|3ASPD|2VULN|1BEXP|1CDMG	1AME|278ASPD|36VULN|4BEXP|5RCR|9CDMG|aLWND
153	43113 32463	   	193.80	ACR|3ASPD|2VULN|1BEXP|1CDMG	1AME|278ASPD|36VULN|4BEXP|5RCR|9CDMG|aCGEN
154	43113 62612	   	193.80	ACR|3ASPD|2VULN|1BEXP|1CDMG	1AME|267ASPD|38VULN|4BEXP|5RCR|9CGEN|aCDMG
