0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23322 66411	10	 * 	287.49	橙5易伤3时间1等级	17掉矿24567易伤367时间67序列升级8金币生成9等级a核
60	23322 63115	9	   	267.75	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7等级9挖青a核
61	23322 63153	8	   	267.75	橙4易伤3时间1等级	1a掉矿2456易伤368时间6序列升级7等级9核
62	23322 63154	8	   	267.75	橙4易伤3时间1等级	1掉矿2456易伤368时间6序列升级7等级9核a挖尘
63	23332 56231	10	   	267.75	橙4易伤3时间1等级	147掉矿2567易伤379时间7序列升级8等级a核
64	23362 62153	6	   	267.75	橙4易伤3时间1等级	1a掉矿2568易伤346时间6序列升级7等级9核
65	23322 65531	7	   	267.57	橙5易伤2时间1全技能	1掉矿2456a易伤36时间6序列升级7全技能8核9矿等
66	64111 33543	8	   	267.03	橙3易伤2伤害3攻速1暴击	139攻速29伤害4暴击5加一6核7金币生成89a易伤9序列升级
67	11133 33524	10	 * 	266.27	紫4易伤3攻速3雷电2等级1伤害	138雷电2核49等级5789易伤689攻速89序列升级a伤害
68	23322 56136	9	   	266.22	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8基地爆炸9雷电a核
69	23321 66133	8	   	265.25	橙4易伤3时间1暴击	157掉矿2467易伤367时间67序列升级8基地爆炸9暴击a核
70	23332 66133	8	   	265.25	橙4易伤3时间1暴击	147掉矿2567易伤367时间67序列升级8基地爆炸9暴击a核
71	63221 36236	9	 * 	265.04	紫4易伤2伤害2时间2攻速	1a攻速248a易伤3核5掉矿69时间7a伤害a序列升级
72	63221 36236	8	   	265.04	紫4易伤2伤害2时间2攻速	1a攻速248a易伤3核5掉矿69时间7a伤害a序列升级
73	63232 36236	9	   	265.04	紫4易伤2伤害2时间2攻速	1a攻速258a易伤3核4掉矿69时间7a伤害a序列升级
74	63232 36236	8	   	265.04	紫4易伤2伤害2时间2攻速	1a攻速258a易伤3核4掉矿69时间7a伤害a序列升级
75	23322 63524	7	   	264.28	橙4易伤2时间1等级1全技能	1掉矿2456易伤36时间6序列升级7等级8平台9全技能a核
76	34122 14523	6	   	264.28	橙4易伤3攻速1时间1全技能	1敌人爆炸2467易伤36a攻速5全技能6序列升级8核9时间
77	23122 75324	6	   	263.19	橙5易伤1伤害1时间	167掉矿24567易伤3加一67序列升级8时间9伤害a核
78	23122 77324	7	   	263.19	橙5易伤1伤害1时间	167掉矿24567易伤3加一67序列升级8时间9伤害a核
79	23124 42532	6	 * 	263.19	橙5易伤3等级1时间	178掉矿24678易伤3加一578等级78序列升级9时间a核
80	12133 45342	1	   	263.06	橙4易伤1伤害1等级1攻速	1雷电2攻速3赏金邻近459a易伤6伤害7核8等级
81	23322 44136	5	   	262.60	橙4易伤3时间1攻速	17掉矿2457易伤367时间7序列升级8敌人爆炸9攻速a核
82	23322 44352	5	   	262.60	橙4易伤3时间1攻速	17掉矿2457易伤367时间7序列升级8金币生成9核a攻速
83	23322 61136	6	   	262.60	橙4易伤3时间1攻速	1掉矿2456易伤368时间6序列升级7基地爆炸9攻速a核
84	23322 62136	6	   	262.60	橙4易伤3时间1攻速	1掉矿2456易伤368时间6序列升级7最后敌人9攻速a核
85	23322 64136	7	   	262.60	橙4易伤3时间1攻速	1掉矿2456易伤368时间6序列升级7基地爆炸9攻速a核
86	23322 66136	6	   	262.60	橙4易伤3时间1攻速	1掉矿2456易伤368时间6序列升级7敌人爆炸9攻速a核
87	23362 61116	6	   	262.60	橙4易伤3时间1攻速	1掉矿2568易伤346时间6序列升级7攻速9低血量敌人a核
88	23362 61126	6	   	262.60	橙4易伤3时间1攻速	1掉矿2568易伤346时间6序列升级7攻速9敌人爆炸a核
89	23362 61236	8	   	262.60	橙4易伤3时间1攻速	1掉矿2569易伤346时间6序列升级7敌人爆炸8攻速a核
90	23362 61236	7	   	262.60	橙4易伤3时间1攻速	1掉矿2569易伤346时间6序列升级7敌人爆炸8攻速a核
91	23322 62136	7	   	262.50	橙4易伤3时间1攻速	1掉矿2456易伤368时间6序列升级7挖青9攻速a核
92	11133 33525	10	   	262.46	紫4易伤3攻速3雷电2等级1时间	138雷电2核49等级5789易伤689攻速89序列升级a时间
93	34241 26332	3	 * 	261.79	橙3易伤2伤害2时间	1敌人爆炸29a易伤3基地爆炸4雷电59时间6挖尘79伤害8核9序列升级
94	23321 54531	6	   	261.58	橙4易伤2时间1暴击1全技能	157掉矿2467易伤37时间7序列升级8全技能9暴击a核
95	23321 56531	7	   	261.58	橙4易伤2时间1暴击1全技能	157掉矿2467易伤37时间7序列升级8全技能9暴击a核
96	23322 55523	7	   	261.58	橙4易伤2时间1暴击1全技能	1掉矿2456易伤39时间7全技能8核a暴击
97	23322 65243	8	   	261.58	橙4易伤2时间1暴击1全技能	18掉矿2456易伤36时间6序列升级7全技能9核a暴击
98	23332 54531	6	   	261.58	橙4易伤2时间1暴击1全技能	147掉矿2567易伤37时间7序列升级8全技能9暴击a核
99	23332 56531	7	   	261.58	橙4易伤2时间1暴击1全技能	147掉矿2567易伤37时间7序列升级8全技能9暴击a核
100	23322 65521	7	   	261.26	橙4易伤3时间1全技能	1掉矿2456易伤369时间6序列升级7全技能8核a平台
101	23322 65522	7	   	261.26	橙4易伤3时间1全技能	1掉矿2456易伤369时间6序列升级7全技能8核a立即金币
102	23322 65523	7	   	261.26	橙4易伤3时间1全技能	1掉矿2456易伤369时间6序列升级7全技能8核a策反
103	23322 61551	10	   	261.02	橙4易伤3时间1全技能1卖塔	1掉矿2456易伤368时间6序列升级7卖塔9全技能a核
104	63633 35331	3	   	260.70	橙4易伤1等级1时间1攻速1全技能	1攻速247a易伤3全技能5时间6核8立即金币9等级
105	35422 13236	1	   	260.03	橙3易伤3时间1伤害1攻速	1敌人爆炸2伤害345时间679易伤8攻速a核
106	23322 53116	6	   	259.90	橙4易伤1伤害1等级1时间	1掉矿2456易伤3时间7赏金邻近8等级9伤害a核
107	23322 53616	7	   	259.90	橙4易伤1伤害1等级1时间	1掉矿2456易伤3时间7等级8赏金塔9伤害a核
108	33422 13221	2	 * 	259.89	橙3易伤3时间3攻速	19敌人爆炸289攻速345时间679易伤9序列升级a核
109	36122 13221	3	   	259.89	橙3易伤3时间3攻速	19敌人爆炸245时间389攻速679易伤9序列升级a核
110	61221 62134	8	   	259.89	橙3易伤3时间3攻速	14a攻速2金币生成37a易伤5立即金币6核89a时间a序列升级
111	61452 13221	1	   	259.89	橙3易伤3时间3攻速	189攻速29低血量敌人345时间679易伤9序列升级a核
112	62222 13221	1	   	259.89	橙3易伤3时间3攻速	189攻速245时间39敌人爆炸679易伤9序列升级a核
113	62322 13221	1	   	259.89	橙3易伤3时间3攻速	189攻速245时间39基地爆炸679易伤9序列升级a核
114	64422 13221	1	   	259.89	橙3易伤3时间3攻速	189攻速29敌人爆炸345时间679易伤9序列升级a核
115	63452 33221	1	   	259.89	橙3易伤3时间3攻速	189攻速279易伤345时间69敌人爆炸9序列升级a核
116	63452 33221	2	   	259.89	橙3易伤3时间3攻速	189攻速279易伤345时间69敌人爆炸9序列升级a核
117	61231 62134	9	   	259.79	橙4易伤2时间2攻速	1a攻速24金币生成379a易伤5立即金币6核8a时间a序列升级
118	63532 33122	10	   	259.68	橙2易伤3时间2攻速1伤害1等级	17攻速27易伤3双倍矿4等级5挖尘679时间7序列升级8伤害a核
119	23322 53535	9	   	259.48	橙5易伤1等级1时间	1掉矿24569易伤3时间7等级8基地爆炸a核
120	23122 63137	9	   	259.38	橙5易伤1等级1时间	1掉矿24569易伤3加一7等级8时间a核
121	23122 73137	9	   	259.38	橙5易伤1等级1时间	16掉矿24569易伤3加一6序列升级7等级8时间a核
122	23123 71728	10	 * 	258.74	橙4易伤2伤害1暴击	1a掉矿248a易伤3加一5金币生成6暴击7a伤害9核a序列升级
123	23331 63663	5	 * 	258.66	橙3易伤2伤害2暴击1时间	145掉矿29a易伤3时间6核79暴击89伤害9序列升级
124	23322 13545	7	 * 	258.34	橙4易伤2时间2暴击	18掉矿2458易伤39时间6基地爆炸78暴击8序列升级a核
125	23322 62156	8	   	258.34	橙4易伤2时间1伤害	1掉矿2456易伤36时间6序列升级7挖青8基地爆炸9伤害a核
126	23322 62356	7	   	258.34	橙4易伤2时间1伤害	1掉矿2456易伤36时间6序列升级7挖青8基地爆炸9伤害a核
127	23122 73172	10	   	258.24	橙4易伤2时间2等级	169掉矿2456易伤3加一69序列升级79等级89时间a核
128	23312 23565	7	   	258.24	橙4易伤2时间2暴击	18掉矿2689易伤35时间4挖尘78暴击8序列升级a核
129	12621 52162	8	   	258.18	橙5易伤1时间2雷电	16雷电2最后敌人3挖尘4569a易伤6序列升级7核8时间
130	34122 14531	6	 * 	257.95	橙5易伤2攻速1全技能	1敌人爆炸2467a易伤36攻速5全技能6序列升级8核9掉矿
131	23122 73523	7	   	257.95	橙5易伤2等级1攻速	168掉矿24568易伤3加一68序列升级78等级9攻速a核
132	23124 42566	6	   	257.95	橙5易伤3等级1攻速	178掉矿24678易伤3加一578等级78序列升级9攻速a核
133	23322 54225	6	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9敌人爆炸a核
134	23322 54325	6	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8金币生成9敌人爆炸a核
135	23322 56115	9	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8基地爆炸9随机矿a核
136	23322 56215	9	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8最后敌人9随机矿a核
137	23322 56225	7	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9敌人爆炸a核
138	23322 56235	8	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8最后敌人9金币生成a核
139	23322 56325	7	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8金币生成9敌人爆炸a核
140	23322 56325	8	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9敌人爆炸a核
141	23322 62435	6	   	257.91	橙5易伤2时间	1掉矿24569易伤36时间6序列升级7最后敌人8金币生成a核
142	23322 64235	9	   	257.91	橙5易伤2时间	1掉矿24569易伤36时间6序列升级7基地爆炸8矿等a核
143	23322 54251	6	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9核a最后敌人
144	23322 54252	6	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9核a平台
145	23322 54351	6	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8金币生成9核a最后敌人
146	23322 54352	6	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8金币生成9核a平台
147	23322 56251	7	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9核a最后敌人
148	23322 56252	7	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9核a平台
149	23322 56351	8	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9核a最后敌人
150	23322 56351	7	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8金币生成9核a最后敌人
151	23322 56352	8	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9核a平台
152	23322 56352	7	   	257.91	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8金币生成9核a平台
153	34122 14324	7	   	257.89	橙3易伤2攻速1伤害1暴击1全技能	1敌人爆炸246易伤36攻速5全技能6序列升级7暴击8雷电9核a伤害
154	23122 18141	5	   	257.81	橙5易伤2时间	179掉矿24579易伤3加一6核79序列升级89时间a随机矿
155	23122 18143	5	   	257.81	橙5易伤2时间	179掉矿24579易伤3加一6核79序列升级89时间a矿等
156	23122 18146	5	   	257.81	橙5易伤2时间	179掉矿24579易伤3加一6核79序列升级89时间a敌人爆炸
157	23122 18147	5	   	257.81	橙5易伤2时间	179掉矿24579易伤3加一6核79序列升级89时间a策反
158	23322 54253	6	   	257.81	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9核a赏金邻近
159	23322 54353	6	   	257.81	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8金币生成9核a赏金邻近
160	23322 56253	7	   	257.81	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9核a赏金邻近
161	23322 56353	7	   	257.81	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8金币生成9核a赏金邻近
162	23322 56353	8	   	257.81	橙5易伤2时间	17掉矿24567易伤37时间7序列升级8矿等9核a赏金邻近
163	23322 62235	9	   	257.81	橙5易伤2时间	1掉矿24569易伤36时间6序列升级7挖青8矿等a核
164	23322 62435	7	   	257.81	橙5易伤2时间	1掉矿24569易伤36时间6序列升级7挖青8金币生成a核
165	23122 18142	5	   	257.71	橙5易伤2时间	179掉矿24579易伤3加一6核79序列升级89时间a赏金塔
166	23122 18144	5	   	257.71	橙5易伤2时间	179掉矿24579易伤3加一6核79序列升级89时间a挖尘
167	12133 15442	1	   	257.58	橙4易伤2时间1攻速	1雷电2攻速3赏金邻近459a易伤6核78时间
