0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41325 11213	6	 * 	279.53	橙4易伤3伤害2时间	179敌人爆炸2随机矿3a时间467a易伤57a伤害7a序列升级8核
22	15213 25241	1	 * 	257.40	橙4易伤1等级1伤害1时间	1矿等279a易伤3伤害4等级5掉矿6时间8核
23	15213 25241	2	   	257.40	橙4易伤1等级1伤害1时间	1矿等279a易伤3伤害4等级5掉矿6时间8核
24	35213 25241	1	   	257.40	橙4易伤1等级1伤害1时间	1金币生成279a易伤3伤害4等级5掉矿6时间8核
25	35213 25241	2	   	257.40	橙4易伤1等级1伤害1时间	1金币生成279a易伤3伤害4等级5掉矿6时间8核
26	41322 21245	6	   	256.27	橙3易伤2伤害2时间1暴击	17敌人爆炸2随机矿35时间479易伤67伤害7序列升级8核a暴击
27	15423 23531	7	   	255.86	橙4易伤3时间	17矿等2467易伤357时间7序列升级8攻速9雷电a核
28	35122 22235	6	   	255.85	橙3易伤3时间2伤害	17金币生成27a易伤3基地爆炸459时间67伤害7序列升级8核
29	45213 31243	2	 * 	253.54	橙3易伤3伤害1等级	1a敌人爆炸2金币生成36a伤害4等级5掉矿79a易伤8核a序列升级
30	15213 31166	2	   	253.44	橙3易伤3伤害1等级	19矿等279易伤36a伤害4等级59掉矿8核9序列升级
31	15213 31166	1	   	253.44	橙3易伤3伤害1等级	19矿等279易伤36a伤害4等级59掉矿8核9序列升级
32	15423 23323	10	   	252.90	橙4易伤3时间1暴击	17矿等2467易伤357时间7序列升级8金币生成9核a暴击
33	15223 41161	1	   	252.80	橙3易伤1等级1伤害2攻速1时间	149矿等269易伤3伤害5等级79攻速8核9序列升级a时间
34	15223 41161	2	   	252.80	橙3易伤1等级1伤害2攻速1时间	149矿等269易伤3伤害5等级79攻速8核9序列升级a时间
35	35413 23151	8	 * 	252.71	橙3易伤3时间1等级	147金币生成267易伤357时间7序列升级8等级9雷电a核
36	15224 22611	5	 * 	252.22	橙4易伤2时间1等级	17矿等247a易伤39敌人爆炸5等级67时间7序列升级8核
37	15314 22241	5	   	252.22	橙4易伤2时间1等级	17矿等279a易伤3随机矿4策反5等级67时间7序列升级8核
38	35314 22241	5	   	252.22	橙4易伤2时间1等级	17金币生成279a易伤3随机矿4策反5等级67时间7序列升级8核
39	15423 21315	7	   	252.02	橙4易伤2时间1等级	1矿等2469易伤35时间7等级8立即金币a核
40	15423 21325	9	   	252.02	橙4易伤2时间1等级	1矿等2468易伤35时间7等级9低血量敌人a核
41	15423 21335	8	   	252.02	橙4易伤2时间1等级	1矿等2468易伤35时间7等级9立即金币a核
42	35413 21315	8	   	252.02	橙4易伤2时间1等级	14金币生成2689易伤35时间7等级a核
43	12255 22342	1	   	251.20	橙3易伤2伤害1时间2雷电	17矿等2时间37伤害4攻速58雷电679易伤7序列升级a核
44	41125 11241	6	   	251.18	橙5易伤2伤害	17敌人爆炸2随机矿3基地爆炸4679a易伤57伤害7序列升级8核
45	15423 31161	5	 * 	251.04	橙3易伤2时间1等级1伤害	19矿等247易伤35时间6伤害8核a等级
46	12213 21241	1	   	250.94	橙3易伤2时间1等级1伤害	1矿等26时间3伤害4等级5掉矿79a易伤8核
47	15213 25231	1	   	250.94	橙3易伤2时间1等级1伤害	1矿等27a易伤3伤害4等级5掉矿69时间8核
48	15213 25231	2	   	250.94	橙3易伤2时间1等级1伤害	1矿等27a易伤3伤害4等级5掉矿69时间8核
49	32213 21241	1	   	250.94	橙3易伤2时间1等级1伤害	1金币生成26时间3伤害4等级5掉矿79a易伤8核
50	32433 31241	1	   	250.94	橙3易伤2时间1等级1伤害	1金币生成24时间3掉矿5等级6伤害79a易伤8核
51	35213 25231	2	   	250.94	橙3易伤2时间1等级1伤害	1金币生成27a易伤3伤害4等级5掉矿69时间8核
52	35213 25231	1	   	250.94	橙3易伤2时间1等级1伤害	1金币生成27a易伤3伤害4等级5掉矿69时间8核
53	15253 22241	2	   	250.83	橙3易伤2伤害2时间	17矿等29a易伤37伤害4攻速5掉矿67时间7序列升级8核
54	15253 22241	1	   	250.83	橙3易伤2伤害2时间	17矿等29a易伤37伤害4攻速5掉矿67时间7序列升级8核
55	35253 22241	2	   	250.83	橙3易伤2伤害2时间	17金币生成29a易伤37伤害4攻速5掉矿67时间7序列升级8核
56	35253 22241	1	   	250.83	橙3易伤2伤害2时间	17金币生成29a易伤37伤害4攻速5掉矿67时间7序列升级8核
57	12225 12241	7	   	249.64	橙5易伤1伤害1时间	1矿等2基地爆炸3时间4679a易伤5伤害8核
58	12225 15241	6	   	249.64	橙5易伤1伤害1时间	1矿等2基地爆炸3时间4679a易伤5伤害8核
59	13425 12241	7	   	249.64	橙5易伤1伤害1时间	1矿等2最后敌人3时间4679a易伤5伤害8核
60	15123 22241	7	   	249.64	橙5易伤1伤害1时间	1矿等2479a易伤3基地爆炸5时间6伤害8核
61	15123 25241	6	   	249.64	橙5易伤1伤害1时间	1矿等2479a易伤3基地爆炸5时间6伤害8核
62	15223 25241	6	   	249.64	橙5易伤1伤害1时间	1矿等2479a易伤3敌人爆炸5时间6伤害8核
63	42412 36211	10	 * 	249.53	橙2易伤3时间1等级1伤害1全技能	18敌人爆炸25基地爆炸3全技能458时间58序列升级68易伤7核9等级a伤害
