0	Index      	 *	Score 	Summary	Detail	
1	11252 35633	 * 	297.50	橙橙1等级1易伤1矿等1攻速	1易伤2矿等3等级4攻速5最后敌人6随机技能7技能点8a核9金币生成
21	11661 41323	   	283.01	橙3易伤2矿等2等级	19a易伤2a矿等3赏金塔4低血量敌人5基地爆炸6a等级7全技能8核a序列升级
22	11515 31632	 * 	281.65	橙3矿等2易伤1等级2暴击1卖塔	17易伤245矿等34暴击4序列升级6赏金塔8卖塔9核a等级
23	11253 56323	   	277.22	橙2易伤2矿等2等级1攻速	19易伤29矿等3a等级4攻速5平台69敌人爆炸7核8全技能9序列升级
24	11266 21135	   	275.97	橙2易伤2矿等1等级1技能1暴击	19易伤29矿等3等级4暴击5技能6核7随机矿89策反9序列升级a随机技能
25	11333 48338	   	275.16	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6基地爆炸7a核8最后敌人9随机技能
26	11333 68338	   	275.16	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6挖青7a核8最后敌人9随机技能
27	11333 78338	   	275.16	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6挖尘7a核8最后敌人9随机技能
28	11333 68148	   	275.06	橙橙2易伤1矿等	13易伤2矿等4低血量敌人5加一6挖青7a核8随机技能9基地爆炸
29	14123 15125	   	272.77	橙橙2易伤1技能1攻速	19易伤2基地爆炸3攻速4基础对冰5雷电6赏金塔7技能8a核
30	14123 35125	   	272.77	橙橙2易伤1技能1攻速	19易伤2基地爆炸3攻速4基础对冰5雷电6赏金邻近7技能8a核
31	23123 15125	   	272.77	橙橙2易伤1技能1攻速	1基地爆炸29易伤3攻速4基础对冰5雷电6赏金塔7技能8a核
32	23123 35125	   	272.77	橙橙2易伤1技能1攻速	1基地爆炸29易伤3攻速4基础对冰5雷电6赏金邻近7技能8a核
33	11515 31124	 * 	272.09	橙3矿等2易伤3暴击1攻速	17易伤245矿等349暴击4序列升级6赏金塔8攻速a核
34	32427 22226	 * 	272.07	橙2矿等2等级2伤害1易伤1卖塔	1卖塔2平台3加一4a伤害5a矿等6易伤7时间8核9a等级a序列升级
35	11515 23225	 * 	271.94	橙3易伤3矿等2暴击	179易伤245矿等34暴击49序列升级69烈焰减费89最后敌人a核
36	11515 23125	   	271.74	橙3易伤3矿等2暴击	179易伤245矿等34暴击49序列升级69烈焰减费89基地爆炸a核
37	11515 23325	   	271.74	橙3易伤3矿等2暴击	179易伤245矿等34暴击49序列升级69烈焰减费89挖尘a核
38	23143 41353	 * 	271.29	橙2矿等1等级1易伤2攻速1伤害	1a基地爆炸2易伤3a攻速4全技能5伤害6等级7核8赏金邻近9a矿等a序列升级
39	11511 61363	 * 	270.69	橙3易伤2矿等3暴击1攻速	17a易伤24矿等347暴击47序列升级5赏金塔67火球减费8核9攻速
40	11443 24163	 * 	270.04	橙3矿等2易伤1等级	17易伤246矿等3赏金邻近5加一8全技能9核a等级
41	11643 24163	   	270.04	橙3矿等2易伤1等级	17易伤246矿等3赏金塔5加一8全技能9核a等级
42	11513 21215	 * 	269.86	橙3矿等2易伤2暴击1伤害	16易伤248矿等34暴击4序列升级5立即金币7金币生成9伤害a核
43	11253 13612	 * 	269.32	橙2易伤2矿等1等级2攻速	1a易伤2a矿等3等级47攻速5平台6a金币生成8核9额外掉落a序列升级
44	11266 21132	   	269.03	橙2易伤2矿等1等级1技能1暴击	19易伤29矿等3等级4暴击5技能6核7随机矿89策反9序列升级a双倍矿
45	11266 21136	   	269.03	橙2易伤2矿等1等级1技能1暴击	19易伤29矿等3等级4暴击5技能6核7随机矿89策反9序列升级a赏金邻近
46	11213 12311	 * 	269.03	橙4易伤1等级1矿等	1789易伤2矿等3等级4随机技能5敌人爆炸6全技能a核
47	11241 13563	   	269.03	橙4易伤1等级1矿等	1469易伤2矿等3等级5最后敌人7时间8核a随机技能
48	11232 61323	   	268.93	橙3易伤2矿等1等级	19a易伤2a矿等3等级4敌人爆炸5a最后敌人6赏金邻近7全技能8核a序列升级
49	11235 61323	   	268.93	橙3易伤2矿等1等级	19a易伤2a矿等3等级4敌人爆炸5a低血量敌人6赏金邻近7全技能8核a序列升级
50	11266 21131	   	268.93	橙2易伤2矿等1等级1技能1暴击1挖怪	19易伤29矿等3等级4暴击5技能6核7随机矿89策反9序列升级a挖怪
51	11266 21133	   	268.93	橙2易伤2矿等1等级1技能1暴击	19易伤29矿等3等级4暴击5技能6核7随机矿89策反9序列升级a挖尘
52	11266 21134	   	268.93	橙2易伤2矿等1等级1技能1暴击	19易伤29矿等3等级4暴击5技能6核7随机矿89策反9序列升级a双倍秒伤
53	11312 46513	   	268.73	橙3易伤2矿等1等级	13a易伤27矿等4时间5最后敌人6随机矿8核9等级
54	11311 46513	   	268.63	橙3易伤2矿等1等级	13a易伤27矿等4时间5挖尘6随机矿8核9等级
55	12431 21632	   	268.32	橙橙2易伤1矿等	19易伤2金币生成3赏金塔4敌人爆炸5基地爆炸6a核7矿等8随机矿
56	12631 21632	   	268.32	橙橙2易伤1矿等	19易伤2金币生成3赏金邻近4敌人爆炸5基地爆炸6a核7矿等8随机矿
57	11354 43416	   	268.22	橙橙2易伤1矿等	13易伤2矿等4基础对愈5加一6金币生成7雷电8a核9赏金塔
