0	Index      	 *	Score 	Summary	Detail	
1	36434 11333	 * 	274.89	DCR|3MLV|2VULN|2AAC|1CDMG	1aAEWIND|2CDMG|35aMLV|49AAC|6aVULN|7MDPS|8RCR|aBPWR
34	23322 15315	   	254.25	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6LHND|8RCR|aRAT
35	23326 35315	   	254.25	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5LHND|6TLV|8RCR|aRAT
36	21334 35411	   	254.20	DCR|2VULN|2TLV|1MLV|1AAC	1DUR|2FEWX|3RPLT|4AAC|57VULN|6aTLV|8RCR|9MLV
37	23322 15351	   	254.20	DCR|2VULN|2TLV|1MLV|1AAC	1DUR|27VULN|3RPLT|4MLV|5aTLV|6LHND|8RCR|9AAC
38	23326 35351	   	254.20	DCR|2VULN|2TLV|1MLV|1AAC	1DUR|27VULN|3RPLT|4MLV|5LHND|6aTLV|8RCR|9AAC
39	23333 35411	   	254.20	DCR|2VULN|2TLV|1MLV|1AAC	1DUR|27VULN|3RPLT|4AAC|5LWND|6aTLV|8RCR|9MLV
40	23336 35411	   	254.20	DCR|2VULN|2TLV|1MLV|1AAC	1DUR|27VULN|3RPLT|4AAC|5LHND|6aTLV|8RCR|9MLV
41	23216 15162	   	254.15	DCR|2VULN|2MLV|1TLV	1DUR|29VULN|3RAT|47MLV|5BEXP|6DMSP|8RCR|aTLV
42	63126 22613	 * 	252.70	DCR|DCR|1VULN|1DMG|1ASPD	1RPLT|2BEXP|3LIT|4ASPD|5RCVC|6FEWX|7aRCR|8VULN|9DMG
43	25215 22116	   	252.27	DCR|3VULN|2MLV|2DUR	17DUR|2CGEN|37MLV|4RAT|5ZMB|67aVULN|7BPWR|8RCR|9BEXP
44	63125 62213	 * 	252.16	DCR|DCR|1MLV|1DMG|1ASPD	1RPLT|2BEXP|3LIT|4ASPD|5MLV|6ERES|7aRCR|8DUR|9DMG
45	32113 51433	 * 	252.12	DCR|2TLV|2DMG|1VULN|1MLV|1CDMG	1AEWIND|2FRZICY|3aTLV|4aERES|5MLV|6aDMG|7VULN|8CDMG|9RCR|aBPWR
46	23322 25631	   	251.50	DCR|2VULN|1TLV|1MLV|1DMG	1DUR|27VULN|3RPLT|4MLV|5TLV|6DMG|8RCR|9BBNT|aAART
47	23333 35451	   	250.93	DCR|3VULN|1TLV|1AAC|1CDMG	1DUR|27aVULN|3RPLT|4AAC|5LWND|6TLV|8RCR|9CDMG
48	23352 35413	 * 	250.34	DCR|3VULN|2MLV|3DUR	15aDUR|27aVULN|3RPLT|4LHND|6DUST|8RCR|9aMLV|aBPWR
49	23322 23436	   	249.64	DCR|2VULN|1TLV|1MLV|1DMG|2DUR	19DUR|2aVULN|3RPLT|4MLV|5TLV|6DMG|7ERES|8RCR
50	25221 43433	 * 	249.18	DCR|3TLV|2MLV|1VULN|2DUR	18DUR|2CGEN|38MLV|4ZMB|5VULN|68aTLV|7BELT|8BPWR|9RCR
51	25215 22132	   	249.17	DCR|2VULN|2MLV|2DUR|2RAT|1CDMG	17DUR|2CGEN|37MLV|49RAT|5ZMB|67VULN|7BPWR|8RCR|aCDMG
52	25215 22633	   	248.97	DCR|2VULN|2MLV|1DMG|2DUR	17DUR|2CGEN|37MLV|4RAT|5ZMB|67VULN|7BPWR|8FEWX|9DMG|aRCR
53	23511 21324	 * 	248.87	ACR|DCR|2VULN|1MLV	1DUR|28VULN|3SNIFST|4LWND|5aRCR|6AME|7RAT|9MLV
54	32115 54233	   	248.82	ACR|DCR|1VULN|1TLV|1AAC|1CDMG	1AEWIND|2FRZICY|3TLV|4ERES|57RCR|6RAT|8AAC|9VULN|aCDMG
55	25221 43432	   	248.47	DCR|2MLV|2TLV|1VULN|2DUR	18DUR|2CGEN|38MLV|4ZMB|5VULN|68TLV|7BELT|8BPWR|9RCR|aAART
56	32113 51432	   	248.34	DCR|2VULN|1TLV|1MLV|1DMG|1CDMG	1AEWIND|2FRZICY|3TLV|4ERES|5MLV|6DMG|7aVULN|8CDMG|9RCR
57	32341 41224	   	248.30	DCR|3VULN|1TLV|1DMG|1ASPD	1AEWIND|2FRZICY|3RCVC|4ASPD|5TLV|679VULN|8DMG|aRCR
58	31435 23325	   	248.28	DCR|4VULN|1TLV|1ASPD	1AEWIND|2TLV|3DLOT|456aVULN|7RCR|8ASPD|9RPLT
59	32113 41433	 * 	247.79	DCR|2MLV|1VULN|1TLV|2CDMG|1AAC	1AEWIND|2aFRZICY|3TLV|4ERES|5aMLV|6AAC|7VULN|8aCDMG|9RCR|aBPWR
60	23333 35452	   	247.53	DCR|2VULN|1TLV|1DMG|1AAC|1CDMG	1DUR|27VULN|3RPLT|4AAC|5LWND|6TLV|8RCR|9CDMG|aDMG
61	62232 12432	   	247.52	DCR|2VULN|2MLV|1TLV	1RPLT|2AART|3aAME|4CGEN|5aVULN|6LIT|7TLV|8RCR|9aMLV|aBPWR
62	23321 32645	   	247.32	DCR|2VULN|2MLV|1TLV	1DUR|2aVULN|3RPLT|45MLV|6LIT|7RCR|8BELT|9TLV
63	23322 15311	   	247.32	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6LHND|8RCR|aDMSP
64	23322 15313	   	247.32	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6LHND|8RCR|aFEWX
65	23322 15314	   	247.32	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6aLHND|8RCR
66	23322 45413	   	247.32	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6FEWX|8RCR|aZMB
67	23326 35311	   	247.32	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5LHND|6TLV|8RCR|aDMSP
68	23326 35313	   	247.32	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5LHND|6TLV|8RCR|aFEWX
69	23326 35314	   	247.32	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5aLHND|6TLV|8RCR
70	23322 15312	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6LHND|8RCR|aBEXP
71	23322 15316	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6LHND|8RCR|aERES
72	23322 35413	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6BEXP|8RCR|aZMB
73	23322 35414	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6BEXP|8RCR|aLHND
74	23322 35415	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6BEXP|8RCR|aBELT
75	23322 35416	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6BEXP|8RCR|aFEWX
76	23322 45411	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6FEWX|8RCR|aLEGI
77	23322 45412	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6FEWX|8RCR|aERES
78	23322 53416	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|2aVULN|3RPLT|49MLV|5TLV|6ZMB|7ERES|8RCR
79	23322 55613	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|4aMLV|5TLV|6ZMB|8RCR|9LSRHEA
80	23326 35312	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5LHND|6TLV|8RCR|aBEXP
81	23326 35316	   	247.22	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5LHND|6TLV|8RCR|aERES
82	23324 25336	   	247.12	DCR|2VULN|2MLV|1TLV	1DUR|2aVULN|3RPLT|46MLV|57AEFBLL|8RCR|9TLV
83	23322 35411	   	247.12	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6BEXP|8RCR|aLEGI
84	23322 35412	   	247.12	DCR|2VULN|2MLV|1TLV	1DUR|27VULN|3RPLT|49MLV|5TLV|6BEXP|8RCR|aERES
85	25251 42212	   	246.96	DCR|2VULN|1TLV|1MLV|1AAC	1DUR|2CGEN|3MLV|4AAC|57VULN|6TLV|8RAT|9RCR|aFEWX
86	25251 42211	   	246.86	DCR|2VULN|1TLV|1MLV|1AAC	1DUR|2CGEN|3MLV|4AAC|57VULN|6TLV|8RAT|9RCR|aMDPS
87	25251 42213	   	246.86	DCR|2VULN|1TLV|1MLV|1AAC	1DUR|2CGEN|3MLV|4AAC|57VULN|6TLV|8RAT|9RCR|aBEXP
88	23351 25411	   	246.59	DCR|3VULN|1TLV|1MLV	1DUR|267VULN|3RPLT|4LHND|5FEWX|8RCR|9MLV|aTLV
89	23322 15354	   	246.57	DCR|2VULN|1TLV|1MLV|1AAC|2DUR	1aDUR|27VULN|3RPLT|4MLV|5TLV|6LHND|8RCR|9AAC
90	23333 35414	   	246.57	DCR|2VULN|1TLV|1MLV|1AAC|2DUR	1aDUR|27VULN|3RPLT|4AAC|5LWND|6TLV|8RCR|9MLV
91	31431 23613	   	246.39	DCR|3VULN|1TLV|1MLV	1AEWIND|2TLV|3DLOT|467VULN|5DUR|8BBNT|9RCR|aMLV
92	32115 54131	   	246.35	ACR|DCR|2VULN|1TLV	1AEWIND|2FRZICY|3TLV|4ERES|57RCR|6RAT|89VULN|aLWND
93	23322 15334	   	246.32	DCR|2VULN|1TLV|1MLV|1ASPD	1DUR|27VULN|3RPLT|4MLV|5TLV|6LHND|8RCR|9RAT|aASPD
94	23326 35334	   	246.32	DCR|2VULN|1TLV|1MLV|1ASPD	1DUR|27VULN|3RPLT|4MLV|5LHND|6TLV|8RCR|9RAT|aASPD
95	23322 35434	   	246.22	DCR|2VULN|1TLV|1MLV|1ASPD	1DUR|27VULN|3RPLT|4MLV|5TLV|6BEXP|8RCR|9RAT|aASPD
96	32135 32635	   	245.95	ACR|DCR|1VULN|1TLV|1MLV	1AEWIND|2FRZICY|3TLV|4VULN|59RCR|6CGEN|7DUR|8LIT|aMLV
97	32113 41333	   	245.55	DCR|2VULN|2TLV|1MLV|1AAC|1SELL	1aAEWIND|2FRZICY|3aTLV|4ERES|5MLV|6AAC|7aVULN|8SELL|9RCR|aBPWR
98	23351 26413	   	245.43	DCR|3VULN|2MLV|2DUR	1aDUR|26aVULN|3RPLT|47LHND|5FEWX|8RCR|9aMLV|aBPWR
99	25226 21151	   	245.33	DCR|3VULN|2MLV|2DUR	19DUR|2CGEN|39MLV|4ZMB|5MDPS|6LHND|789VULN|9BPWR|aRCR
100	36134 52112	   	245.27	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1AEWIND|2CDMG|3RCVC|4FEWX|5MLV|6RCR|7TLV|89VULN|aAAC
101	32113 41432	   	245.17	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1AEWIND|2FRZICY|3TLV|4ERES|5MLV|6AAC|7aVULN|8CDMG|9RCR
102	36124 52112	   	245.17	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1AEWIND|2CDMG|3RCVC|4DUST|5MLV|6RCR|7TLV|89VULN|aAAC
103	36334 52112	   	245.17	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1AEWIND|2CDMG|3AEFRZ|4FEWX|5MLV|6RCR|7TLV|89VULN|aAAC
104	36324 52112	   	245.07	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1AEWIND|2CDMG|3AEFRZ|4DUST|5MLV|6RCR|7TLV|89VULN|aAAC
105	23331 35451	   	245.04	DCR|3VULN|1MLV|1AAC|1CDMG	1DUR|27aVULN|3RPLT|4AAC|5MLV|6FEWX|8RCR|9CDMG
