0	Index      	 *	Score 	Summary	Detail	
1	62613 33231	 * 	302.77	DCR|3VULN|2MLV|2AAC|1TLV	19AAC|2TLV|348VULN|5AART|6RCR|7aMLV
25	53412 13253	 * 	277.45	DCR|3VULN|2TLV|2ASPD|1DMG	18ZMB|2RCVC|36ASPD|4BBNT|568VULN|68BPWR|78TLV|9DMG|aRCR
26	62613 33216	   	277.14	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	1AAC|2TLV|348VULN|5AART|6RCR|7MLV|9LWND|aCDMG
27	21233 24441	   	276.56	DCR|DCR|2VULN|1TLV	1BEXP|2AME|37VULN|4CGEN|5LWND|68RCR|9TLV|aLHND
28	21233 24442	   	276.46	DCR|DCR|2VULN|1TLV	1BEXP|2AME|37VULN|4CGEN|5LWND|68RCR|9TLV|aDUST
29	21233 24443	   	276.46	DCR|DCR|2VULN|1TLV	1aBEXP|2AME|37VULN|4CGEN|5LWND|68RCR|9TLV
30	21253 24411	   	276.46	DCR|DCR|2VULN|1TLV	1BEXP|2AME|37VULN|4TLV|5LWND|68RCR|9SNIFST|aCGEN
31	21253 24412	   	276.46	DCR|DCR|2VULN|1TLV	1BEXP|2AME|37VULN|4TLV|5LWND|68RCR|9SNIFST|aBBNT
32	23233 24441	   	276.46	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|37VULN|4CGEN|5LWND|68RCR|9TLV|aLHND
33	11612 24433	   	276.36	DCR|DCR|2VULN|1TLV	1CGEN|2ERES|3DUST|47VULN|5BEXP|68RCR|9BELT|aTLV
34	14253 21431	   	276.36	DCR|DCR|2VULN|1TLV	1CGEN|2BEXP|3aVULN|4TLV|5LWND|68RCR|79AEWIND
35	21253 21461	   	276.36	DCR|DCR|2VULN|1TLV	1BEXP|2AME|39VULN|4TLV|5LWND|68RCR|7AEWIND|aERES
36	21253 21462	   	276.36	DCR|DCR|2VULN|1TLV|1MSE	1BEXP|2AME|39VULN|4TLV|5LWND|68RCR|7AEWIND|aMSE
37	21253 24421	 * 	276.36	DCR|DCR|3VULN|1TLV|1MSE	1BEXP|2AME|37aVULN|4TLV|5LWND|68RCR|9MSE
38	21253 24422	   	276.36	DCR|DCR|2VULN|1TLV|2MSE	1BEXP|2AME|37VULN|4TLV|5LWND|68RCR|9aMSE
39	21253 24423	   	276.36	DCR|DCR|2VULN|1TLV|1MSE	1BEXP|2AME|37VULN|4TLV|5LWND|68RCR|9MSE|aLIT
40	21253 24431	   	276.36	DCR|DCR|2VULN|1TLV	1BEXP|2AME|37VULN|4TLV|5LWND|68RCR|9AEFRZ|aERES
41	21253 24432	   	276.36	DCR|DCR|2VULN|1TLV|1MSE	1BEXP|2AME|37VULN|4TLV|5LWND|68RCR|9AEFRZ|aMSE
42	23233 24442	   	276.36	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|37VULN|4CGEN|5LWND|68RCR|9TLV|aDUST
43	23233 24443	   	276.36	DCR|DCR|2VULN|1TLV	1aBEXP|2ERES|37VULN|4CGEN|5LWND|68RCR|9TLV
44	23253 21462	   	276.36	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|39VULN|4TLV|5LWND|68RCR|7AEWIND|aCGEN
45	23253 21463	   	276.36	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|39VULN|4TLV|5LWND|68RCR|7AEWIND|aLHND
46	23253 24411	   	276.36	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|37VULN|4TLV|5LWND|68RCR|9SNIFST|aCGEN
47	23253 24412	   	276.36	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|37VULN|4TLV|5LWND|68RCR|9SNIFST|aTBNT
48	23253 24432	   	276.36	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|37VULN|4TLV|5LWND|68RCR|9AEWIND|aCGEN
49	23253 24433	   	276.36	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|37VULN|4TLV|5LWND|68RCR|9AEWIND|aLHND
50	23253 21431	   	276.26	DCR|DCR|2VULN|1TLV	1BEXP|2ERES|3aVULN|4TLV|5LWND|68RCR|79AEWIND
51	23253 21461	   	276.26	DCR|DCR|2VULN|1TLV	1BEXP|2aERES|39VULN|4TLV|5LWND|68RCR|7AEWIND
52	23253 24421	 * 	276.26	DCR|DCR|3VULN|1TLV|1MSE	1BEXP|2ERES|37aVULN|4TLV|5LWND|68RCR|9MSE
53	23253 24422	   	276.26	DCR|DCR|2VULN|1TLV|2MSE	1BEXP|2ERES|37VULN|4TLV|5LWND|68RCR|9aMSE
54	23253 24423	   	276.26	DCR|DCR|2VULN|1TLV|1MSE	1BEXP|2ERES|37VULN|4TLV|5LWND|68RCR|9MSE|aLIT
55	23253 24431	   	276.26	DCR|DCR|2VULN|1TLV	1BEXP|2aERES|37VULN|4TLV|5LWND|68RCR|9AEWIND
56	53412 13243	   	274.28	DCR|3VULN|2TLV|2ASPD|1AAC	18ZMB|2RCVC|36ASPD|4BBNT|568VULN|68BPWR|78TLV|9AAC|aRCR
57	21253 21453	   	273.58	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2AME|3VULN|4TLV|5LWND|68RCR|7AEWIND|9DUR|aAAC
58	23253 21453	   	273.48	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2ERES|3VULN|4TLV|5LWND|68RCR|7AEWIND|9DUR|aAAC
