0	Index      	 *	Score 	Summary	Detail	
1	62131 41115	 * 	297.04	DCR|DCR|2VULN|1TLV|1CDMG	1BEXP|2LWND|36VULN|4RAT|5CDMG|7aRCR|8TLV|9ERES
36	13433 21345	   	276.65	DCR|DCR|1VULN|2AAC|1DMG	1ERES|27AAC|3AEBURN|4LWND|5VULN|6DUR|89RCR|aDMG
37	13214 61342	 * 	276.46	DCR|DCR|2VULN|2AAC	1ERES|27AAC|3FEWX|4LWND|56VULN|89RCR|aZMB
38	13214 61343	   	276.46	DCR|DCR|2VULN|2AAC	1ERES|27AAC|3FEWX|4LWND|56VULN|89RCR|aCGEN
39	13214 61341	   	276.36	DCR|DCR|2VULN|2AAC|1MSE	1ERES|27AAC|3FEWX|4LWND|56VULN|89RCR|aMSE
40	31363 22346	   	275.11	DCR|DCR|2VULN|1AAC|1CDMG	1RCVC|2LWND|3CGEN|4AAC|56VULN|7FEWX|89RCR|aCDMG
41	43223 21346	   	275.11	DCR|DCR|2VULN|1AAC|1CDMG	1CGEN|2AAC|34FEWX|56VULN|7LWND|89RCR|aCDMG
42	43333 22346	   	275.11	DCR|DCR|2VULN|1AAC|1CDMG	13CGEN|2AAC|4LWND|56VULN|7FEWX|89RCR|aCDMG
43	43133 22346	   	275.01	DCR|DCR|2VULN|1AAC|1CDMG	1CGEN|2AAC|3AEWIND|4LWND|56VULN|7FEWX|89RCR|aCDMG
44	43223 23346	   	275.01	DCR|DCR|2VULN|1AAC|1CDMG	1CGEN|2AAC|34FEWX|56VULN|7AETHUN|89RCR|aCDMG
45	13123 11346	   	273.48	DCR|DCR|1VULN|1TLV|1AAC	16ERES|2AAC|3AEWIND|4DUR|5VULN|7LWND|89RCR|aTLV
46	13123 51346	   	273.48	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2AAC|3AEWIND|4DUR|5VULN|6AEFBLL|7LWND|89RCR|aTLV
47	13423 11346	   	273.48	DCR|DCR|1VULN|1TLV|1AAC	16ERES|2AAC|3AEBURN|4DUR|5VULN|7LWND|89RCR|aTLV
48	13123 13346	   	273.38	DCR|DCR|1VULN|1TLV|1AAC	16ERES|2AAC|3AEWIND|4DUR|5VULN|7AETHUN|89RCR|aTLV
49	13123 53346	   	273.38	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2AAC|3AEWIND|4DUR|5VULN|6AEFBLL|7AETHUN|89RCR|aTLV
50	13423 13346	   	273.38	DCR|DCR|1VULN|1TLV|1AAC	16ERES|2AAC|3AEBURN|4DUR|5VULN|7AETHUN|89RCR|aTLV
51	12432 31346	   	270.09	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1ERES|2AEPOI|3VULN|4CDMG|5DUR|6SELL|7LWND|89RCR|aTLV
52	12432 33346	   	269.99	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1ERES|2AEPOI|3VULN|4CDMG|5DUR|6SELL|7AETHUN|89RCR|aTLV
53	15661 23221	 * 	269.64	DCR|3MLV|2VULN|1TLV	1ERES|249MLV|3TBNT|5DUR|6RCR|7TLV|8aVULN
54	31521 41115	   	269.07	DCR|DCR|1VULN|1TLV|1CDMG	1RCVC|2LWND|3RAT|4VULN|5FEWX|6CDMG|7aRCR|8TLV|9ERES
55	62131 31115	   	268.97	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|26LWND|3VULN|4RAT|5CDMG|7aRCR|8TLV|9ERES
56	62131 51115	   	268.97	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2LWND|3VULN|4RAT|5CDMG|6RCVC|7aRCR|8TLV|9ERES
57	65233 26132	   	268.92	DCR|DCR|2VULN|1ASPD	1BEXP|2NUKE|3AART|4ASPD|5LWND|6aVULN|79RCR|8TBNT
58	31361 21345	   	268.54	DCR|DCR|1VULN|2AAC|1DMG	1RCVC|2LWND|3CGEN|47AAC|5LHND|6VULN|89RCR|aDMG
59	43331 21345	   	268.54	DCR|DCR|1VULN|2AAC|1DMG	13CGEN|27AAC|4LWND|5LHND|6VULN|89RCR|aDMG
60	43131 21345	   	268.44	DCR|DCR|1VULN|2AAC|1DMG	1CGEN|27AAC|3AEWIND|4LWND|5LHND|6VULN|89RCR|aDMG
61	13131 51345	   	268.34	DCR|DCR|1VULN|2AAC|1DMG	1ERES|27AAC|3AEWIND|4LWND|5LHND|6VULN|89RCR|aDMG
62	13123 21345	   	268.10	DCR|DCR|1VULN|1DMG|1AAC|2DUR	1ERES|2AAC|3AEWIND|46DUR|5VULN|7LWND|89RCR|aDMG
63	13423 21345	   	268.10	DCR|DCR|1VULN|1DMG|1AAC|2DUR	1ERES|2AAC|3AEBURN|46DUR|5VULN|7LWND|89RCR|aDMG
64	13123 23345	   	268.00	DCR|DCR|1VULN|1DMG|1AAC|2DUR	1ERES|2AAC|3AEWIND|46DUR|5VULN|7AETHUN|89RCR|aDMG
65	13423 23345	   	268.00	DCR|DCR|1VULN|1DMG|1AAC|2DUR	1ERES|2AAC|3AEBURN|46DUR|5VULN|7AETHUN|89RCR|aDMG
