0	Index      	 *	Score 	Summary	Detail	
1	42131 33426	 * 	294.79	DCR|4VULN|2DMG|1TLV|1AAC|2DUR	1368VULN|28DMG|48DUR|5AAC|7RPLT|8BPWR|9TLV|aRCR
16	33533 21155	   	277.68	DCR|DCR|1TLV|1DMG|1AAC|2RAT|1CDMG	1LHND|2AEFRZ|3CDMG|4TLV|5AAC|67RAT|8DMG|9aRCR
17	42122 43212	 * 	277.32	DCR|3VULN|2TLV|1DMG|2CDMG|1AAC	139VULN|2DMG|4TBNT|59CDMG|69TLV|7BELT|8AAC|9BPWR|aRCR
18	45111 12251	   	277.32	DCR|3VULN|2MLV|1TLV|1AAC	138VULN|26MLV|4LHND|5AAC|7TLV|9CGEN|aRCR
19	45111 12241	   	277.22	DCR|3VULN|2MLV|1TLV|1AAC	138VULN|26MLV|4LHND|5AAC|7TLV|9ERES|aRCR
20	42133 13251	 * 	277.16	DCR|3VULN|2TLV|1MLV|1DMG	138VULN|2DMG|4DUR|57TLV|6MLV|9CGEN|aRCR
21	42113 33311	   	277.12	DCR|4VULN|2TLV|2DMG	1367VULN|29DMG|47LHND|57TLV|7BPWR|8DUST|aRCR
22	42133 13241	   	277.06	DCR|3VULN|2TLV|1MLV|1DMG	138VULN|2DMG|4DUR|57TLV|6MLV|9ERES|aRCR
23	42131 33552	 * 	275.95	DCR|4VULN|2ASPD|1DMG|1AAC|2DUR	136aVULN|2DMG|4aDUR|5AAC|7RPLT|8aASPD|9RCR|aBPWR
24	12141 33426	   	275.63	DCR|3VULN|2DMG|1TLV|1AAC|2DUR	18DUR|28DMG|368VULN|4RCVC|5AAC|7RPLT|8BPWR|9TLV|aRCR
25	42153 33512	 * 	274.58	DCR|4VULN|2DMG|1MLV	1389VULN|27DMG|4AART|5RAT|6RCR|aMLV
26	12143 33521	   	274.49	DCR|4VULN|2TLV|1DMG|2DUR	17DUR|2DMG|3678VULN|4RCVC|57TLV|7BPWR|9LHND|aRCR
27	42133 21246	   	274.49	DCR|4VULN|2TLV|1DMG|2DUR	1378VULN|2DMG|47DUR|57TLV|6TBNT|7BPWR|9LWND|aRCR
28	42133 33651	   	274.49	DCR|4VULN|2TLV|1DMG|2DUR	1367VULN|2DMG|47DUR|57TLV|7BPWR|8RMIN|9CGEN|aRCR
29	12143 33551	   	274.39	DCR|4VULN|2TLV|1DMG|2DUR	17DUR|2DMG|3678VULN|4RCVC|57TLV|7BPWR|9AETHUN|aRCR
30	42133 33141	   	274.39	DCR|4VULN|2TLV|1DMG|2DUR	1367VULN|2DMG|47DUR|57TLV|7BPWR|8CGEN|9ERES|aRCR
31	42133 33221	   	274.39	DCR|4VULN|2TLV|1DMG|2DUR	1367VULN|2DMG|47DUR|57TLV|7BPWR|8AEWIND|9LHND|aRCR
32	42133 33336	   	274.39	DCR|4VULN|2TLV|1DMG|2DUR	1367VULN|2DMG|47DUR|57TLV|7BPWR|8DUST|9BBNT|aRCR
33	42133 33641	   	274.39	DCR|4VULN|2TLV|1DMG|2DUR	1367VULN|2DMG|47DUR|57TLV|7BPWR|8RMIN|9ERES|aRCR
34	42133 33251	   	274.29	DCR|4VULN|2TLV|1DMG|2DUR	1367VULN|2DMG|47DUR|57TLV|7BPWR|8AEWIND|9AETHUN|aRCR
35	42133 33361	   	274.29	DCR|4VULN|2TLV|1DMG|2DUR	1367VULN|2DMG|47DUR|57TLV|7BPWR|8DUST|9AEWIND|aRCR
36	63311 41121	 * 	273.08	DCR|3VULN|3DMG|1TLV|2RAT	19RAT|2RPLT|359DMG|4CGEN|6TLV|789VULN|9BPWR|aRCR
37	63361 41121	   	272.98	DCR|3VULN|3DMG|1TLV|2RAT	19RAT|2RPLT|359DMG|4ERES|6TLV|789VULN|9BPWR|aRCR
38	12143 63521	   	272.91	DCR|3VULN|2TLV|2DMG|2DUR	17DUR|26DMG|378VULN|4RCVC|57TLV|7BPWR|9LHND|aRCR
39	12143 33311	   	272.81	DCR|3VULN|2TLV|2DMG|2DUR	17DUR|29DMG|367VULN|4RCVC|57TLV|7BPWR|8DUST|aRCR
40	42133 63141	   	272.81	DCR|3VULN|2TLV|2DMG|2DUR	137VULN|26DMG|47DUR|57TLV|7BPWR|8CGEN|9ERES|aRCR
41	42133 63221	   	272.81	DCR|3VULN|2TLV|2DMG|2DUR	137VULN|26DMG|47DUR|57TLV|7BPWR|8AEWIND|9LHND|aRCR
42	42133 63336	   	272.81	DCR|3VULN|2TLV|2DMG|2DUR	137VULN|26DMG|47DUR|57TLV|7BPWR|8DUST|9BBNT|aRCR
43	42133 63251	   	272.71	DCR|3VULN|2TLV|2DMG|2DUR	137VULN|26DMG|47DUR|57TLV|7BPWR|8AEWIND|9AETHUN|aRCR
44	42133 63361	   	272.71	DCR|3VULN|2TLV|2DMG|2DUR	137VULN|26DMG|47DUR|57TLV|7BPWR|8DUST|9AEWIND|aRCR
45	42133 13611	 * 	272.61	DCR|2VULN|2TLV|2DMG|1MLV	13VULN|29DMG|4DUR|57TLV|6MLV|8CGEN|aRCR
46	42113 13621	   	272.52	DCR|2VULN|2MLV|2TLV|1DMG	13VULN|2DMG|4LHND|57TLV|69MLV|8CGEN|aRCR
47	42124 42331	   	272.13	DCR|3VULN|2DMG|1AAC|1ASPD|1CDMG|2RAT	13aVULN|2aDMG|4TBNT|5ASPD|6RCR|7CDMG|8AAC|9aRAT|aBPWR
48	42133 22324	   	272.09	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	13VULN|2aDMG|4DUR|5TLV|6TBNT|7CDMG|8MLV|9RCR
49	41163 33521	 * 	271.56	DCR|4VULN|2TLV|2AAC	1378VULN|25AAC|47TLV|67LWND|7BPWR|9LHND|aRCR
50	45133 22241	   	271.43	DCR|3VULN|1TLV|1MLV|2DUR|2RAT	138VULN|2MLV|48DUR|5TLV|6BEXP|78RAT|8BPWR|9RCR|aAART
51	15121 41316	   	270.23	DCR|2VULN|2MLV|1TLV|1AAC|2DUR	17DUR|27MLV|37VULN|4DMSP|5AAC|6TBNT|7BPWR|8TLV|9CGEN|aRCR
52	15121 41336	   	270.13	DCR|2VULN|2MLV|1TLV|1AAC|2DUR	17DUR|27MLV|37VULN|4DMSP|5AAC|6TBNT|7BPWR|8TLV|9ERES|aRCR
53	45133 22215	 * 	269.44	DCR|3VULN|1TLV|1MLV|3RAT|2DUR	138VULN|2MLV|48DUR|5TLV|6BEXP|789RAT|8BPWR|aRCR
54	42113 13251	   	268.85	DCR|3VULN|2TLV|1MLV|1DMG	138VULN|2DMG|4LHND|57TLV|6MLV|9CGEN|aRCR
55	42113 13241	   	268.75	DCR|3VULN|2TLV|1MLV|1DMG	138VULN|2DMG|4LHND|57TLV|6MLV|9ERES|aRCR
56	42133 32521	   	267.74	DCR|4VULN|2TLV|1DMG	1368VULN|2DMG|4DUR|57TLV|9LHND|aRCR
57	42133 32551	   	267.64	DCR|4VULN|2TLV|1DMG	1368VULN|2DMG|4DUR|57TLV|9AETHUN|aRCR
58	42133 15621	   	266.66	DCR|2VULN|2MLV|1TLV|1DMG	13VULN|2DMG|4DUR|5TLV|69MLV|7RCVC|8CGEN|aRCR
59	42133 62521	   	266.16	DCR|3VULN|2TLV|2DMG	138VULN|26DMG|4DUR|57TLV|9LHND|aRCR
60	42133 32311	   	266.06	DCR|3VULN|2TLV|2DMG	136VULN|29DMG|4DUR|57TLV|8DUST|aRCR
61	42131 11351	   	265.95	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	13VULN|2DMG|4DUR|5AAC|6MLV|7BEXP|8RCR|9AART|aTLV
62	42131 16351	   	265.95	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	13VULN|2DMG|4DUR|5AAC|6MLV|7DUST|8RCR|9AART|aTLV
