0	Index      	 *	Score 	Summary	Detail	
1	44133 21314	 * 	281.69	DCR|DCR|2MLV|1DMG|1ASPD|1CDMG	1CDMG|2DMG|3TBNT|47MLV|5DUST|6ASPD|8aRCR|9AEPOI
92	33313 56251	   	252.67	DCR|DCR|2VULN|1NUKE	1BELT|2FEWX|35VULN|4RCVC|6BEXP|7aRCR|8NUKE|9AART
93	44132 31724	   	252.61	DCR|3MLV|2TLV|1DMG|2CDMG	18CDMG|2DMG|3TBNT|478MLV|58TLV|6MBVNT|8BPWR|9RCR|aBEXP
94	31313 56251	   	252.57	DCR|DCR|2VULN|1NUKE	1BELT|2DUST|35VULN|4RCVC|6BEXP|7aRCR|8NUKE|9AART
95	33113 56251	   	252.57	DCR|DCR|2VULN|1NUKE	1BELT|2FEWX|3AEFRZ|45VULN|6BEXP|7aRCR|8NUKE|9AART
96	33323 56251	   	252.57	DCR|DCR|2VULN|1NUKE	1BELT|2FEWX|35VULN|4AEFBLL|6BEXP|7aRCR|8NUKE|9AART
97	31113 56251	   	252.47	DCR|DCR|2VULN|1NUKE	1BELT|2DUST|3AEFRZ|45VULN|6BEXP|7aRCR|8NUKE|9AART
98	31323 56251	   	252.47	DCR|DCR|2VULN|1NUKE	1BELT|2DUST|35VULN|4AEFBLL|6BEXP|7aRCR|8NUKE|9AART
99	32633 62234	   	252.42	DCR|DCR|2VULN|1SELL	1BELT|2MDPS|37VULN|4FEWX|5DUST|6aRCR|8SELL|9DUR
100	33226 63234	   	252.42	DCR|DCR|2VULN|1SELL	1BELT|2FEWX|3AETHUN|45VULN|6aRCR|7MDPS|8SELL|9DUR
101	43312 36361	 * 	252.37	DCR|2MLV|1VULN|3RAT|2CDMG|1AAC	17CDMG|2VULN|347RAT|57MLV|6AAC|7BPWR|8AART|9RCR|aDUR
102	31226 63234	   	252.32	DCR|DCR|2VULN|1SELL	1BELT|2DUST|3AETHUN|45VULN|6aRCR|7MDPS|8SELL|9DUR
103	32623 62234	   	252.32	DCR|DCR|2VULN|1SELL	1BELT|2MDPS|37VULN|4AETHUN|5DUST|6aRCR|8SELL|9DUR
