0	Index      	 *	Score 	Summary	Detail	
1	33512 54342	 * 	220.68	ACR|3BEXP|2DMG|1VULN|1ASPD|1CDMG	19DUST|2MBVNT|3RCR|489BEXP|5VULN|6CDMG|79DMG|9BPWR|aASPD
94	43221 13313	 * 	201.97	ACR|3VULN|3BEXP|1ASPD|1AART	179BEXP|269MLV|37AEMAG|4RCR|579VULN|79BPWR|8AART|aASPD
95	43221 13315	 * 	201.97	ACR|3VULN|3BEXP|1DMG|1AART	179BEXP|269MLV|37AEMAG|4RCR|579VULN|79BPWR|8AART|aDMG
96	43222 53313	   	201.97	ACR|3VULN|3BEXP|1ASPD|1AART	179BEXP|259MLV|37AEMAG|4RCR|679VULN|79BPWR|8AART|aASPD
97	43222 53315	   	201.97	ACR|3VULN|3BEXP|1DMG|1AART	179BEXP|259MLV|37AEMAG|4RCR|679VULN|79BPWR|8AART|aDMG
98	25125 41332	 * 	201.89	ACR|1BASARM|2ASPD|2BEXP	17CGEN|27BEXP|3AEFBLL|4RCR|5LWND|67ASPD|7BPWR|8MLV|9BASARM|aRCVC
99	53512 22341	 * 	201.85	ACR|3VULN|2ASPD|2BEXP|1AAC	19FEWX|2MBVNT|3RCR|4aBEXP|589VULN|69ASPD|7AAC|9BPWR
100	53522 11341	   	201.77	ACR|3VULN|2ASPD|1DMG|1BEXP	19FEWX|2MBVNT|3RCR|459VULN|6DMG|7LHND|89ASPD|9BPWR|aBEXP
101	33512 22341	   	201.65	ACR|3VULN|2ASPD|2BEXP|1AAC	19DUST|2MBVNT|3RCR|4aBEXP|589VULN|69ASPD|7AAC|9BPWR
102	42126 25232	   	201.62	ACR|3ASPD|1VULN|2BEXP|1DMG	19BEXP|29LWND|3FEWX|4VULN|5RCR|689ASPD|7MBVNT|9BPWR|aDMG
103	33512 72313	   	201.58	ACR|3BEXP|1VULN|1ASPD|1AART|1CDMG	1DUST|2MBVNT|3RCR|47aBEXP|5VULN|6AART|8CDMG|9ASPD
104	33522 11341	   	201.57	ACR|3VULN|2ASPD|1DMG|1BEXP	19DUST|2MBVNT|3RCR|459VULN|6DMG|7LHND|89ASPD|9BPWR|aBEXP
105	33512 38336	   	201.52	ACR|3ASPD|3BEXP|1VULN	1DUST|2MBVNT|3RCR|46aBEXP|5VULN|789ASPD
106	33547 81321	 * 	201.42	ACR|3DMG|2ASPD|1VULN	1DUST|2MBVNT|3RCR|4BELT|57aDMG|69ASPD|8VULN
107	53426 82243	 * 	201.40	ACR|2BASARM|2DMG|1ASPD|1SELL	17FEWX|2MBVNT|3LIT|47DMG|5RCR|67BASARM|7BPWR|8SELL|9AME|aASPD
108	13121 64511	   	201.15	ACR|1BASARM|2BEXP|1VULN|1AART	1RCVC|28BEXP|3MLV|4RCR|5VULN|6ERES|7AART|9FEWX|aBASARM
109	13121 64531	   	201.15	ACR|1BASARM|2BEXP|1VULN|1AART	1RCVC|28BEXP|3MLV|4RCR|5VULN|6ERES|7AART|9DUR|aBASARM
110	41121 22261	   	201.13	ACR|3BEXP|2ASPD|1VULN|1DMG	127BEXP|3MLV|4RCR|5VULN|6ZMB|8aASPD|9DMG
111	41121 22262	   	201.13	ACR|3BEXP|2DMG|1VULN|1ASPD	127BEXP|3MLV|4RCR|5VULN|6ZMB|8ASPD|9aDMG
112	41121 22362	   	201.13	ACR|3BEXP|2DMG|1VULN|1ASPD	127BEXP|3MLV|4RCR|5VULN|6ZMB|89DMG|aASPD
113	41121 42212	   	201.13	ACR|3BEXP|2ASPD|1VULN|1DMG	127BEXP|3MLV|4RCR|5VULN|68ASPD|9DUR|aDMG
114	41121 42411	   	201.13	ACR|3BEXP|2ASPD|1VULN|1DMG	127BEXP|3MLV|4RCR|5VULN|6aASPD|8DMG|9CGEN
115	41121 42412	   	201.13	ACR|3BEXP|2DMG|1VULN|1ASPD	127BEXP|3MLV|4RCR|5VULN|6ASPD|8aDMG|9CGEN
116	41121 42232	   	201.03	ACR|3BEXP|2ASPD|1VULN|1DMG	127BEXP|3MLV|4RCR|5VULN|68ASPD|9DUST|aDMG
117	41121 42431	   	201.03	ACR|3BEXP|2ASPD|1VULN|1DMG	127BEXP|3MLV|4RCR|5VULN|6aASPD|8DMG|9ERES
118	41121 42432	   	201.03	ACR|3BEXP|2DMG|1VULN|1ASPD	127BEXP|3MLV|4RCR|5VULN|6ASPD|8aDMG|9ERES
119	33512 54443	   	200.99	ACR|2VULN|2DMG|2BEXP|1CDMG	19DUST|2MBVNT|3RCR|49BEXP|5aVULN|6CDMG|79DMG|8DMSP|9BPWR
120	33512 55243	   	200.99	ACR|2VULN|2ASPD|2BEXP|1CDMG	19DUST|2MBVNT|3RCR|49BEXP|57VULN|6CDMG|89ASPD|9BPWR|aCGEN
121	33512 55244	   	200.99	ACR|2VULN|2ASPD|2BEXP|1CDMG	19DUST|2MBVNT|3RCR|49BEXP|57VULN|6CDMG|89ASPD|9BPWR|aFEWX
122	33512 62348	   	200.99	ACR|2VULN|2ASPD|2BEXP|1CDMG	19DUST|2MBVNT|3RCR|49BEXP|56VULN|7ZMB|89ASPD|9BPWR|aCDMG
123	33512 22375	   	200.77	ACR|2VULN|2ASPD|1DMG|1BEXP|1AAC	1DUST|2MBVNT|3RCR|4BEXP|58VULN|6aASPD|7AAC|9DMG
124	13121 44223	   	200.77	ACR|2ASPD|2BEXP|1VULN|1AART|1AAC	1RCVC|29BEXP|3MLV|4RCR|5VULN|6aASPD|7AART|8AAC
125	32224 13356	   	200.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUST|2LIT|3AEMAG|4DMG|5RCR|6ASPD|7VULN|8MLV|9CDMG|aBASARM
126	25125 41331	   	200.58	ACR|1BASARM|2ASPD|2BEXP	17CGEN|27BEXP|3AEFBLL|4RCR|5aLWND|67ASPD|7BPWR|8MLV|9BASARM
127	25125 41333	   	200.58	ACR|1BASARM|2ASPD|2BEXP	17CGEN|27BEXP|3AEFBLL|4RCR|5LWND|67ASPD|7BPWR|8MLV|9BASARM|aDUR
128	13121 44251	   	200.58	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG|1AAC	1RCVC|2BEXP|3MLV|4RCR|5VULN|6aASPD|7AART|8AAC|9CDMG
129	33512 22486	   	200.56	ACR|2ASPD|2BEXP|1VULN|1AART|1AAC	1DUST|2MBVNT|3RCR|4aBEXP|5VULN|69ASPD|7AAC|8AART
130	53426 81421	   	200.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1FEWX|2MBVNT|3LIT|4aDMG|5RCR|6BASARM|7LSRICY|8ASPD|9BEXP
131	33512 77424	 * 	200.48	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1DUST|2MBVNT|3RCR|4BEXP|5VULN|6AART|7aASPD|8DMG|9LIT
132	53512 22482	   	200.47	ACR|2ASPD|1VULN|1AART|1CDMG|1BEXP|1AAC	1FEWX|2MBVNT|3RCR|4BEXP|5VULN|69ASPD|7AAC|8AART|aCDMG
133	41123 33526	   	200.45	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC	12BEXP|3MLV|4RCR|5CDMG|6NUKE|7VULN|8DMSP|9AAC|aBASARM
134	41122 63431	   	200.38	ACR|1BASARM|2ASPD|2BEXP	12BEXP|35MLV|4RCR|67ASPD|8TLV|9BASARM|aFEWX
135	41122 63432	   	200.38	ACR|1BASARM|2ASPD|2BEXP	12BEXP|35MLV|4RCR|67ASPD|8TLV|9BASARM|aDUR
136	41122 63433	   	200.38	ACR|1BASARM|2ASPD|2BEXP	12BEXP|35MLV|4RCR|67ASPD|8TLV|9BASARM|aDMSP
137	33512 22482	   	200.37	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG|1AAC	1DUST|2MBVNT|3RCR|4BEXP|5VULN|69ASPD|7AAC|8AART|aCDMG
138	33525 45242	   	200.16	ACR|3VULN|3ASPD|1CDMG	19DUST|2MBVNT|3RCR|479VULN|5CDMG|6DUR|89aASPD|9BPWR
139	43221 42331	   	200.03	ACR|3BEXP|2ASPD|1VULN|1BASICY	17aBEXP|2MLV|3AEMAG|4RCR|5VULN|68ASPD|9BASICY
140	65221 42331	   	199.93	ACR|3BEXP|2ASPD|1VULN|1BASICY	1AME|27aBEXP|3AEMAG|4RCR|5VULN|68ASPD|9BASICY
141	13121 43523	   	199.77	ACR|2ASPD|2BEXP|1VULN|1AART|1AAC	1RCVC|29BEXP|3MLV|4RCR|5VULN|6aASPD|7AAC|8AART
142	53426 82431	   	199.75	ACR|2BASARM|2DMG|1VULN	178FEWX|2MBVNT|3LIT|47DMG|5RCR|67BASARM|7BPWR|9VULN|aRCVC
143	33512 54447	   	199.62	ACR|3BEXP|2DMG|1VULN|1CDMG	19DUST|2MBVNT|3RCR|49aBEXP|5VULN|6CDMG|79DMG|8DMSP|9BPWR
144	33512 54344	   	199.62	ACR|3BEXP|2DMG|1VULN|1CDMG	19DUST|2MBVNT|3RCR|489BEXP|5VULN|6CDMG|79DMG|9BPWR|aDUR
145	33512 54346	   	199.62	ACR|3BEXP|2DMG|1VULN|1CDMG	19DUST|2MBVNT|3RCR|489BEXP|5VULN|6CDMG|79DMG|9BPWR|aLIT
146	33512 54347	   	199.62	ACR|3BEXP|2DMG|1VULN|1CDMG	19DUST|2MBVNT|3RCR|489BEXP|5VULN|6CDMG|79DMG|9BPWR|aFEWX
147	33512 56243	   	199.62	ACR|3BEXP|2ASPD|1VULN|1CDMG	19DUST|2MBVNT|3RCR|479BEXP|5VULN|6CDMG|89ASPD|9BPWR|aCGEN
148	33512 56244	   	199.62	ACR|3BEXP|2ASPD|1VULN|1CDMG	19DUST|2MBVNT|3RCR|479BEXP|5VULN|6CDMG|89ASPD|9BPWR|aFEWX
149	13121 43551	   	199.58	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG|1AAC	1RCVC|2BEXP|3MLV|4RCR|5VULN|6aASPD|7AAC|8AART|9CDMG
150	33512 54341	   	199.52	ACR|3BEXP|2DMG|1VULN|1CDMG	19DUST|2MBVNT|3RCR|489BEXP|5VULN|6CDMG|79DMG|9BPWR|aAEMAG
151	33512 54345	   	199.52	ACR|3BEXP|2DMG|1VULN|1CDMG	19DUST|2MBVNT|3RCR|489BEXP|5VULN|6CDMG|79DMG|9BPWR|aAEFBLL
152	33512 54348	   	199.52	ACR|3BEXP|2DMG|1VULN|1CDMG	19aDUST|2MBVNT|3RCR|489BEXP|5VULN|6CDMG|79DMG|9BPWR
153	33512 56241	   	199.52	ACR|3BEXP|2ASPD|1VULN|1CDMG	19DUST|2MBVNT|3RCR|479BEXP|5VULN|6CDMG|89ASPD|9BPWR|aAEMAG
154	53426 82231	   	199.50	ACR|2BASARM|2DMG|1VULN|1SELL	17FEWX|2MBVNT|3LIT|47DMG|5RCR|67BASARM|7BPWR|8SELL|9VULN|aRCVC
