0	Index      	 *	Score 	Summary	Detail	
1	64334 13212	 * 	224.79	ACR|3DMG|1BASARM|2BEXP|1AART	1AART|29aDMG|3RCVC|46BEXP|5RCR|7LIT|8BASARM
14	42221 12341	   	207.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUR|2DUST|3RCR|4ERES|5LWND|67BEXP|8BASARM|9DMG|aASPD
15	42242 12341	   	207.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUR|2DUST|3RCR|4LWND|5AME|67BEXP|8BASARM|9DMG|aASPD
16	31113 45124	 * 	207.57	DCR|2BASARM|2ASPD|2BEXP|1CDMG|1AART	17CGEN|27BEXP|3FEWX|4CDMG|5AART|67BASARM|7BPWR|89ASPD|aRCR
17	53121 33512	 * 	205.63	ACR|1BASARM|2BEXP|2AART|1SELL	1BELT|2RCR|3RMIN|49BEXP|58AART|6SELL|7BASARM|aVULN
18	53121 33141	   	205.01	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG|1SELL	1BELT|2RCR|3RMIN|4BEXP|5AART|6SELL|7BASARM|8DUST|9CDMG|aASPD
19	53121 33616	 * 	204.44	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|489BEXP|5AART|6SELL|7BASARM|aVULN
20	45312 12341	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUR|26BEXP|3LHND|4RCR|5AME|7FEWX|8BASARM|9DMG|aASPD
21	42315 12341	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUR|2DUST|3LHND|4RCR|5MLV|67BEXP|8BASARM|9DMG|aASPD
22	42312 12341	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUR|2DUST|3LHND|4RCR|5AME|67BEXP|8BASARM|9DMG|aASPD
23	42412 12341	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUR|2DUST|36BEXP|4RCR|5AME|7FEWX|8BASARM|9DMG|aASPD
24	42612 12341	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUR|2DUST|3LWND|4RCR|5AME|67BEXP|8BASARM|9DMG|aASPD
25	53121 26114	 * 	200.87	ACR|2BASARM|2BEXP|1AART	1BELT|2RCR|3RMIN|4aBEXP|5AART|6AME|7aBASARM|8NUKE|9aDUST|aBPWR
26	53221 66233	   	200.01	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1BELT|2RCR|3AAC|4BEXP|5AART|6MLV|7BASARM|8CGEN|9DMG|aFEWX
27	53221 66221	   	199.91	ACR|1BASARM|1ASPD|1BEXP|1AART|1AAC	1BELT|2RCR|3AAC|4BEXP|5AART|6MLV|7BASARM|8CGEN|9TLV|aASPD
28	53221 66232	   	199.91	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC	1BELT|2RCR|3AAC|4BEXP|5AART|6MLV|7BASARM|8CGEN|9DMG|aLSRICY
29	53221 66321	   	199.91	ACR|1BASARM|1ASPD|1BEXP|1AART|1AAC	1BELT|2RCR|3AAC|4BEXP|5AART|6MLV|7BASARM|8MBVNT|9RCVC|aASPD
30	53121 33624	   	199.89	ACR|1BASARM|2BEXP|1AART|1CDMG|1SELL	1BELT|2RCR|3RMIN|48BEXP|5AART|6SELL|7BASARM|9LIT|aCDMG
31	53322 65133	   	199.83	ACR|1BASARM|2BEXP|1DMG	1BELT|2RCR|3FEWX|49BEXP|5LIT|6RPLT|7VULN|8DMG|aBASARM
32	53121 33663	   	199.79	ACR|1BASARM|2BEXP|1AART|1CDMG|1SELL	1BELT|2RCR|3RMIN|48BEXP|5AART|6SELL|7BASARM|9MDPS|aCDMG
33	53121 26423	 * 	198.83	ACR|1BASARM|2BEXP|2AART	1BELT|2RCR|3RMIN|49BEXP|5aAART|6AME|7BASARM|8LIT
34	53121 33511	   	198.69	ACR|1BASARM|2BEXP|2AART|1SELL	1BELT|2RCR|3RMIN|49BEXP|58AART|6SELL|7BASARM|aLIT
35	53121 33513	   	198.69	ACR|1BASARM|2BEXP|2AART|1SELL	1BELT|2RCR|3RMIN|49BEXP|58AART|6SELL|7BASARM|aCGEN
36	53121 33516	   	198.69	ACR|1BASARM|2BEXP|2AART|1SELL	1BELT|2RCR|3RMIN|49BEXP|58AART|6SELL|7BASARM|aFEWX
37	53121 33525	   	198.69	ACR|1BASARM|2BEXP|2AART|1SELL	1BELT|2RCR|3RMIN|4aBEXP|58AART|6SELL|7BASARM|9LIT
38	53121 33532	   	198.69	ACR|1BASARM|2BEXP|2AART|1SELL	1BELT|2RCR|3RMIN|4aBEXP|58AART|6SELL|7BASARM|9LHND
39	53121 33542	   	198.69	ACR|1BASARM|2BEXP|2AART|1SELL	1BELT|2RCR|3RMIN|4aBEXP|58AART|6SELL|7BASARM|9DUR
40	53121 33552	   	198.69	ACR|1BASARM|2BEXP|2AART|1SELL	1BELT|2RCR|3RMIN|4aBEXP|58AART|6SELL|7BASARM|9LWND
41	53531 34321	   	198.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1BELT|2RCR|3RPLT|4CGEN|5ASPD|6LIT|7BASARM|8VULN|9BEXP|aCDMG
42	53121 33514	   	198.59	ACR|1BASARM|2BEXP|2AART|1SELL	1BELT|2RCR|3RMIN|49BEXP|58AART|6SELL|7BASARM|aFLTFST
43	53231 23246	 * 	198.57	ACR|1BASARM|2AART|1DMG|1AAC|1SELL	16BELT|2RCR|3AAC|4RPLT|58AART|7SELL|9BASARM|aDMG
44	53121 26236	   	198.55	ACR|1BASARM|1DMG|1BEXP|1AART	1BELT|2RCR|3RMIN|4BEXP|5AART|6AME|7BASARM|8CGEN|9DMG|aVULN
45	53322 65113	 * 	198.02	ACR|1BASARM|2VULN|1DMG|1BEXP	1BELT|2RCR|3FEWX|4BEXP|5LIT|6RPLT|79VULN|8DMG|aBASARM
46	53325 13326	 * 	197.86	ACR|3ASPD|2BEXP|2VULN	1BELT|2RCR|3aFEWX|45BEXP|68aASPD|7RPLT|9aVULN|aBPWR
47	53121 33323	   	197.50	ACR|1BASARM|2AART|1BEXP|1CDMG|1SELL	1BELT|2RCR|3RMIN|4BEXP|5aAART|6SELL|7BASARM|8LIT|9CDMG
48	53121 33441	   	197.50	ACR|1BASARM|2AART|1BEXP|1CDMG|1SELL	1BELT|2RCR|3RMIN|4BEXP|5aAART|6SELL|7BASARM|8CGEN|9CDMG
49	53121 33524	   	197.50	ACR|1BASARM|2AART|1BEXP|1CDMG|1SELL	1BELT|2RCR|3RMIN|4BEXP|58AART|6SELL|7BASARM|9LIT|aCDMG
50	53121 33611	 * 	197.50	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|489BEXP|5AART|6SELL|7BASARM|aFEWX
51	53121 33614	 * 	197.50	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|489BEXP|5AART|6SELL|7BASARM|aLWND
52	53121 33625	 * 	197.50	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|48aBEXP|5AART|6SELL|7BASARM|9LIT
53	53121 33632	 * 	197.50	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|48aBEXP|5AART|6SELL|7BASARM|9LHND
54	53121 33642	 * 	197.50	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|48aBEXP|5AART|6SELL|7BASARM|9DUR
55	53121 33652	 * 	197.50	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|48aBEXP|5AART|6SELL|7BASARM|9LWND
56	53121 33152	 * 	197.40	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|49aBEXP|5AART|6SELL|7BASARM|8DUST
57	53121 33563	   	197.40	ACR|1BASARM|2AART|1BEXP|1CDMG|1SELL	1BELT|2RCR|3RMIN|4BEXP|58AART|6SELL|7BASARM|9MDPS|aCDMG
58	53121 33612	 * 	197.40	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|489BEXP|5AART|6SELL|7BASARM|aERES
59	53121 33613	 * 	197.40	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|489BEXP|5AART|6SELL|7BASARM|aDUST
60	53121 33615	 * 	197.40	ACR|1BASARM|3BEXP|1AART|1SELL	1BELT|2RCR|3RMIN|489BEXP|5AART|6SELL|7BASARM|aMDPS
61	63164 12131	 * 	197.10	ACR|3ASPD|2BEXP|2AART|1AAC	19AART|2DUR|34aASPD|5RCR|67BEXP|8AAC
62	53221 51612	 * 	196.16	ACR|2DMG|1ASPD|1BEXP|1AART|1AAC	1BELT|2RCR|3AAC|4BEXP|5AART|6VULN|7FEWX|8aDMG|9ASPD
63	53221 53612	   	196.16	ACR|2DMG|1ASPD|1BEXP|1AART|1AAC	1BELT|2RCR|3AAC|4BEXP|5AART|6VULN|7LWND|8aDMG|9ASPD
64	45221 12342	   	196.10	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUR|26BEXP|3RCR|4ERES|5LWND|7FEWX|8BASARM|9DMG|aAAC
65	42221 12342	   	196.00	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUR|2DUST|3RCR|4ERES|5LWND|67BEXP|8BASARM|9DMG|aAAC
66	42242 12342	   	196.00	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUR|2DUST|3RCR|4LWND|5AME|67BEXP|8BASARM|9DMG|aAAC
67	64334 11131	 * 	196.00	ACR|2DMG|2BEXP|1ASPD|1AART|1AAC	1AART|2aDMG|3RCVC|46BEXP|5RCR|7VULN|8AAC|9ASPD
68	64334 22131	   	196.00	ACR|2DMG|2BEXP|1ASPD|1AART|1AAC	1AART|2aDMG|3RCVC|47BEXP|5RCR|6VULN|8AAC|9ASPD
69	53411 22151	   	195.64	ACR|1BASARM|2DMG|1AART	1BELT|2RCR|3LIT|4AART|5aFEWX|6RMIN|78DMG|9BASARM
70	53411 22152	   	195.54	ACR|1BASARM|2DMG|1AART	1BELT|2RCR|3LIT|4AART|5FEWX|6RMIN|78DMG|9BASARM|aERES
71	53411 22153	   	195.54	ACR|1BASARM|2DMG|1AART	1BELT|2RCR|3LIT|4AART|5FEWX|6RMIN|78DMG|9BASARM|aLEGI
72	53563 12232	 * 	195.46	ACR|3BEXP|2ASPD|1AART|1AAC	1BELT|2RCR|3RPLT|4aASPD|57aBEXP|6aLIT|8AAC|9AART|aBPWR
73	53221 66222	   	194.79	ACR|1BASARM|2BEXP|1AART|1AAC	1BELT|2RCR|3AAC|4aBEXP|5AART|6aMLV|7BASARM|8CGEN|9aTLV|aBPWR
