0	Index      	 *	Score 	Summary	Detail	
1	13142 31532	 * 	255.04	橙橙2易伤1等级	1电塔对黄2等级3平台4毒液对黄5雷电减费6a核79易伤8敌人爆炸
27	13613 33536	 * 	230.36	橙橙1等级1伤害1全技能	1电塔对黄2等级3技能点4赏金塔5全技能6伤害7a核8随机技能9掉矿
28	13142 31512	   	228.84	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄5雷电减费6a核7易伤89敌人爆炸
29	13142 31552	   	228.84	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄5雷电减费6a核7易伤8敌人爆炸9立即金币
30	13141 34632	   	228.84	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄5挖尘6a核7双倍矿8敌人爆炸9易伤
31	13141 35632	   	228.84	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄5挖尘6a核7立即金币8敌人爆炸9易伤
32	13142 33632	   	228.84	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄5雷电减费6a核7双倍矿8敌人爆炸9易伤
33	13142 35632	   	228.84	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄5雷电减费6a核7立即金币8敌人爆炸9易伤
34	13141 31152	   	228.74	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄58挖尘6a核7易伤9低血量敌人
35	13142 31152	   	228.74	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄5雷电减费6a核7易伤8挖尘9立即金币
36	13142 31562	   	228.74	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄5雷电减费6a核7易伤8敌人爆炸9毒气减费
37	13141 36632	   	228.74	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄57挖尘6a核8敌人爆炸9易伤
38	13142 31162	   	228.64	橙橙1易伤1等级	1电塔对黄2等级3平台4毒液对黄5雷电减费6a核7易伤8挖尘9毒气减费
39	44263 33313	 * 	225.95	橙3易伤1等级1伤害1时间	1掉矿249易伤3等级5基地爆炸6伤害7敌人爆炸8时间a核
40	44262 32313	   	225.85	橙3易伤1等级1伤害1时间	1掉矿249易伤3等级5挖尘6伤害7基地爆炸8时间a核
41	44262 33313	   	225.85	橙3易伤1等级1伤害1时间	1掉矿249易伤3等级5挖尘6伤害7敌人爆炸8时间a核
