0	Index      	 *	Score 	Summary	Detail	
1	21411 21256	 * 	284.98	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aASPD
28	21121 13415	   	265.36	ACR|3VULN|2TLV|1AART	19FEWX|269VULN|3MULARM|4DUST|5RCR|79TLV|8RCVC|9BPWR|aAART
29	61131 13215	   	265.26	ACR|3VULN|2TLV|1AART	19DUST|269VULN|3MULARM|48FEWX|5RCR|79TLV|9BPWR|aAART
30	61131 13415	   	265.26	ACR|3VULN|2TLV|1AART	19DUST|269VULN|3MULARM|4FEWX|5RCR|79TLV|8RCVC|9BPWR|aAART
31	11111 13562	   	264.91	ACR|3VULN|1TLV|1ASPD|1CDMG|1DUR	1LEGI|2DUR|3SPLREG|469VULN|5RCR|7TLV|8ASPD|aCDMG
32	12111 13216	   	264.01	ACR|3VULN|2TLV|1DUR	1LEGI|289FEWX|3SPLREG|469VULN|5RCR|79TLV|9BPWR|aDUR
33	12111 13415	   	264.01	ACR|3VULN|2TLV|1DUR	1LEGI|29FEWX|3SPLREG|469VULN|5RCR|79TLV|8RCVC|9BPWR|aDUR
34	16211 13215	   	263.91	ACR|3VULN|2TLV|1DUR	1LEGI|29BASARM|38FEWX|469VULN|5RCR|79TLV|9BPWR|aDUR
35	16211 13415	   	263.91	ACR|3VULN|2TLV|1DUR	1LEGI|29BASARM|3FEWX|469VULN|5RCR|79TLV|8RCVC|9BPWR|aDUR
36	36165 11133	 * 	263.47	DCR|2TLV|2VULN|1DMG|1CDMG	1FRZFST|24TLV|34BEXP|4BPWR|5DMG|6CDMG|7aVULN|8LWND|9RCR
37	36365 11133	   	263.47	DCR|2TLV|2VULN|1DMG|1CDMG	1FRZFST|24TLV|34FEWX|4BPWR|5DMG|6CDMG|7aVULN|8LWND|9RCR
38	31211 13563	   	262.85	ACR|4VULN|1TLV|1ASPD	1FRZFST|2LHND|3FEWX|469aVULN|5RCR|7TLV|8ASPD
39	21536 22723	 * 	262.75	DCR|4VULN|1TLV|1ASPD	1FEWX|2457VULN|3RPLT|6MBVNT|8ASPD|9TLV|aRCR
40	12111 13563	   	262.65	ACR|4VULN|1TLV|1ASPD	1LEGI|2FEWX|3SPLREG|469aVULN|5RCR|7TLV|8ASPD
41	16211 13563	   	262.65	ACR|4VULN|1TLV|1ASPD	1LEGI|2BASARM|3FEWX|469aVULN|5RCR|7TLV|8ASPD
42	21121 13563	   	262.65	ACR|4VULN|1TLV|1ASPD	1FEWX|269aVULN|3MULARM|4DUST|5RCR|7TLV|8ASPD
43	61131 13563	   	262.65	ACR|4VULN|1TLV|1ASPD	1DUST|269aVULN|3MULARM|4FEWX|5RCR|7TLV|8ASPD
44	21411 22221	   	262.46	DCR|3VULN|1TLV|1CDMG|1AART|1DUR	1FEWX|23aVULN|4DUR|5AART|6RCR|7CDMG|8TLV|9LWND
45	61411 22221	   	262.36	DCR|3VULN|1TLV|1CDMG|1AART|1DUR	1DUST|23aVULN|4DUR|5AART|6RCR|7CDMG|8TLV|9LWND
46	21411 22241	   	262.36	DCR|3VULN|1TLV|1CDMG|1AART|1DUR	1FEWX|23aVULN|4DUR|5AART|6RCR|7CDMG|8TLV|9DUST
47	24511 21252	 * 	262.12	DCR|DCR|1TLV|1DMG|1CDMG|1AART|1DUR	1FEWX|2TLV|3CGEN|4DUR|5AART|69RCR|7DMG|8CDMG|aRPLT
48	24511 21253	   	262.12	DCR|DCR|1TLV|1DMG|1CDMG|1AART|1DUR	1FEWX|2TLV|3CGEN|4DUR|5AART|69RCR|7DMG|8CDMG|aBEXP
49	24511 21251	   	262.02	DCR|DCR|1TLV|1DMG|1CDMG|1AART|1DUR	1FEWX|2TLV|3CGEN|4DUR|5AART|69RCR|7DMG|8CDMG|aERES
50	21526 22723	   	261.76	DCR|3VULN|1TLV|1AEBURN|1ASPD	1FEWX|257VULN|3RPLT|4AEBURN|6MBVNT|8ASPD|9TLV|aRCR
51	25311 21252	   	261.54	DCR|DCR|1VULN|1DMG|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aRPLT
52	25311 21253	   	261.54	DCR|DCR|1VULN|1DMG|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aBEXP
53	25311 21254	   	261.54	DCR|DCR|1VULN|1DMG|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aRCVC
54	25311 22452	   	261.54	DCR|DCR|1VULN|1DMG|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3VULN|4DUR|5AART|69RCR|7CDMG|8DMG|aRPLT
55	25311 22453	   	261.54	DCR|DCR|1VULN|1DMG|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3VULN|4DUR|5AART|69RCR|7CDMG|8DMG|aBEXP
56	21432 62513	   	261.52	DCR|3VULN|1TLV|1AEPOI|1ASPD|1SELL	1FEWX|239VULN|4SELL|5TLV|6ASPD|7DLOT|8RCR|aAEPOI
57	25311 21251	   	261.44	DCR|DCR|1VULN|1DMG|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aERES
58	25311 21255	   	261.44	DCR|DCR|1VULN|1DMG|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3VULN|4DUR|5AART|69RCR|7DMG|8CDMG|aCANTOX
59	25311 22451	   	261.44	DCR|DCR|1VULN|1DMG|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3VULN|4DUR|5AART|69RCR|7CDMG|8DMG|aERES
60	36322 54322	 * 	260.83	DCR|2TLV|2VULN|1AEBURN|1AART	18FRZFST|28TLV|3FEWX|4LIT|5MBVNT|6AART|78VULN|8BPWR|9AEBURN|aRCR
61	25132 31266	   	259.58	DCR|2TLV|2VULN|1AEBURN|1DUR	1FEWX|2AEBURN|3aTLV|4aVULN|5MLV|6aLIT|7RCR|8BEXP|9DUR|aBPWR
62	25132 31366	   	259.58	DCR|2TLV|2VULN|1AEBURN|1DUR	1FEWX|2AEBURN|3aTLV|4aVULN|5MLV|6aLIT|7RCR|8LHND|9DUR|aBPWR
63	25132 31536	   	259.48	DCR|2TLV|2VULN|1AEBURN|1DUR	1FEWX|2AEBURN|3aTLV|4aVULN|5MLV|6aLIT|7RCR|8DUR|9DUST|aBPWR
64	11532 42513	 * 	259.36	DCR|3TLV|1VULN|2DUR|1ASPD|1CDMG	1LEGI|26DUR|3ASPD|4CDMG|56aTLV|6BPWR|7DLOT|8RCR|9VULN
65	13313 15364	   	259.28	DCR|2TLV|2VULN|1DMG|1DUR	1LEGI|2CGEN|3DUR|4LIT|59TLV|68VULN|7DMG|aRCR
66	24421 22216	   	259.28	DCR|2TLV|2VULN|1DMG|1DUR	1FEWX|25TLV|3RPLT|4DUR|6DMG|7aVULN|8ERES|9RCR
67	25133 43621	   	259.22	DCR|3VULN|1TLV|1AEBURN|1AART	1FEWX|2AEBURN|3TLV|48aVULN|5RPLT|6AART|7RCR|9LWND
68	65133 43321	   	259.12	DCR|3VULN|1TLV|1AEBURN|1AART	1DUST|2AEBURN|3TLV|49aVULN|5RPLT|6AART|7RCR|8FEWX
69	25133 43421	   	259.12	DCR|3VULN|1TLV|1AEBURN|1AART	1FEWX|2AEBURN|3TLV|49aVULN|5RPLT|6AART|7RCR|8LEGI
70	11532 42511	 * 	258.16	DCR|2TLV|1VULN|2ASPD|2DUR|1CDMG	1LEGI|26DUR|3aASPD|4CDMG|56TLV|6BPWR|7DLOT|8RCR|9VULN
71	25133 11516	   	257.87	DCR|3VULN|1TLV|1AEBURN|1DUR	1FEWX|2AEBURN|3TLV|48aVULN|5RPLT|6LWND|7DUR|9RCR
72	21411 22224	   	257.83	DCR|2VULN|1TLV|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|6RCR|7CDMG|8TLV|9LWND|aDMG
73	21411 22234	   	257.83	DCR|2VULN|1TLV|1AEFBLL|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|6RCR|7CDMG|8TLV|9BELT|aAEFBLL
74	25311 22221	   	257.83	DCR|2VULN|1TLV|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3aVULN|4DUR|5AART|6RCR|7CDMG|8TLV|9LWND
75	13313 15334	   	257.77	DCR|3VULN|1TLV|1DMG|1DUR	1LEGI|2CGEN|3DUR|4LIT|5TLV|689VULN|7DMG|aRCR
76	25131 63335	   	257.77	DCR|3VULN|1TLV|1AEBURN|1DUR	1FEWX|2AEBURN|3TLV|489VULN|5LIT|6MBVNT|7DUR|aRCR
77	61411 22224	   	257.73	DCR|2VULN|1TLV|1DMG|1CDMG|1AART|1DUR	1DUST|23VULN|4DUR|5AART|6RCR|7CDMG|8TLV|9LWND|aDMG
78	61411 22234	   	257.73	DCR|2VULN|1TLV|1AEFBLL|1CDMG|1AART|1DUR	1DUST|23VULN|4DUR|5AART|6RCR|7CDMG|8TLV|9BELT|aAEFBLL
79	21411 22244	   	257.73	DCR|2VULN|1TLV|1DMG|1CDMG|1AART|1DUR	1FEWX|23VULN|4DUR|5AART|6RCR|7CDMG|8TLV|9DUST|aDMG
80	25311 22241	   	257.73	DCR|2VULN|1TLV|1AEBURN|1CDMG|1AART|1DUR	1FEWX|2AEBURN|3aVULN|4DUR|5AART|6RCR|7CDMG|8TLV|9DUST
81	65311 22221	   	257.73	DCR|2VULN|1TLV|1AEBURN|1CDMG|1AART|1DUR	1DUST|2AEBURN|3aVULN|4DUR|5AART|6RCR|7CDMG|8TLV|9LWND
82	11613 15334	   	257.67	DCR|3VULN|1TLV|1DMG|1DUR	1LEGI|2DUR|3ERES|4LIT|5TLV|689VULN|7DMG|aRCR
83	11532 22513	 * 	256.63	DCR|2TLV|1VULN|1AEPOI|1ASPD|1CDMG|1DUR	1LEGI|2DUR|3ASPD|4CDMG|5aTLV|6AEPOI|7DLOT|8RCR|9VULN
84	31211 13562	   	255.45	ACR|3VULN|1TLV|1ASPD|1CDMG	1FRZFST|2LHND|3FEWX|469VULN|5RCR|7TLV|8ASPD|aCDMG
85	12111 13562	   	255.25	ACR|3VULN|1TLV|1ASPD|1CDMG	1LEGI|2FEWX|3SPLREG|469VULN|5RCR|7TLV|8ASPD|aCDMG
86	16211 13562	   	255.25	ACR|3VULN|1TLV|1ASPD|1CDMG	1LEGI|2BASARM|3FEWX|469VULN|5RCR|7TLV|8ASPD|aCDMG
87	21121 13562	   	255.25	ACR|3VULN|1TLV|1ASPD|1CDMG	1FEWX|269VULN|3MULARM|4DUST|5RCR|7TLV|8ASPD|aCDMG
88	61131 13562	   	255.25	ACR|3VULN|1TLV|1ASPD|1CDMG	1DUST|269VULN|3MULARM|4FEWX|5RCR|7TLV|8ASPD|aCDMG
89	12532 32636	   	255.25	DCR|3VULN|1TLV|1ASPD|1CDMG	1LEGI|2FEWX|3ASPD|4CDMG|5TLV|679VULN|8ERES|aRCR
90	21211 21256	   	255.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART|1DUR	1FEWX|2VULN|3RCVC|4DUR|5AART|69RCR|7DMG|8CDMG|aASPD
91	21211 22456	   	255.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART|1DUR	1FEWX|2VULN|3RCVC|4DUR|5AART|69RCR|7CDMG|8DMG|aASPD
92	21533 33443	   	255.11	DCR|2VULN|1TLV|1DMG|1CDMG|1AART	1FEWX|24VULN|3RPLT|5RAT|6AART|7CDMG|8RCR|9DMG|aTLV
