0	Index      	 *	Score 	Summary	Detail	
1	13315 14326	 * 	316.20	ACR|DCR|2VULN|1TLV|3DUR|1CDMG	1CDMG|2TLV|358DUR|47RCR|6FEWX|9aVULN
18	32315 52151	 * 	302.88	DCR|4VULN|1TLV|1DMG|1AEPOI|1ASPD	1248VULN|2BPWR|3ERES|5DMG|6ASPD|7AEPOI|9TLV|aRCR
19	13311 45431	   	302.52	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2TLV|3DUR|49RCR|5DMSP|6DMG|7MLV|8ASPD|aVULN
20	13312 35431	   	302.52	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG|1ASPD	1CDMG|2TLV|3DUR|49RCR|5AAC|6AEFBLL|7MLV|8ASPD|aVULN
21	13311 42431	   	302.42	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2TLV|3DUR|49RCR|5DMSP|6DMG|7ERES|8ASPD|aVULN
22	13312 32431	   	302.42	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1CDMG	1CDMG|2TLV|3DUR|49RCR|5AAC|6AEFBLL|7ERES|8ASPD|aVULN
23	13311 64231	   	301.94	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|29TLV|3DUR|47RCR|5DMSP|6LHND|8ZMB|aVULN
24	13311 54263	 * 	301.32	ACR|DCR|2TLV|2DMG|2CDMG	1aCDMG|2aTLV|3DUR|47RCR|5DMSP|6AETHUN|8CGEN|9aDMG|aBPWR
25	31121 54134	   	299.17	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	1VULN|2DMG|39RCR|4LIT|5ERES|6AEBURN|7TSLARM|8TLV|aCDMG
26	13212 55631	   	299.07	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3DUST|49RCR|5AAC|6ERES|7DMG|8AEFBLL|aVULN
27	13312 46431	   	298.01	ACR|DCR|1TLV|1VULN|2CDMG|2DUR|1ASPD	17CDMG|2TLV|37DUR|49RCR|5AAC|67AME|7BPWR|8ASPD|aVULN
28	13312 56431	   	297.81	ACR|DCR|1TLV|1VULN|2CDMG|2DUR|1ASPD	17CDMG|2TLV|37DUR|49RCR|5AAC|67ERES|7BPWR|8ASPD|aVULN
29	13215 64331	   	297.71	ACR|DCR|1TLV|1VULN|1AEBURN|2DUR|1CDMG	1CDMG|2TLV|3DUST|47RCR|58DUR|6AEBURN|9ERES|aVULN
30	32153 11263	 * 	297.04	DCR|2TLV|2VULN|2DMG|2AEFBLL	12VULN|2aBPWR|3aAEFBLL|4DUR|5ERES|6aTLV|7LIT|8RCR|9aDMG
31	12412 25131	 * 	296.69	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1CDMG|2BEXP|3TLV|49RCR|5AAC|67DMG|8ERES|aVULN
32	13412 25131	   	296.69	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1CDMG|2TLV|3BEXP|49RCR|5AAC|67DMG|8ERES|aVULN
33	11412 25131	   	296.59	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1CDMG|2DUST|3TLV|49RCR|5AAC|67DMG|8ERES|aVULN
34	13212 25131	   	296.59	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1CDMG|2TLV|3DUST|49RCR|5AAC|67DMG|8ERES|aVULN
35	32553 11263	 * 	296.51	DCR|4VULN|1TLV|2DMG	123aVULN|23aBPWR|4DUR|5aERES|6TLV|7LIT|8RCR|9aDMG
36	13315 14325	   	296.00	ACR|DCR|1TLV|1VULN|3DUR|1CDMG	1CDMG|2TLV|358DUR|47RCR|6FEWX|9VULN|aNUKE
37	31125 55233	 * 	295.67	ACR|4VULN|2TLV|1DMG	167aVULN|2DMG|3RCR|4aLIT|5LWND|8CGEN|9aTLV|aBPWR
38	31125 22335	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	17VULN|2DMG|39RCR|4LIT|58LWND|6LSRREG|aTLV
39	32135 61421	 * 	295.22	DCR|4VULN|2TLV|1AEFBLL|1SELL	1249VULN|29BPWR|3AEFBLL|5SELL|69ERES|79TLV|8RCR|aLHND
40	32135 61422	 * 	295.22	DCR|4VULN|2TLV|1AEFBLL|1SELL	1249VULN|29BPWR|3AEFBLL|5SELL|69ERES|79TLV|8RCR|aLWND
41	24113 35533	   	295.21	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1RAT|23aVULN|4FLTFST|5AEFBLL|6aTLV|7RCR|8CDMG|9aFEWX|aBPWR
42	32135 61423	 * 	295.12	DCR|4VULN|2TLV|1AEFBLL|1SELL	1249VULN|29BPWR|3AEFBLL|5SELL|69aERES|79TLV|8RCR
43	24113 35621	   	295.01	DCR|3VULN|2TLV|1AEFBLL|1ASPD	1RAT|239VULN|4FLTFST|5AEFBLL|6aTLV|7RCR|8ASPD
44	32413 35621	   	295.01	DCR|3VULN|2TLV|1AEFBLL|1ASPD	129VULN|2BPWR|3RAT|4FLTFST|5AEFBLL|6aTLV|7RCR|8ASPD
45	36113 35621	   	295.01	DCR|3VULN|2TLV|1AEFBLL|1ASPD	139VULN|2RAT|4FLTFST|5AEFBLL|6aTLV|7RCR|8ASPD
46	12415 14231	   	295.01	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|26BEXP|39TLV|47RCR|5DUR|8CGEN|aVULN
47	13311 14251	   	295.01	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|29TLV|3DUR|47RCR|5DMSP|6FEWX|8CGEN|aVULN
48	13311 64331	   	295.01	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|29TLV|3DUR|47RCR|5DMSP|6LHND|8RMIN|aVULN
49	13415 14231	   	295.01	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|29TLV|36BEXP|47RCR|5DUR|8CGEN|aVULN
50	13613 34231	   	295.01	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|29TLV|36LWND|47RCR|5DUR|8CGEN|aVULN
51	13613 44231	   	295.01	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|29TLV|3LWND|47RCR|5DUR|6RCVC|8CGEN|aVULN
52	13215 24251	   	294.81	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|29TLV|36DUST|47RCR|5DUR|8CGEN|aVULN
53	24113 35421	   	294.38	DCR|3VULN|2TLV|1AEFBLL|3RAT	189RAT|239VULN|4FLTFST|5AEFBLL|69TLV|7RCR|9BPWR|aERES
54	32413 35421	   	294.38	DCR|3VULN|2TLV|1AEFBLL|3RAT	129VULN|29BPWR|389RAT|4FLTFST|5AEFBLL|69TLV|7RCR|aERES
55	36113 35421	   	294.38	DCR|3VULN|2TLV|1AEFBLL|3RAT	139VULN|289RAT|4FLTFST|5AEFBLL|69TLV|7RCR|9BPWR|aERES
56	31423 12531	 * 	293.52	DCR|2TLV|2VULN|2DMG|2ASPD	18VULN|2aDMG|3LHND|4AME|5aASPD|6MSLTOX|7RCR|9aTLV|aBPWR
57	12411 42431	   	292.75	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2BEXP|3TLV|49RCR|5DMSP|6DMG|7ERES|8ASPD|aVULN
58	13211 45431	   	292.75	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2TLV|3DUST|49RCR|5DMSP|6DMG|7MLV|8ASPD|aVULN
59	13411 42431	   	292.75	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2TLV|3BEXP|49RCR|5DMSP|6DMG|7ERES|8ASPD|aVULN
60	11411 42431	   	292.65	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DUST|3TLV|49RCR|5DMSP|6DMG|7ERES|8ASPD|aVULN
61	13211 42431	   	292.65	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2TLV|3DUST|49RCR|5DMSP|6DMG|7ERES|8ASPD|aVULN
62	13315 14322	   	292.65	ACR|DCR|1TLV|1VULN|3DUR|2CDMG	1aCDMG|2TLV|358DUR|47RCR|6FEWX|9VULN
63	13215 44322	   	292.55	ACR|DCR|1TLV|1VULN|3DUR|2CDMG	1aCDMG|2TLV|3DUST|47RCR|568DUR|9VULN
64	13315 54322	   	292.55	ACR|DCR|1TLV|1VULN|3DUR|2CDMG	1aCDMG|2TLV|358DUR|47RCR|6AETHUN|9VULN
65	33161 51263	 * 	292.30	DCR|3VULN|2TLV|2DMG	13aVULN|23LIT|3aBPWR|4aFEWX|56TLV|7CGEN|8RCR|9aDMG
66	12411 64231	   	292.28	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|2BEXP|39TLV|47RCR|5DMSP|6LHND|8ZMB|aVULN
67	13411 64231	   	292.28	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|29TLV|3BEXP|47RCR|5DMSP|6LHND|8ZMB|aVULN
68	31125 56233	   	292.20	ACR|3VULN|2TLV|2DMG	16aVULN|27DMG|3RCR|4aLIT|5LWND|8CGEN|9aTLV|aBPWR
69	33161 52263	   	292.20	DCR|3VULN|2TLV|2DMG	13aVULN|23LIT|3aBPWR|4aFEWX|56TLV|7ERES|8RCR|9aDMG
70	13211 64251	   	292.18	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|29TLV|3DUST|47RCR|5DMSP|6LHND|8ZMB|aVULN
71	33151 51263	   	292.10	DCR|3VULN|2TLV|2DMG	13aVULN|23LIT|3aBPWR|4aDUST|56TLV|7CGEN|8RCR|9aDMG
72	33151 52263	   	292.00	DCR|3VULN|2TLV|2DMG	13aVULN|23LIT|3aBPWR|4aDUST|56TLV|7ERES|8RCR|9aDMG
73	13211 54263	   	291.56	ACR|DCR|2TLV|2DMG|2CDMG	1aCDMG|2aTLV|3DUST|47RCR|5DMSP|6AETHUN|8CGEN|9aDMG|aBPWR
74	31142 15214	 * 	291.56	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2DMG|3aRCR|4MDPS|5LHND|68ASPD|7BEXP|9TLV
75	13312 15431	   	291.49	ACR|DCR|1TLV|1VULN|2DUR|1ASPD|1CDMG	1CDMG|2TLV|36DUR|49RCR|5AAC|7MLV|8ASPD|aVULN
76	13312 12431	   	291.39	ACR|DCR|1TLV|1VULN|2DUR|1ASPD|1CDMG	1CDMG|2TLV|36DUR|49RCR|5AAC|7ERES|8ASPD|aVULN
77	13311 42435	   	290.87	ACR|DCR|2TLV|1DMG|1ASPD|1CDMG	1CDMG|2aTLV|3DUR|49RCR|5DMSP|6DMG|7ERES|8ASPD
78	13312 32435	   	290.87	ACR|DCR|2TLV|1AEFBLL|1ASPD|1CDMG	1CDMG|2aTLV|3DUR|49RCR|5AAC|6AEFBLL|7ERES|8ASPD
79	44224 32331	   	290.62	DCR|2TLV|2VULN|2DMG|2FRZARM	1aFRZARM|2NUKE|3CGEN|4aVULN|58DMG|6DUR|7RCR|9aTLV|aBPWR
80	32514 22133	 * 	289.25	DCR|4VULN|2TLV|1ASPD	123aVULN|23aBPWR|4ASPD|5aLIT|6RCR|7AME|8BEXP|9aTLV
81	32514 23233	   	289.25	DCR|4VULN|2TLV|1ASPD	123aVULN|23aBPWR|4ASPD|5aLIT|6RCR|7LWND|8CGEN|9aTLV
82	32541 13612	   	289.23	DCR|4VULN|1TLV|1DMG|1AEPOI	1235VULN|235BPWR|4DLOT|6LWND|7RCR|8AEPOI|9DMG|aTLV
83	13215 64221	   	288.77	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2TLV|3DUST|47RCR|5DUR|6AEBURN|8CGEN|9VULN|aAAC
84	13315 21135	   	288.75	ACR|DCR|1TLV|1VULN|2DUR|1CDMG|1AART	1CDMG|2TLV|35DUR|4aRCR|6AART|7MDPS|8VULN|9RPLT
85	13215 64121	   	288.67	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2TLV|3DUST|47RCR|5DUR|6AEBURN|8LHND|9VULN|aMGNSTR
86	13215 64122	   	288.67	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG|1MSE	1CDMG|2TLV|3DUST|47RCR|5DUR|6AEBURN|8LHND|9VULN|aMSE
87	13215 64123	   	288.67	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG|1SELL	1CDMG|2TLV|3DUST|47RCR|5DUR|6AEBURN|8LHND|9VULN|aSELL
88	13215 64211	   	288.67	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2TLV|39DUST|47RCR|5DUR|6AEBURN|8CGEN|aVULN
89	13215 64222	   	288.67	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2TLV|3DUST|47RCR|5DUR|6AEBURN|8CGEN|9VULN|aERES
90	13215 64223	   	288.67	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2TLV|3DUST|47RCR|5DUR|6AEBURN|8CGEN|9VULN|aMDPS
91	13312 26532	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2TLV|3DUR|48RCR|5AAC|6SPLJET|7DMG|9DUST|aVULN
92	13315 15224	   	288.49	ACR|2TLV|2VULN|1DMG|2CDMG|2DUR	19CDMG|29TLV|35DUR|4RCR|6FEWX|79VULN|8MBVNT|9BPWR|aDMG
93	13215 45224	   	288.39	ACR|2TLV|2VULN|1DMG|2CDMG|2DUR	19CDMG|29TLV|3DUST|4RCR|56DUR|79VULN|8MBVNT|9BPWR|aDMG
94	13611 43326	   	288.32	ACR|DCR|2TLV|1AEBURN|1CDMG|1AART	1CDMG|29TLV|3LWND|48RCR|5AART|6RMIN|7DUR|aAEBURN
95	13611 63326	   	288.32	ACR|DCR|2TLV|1AEBURN|1CDMG|1AART	1CDMG|29TLV|3LWND|48RCR|5AART|6AME|7DUR|aAEBURN
96	13611 53326	   	288.22	ACR|DCR|2TLV|1AEBURN|1CDMG|1AART	1CDMG|29TLV|3LWND|48RCR|5AART|6ERES|7DUR|aAEBURN
97	24113 35162	   	288.17	DCR|3VULN|2TLV|1AEFBLL|2RAT	1aRAT|23aVULN|4FLTFST|5AEFBLL|6aTLV|7RCR|8RMIN|9RPLT|aBPWR
98	32413 35162	   	288.17	DCR|3VULN|2TLV|1AEFBLL|2RAT	12aVULN|2aBPWR|3aRAT|4FLTFST|5AEFBLL|6aTLV|7RCR|8RMIN|9RPLT
99	36113 35162	   	288.17	DCR|3VULN|2TLV|1AEFBLL|2RAT	13aVULN|2aRAT|4FLTFST|5AEFBLL|6aTLV|7RCR|8RMIN|9RPLT|aBPWR
100	35323 12531	   	288.07	DCR|3VULN|2TLV|1DMG|1ASPD	18aVULN|2LEGI|3DMG|4aAME|5ASPD|6MSLTOX|7RCR|9aTLV|aBPWR
101	33132 21263	   	287.68	DCR|2TLV|2VULN|2DMG|1AEBURN	13VULN|23aLIT|3aBPWR|4AEBURN|5FEWX|6aTLV|7CGEN|8RCR|9aDMG
102	33132 15263	   	287.67	DCR|2TLV|2VULN|2DMG|1AEBURN	13VULN|23aLIT|3aBPWR|4AEBURN|5FEWX|6RCR|7aTLV|8CGEN|9aDMG
103	33132 22263	   	287.58	DCR|2TLV|2VULN|2DMG|1AEBURN	13VULN|23aLIT|3aBPWR|4AEBURN|5FEWX|6aTLV|7ERES|8RCR|9aDMG
104	32132 26524	 * 	287.51	DCR|5VULN|1TLV|1AEFBLL	12489VULN|2BPWR|3AEFBLL|5MDPS|6RPLT|7TLV|aRCR
105	32121 11263	   	287.38	DCR|2TLV|2VULN|2DMG|2AEFBLL	12VULN|2aBPWR|3aAEFBLL|4ERES|5FEWX|6aTLV|7LIT|8RCR|9aDMG
106	32123 11263	   	287.38	DCR|2TLV|2VULN|2DMG|2AEFBLL	12VULN|2aBPWR|3aAEFBLL|4ERES|5LWND|6aTLV|7LIT|8RCR|9aDMG
107	32163 11263	   	287.38	DCR|2TLV|2VULN|2DMG|2AEFBLL	12VULN|2aBPWR|3aAEFBLL|4LWND|5ERES|6aTLV|7LIT|8RCR|9aDMG
108	32321 11263	   	287.38	DCR|2TLV|2VULN|2DMG|1AEFBLL	12VULN|2aBPWR|3aERES|4AEFBLL|5FEWX|6aTLV|7LIT|8RCR|9aDMG
109	32323 11263	   	287.38	DCR|2TLV|2VULN|2DMG|1AEFBLL	12VULN|2aBPWR|3aERES|4AEFBLL|5LWND|6aTLV|7LIT|8RCR|9aDMG
110	32361 11263	   	287.38	DCR|2TLV|2VULN|2DMG|1AEFBLL	12VULN|2aBPWR|3aERES|4FEWX|5AEFBLL|6aTLV|7LIT|8RCR|9aDMG
111	33161 23263	   	287.15	DCR|4VULN|1TLV|2DMG	137aVULN|23LIT|3aBPWR|4aFEWX|5TLV|6CGEN|8RCR|9aDMG
112	33161 41263	   	287.15	DCR|4VULN|1TLV|2DMG	136aVULN|23LIT|3aBPWR|4aFEWX|5TLV|7CGEN|8RCR|9aDMG
113	33162 53263	   	287.15	DCR|4VULN|1TLV|2DMG	137aVULN|23LIT|3aBPWR|4aFEWX|5CGEN|6TLV|8RCR|9aDMG
114	33161 42263	   	287.05	DCR|4VULN|1TLV|2DMG	136aVULN|23LIT|3aBPWR|4aFEWX|5TLV|7ERES|8RCR|9aDMG
115	32311 11263	   	286.95	DCR|4VULN|1TLV|2DMG	124aVULN|2aBPWR|3ERES|5aFEWX|6TLV|7LIT|8RCR|9aDMG
116	32313 11263	   	286.95	DCR|4VULN|1TLV|2DMG	124aVULN|2aBPWR|3ERES|5aLWND|6TLV|7LIT|8RCR|9aDMG
117	32521 11263	   	286.95	DCR|4VULN|1TLV|2DMG	123aVULN|23aBPWR|4ERES|5aFEWX|6TLV|7LIT|8RCR|9aDMG
118	32523 11263	   	286.95	DCR|4VULN|1TLV|2DMG	123aVULN|23aBPWR|4ERES|5aLWND|6TLV|7LIT|8RCR|9aDMG
119	33151 23263	   	286.95	DCR|4VULN|1TLV|2DMG	137aVULN|23LIT|3aBPWR|4aDUST|5TLV|6CGEN|8RCR|9aDMG
120	33151 41263	   	286.95	DCR|4VULN|1TLV|2DMG	136aVULN|23LIT|3aBPWR|4aDUST|5TLV|7CGEN|8RCR|9aDMG
121	33152 53263	   	286.95	DCR|4VULN|1TLV|2DMG	137aVULN|23LIT|3aBPWR|4aDUST|5CGEN|6TLV|8RCR|9aDMG
122	13315 64232	   	286.89	ACR|DCR|2TLV|2DUR|1ASPD|1CDMG	1CDMG|29TLV|35DUR|47RCR|6LHND|8ZMB|aASPD
123	32563 11263	   	286.85	DCR|4VULN|1TLV|2DMG	123aVULN|23aBPWR|4LWND|5aERES|6TLV|7LIT|8RCR|9aDMG
124	33151 42263	   	286.85	DCR|4VULN|1TLV|2DMG	136aVULN|23LIT|3aBPWR|4aDUST|5TLV|7ERES|8RCR|9aDMG
125	13611 63351	   	286.74	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1CDMG|2TLV|3LWND|48RCR|5AART|6AME|7DUR|9VULN|aZMB
126	13611 53361	   	286.64	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1CDMG|2TLV|3LWND|48RCR|5AART|6ERES|7DUR|9VULN|aZMB
127	41422 53333	 * 	286.52	DCR|3VULN|1TLV|3DUR|3FRZARM|1AART	137FRZARM|237DUR|37BPWR|467VULN|5AART|8MLV|9RCR|aTLV
128	13315 14321	   	286.34	ACR|DCR|1TLV|1VULN|3DUR|1CDMG	1CDMG|2TLV|358DUR|47RCR|6FEWX|9VULN|aLHND
129	13315 14324	   	286.34	ACR|DCR|1TLV|1VULN|3DUR|1CDMG	1CDMG|2TLV|358DUR|47RCR|6FEWX|9VULN|aAAC
130	13313 23442	   	286.26	ACR|DCR|2TLV|2CDMG|2DUR|2RAT	19CDMG|2aTLV|39DUR|48RCR|5CANSTR|6MLV|79RAT|9BPWR
131	13313 53442	   	286.26	ACR|DCR|2TLV|2CDMG|2DUR|2RAT	19CDMG|2aTLV|39DUR|48RCR|5CANSTR|6CGEN|79RAT|9BPWR
132	13314 23442	   	286.26	ACR|DCR|2TLV|2CDMG|2DUR|2RAT	19CDMG|2aTLV|39DUR|48RCR|5CANARM|6MLV|79RAT|9BPWR
133	13215 44321	   	286.24	ACR|DCR|1TLV|1VULN|3DUR|1CDMG	1CDMG|2TLV|3DUST|47RCR|568DUR|9VULN|aLHND
134	13315 14323	   	286.24	ACR|DCR|1TLV|1VULN|3DUR|1CDMG	1CDMG|2TLV|358DUR|47RCR|6FEWX|9VULN|aLEGI
135	13315 54321	   	286.24	ACR|DCR|1TLV|1VULN|3DUR|1CDMG	1CDMG|2TLV|358DUR|47RCR|6AETHUN|9VULN|aLHND
136	13315 54323	   	286.24	ACR|DCR|1TLV|1VULN|3DUR|1CDMG	1CDMG|2TLV|358DUR|47RCR|6AETHUN|9VULN|aDMSP
