0	Index      	 *	Score 	Summary	Detail	
1	11224 53511	 * 	295.01	DCR|DCR|2TLV|1VULN|1CDMG|1DUR	1FEWX|2LHND|3RMIN|46TLV|5DUR|7VULN|89RCR|aCDMG
40	21223 16452	 * 	271.42	DCR|3VULN|1TLV|1AEFBLL|1CDMG|1DUR	1ERES|2CDMG|3RCVC|4TLV|5DUR|6RCR|7AEFBLL|89aVULN
41	24245 31112	   	270.95	DCR|3VULN|2TLV|1DUR	19ERES|2RMIN|3LIT|459VULN|6DUR|7RAT|89TLV|9BPWR|aRCR
42	23462 22314	   	270.21	DCR|2TLV|2VULN|1AEBURN|1CDMG	1ERES|27VULN|3RAT|45TLV|6FEWX|8AEBURN|9RCR|aCDMG
43	23532 35332	 * 	269.06	DCR|4VULN|1TLV|1DMG	1ERES|2479VULN|3AME|5AETHUN|6DMG|8RCR|aTLV
44	23233 31112	   	269.05	DCR|2TLV|2VULN|2DUR|1ASPD	1ERES|29VULN|3ASPD|4LIT|5RCVC|69DUR|7RAT|89TLV|9BPWR|aRCR
45	26222 52133	 * 	268.90	DCR|3VULN|1TLV|3DUR|1ASPD	1ERES|246DUR|3ASPD|5TLV|7RCR|89aVULN
46	11224 23511	   	268.80	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	16FEWX|2LHND|3RMIN|4TLV|5DUR|7VULN|89RCR|aCDMG
47	11224 33511	   	268.80	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1FEWX|2LHND|3RMIN|4TLV|5DUR|6RCVC|7VULN|89RCR|aCDMG
48	11524 23511	   	268.80	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	16FEWX|2LHND|3TLV|4AME|5DUR|7VULN|89RCR|aCDMG
49	11524 33511	   	268.80	DCR|DCR|1TLV|1VULN|1CDMG|1DUR	1FEWX|2LHND|3TLV|4AME|5DUR|6RCVC|7VULN|89RCR|aCDMG
50	23532 25336	   	267.80	DCR|3VULN|2TLV|2RAT	1aERES|24aVULN|3AME|5AETHUN|67RAT|8aTLV|9RCR|aBPWR
51	33222 45335	   	267.66	DCR|3VULN|2TLV|1CDMG|1SELL	1SELL|2ERES|3RCVC|45TLV|678VULN|9RCR|aCDMG
52	33222 45333	 * 	267.66	DCR|3TLV|3VULN|1SELL	1SELL|2ERES|3RCVC|45aTLV|678VULN|9RCR
53	23162 61231	   	266.22	DCR|2TLV|2VULN|1DMG|1DUR	1ERES|28VULN|3CGEN|4RAT|56TLV|7DUR|9RCR|aDMG
54	23462 32311	   	266.22	DCR|2TLV|2VULN|1AEBURN|1DUR	1ERES|27VULN|3RAT|45TLV|6DUR|8AEBURN|9RCR|aBEXP
55	23462 32312	   	266.22	DCR|2TLV|2VULN|1AEBURN|1DUR	1ERES|27VULN|3RAT|45TLV|6DUR|8AEBURN|9RCR|aRMIN
56	23462 32313	   	266.22	DCR|2TLV|2VULN|1AEBURN|1DUR	1ERES|27VULN|3RAT|45TLV|6DUR|8AEBURN|9RCR|aCGEN
57	23462 32611	 * 	266.22	DCR|2TLV|2VULN|1AEPOI|1DUR	1ERES|27VULN|3RAT|45TLV|6DUR|8AEPOI|9RCR|aBEXP
58	23462 32612	   	266.22	DCR|2TLV|2VULN|1AEPOI|1DUR	1ERES|27VULN|3RAT|45TLV|6DUR|8AEPOI|9RCR|aRMIN
59	23462 32613	   	266.22	DCR|2TLV|2VULN|1AEPOI|1DUR	1ERES|27VULN|3RAT|45TLV|6DUR|8AEPOI|9RCR|aCGEN
60	23462 33116	 * 	266.22	DCR|2TLV|2VULN|1AEFBLL|1DUR	1ERES|28VULN|3RAT|45TLV|6DUR|7VENTOX|9RCR|aAEFBLL
61	23462 61231	   	266.22	DCR|2TLV|2VULN|1DMG|1DUR	1ERES|28VULN|3RAT|45TLV|6CGEN|7DUR|9RCR|aDMG
62	11524 23513	   	266.15	DCR|DCR|1TLV|1VULN|1AART|1DUR	16FEWX|2LHND|3TLV|4AME|5DUR|7VULN|89RCR|aAART
63	11524 33513	   	266.15	DCR|DCR|1TLV|1VULN|1AART|1DUR	1FEWX|2LHND|3TLV|4AME|5DUR|6RCVC|7VULN|89RCR|aAART
64	23462 32316	   	266.12	DCR|2TLV|2VULN|1AEBURN|1DUR	1aERES|27VULN|3RAT|45TLV|6DUR|8AEBURN|9RCR
65	23224 34422	   	265.77	DCR|2TLV|1VULN|1DMG|2DUR|1CDMG|1ASPD	1ERES|2VULN|3ASPD|45DUR|6DMG|78TLV|9CDMG|aRCR
