0	Index      	 *	Score 	Summary	Detail	
1	64621 22231	 * 	244.16	紫3伤害2攻速2基地爆炸2易伤1全技能	1随机矿279伤害3核4全技能5a易伤69基地爆炸89攻速9序列升级
35	35426 22333	 * 	219.50	紫3伤害1基础对甲1基地爆炸1技能	1时间2核349伤害5技能6策反7技能点8基础对甲a基地爆炸
36	15411 13262	   	218.79	紫1基础对甲2伤害2基地爆炸1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8平台9a基地爆炸
37	15411 13351	   	218.79	紫1基础对甲2伤害2基地爆炸1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能89基地爆炸a随机矿
38	15411 13353	   	218.79	紫1基础对甲2伤害2基地爆炸1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能89基地爆炸a最后敌人
39	15411 13216	   	217.60	紫1基础对甲2伤害1全技能1暴击1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8平台9全技能a暴击
40	15411 13311	   	217.60	紫1基础对甲2伤害1基地爆炸1全技能1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8基地爆炸9全技能a雷电
41	15411 13312	   	217.60	紫1基础对甲2伤害1全技能1基地爆炸1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8基地爆炸9全技能a最后敌人
42	15411 13314	   	217.60	紫1基础对甲2伤害1基地爆炸1全技能1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8基地爆炸9全技能a金币生成
43	15411 13325	   	217.60	紫1基础对甲2伤害1基地爆炸1暴击1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8基地爆炸9金币生成a暴击
44	15411 15313	   	217.60	紫1基础对甲2伤害1全技能1基地爆炸1技能	1低血量敌人2核38伤害4额外掉落5基础对甲6技能7最后敌人9全技能a基地爆炸
45	35223 13562	   	217.60	紫1基础对甲2伤害1暴击1全技能1技能	18时间2核3技能48伤害58挖尘6全技能7立即金币8序列升级9暴击a基础对甲
46	44125 31212	   	217.60	紫1基础对甲2伤害1基地爆炸1全技能1技能	1平台2核3低血量敌人46伤害5全技能7基地爆炸8策反9技能a基础对甲
47	15411 13313	   	217.50	紫1基础对甲2伤害1全技能1基地爆炸1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8基地爆炸9全技能a掉矿
48	15411 13315	   	217.50	紫1基础对甲2伤害1基地爆炸1全技能1技能	1低血量敌人2核37伤害4额外掉落5基础对甲6技能8基地爆炸9全技能a毒液对黄
49	25411 13216	   	217.50	紫1基础对甲2伤害1全技能1暴击1技能	1挖尘2核37伤害4额外掉落5基础对甲6技能8平台9全技能a暴击
50	35223 12462	   	217.50	紫1基础对甲2伤害1全技能1暴击1技能	1时间2核3技能47伤害5挖尘6全技能8立即金币9暴击a基础对甲
51	35223 12662	   	217.50	紫1基础对甲2伤害1全技能1暴击1技能	18时间2核3技能47伤害5挖尘6全技能9暴击a基础对甲
52	25426 22323	   	217.40	紫1基础对甲2伤害1全技能1暴击1技能	1挖尘2核34伤害5技能6策反7技能点8基础对甲9暴击a全技能
53	35411 13152	   	217.30	紫1基础对甲2伤害1攻速1技能	18时间2核37伤害4额外掉落5基础对甲6技能9攻速a易伤
54	35411 13233	   	217.30	紫1基础对甲2伤害1攻速1技能	1时间2核37伤害4额外掉落5基础对甲6技能8易伤9雷电a攻速
55	15211 23334	   	217.20	紫1基础对甲2伤害1攻速1技能	1低血量敌人2核3技能4额外掉落5基础对甲6双倍秒伤7易伤8a伤害9攻速
56	15211 23336	 * 	217.20	紫1基础对甲2攻速1伤害1技能	1低血量敌人2核3技能4额外掉落5基础对甲6双倍秒伤7易伤8伤害9a攻速
57	15411 24311	   	216.94	紫2基础对甲2伤害2易伤	17a低血量敌人2核3a伤害4额外掉落57基础对甲67最后敌人7a序列升级8a易伤9立即金币
58	15411 24331	   	216.94	紫2基础对甲2伤害2易伤	179a低血量敌人2核3a伤害4额外掉落57基础对甲67最后敌人7a序列升级8a易伤
59	35411 24311	   	216.94	紫2基础对甲2伤害2易伤	17a时间2核3a伤害4额外掉落57基础对甲67最后敌人7a序列升级8a易伤9立即金币
60	25411 24311	   	216.64	紫2基础对甲2伤害2易伤	17a挖尘2核3a伤害4额外掉落57基础对甲67最后敌人7a序列升级8a易伤9立即金币
61	15411 11352	 * 	216.47	紫1基础对甲2基地爆炸3技能1伤害	1低血量敌人2核3伤害4额外掉落5基础对甲67a技能89基地爆炸
62	52633 42417	   	216.41	紫1基础对甲2基地爆炸1攻速1基础对冰1暴击	1掉矿26基地爆炸3时间4核5加一7基础对冰8基础对甲9攻速a暴击
63	52633 42437	   	216.41	紫1基础对甲2基地爆炸1伤害1基础对冰1暴击	1掉矿26基地爆炸3时间4核5加一7基础对冰8基础对甲9伤害a暴击
64	64621 32233	   	216.10	紫3伤害2攻速1全技能1基地爆炸	1随机矿279伤害3核4全技能5易伤69挖尘89攻速9序列升级a基地爆炸
65	15411 23212	   	215.71	紫1基础对甲2伤害1攻速1基地爆炸	1低血量敌人2核39伤害4额外掉落5基础对甲6最后敌人7攻速8平台a基地爆炸
66	15411 53212	   	215.71	紫1基础对甲2攻速1伤害1全技能	1低血量敌人2核3伤害46额外掉落5基础对甲7a攻速8平台9全技能
67	15411 53333	   	215.71	紫1基础对甲2攻速1伤害1基地爆炸	1低血量敌人2核3伤害46额外掉落5基础对甲7a攻速8基地爆炸9雷电
68	15411 63212	   	215.71	紫1基础对甲2攻速1伤害1全技能	16低血量敌人2核3伤害4额外掉落5基础对甲7a攻速8平台9全技能
69	15411 63333	   	215.71	紫1基础对甲2攻速1伤害1基地爆炸	16低血量敌人2核3伤害4额外掉落5基础对甲7a攻速8基地爆炸9雷电
70	35411 23212	   	215.71	紫1基础对甲2伤害1攻速1基地爆炸	1时间2核39伤害4额外掉落5基础对甲6最后敌人7攻速8平台a基地爆炸
71	35411 23336	   	215.71	紫1基础对甲2攻速1伤害1基地爆炸	1时间2核3伤害4额外掉落5基础对甲69最后敌人7a攻速8基地爆炸
72	25411 23212	   	215.61	紫1基础对甲2伤害1攻速1基地爆炸	1挖尘2核39伤害4额外掉落5基础对甲6最后敌人7攻速8平台a基地爆炸
73	25411 53212	   	215.61	紫1基础对甲2攻速1伤害1全技能	1挖尘2核3伤害4额外掉落5基础对甲6立即金币7a攻速8平台9全技能
74	44323 13115	   	215.61	紫1基础对甲2攻速1伤害1基地爆炸	13平台2核46攻速5金币生成7伤害8双倍秒伤9基地爆炸a基础对甲
75	25421 33413	   	215.51	紫1基础对甲2伤害1攻速1基地爆炸	1挖尘2核34伤害5导弹对绿6平台7基地爆炸8基础对甲9雷电a攻速
76	44321 13115	   	215.51	紫1基础对甲2攻速1伤害1基地爆炸	13平台2核46攻速5掉矿7伤害8双倍秒伤9基地爆炸a基础对甲
77	64621 23231	   	215.48	紫2攻速2伤害2基地爆炸1全技能	1随机矿29伤害3核4全技能5易伤69基地爆炸7立即金币89攻速9序列升级a低血量敌人
78	64621 23232	   	215.48	紫2攻速2伤害2基地爆炸1全技能	1随机矿29伤害3核4全技能5易伤69基地爆炸7立即金币89攻速9序列升级a时间
79	64621 32231	   	215.47	紫3伤害2攻速2易伤1全技能	1随机矿279伤害3核4全技能5a易伤69挖尘89攻速9序列升级
80	25323 62336	   	215.41	紫1基础对甲2攻速1伤害1基地爆炸	15挖尘2核3策反4伤害69攻速7技能点8基础对甲a基地爆炸
81	35411 11631	   	215.30	紫2基础对甲2易伤1伤害2技能	1a时间2核3伤害4额外掉落5a基础对甲67技能8随机矿9a易伤a序列升级
82	25423 53222	   	215.26	紫1基础对甲2伤害1攻速1全技能1卖塔	15挖尘2核34伤害6攻速7全技能8低血量敌人9卖塔a基础对甲
83	15411 11212	   	214.27	紫1基础对甲1攻速1伤害2技能1全技能	1低血量敌人2核3伤害4额外掉落5基础对甲67技能8平台9全技能a攻速
84	15411 11333	   	214.27	紫1基础对甲1攻速1伤害2技能1基地爆炸	1低血量敌人2核3伤害4额外掉落5基础对甲67技能8基地爆炸9雷电a攻速
85	25411 11212	   	214.17	紫1基础对甲1攻速1伤害2技能1全技能	1挖尘2核3伤害4额外掉落5基础对甲67技能8平台9全技能a攻速
