0	Index      	 *	Score 	Summary	Detail	
1	14525 33113	 * 	319.86	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD|1CDMG	1TLV|2FLTHEA|3RMIN|4ASPD|5DMG|67RCR|8AEBURN|9VULN|aCDMG
44	14425 33333	   	293.08	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|8RMIN|9VULN|aRAT
45	14425 33223	   	293.08	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|8ZMB|9MLV|aVULN
46	14425 33231	   	292.98	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2FLTHEA|3CGEN|4ASPD|5DMG|67RCR|8ZMB|9VULN|aERES
47	14525 33331	   	292.98	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2FLTHEA|3RMIN|4ASPD|5DMG|67RCR|8ZMB|9VULN|aERES
48	14525 33332	   	292.98	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TLV|2FLTHEA|3RMIN|4ASPD|5DMG|67RCR|8ZMB|9VULN|aAETHUN
49	23122 63612	   	292.98	DCR|3VULN|2TLV|1AEFBLL|2DUR|1SELL	1SELL|2aDUR|35aVULN|4AEFBLL|6MBVNT|7BEXP|8aTLV|9RCR|aBPWR
50	23122 65612	   	292.98	DCR|3VULN|2TLV|1AEFBLL|2DUR|1SELL	1SELL|2aDUR|35aVULN|4AEFBLL|6MBVNT|7LWND|8aTLV|9RCR|aBPWR
51	23122 67612	   	292.98	DCR|3VULN|2TLV|1AEFBLL|2DUR|1SELL	1SELL|2aDUR|35aVULN|4AEFBLL|6MBVNT|7FEWX|8aTLV|9RCR|aBPWR
52	16231 33221	   	292.96	ACR|3TLV|3VULN|1CDMG|1AART	189TLV|289BEXP|3AART|4CDMG|5RCR|6CANHEL|789VULN|89BPWR|aFEWX
53	16231 33222	   	292.96	ACR|3TLV|3VULN|1CDMG|1AART	189TLV|289BEXP|3AART|4CDMG|5RCR|6CANHEL|789VULN|89BPWR|aLHND
54	16231 33225	   	292.96	ACR|3TLV|3VULN|1CDMG|1AART	189TLV|289BEXP|3AART|4CDMG|5RCR|6CANHEL|789VULN|89BPWR|aCGEN
55	16231 33226	   	292.96	ACR|3TLV|3VULN|1CDMG|1AART	189TLV|289BEXP|3AART|4CDMG|5RCR|6CANHEL|789VULN|89BPWR|aRMIN
56	23122 64612	   	292.88	DCR|3VULN|2TLV|1AEFBLL|2DUR|1SELL	1SELL|2aDUR|35aVULN|4AEFBLL|6MBVNT|7DUST|8aTLV|9RCR|aBPWR
57	16231 33224	   	292.86	ACR|3TLV|3VULN|1CDMG|1AART|1MSE	189TLV|289BEXP|3AART|4CDMG|5RCR|6CANHEL|789VULN|89BPWR|aMSE
58	11222 25232	   	292.58	DCR|4VULN|1TLV|1AEBURN|1ASPD	1TLV|2456VULN|3DUR|7ASPD|8BEXP|9AEBURN|aRCR
59	11222 25632	   	292.58	DCR|4VULN|1TLV|1AEBURN|1ASPD	1TLV|2456VULN|3DUR|7ASPD|8LWND|9AEBURN|aRCR
60	11225 51132	   	292.58	DCR|4VULN|1TLV|1AEBURN|1ASPD	1TLV|2478VULN|3DUR|5LWND|6ASPD|9AEBURN|aRCR
61	11222 34362	   	292.56	DCR|4VULN|2TLV|2DUR|2FLTHEA|1MSE	18TLV|2457VULN|38DUR|68FLTHEA|8BPWR|9MSE|aRCR
62	14415 33332	   	292.56	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1TLV|2FLTHEA|3CGEN|4AAC|5DMG|67RCR|8RMIN|9VULN|aAEPOI
63	14515 33111	   	292.56	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	1TLV|2FLTHEA|3RMIN|4AAC|5DMG|67RCR|8AEBURN|9VULN|aLHND
64	14515 33112	   	292.56	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	1TLV|2FLTHEA|3RMIN|4AAC|5DMG|67RCR|8AEBURN|9VULN|aCGEN
65	12521 22433	   	292.28	ACR|DCR|2TLV|1VULN|1ASPD	14TLV|23BELT|5aRCR|6VULN|7ASPD|8RAT|9BEXP
66	12521 22443	   	292.28	ACR|DCR|2TLV|1VULN|1ASPD	14TLV|23BELT|5aRCR|6VULN|7ASPD|8RAT|9FEWX
67	12221 22433	   	292.18	ACR|DCR|2TLV|1VULN|1ASPD	14TLV|2BELT|3AEFRZ|5aRCR|6VULN|7ASPD|8RAT|9BEXP
68	12221 22443	   	292.18	ACR|DCR|2TLV|1VULN|1ASPD	14TLV|2BELT|3AEFRZ|5aRCR|6VULN|7ASPD|8RAT|9FEWX
69	12521 43243	   	292.18	ACR|DCR|2TLV|1VULN|1CDMG	14TLV|23BELT|5aRCR|6CDMG|7BASICY|8RAT|9VULN
70	12221 43243	   	292.08	ACR|DCR|2TLV|1VULN|1CDMG	14TLV|2BELT|3AEFRZ|5aRCR|6CDMG|7BASICY|8RAT|9VULN
71	12413 46323	 * 	291.82	DCR|3TLV|2VULN|3ASPD|1AART|1SELL	138TLV|2BELT|38BPWR|4SELL|589ASPD|68VULN|7RCR|aAART
72	12414 24323	 * 	291.82	DCR|3TLV|2VULN|3ASPD|1AART|1SELL	138TLV|2BELT|38BPWR|4SELL|58VULN|6RCR|789ASPD|aAART
73	11633 33412	   	291.79	DCR|DCR|2TLV|1VULN	1aTLV|2VULN|3aAME|4DUR|58LIT|69RCR|7aZMB|aBPWR
74	11633 33612	   	291.79	DCR|DCR|2TLV|1VULN	1aTLV|2VULN|3aAME|4DUR|5LIT|69RCR|7aZMB|8RCVC|aBPWR
75	66223 31744	   	291.46	ACR|DCR|2TLV|1VULN|1DMG	1LWND|29RCR|35TLV|45DUST|5BPWR|6DMG|7MBVNT|8NUKE|aVULN
76	11241 42612	   	291.41	DCR|3TLV|3VULN|1CDMG	18aTLV|27aVULN|3DUR|4MBVNT|5CDMG|6aLWND|9RCR|aBPWR
77	11241 46212	   	291.41	DCR|3TLV|3VULN|1CDMG	17aTLV|28aVULN|3DUR|4MBVNT|5CDMG|6aLWND|9RCR|aBPWR
78	11241 72612	   	291.41	DCR|3TLV|3VULN|1CDMG	18aTLV|27aVULN|3DUR|4MBVNT|5CDMG|6aLHND|9RCR|aBPWR
79	11241 62612	   	291.21	DCR|3TLV|3VULN|1CDMG	18aTLV|27aVULN|3DUR|4MBVNT|5CDMG|6aDUST|9RCR|aBPWR
80	36223 21346	   	289.91	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1MSE	1MSE|29RCR|35TLV|45DUST|5BPWR|6ASPD|7MBVNT|8DMG|aVULN
