0	Index      	 *	Score 	Summary	Detail	
1	33322 51535	 * 	320.62	ACR|2TLV|2VULN|2DMG|2ASPD|1AEBURN	17DMG|27VULN|3RCR|4CGEN|5RAT|67ASPD|7BPWR|89TLV|aAEBURN
40	33342 41113	   	297.04	ACR|2TLV|2VULN|2DMG|1AEFBLL	18DMG|2aVULN|3RCR|4DUR|5AEFBLL|69TLV|7RPLT
41	33345 12253	   	296.69	ACR|2TLV|2VULN|2ASPD|1DMG|1AART	1DMG|2aVULN|3RCR|4DUR|5LIT|6aTLV|7LWND|8aASPD|9AART|aBPWR
42	53231 62314	 * 	294.96	DCR|3VULN|1TLV|3DMG|1ASPD|1SELL	1ASPD|25aVULN|357DMG|4SELL|5BPWR|6RCVC|8RCR|9TLV
43	33322 51522	   	294.61	ACR|2VULN|1TLV|2DMG|2ASPD|1CDMG|2RAT	17DMG|27VULN|3RCR|4CGEN|5aRAT|67ASPD|7BPWR|8TLV|9CDMG
44	33342 12414	   	293.10	ACR|2TLV|2VULN|1AEFBLL|1DMG|1ASPD	1DMG|28VULN|3RCR|4DUR|5AEFBLL|6RPLT|79TLV|aASPD
45	33313 21556	   	292.80	ACR|3VULN|1TLV|2DMG|3RAT	17DMG|27aVULN|3RCR|4MLV|5ZMB|679RAT|7BPWR|8TLV
46	33313 43463	 * 	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1DMG|2VULN|39RCR|4MLV|5ZMB|6TLV|7MDPS|8LIT|aAEBURN
47	33326 26413	 * 	292.17	ACR|3TLV|2VULN|2DMG|1AART	17DMG|27VULN|3RCR|4CGEN|5FLTFST|67aTLV|7BPWR|8MLV|9AART
48	33325 26221	   	292.10	ACR|3VULN|2TLV|2DMG	17DMG|279VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8LIT|aBEXP
49	33325 26222	   	292.10	ACR|3VULN|2TLV|2DMG	17DMG|279VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8LIT|aLHND
50	33326 26211	   	292.10	ACR|3VULN|2TLV|2DMG	17DMG|27aVULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8LIT|9SPLJET
51	33332 15411	   	292.10	ACR|3VULN|2TLV|2DMG	19DMG|29aVULN|3RCR|47LIT|5FEWX|69TLV|8AETHUN|9BPWR
52	33326 26314	   	292.07	ACR|2TLV|2VULN|2DMG|1CDMG|1AART	17DMG|27VULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8DUST|9AART|aCDMG
53	33325 26413	   	292.07	ACR|3TLV|2VULN|2DMG|1AART	17DMG|27VULN|3RCR|4CGEN|5SPLJET|67aTLV|7BPWR|8MLV|9AART
54	33325 26224	   	292.00	ACR|3VULN|2TLV|2DMG|1SELL	17DMG|279VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8LIT|aSELL
55	33325 26225	   	292.00	ACR|3VULN|2TLV|2DMG	17DMG|279VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8LIT|aAETHUN
56	33331 15411	   	292.00	ACR|3VULN|2TLV|2DMG	19DMG|29aVULN|3RCR|47LIT|5DUST|69TLV|8AETHUN|9BPWR
57	33325 26314	   	291.97	ACR|2TLV|2VULN|2DMG|1CDMG|1AART	17DMG|27VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8DUST|9AART|aCDMG
58	33331 11411	   	291.90	ACR|3VULN|2TLV|2DMG	19DMG|29aVULN|3RCR|4LIT|57DUST|69TLV|8AETHUN|9BPWR
59	33326 26422	   	290.82	ACR|2TLV|2VULN|2DMG|1CDMG	17DMG|27VULN|3RCR|4CGEN|5FLTFST|67TLV|7BPWR|8MLV|9DUR|aCDMG
60	22211 52543	   	290.75	ACR|DCR|2TLV|1DMG|2DUR|1AART	1ZMB|25LIT|35TLV|49RCR|5BPWR|68DUR|7AART|aDMG
61	22223 32543	   	290.75	DCR|DCR|2TLV|1DMG|2DUR|1AART	1ZMB|24LIT|34TLV|4BPWR|58DUR|69RCR|7AART|aDMG
62	32223 32546	   	290.75	DCR|DCR|2TLV|1DMG|2DUR|1AART	1DMG|24LIT|34TLV|4BPWR|58DUR|69RCR|7AART|aRAT
63	33325 26422	   	290.72	ACR|2TLV|2VULN|2DMG|1CDMG	17DMG|27VULN|3RCR|4CGEN|5SPLJET|67TLV|7BPWR|8MLV|9DUR|aCDMG
64	32226 42621	 * 	290.72	DCR|3TLV|2VULN|2DMG	1aDMG|24LIT|34aTLV|4aBPWR|5DUST|6DUR|7MDPS|8RCR|9aVULN
65	33341 32113	   	290.62	ACR|2TLV|2VULN|2DMG|1CDMG	18DMG|2aVULN|3RCR|4DUR|5BEXP|6CDMG|79TLV
66	33346 32113	   	290.62	ACR|2TLV|2VULN|2DMG|1CDMG	18DMG|2aVULN|3RCR|4DUR|5LHND|6CDMG|79TLV
