0	Index      	 *	Score 	Summary	Detail	
1	31121 24431	 * 	261.76	紫橙2易伤1伤害1矿等1平台2策反	12策反3雷电48核5平台6伤害79易伤a矿等
25	26451 24244	   	245.52	橙橙1易伤2暴击1策反	1基地爆炸27暴击3策反4易伤5加一6时间8a核9挖尘
26	26461 11234	   	245.52	橙橙1易伤2暴击1策反	1基地爆炸26暴击3策反4挖尘5加一7时间8a核9易伤
27	26461 24234	   	245.52	橙橙1易伤2暴击1策反	1基地爆炸27暴击3策反4挖尘5加一6时间8a核9易伤
28	46411 14234	   	245.52	橙橙1易伤2暴击1策反	1挖尘26暴击3策反4时间5加一7最后敌人8a核9易伤
29	46421 11234	   	245.52	橙橙1易伤2暴击1策反	1挖尘26暴击3策反4敌人爆炸5加一7时间8a核9易伤
30	46421 24234	   	245.52	橙橙1易伤2暴击1策反	1挖尘27暴击3策反4敌人爆炸5加一6时间8a核9易伤
31	22251 12616	   	245.12	橙橙1易伤1全技能1平台	1基地爆炸2爆破对冰3赏金邻近4时间5易伤6a核7平台8全技能9技能点
32	26661 32234	   	244.79	橙橙1易伤1攻速1暴击	1基地爆炸2暴击3金币生成4挖尘5加一6攻速7等级8a核9易伤
33	26663 22234	   	244.79	橙橙1易伤1攻速1暴击	1基地爆炸2暴击3金币生成4挖尘5攻速6加一7等级8a核9易伤
34	46621 32234	   	244.79	橙橙1易伤1攻速1暴击	1挖尘2暴击3金币生成4基地爆炸5加一6攻速7等级8a核9易伤
35	46623 22234	   	244.79	橙橙1易伤1攻速1暴击	1挖尘2暴击3金币生成4基地爆炸5攻速6加一7等级8a核9易伤
36	52262 13152	 * 	244.69	橙3易伤3伤害1暴击1策反	189伤害289雷电3赏金塔4狙击对毒5策反689易伤7核89序列升级a暴击
37	26161 33234	   	244.69	橙橙1易伤1攻速1暴击	1基地爆炸2暴击3技能点4挖尘5加一6攻速7金币生成8a核9易伤
38	26163 23234	   	244.69	橙橙1易伤1攻速1暴击	1基地爆炸2暴击3技能点4挖尘5攻速6加一7金币生成8a核9易伤
39	46121 33234	   	244.69	橙橙1易伤1攻速1暴击	1挖尘2暴击3技能点4基地爆炸5加一6攻速7金币生成8a核9易伤
40	46123 23234	   	244.69	橙橙1易伤1攻速1暴击	1挖尘2暴击3技能点4基地爆炸5攻速6加一7金币生成8a核9易伤
41	31121 24432	 * 	244.23	紫橙2易伤1伤害1平台2策反	12策反3雷电48核5平台6伤害79易伤a低血量敌人
42	31121 24433	 * 	244.23	紫橙2易伤1伤害1平台2策反	12策反3雷电48核5平台6伤害79易伤a最后敌人
43	31121 24434	 * 	244.23	紫橙2易伤1伤害1平台2策反	12策反3雷电48核5平台6伤害79易伤a敌人爆炸
44	31121 24436	 * 	244.23	紫橙2易伤1伤害1平台2策反	12策反3雷电48核5平台6伤害79易伤a技能
45	66311 36122	 * 	243.70	橙3易伤2伤害2暴击	1掉矿29伤害3时间4敌人爆炸59a易伤6低血量敌人7核89暴击9序列升级
46	32121 12465	 * 	243.29	橙橙1易伤1矿等1策反	1策反2低血量敌人3时间4矿等5易伤67雷电8最后敌人9a核
47	32121 13465	 * 	243.29	橙橙1易伤1矿等1策反	1策反2低血量敌人3时间4矿等5易伤6雷电7立即金币8最后敌人9a核
48	33121 12465	 * 	243.29	橙橙1易伤1矿等1策反	1策反2基地爆炸3时间4矿等5易伤67雷电8最后敌人9a核
49	32121 11465	 * 	243.19	橙橙1易伤1矿等1策反	1策反2低血量敌人3时间4矿等5易伤6雷电7激光减费8最后敌人9a核
50	33121 11465	 * 	243.19	橙橙1易伤1矿等1策反	1策反2基地爆炸3时间4矿等5易伤6雷电7激光减费8最后敌人9a核
51	63411 52233	   	241.99	紫橙2易伤1矿等1全技能	12掉矿3额外掉落4赏金邻近56核79易伤8矿等a全技能
52	31121 44431	   	241.70	紫橙2易伤1矿等1平台2策反	12策反3雷电48核5平台69易伤7技能a矿等
53	31121 64431	   	241.70	紫橙2易伤1矿等1平台2策反	12策反3雷电48核5平台6技能79易伤a矿等
54	31122 24431	   	241.70	紫橙2易伤1矿等1平台2策反	12策反3雷电48核5技能6平台79易伤a矿等
55	12411 24413	 * 	241.21	紫2易伤3伤害3攻速1暴击1平台	189攻速289雷电3暴击47易伤5核689伤害89序列升级a平台
56	24612 24144	 * 	239.99	紫橙2伤害1易伤1暴击	15基地爆炸2随机矿3a核4加一5序列升级6易伤79伤害8暴击
57	24615 24144	   	239.99	紫橙2伤害1易伤1暴击	1基地爆炸2随机矿3a核4加一5立即金币6易伤79伤害8暴击
58	24618 14144	   	239.99	紫橙2伤害1易伤1暴击	1基地爆炸26随机矿3a核4加一5易伤79伤害8暴击
59	31311 42463	 * 	239.83	橙2易伤3伤害1矿等3策反	123策反47掉矿57易伤679伤害7序列升级8核a矿等
60	26411 44234	   	239.30	橙橙1易伤1暴击1策反	1基地爆炸2暴击3策反4时间5加一6双倍矿7最后敌人8a核9易伤
61	26411 47234	   	239.30	橙橙1易伤1暴击1策反	1基地爆炸2暴击3策反4时间5加一6双倍矿7敌人爆炸8a核9易伤
62	26421 23234	   	239.30	橙橙1易伤1暴击1策反	1基地爆炸2暴击3策反47敌人爆炸5加一6时间8a核9易伤
63	26421 81234	   	239.30	橙橙1易伤1暴击1策反	16基地爆炸2暴击3策反4敌人爆炸5加一7时间8a核9易伤
64	26611 82234	   	239.30	橙橙1易伤1暴击1策反	1基地爆炸2暴击3金币生成4时间5加一6策反7等级8a核9易伤
65	26111 83234	   	239.20	橙橙1易伤1暴击1策反	1基地爆炸2暴击3技能点4时间5加一6策反7金币生成8a核9易伤
66	46411 44234	   	239.20	橙橙1易伤1暴击1策反	1挖尘2暴击3策反4时间5加一6双倍矿7最后敌人8a核9易伤
67	46421 23234	   	239.20	橙橙1易伤1暴击1策反	1挖尘2暴击3策反47敌人爆炸5加一6时间8a核9易伤
68	46111 83234	   	239.10	橙橙1易伤1暴击1策反	1挖尘2暴击3技能点4时间5加一6策反7金币生成8a核9易伤
69	31123 24432	   	237.81	紫橙2易伤1攻速1平台2策反	12策反3雷电48核5攻速6平台79易伤a低血量敌人
70	31123 24433	   	237.81	紫橙2易伤1攻速1平台2策反	12策反3雷电48核5攻速6平台79易伤a最后敌人
71	31123 24434	   	237.81	紫橙2易伤1攻速1平台2策反	12策反3雷电48核5攻速6平台79易伤a敌人爆炸
72	31123 24436	   	237.81	紫橙2易伤1攻速1平台2策反	12策反3雷电48核5攻速6平台79易伤a技能
73	31132 24432	   	237.81	紫橙2易伤1攻速1平台2策反	12策反3雷电4攻速58核6平台79易伤a低血量敌人
74	31132 24433	   	237.81	紫橙2易伤1攻速1平台2策反	12策反3雷电4攻速58核6平台79易伤a最后敌人
75	31132 24434	   	237.81	紫橙2易伤1攻速1平台2策反	12策反3雷电4攻速58核6平台79易伤a敌人爆炸
76	31132 24436	   	237.81	紫橙2易伤1攻速1平台2策反	12策反3雷电4攻速58核6平台79易伤a技能
77	52235 23374	   	237.66	橙橙1易伤1伤害	1伤害2雷电3赏金塔4低血量敌人5最后敌人69核7加一8敌人爆炸a易伤
78	52235 23474	   	237.66	橙橙1易伤1伤害	1伤害2雷电3赏金塔4低血量敌人5最后敌人69核7加一8基地爆炸a易伤
79	26421 44234	   	237.21	橙橙1易伤2暴击1策反	1基地爆炸27暴击3策反4敌人爆炸5加一6挖尘8a核9易伤
80	26451 14244	   	237.21	橙橙1易伤2暴击1策反	1基地爆炸26暴击3策反4易伤5加一7最后敌人8a核9挖尘
81	25351 11622	   	235.42	橙橙1易伤1平台1卖塔	145基地爆炸2卖塔3平台45序列升级6时间78核9最后敌人a易伤
82	66111 36122	   	235.40	橙3易伤2伤害2暴击	1掉矿29伤害3基地爆炸4敌人爆炸59a易伤6低血量敌人7核89暴击9序列升级
83	56333 22115	   	235.35	橙2易伤2伤害2时间1攻速1暴击	18伤害2核弹38时间4机枪对壮5暴击68易伤7赏金塔8序列升级9核a攻速
84	25351 11633	   	235.32	橙橙1易伤1平台1卖塔	145基地爆炸2卖塔3平台45序列升级6时间78核9狙击对毒a易伤
85	51333 22115	   	235.21	橙2易伤2伤害2时间1攻速1暴击1策反	18伤害2策反38时间4机枪对壮5暴击68易伤7赏金塔8序列升级9核a攻速
86	51363 22115	   	235.21	橙2易伤2伤害2时间1攻速1暴击1策反	18伤害2策反38时间4基础对愈5暴击68易伤7赏金塔8序列升级9核a攻速
87	45331 11622	   	235.12	橙橙1易伤1平台1卖塔	145挖尘2卖塔3平台5序列升级6时间78核9最后敌人a易伤
88	45331 11633	   	235.02	橙橙1易伤1平台1卖塔	145挖尘2卖塔3平台5序列升级6时间78核9狙击对毒a易伤
89	32221 12465	 * 	234.98	橙橙1易伤1矿等1策反	1策反2低血量敌人3敌人爆炸4矿等5易伤67雷电8最后敌人9a核
90	32221 11465	 * 	234.88	橙橙1易伤1矿等1策反	1策反2低血量敌人3敌人爆炸4矿等5易伤6雷电7激光减费8最后敌人9a核
91	22631 34113	 * 	234.81	橙3易伤3时间1攻速1暴击1平台	19a基地爆炸2爆破对冰39a易伤4攻速5暴击6平台79a时间8核9a序列升级
92	63111 62162	 * 	234.55	橙橙1矿等1暴击1平台	124掉矿34雷电4序列升级5平台69核7时间8暴击a矿等
93	42631 34113	   	234.51	橙3易伤3时间1攻速1暴击1平台	19a挖尘2爆破对冰39a易伤4攻速5暴击6平台79a时间8核9a序列升级
94	63131 62162	   	234.45	橙橙1矿等1暴击1平台	124掉矿3雷电5平台69核7时间8暴击a矿等
95	11311 24563	 * 	233.97	橙2易伤2伤害2攻速2时间2策反	1a攻速26策反3a时间4敌人爆炸56易伤6a序列升级7技能8核9a伤害
96	31121 25413	 * 	233.21	紫橙2矿等1伤害3策反1平台	12a策反3a雷电48核5平台6伤害7最后敌人9a矿等a序列升级
97	31121 26413	   	233.11	紫橙2矿等1伤害3策反1平台	12a策反3a雷电48核5平台6伤害7挖尘9a矿等a序列升级
98	13243 41141	 * 	233.07	橙3易伤3攻速1矿等	179攻速2掉矿379低血量敌人4金币生成5矿等679易伤79序列升级8技能a核
99	31122 24435	   	232.47	紫橙2易伤1平台2策反	12策反3雷电48核5技能6平台79易伤a时间
100	63411 52231	   	232.32	紫橙2易伤1矿等	12掉矿3额外掉落4赏金邻近56核79易伤8矿等a敌人爆炸
101	32113 14265	   	232.20	橙橙1易伤2时间1策反	1策反2低血量敌人35时间4雷电6最后敌人7易伤8技能点9a核
102	25411 74234	   	231.96	橙橙1易伤2时间1卖塔1策反	1基地爆炸2卖塔3策反46时间5加一7最后敌人8a核9易伤
103	12411 42411	   	231.80	紫4易伤3攻速3暴击	189攻速2雷电389暴击4689易伤5核7核弹89序列升级a技能
104	12411 42412	   	231.80	紫4易伤3攻速3暴击	189攻速2雷电389暴击4689易伤5核7核弹89序列升级a赏金塔
