0	Index      	 *	Score 	Summary	Detail	
1	32663 51221	 * 	290.45	橙橙2易伤1伤害1攻速	1寒冰对冰2a易伤3攻速4双倍秒伤5时间6加一79核8伤害
29	23235 61252	   	263.68	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6基地爆炸7伤害89核a易伤
30	23235 21252	   	263.58	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6挖尘7伤害89核a易伤
31	23235 31252	   	263.58	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6伤害7挖青89核a易伤
32	23235 35252	   	263.58	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6伤害7挖尘89核a易伤
33	42322 53512	 * 	263.25	紫橙3易伤2暴击	19核23a易伤4a最后敌人5基地爆炸6加一7低血量敌人8a暴击a序列升级
34	42332 53512	   	263.05	紫橙3易伤2暴击	19核23a易伤4a挖尘5基地爆炸6加一7低血量敌人8a暴击a序列升级
35	32663 51222	   	262.37	橙橙1易伤1伤害1攻速	1寒冰对冰2易伤3攻速4双倍秒伤5时间6加一79核8伤害a等级
36	32663 51223	   	262.37	橙橙1易伤1伤害1攻速	1寒冰对冰2易伤3攻速4双倍秒伤5时间6加一79核8伤害a低血量敌人
37	42316 26121	   	262.33	紫橙2易伤2矿等1平台	19核23易伤4额外掉落5平台6加农对毒78矿等a双倍秒伤
38	42316 26123	   	262.33	紫橙2易伤2矿等1平台	19核23易伤4额外掉落5平台6加农对毒78矿等a技能点
39	24254 12148	   	262.27	橙橙1易伤1伤害1攻速	1赏金塔2加一3挖尘4掉矿5伤害6攻速7时间89核a易伤
40	32663 51224	   	262.27	橙橙1易伤1伤害1攻速	1寒冰对冰2易伤3攻速4双倍秒伤5时间6加一79核8伤害a散射对甲
41	46133 22522	   	261.54	紫橙2易伤1伤害1暴击1挖怪	18核2散射对甲3暴击4伤害5技能69易伤7时间a挖怪
42	46133 22523	   	261.54	紫橙2易伤1伤害1暴击	18核2散射对甲3暴击4伤害5技能69易伤7时间a机枪对壮
43	46133 22533	   	261.54	紫橙2易伤1伤害1暴击	18核2散射对甲3暴击4伤害5技能6a易伤7时间9挖尘
44	42362 12251	   	260.91	紫橙3易伤1平台1卖塔	19核234易伤5赏金塔6平台7卖塔8时间a低血量敌人
45	42362 12252	   	260.91	紫橙3易伤1平台1卖塔	19核234易伤5赏金塔6平台7卖塔8时间a敌人爆炸
