0	Index      	 *	Score 	Summary	Detail	
1	14321 45323	 * 	306.49	DCR|DCR|2VULN|1DMG|1AAC|1ASPD|1CDMG	1AAC|2AEFRZ|3MDPS|4ASPD|5DMG|69RCR|78VULN|aCDMG
57	11121 46423	   	280.38	DCR|DCR|1TLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|2TLV|3DUST|4FEWX|5DMG|69RCR|7ASPD|8AME|aCDMG
58	15211 22423	   	280.38	DCR|DCR|1TLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|2DMG|3TLV|4RCVC|5ASPD|69RCR|7MDPS|8AME|aCDMG
59	22111 36333	   	280.31	DCR|3VULN|3TLV|2ASPD|1DMG	167TLV|237VULN|4aRCVC|57ASPD|7BPWR|8DMG|9RCR
60	22152 44526	   	280.27	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7LWND|8AME|aMLV
61	22111 36334	   	280.21	DCR|3VULN|3TLV|2ASPD|1DMG	167TLV|237VULN|4RCVC|57ASPD|7BPWR|8DMG|9RCR|aBEXP
62	22152 41526	   	280.17	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7CGEN|8DUST|aMLV
63	22152 41726	   	280.17	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7CGEN|8BEXP|aMLV
64	22152 43422	   	280.17	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8BEXP|aCGEN
65	22152 43427	   	280.17	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8BEXP|aRPLT
66	22152 43524	   	280.17	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8DUST|aCGEN
67	22152 43527	   	280.17	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8DUST|aRPLT
68	22152 43421	   	280.07	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8aBEXP
69	22152 43423	   	280.07	ACR|DCR|2VULN|1TLV|1MLV|1AAC|1MSE	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8BEXP|aMSE
70	22152 43424	   	280.07	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8BEXP|aERES
71	22152 43521	   	280.07	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1TLV|23VULN|49RCR|5MBVNT|6AAC|7MLV|8DUST|aBEXP
72	22352 43426	   	279.67	ACR|DCR|2MLV|1VULN|1TLV|1AAC	1TLV|2VULN|3AEBURN|49RCR|5MBVNT|6AAC|7aMLV|8BEXP
73	22352 43526	   	279.67	ACR|DCR|2MLV|1VULN|1TLV|1AAC	1TLV|2VULN|3AEBURN|49RCR|5MBVNT|6AAC|7aMLV|8DUST
74	61226 62333	   	279.63	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD	1LSRICY|24MLV|3AAC|5TLV|68VULN|7DUR|9RCR|aASPD
75	22152 27426	   	279.52	ACR|DCR|2VULN|1TLV|1MLV|1ASPD	1TLV|23VULN|49RCR|5MBVNT|6DUST|7ASPD|8CGEN|aMLV
76	22152 13376	   	279.40	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1TLV|23VULN|49RCR|5MBVNT|6DUR|7RPLT|8ASPD|aDMG
77	61123 25623	   	279.07	DCR|DCR|1TLV|1MLV|1CDMG|1SELL	1LSRICY|2MLV|3SELL|4AART|5DUR|6CDMG|78RCR|9RAT|aTLV
78	33313 66224	   	278.54	DCR|2VULN|2MLV|1TLV|1AAC|2DUR	1BBNT|2AAC|3AART|4aMLV|5aDUR|6CGEN|7TLV|8RCR|9aVULN|aBPWR
79	11423 12134	   	278.27	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD	1AAC|2TLV|3FRZFST|47MLV|5ASPD|6RCR|89VULN|aRAT
80	22411 11526	 * 	278.05	DCR|3TLV|2DMG|1VULN|2ASPD|1MLV	178TLV|2VULN|38ASPD|4BBNT|58DMG|6LEGI|8BPWR|9RCR|aMLV
81	22431 11526	   	278.05	DCR|3TLV|2DMG|1VULN|2ASPD|1MLV	178TLV|2VULN|38ASPD|4TBNT|58DMG|6LEGI|8BPWR|9RCR|aMLV
82	13321 46325	 * 	277.81	DCR|DCR|2ASPD|1MLV|1DMG|1AAC	1AAC|2AETHUN|3LHND|48ASPD|5DMG|69RCR|7LWND|aMLV
83	22163 23336	   	277.32	DCR|3VULN|2MLV|1TLV|1AAC	1TLV|237VULN|45MLV|6AAC|8CGEN|9LWND|aRCR
84	22523 33663	 * 	276.92	DCR|2MLV|2TLV|1VULN|3CDMG|1ASPD	18TLV|2VULN|3AART|48MLV|568CDMG|7RCR|8BPWR|9DUST|aASPD
85	22522 64231	   	276.87	DCR|2VULN|2MLV|2TLV|1ASPD|1SELL	17TLV|27VULN|3AART|47MLV|5RPLT|6SELL|7BPWR|8BASHEA|9RCR|aASPD
86	22153 61114	   	276.80	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1TLV|23VULN|4aRCR|5CDMG|6DUR|7DMG|8RCVC|9BEXP
87	22153 61214	   	276.70	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1TLV|23VULN|4aRCR|5CDMG|6DUR|7DMG|8AEPOI|9BEXP
88	22131 25311	   	276.64	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1TLV|235VULN|4AART|6DMG|7MLV|8CDMG|9RCR|aTBNT
89	22131 25316	   	276.64	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1TLV|235VULN|4AART|6DMG|7MLV|8CDMG|9RCR|aAME
90	22131 25312	   	276.54	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1TLV|235VULN|4AART|6DMG|7MLV|8CDMG|9RCR|aBEXP
91	22131 25313	   	276.54	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1TLV|235VULN|4AART|6DMG|7MLV|8CDMG|9RCR|aAETHUN
92	22131 25314	   	276.54	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1TLV|235VULN|4AART|6DMG|7MLV|8CDMG|9RCR|aAEWIND
93	22131 25315	   	276.54	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1TLV|235VULN|4AART|6DMG|7MLV|8CDMG|9RCR|aERES
