0	Index      	 *	Score 	Summary	Detail	
1	32632 11162	 * 	289.65	DCR|2MLV|2TLV|1VULN|2ASPD|1DMG|2RAT	15AEWIND|28ASPD|38MLV|45RAT|58BPWR|6VULN|78TLV|9RCR|aDMG
38	32632 11164	   	269.49	DCR|2MLV|2TLV|1VULN|2ASPD|2RAT	15AEWIND|28ASPD|38MLV|45RAT|58BPWR|6VULN|78TLV|9RCR|aBEXP
39	31854 31481	 * 	269.23	DCR|2VULN|2MLV|2TLV|1ASPD	1AEWIND|2MBVNT|3aTLV|4ERES|5ASPD|6aMLV|7VENFST|8aVULN|9RCR|aBPWR
40	21164 43112	   	268.44	DCR|DCR|1VULN|1TLV|1DMG	1DUST|2VULN|3FEWX|4LHND|5RPLT|6LSRHEA|79RCR|8DMG|aTLV
41	46333 21226	 * 	267.94	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG|1SELL	1SELL|2AAC|3TLV|4RCVC|57RCR|6MDPS|8VULN|9MLV|aCDMG
42	22126 34352	 * 	267.08	DCR|3VULN|1TLV|1AAC|1ASPD|1CDMG	1DUST|2CDMG|3ASPD|4DUR|5TLV|6AAC|79aVULN|8RCR
43	21312 22655	 * 	267.08	DCR|4VULN|2MLV|1AAC|1SELL	18aDUST|258aVULN|38AEWIND|4SELL|6RCR|7AAC|8aBPWR|9aMLV
44	15123 23653	   	267.00	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1CGEN|2ZMB|3LHND|4DUR|5VULN|6ASPD|7SELL|8MLV|9aRCR
45	13423 15163	   	266.42	DCR|DCR|2VULN|1CDMG	1CGEN|2AME|35VULN|4DUR|6LHND|7CDMG|8MBVNT|9aRCR
46	13423 21263	   	266.42	DCR|DCR|2VULN|1CDMG	1CGEN|2AME|35VULN|4DUR|6MBVNT|7LWND|8CDMG|9aRCR
47	13423 24263	   	266.42	DCR|DCR|2VULN|1CDMG	1CGEN|2AME|35VULN|4DUR|6MBVNT|7LHND|8CDMG|9aRCR
48	13423 26363	   	266.42	DCR|DCR|2VULN|1CDMG	1CGEN|2AME|35VULN|4DUR|6MBVNT|7CDMG|8LWND|9aRCR
49	31523 12263	   	266.32	DCR|DCR|2VULN|1CDMG	1AEWIND|2MBVNT|35VULN|4DUR|6LHND|7LWND|8CDMG|9aRCR
50	21164 43312	   	264.63	DCR|DCR|1VULN|1TLV|1ASPD	1DUST|2VULN|3FEWX|4LHND|5RPLT|6LSRHEA|79RCR|8ASPD|aTLV
51	31143 83363	   	264.35	DCR|DCR|1VULN|1MLV|1CDMG	1AEWIND|2MBVNT|3LHND|4ERES|5DUR|6CDMG|7VULN|8aRCR|9MLV
52	43222 31153	 * 	262.21	DCR|DCR|1VULN|3CDMG|1DMG|1SELL	1SELL|235CDMG|4DMG|6aRCR|7MDPS|8RMIN|9VULN
53	43222 31553	 * 	262.21	DCR|DCR|1VULN|3CDMG|1DMG|1SELL	1SELL|235CDMG|4DMG|6aRCR|7MDPS|8AME|9VULN
54	43222 32421	 * 	262.21	DCR|DCR|1VULN|3CDMG|1DMG|1SELL	1SELL|235CDMG|4DMG|69RCR|7CGEN|8BEXP|aVULN
55	43222 32653	 * 	262.21	DCR|DCR|1VULN|3CDMG|1DMG|1SELL	1SELL|235CDMG|4DMG|6aRCR|7CGEN|8MDPS|9VULN
56	21512 26522	 * 	262.13	DCR|3VULN|2MLV|1TLV|1SELL	18DUST|258VULN|3RCVC|4SELL|6RCR|78MLV|8BPWR|9ERES|aTLV
57	31642 13447	   	261.83	DCR|DCR|1VULN|1TLV|1CDMG	13AEWIND|2MBVNT|3BPWR|4RPLT|5CDMG|68RCR|7ERES|9TLV|aVULN
58	46121 12353	   	261.50	DCR|DCR|1VULN|1DMG|1AAC|1SELL	1SELL|2AAC|3LWND|4DUR|5LHND|6VULN|7DMG|8RCVC|9aRCR
