0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61323 24423	9	 * 	301.32	DCR|5VULN|3DMG|2TLV	1389aVULN|238DMG|389BPWR|4DUST|59TLV|6RCR|789CGEN
39	61332 55332	7	   	279.81	DCR|3VULN|3DMG|3DUR	138VULN|238DMG|38BPWR|4LIT|5FEWX|6RCR|78aDUR|9ERES
40	41235 13211	7	 * 	279.75	DCR|3VULN|3DMG|1TLV|3CDMG	137CDMG|23LHND|37BPWR|457DMG|678VULN|9RCR|aTLV
41	61451 33111	3	   	279.65	DCR|3VULN|3DMG|1TLV|3CDMG	147VULN|236DMG|567CDMG|67BPWR|8LHND|9RCR|aTLV
42	61451 33211	3	   	279.65	DCR|3VULN|3DMG|1TLV|3CDMG	147VULN|236DMG|567CDMG|67BPWR|8FEWX|9RCR|aTLV
43	61323 26623	9	   	279.59	DCR|3VULN|3DMG|2TLV	138VULN|237DMG|38BPWR|48DUST|58TLV|6RCR|9LIT|aAART
44	61323 26243	8	   	279.36	DCR|3VULN|3DMG|1TLV|1DUR	13aVULN|237DMG|3BPWR|4DUST|5TLV|6RCR|8DUR|9AART
45	61313 31554	3	   	279.33	DCR|4VULN|3DMG|2DUR	137aVULN|23aDMG|3aBPWR|45RPLT|6aDUR|8MBVNT|9RCR
46	61323 26613	8	   	279.06	DCR|3VULN|3DMG|2TLV|2AART	138VULN|237DMG|38BPWR|48DUST|58TLV|6RCR|9aAART
47	61331 33265	3	   	278.34	DCR|3VULN|3DMG|2DUR|2CDMG	137VULN|237DMG|37BPWR|48LWND|59CDMG|67DUR|aRCR
48	61331 33365	3	   	278.34	DCR|3VULN|3DMG|2DUR|2CDMG	137VULN|237DMG|37BPWR|4LWND|59CDMG|67DUR|8DMSP|aRCR
49	61351 31243	3	   	278.12	DCR|4VULN|3DMG|2CDMG	1347VULN|236DMG|36BPWR|56CDMG|8LHND|9RCR|aAART
50	61335 62213	10	   	278.10	DCR|3VULN|3DMG|1TLV|1DUR	135VULN|23aDMG|3BPWR|4LIT|6LHND|7TLV|8DUR|9RCR
51	61353 26221	9	   	278.10	DCR|3VULN|3DMG|1TLV|1DUR	139VULN|237DMG|3BPWR|4FEWX|5TLV|6RCR|8DUR|aLIT
52	61323 26221	9	   	278.00	DCR|3VULN|3DMG|1TLV|1DUR	139VULN|237DMG|3BPWR|4DUST|5TLV|6RCR|8DUR|aLIT
53	61323 26225	10	   	278.00	DCR|3VULN|3DMG|1TLV|1DUR	139VULN|237DMG|3BPWR|4DUST|5TLV|6RCR|8DUR|aLIT
54	61353 26221	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	139VULN|237DMG|3BPWR|4FEWX|5aTLV|6RCR|8DUR
55	63323 26413	9	   	277.82	DCR|3VULN|2DMG|1TLV|3ASPD|1DUR	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|78DMG|9LWND|aDUR
56	63323 26421	8	   	277.82	DCR|3VULN|2DMG|1TLV|3ASPD|1DUR	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|78DMG|9DUR|aFEWX
57	63323 26423	10	   	277.82	DCR|3VULN|2DMG|1TLV|3ASPD|1DUR	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|78DMG|9MLV|aDUR
58	61323 26633	10	 * 	277.77	DCR|3VULN|3DMG|3TLV|1DUR	138VULN|237DMG|38BPWR|48DUST|589TLV|6RCR|aDUR
59	61323 26221	10	   	277.77	DCR|3VULN|3DMG|2TLV|1DUR	139VULN|237DMG|3BPWR|4DUST|5aTLV|6RCR|8DUR
60	63323 26422	8	   	277.72	DCR|3VULN|2DMG|1TLV|3ASPD|1DUR	138VULN|238ASPD|38BPWR|4aDUST|5TLV|6RCR|78DMG|9DUR
61	63323 26411	8	   	277.22	DCR|3VULN|3DMG|1TLV|3ASPD	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|789DMG|aLHND
62	63323 26413	8	   	277.22	DCR|3VULN|3DMG|1TLV|3ASPD	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|789DMG|aFEWX
63	61331 45311	5	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|23DMG|3BPWR|4LIT|5CGEN|67DUR|8RCR|aTLV
64	61333 45311	5	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|23DMG|3BPWR|4LIT|5MLV|67DUR|8RCR|aTLV
65	61333 52314	4	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|23DMG|3BPWR|4LIT|5DMSP|6aDUR|7TLV|8RCR
66	61331 31651	4	   	276.34	DCR|3VULN|3DMG|2DUR	139VULN|239DMG|39BPWR|4LIT|5AART|6aDUR|7RCR|89FEWX
67	61331 35151	4	   	276.34	DCR|3VULN|3DMG|2DUR	139VULN|239DMG|39BPWR|4LIT|5AART|6aDUR|79FEWX|8RCR
68	61331 51116	4	   	276.34	DCR|3VULN|3DMG|2DUR	13aVULN|23aDMG|3aBPWR|4LIT|5AART|6BEXP|7RCR|8RMIN|9aDUR
69	61331 32151	4	   	276.14	DCR|3VULN|3DMG|2DUR	139VULN|239DMG|39BPWR|4LIT|5AART|6aDUR|79DUST|8RCR
70	61333 52313	4	   	276.10	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	139VULN|23DMG|3BPWR|4LIT|5DMSP|6DUR|7TLV|8RCR|aCDMG
71	61335 52323	5	   	276.10	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	135VULN|23DMG|3BPWR|4LIT|6DUR|7TLV|8RCR|9RCVC|aCDMG
72	61335 52333	5	   	276.10	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	135VULN|23DMG|3BPWR|4LIT|6DUR|7TLV|8RCR|9DMSP|aCDMG
73	63335 52313	5	   	275.65	DCR|4VULN|1TLV|2ASPD|1DUR|1CDMG	1359VULN|23ASPD|3BPWR|4LIT|6DUR|7TLV|8RCR|aCDMG
74	61331 34153	4	   	275.44	DCR|3VULN|2DMG|2DUR|2LIT	139VULN|23DMG|39BPWR|49LIT|5AART|69DUR|7LEGI|8RCR|aASPD
75	61336 61322	7	   	275.39	DCR|5VULN|2DMG|1DUR|1SELL	13678VULN|23DMG|3BPWR|4LIT|5SELL|9DUR|aRCR
76	61335 32311	5	   	275.33	DCR|4VULN|2DMG|2TLV	1359VULN|23DMG|3BPWR|4LIT|6LWND|7aTLV|8RCR
77	61335 62311	7	   	275.33	DCR|4VULN|2DMG|2TLV	1359VULN|23DMG|3BPWR|4LIT|6LHND|7aTLV|8RCR
78	61335 62311	6	   	275.33	DCR|4VULN|2DMG|2TLV	1359VULN|23DMG|3BPWR|4LIT|6LHND|7aTLV|8RCR
79	61335 12311	5	   	275.23	DCR|4VULN|2DMG|2TLV	1359VULN|23DMG|3BPWR|4LIT|6DUST|7aTLV|8RCR
80	63323 26433	8	   	275.22	DCR|3VULN|2DMG|1TLV|3ASPD|1CDMG	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|78DMG|9CDMG|aRPLT
81	61316 16232	7	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1368VULN|23DMG|3BPWR|4LHND|5BEXP|7DUR|9TLV|aRCR
82	61352 16232	7	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1368VULN|23DMG|3BPWR|4FEWX|5LHND|7DUR|9TLV|aRCR
83	61352 22232	3	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1348VULN|23DMG|3BPWR|5BEXP|6DUR|7FEWX|9TLV|aRCR
84	61355 22232	3	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1348VULN|23DMG|3BPWR|5LHND|6DUR|7FEWX|9TLV|aRCR
85	63323 26432	8	   	275.12	DCR|3VULN|2DMG|1TLV|3ASPD|1CDMG	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|78DMG|9CDMG|aERES
86	61322 16232	7	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1368VULN|23DMG|3BPWR|4DUST|5LHND|7DUR|9TLV|aRCR
87	61326 16232	7	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1368VULN|23DMG|3BPWR|4DUST|5BEXP|7DUR|9TLV|aRCR
88	63323 26431	8	   	274.97	DCR|3VULN|2DMG|1TLV|3ASPD|1CDMG|1SELL	138VULN|238ASPD|38BPWR|4DUST|5TLV|6RCR|78DMG|9CDMG|aSELL
89	41235 13214	7	 * 	274.59	DCR|4VULN|3DMG|3CDMG	137CDMG|23LHND|37BPWR|457DMG|678aVULN|9RCR
90	61323 24623	6	   	274.00	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	13aVULN|23DMG|3BPWR|4DUST|5TLV|6RCR|79CDMG|8DUR
91	61335 14133	10	   	273.70	DCR|4VULN|2DMG|1TLV|2LIT	1358VULN|23DMG|3BPWR|46LIT|7TLV|9MBVNT|aRCR
92	61312 33653	4	   	273.42	DCR|3VULN|3DMG|2CDMG|1DUR	137VULN|237DMG|37BPWR|4LHND|5LWND|67CDMG|8AART|9RCR|aDUR
93	61332 55313	7	   	273.23	DCR|3VULN|3DMG|2DUR|2LIT	138VULN|238DMG|38BPWR|4aLIT|59FEWX|6RCR|78DUR
94	61335 23316	7	   	272.95	DCR|4VULN|3DMG|1DUR	1359VULN|23aDMG|3BPWR|4LIT|6CGEN|7DUR|8RCR
95	61331 23316	7	   	272.95	DCR|4VULN|3DMG|1DUR	1369VULN|23aDMG|3BPWR|4LIT|5CGEN|7DUR|8RCR
96	53411 33412	2	 * 	272.87	DCR|3VULN|3DUR|1TLV|1DMG	1RPLT|267VULN|3DMG|47ZMB|567DUR|67BPWR|8RCR|9LIT|aTLV
97	61611 33412	2	   	272.87	DCR|3VULN|3DUR|1TLV|1DMG	167VULN|2DMG|3RPLT|47ZMB|567DUR|67BPWR|8RCR|9LIT|aTLV
98	61335 15233	10	   	272.15	DCR|4VULN|2DMG|1DUR|2LIT	1357VULN|23DMG|3BPWR|46LIT|8DUR|9ASPD|aRCR
99	61331 33245	3	   	272.03	DCR|3VULN|3DMG|2DUR|1CDMG	137VULN|237DMG|37BPWR|48LWND|5CDMG|67DUR|9RCVC|aRCR
100	61331 33345	3	   	272.03	DCR|3VULN|3DMG|2DUR|1CDMG	137VULN|237DMG|37BPWR|4LWND|5CDMG|67DUR|8DMSP|9RCVC|aRCR
101	61335 23314	7	   	271.88	DCR|4VULN|2DMG|2DUR	1359VULN|23DMG|3BPWR|4LIT|6CGEN|7aDUR|8RCR
102	61331 23314	7	   	271.88	DCR|4VULN|2DMG|2DUR	1369VULN|23DMG|3BPWR|4LIT|5CGEN|7aDUR|8RCR
103	61333 23314	7	   	271.88	DCR|4VULN|2DMG|2DUR	1369VULN|23DMG|3BPWR|4LIT|5MLV|7aDUR|8RCR
104	63323 24423	9	 * 	271.59	DCR|5VULN|2TLV|3ASPD	1389aVULN|238ASPD|389BPWR|4DUST|59TLV|6RCR|789CGEN
