0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33145 26231	8	 * 	300.44	DCR|3VULN|3DMG|3ASPD|1DUR|2LIT	1RCVC|278DMG|39LIT|489VULN|589ASPD|6RCR|89BPWR|aDUR
15	22253 61511	7	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1aCGEN|2CDMG|368aVULN|4FEWX|5DMG|7aDUR|9RCR|aBPWR
16	33162 33161	2	 * 	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|24aDMG|3TLV|5aDUR|6CDMG|7RCR|8LHND|9aVULN|aBPWR
17	33162 33361	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|24aDMG|3TLV|5aDUR|6CDMG|7RCR|8LWND|9aVULN|aBPWR
18	33162 33661	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|24aDMG|3TLV|5aDUR|6CDMG|7RCR|8BEXP|9aVULN|aBPWR
19	33342 33161	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|23aDMG|4TLV|5aDUR|6CDMG|7RCR|8LHND|9aVULN|aBPWR
20	33342 33361	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|23aDMG|4TLV|5aDUR|6CDMG|7RCR|8LWND|9aVULN|aBPWR
21	33342 33661	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|23aDMG|4TLV|5aDUR|6CDMG|7RCR|8BEXP|9aVULN|aBPWR
22	33162 32411	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|24aDMG|3TLV|5aDUR|6CDMG|7LWND|8aVULN|9RCR|aBPWR
23	33162 34361	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|24aDMG|3TLV|5aDUR|6CDMG|7LHND|8RCR|9aVULN|aBPWR
24	33162 34411	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|24aDMG|3TLV|5aDUR|6CDMG|7LHND|8aVULN|9RCR|aBPWR
25	33162 35411	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|24aDMG|3TLV|5aDUR|6CDMG|7BEXP|8aVULN|9RCR|aBPWR
26	33342 32411	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|23aDMG|4TLV|5aDUR|6CDMG|7LWND|8aVULN|9RCR|aBPWR
27	33342 34361	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|23aDMG|4TLV|5aDUR|6CDMG|7LHND|8RCR|9aVULN|aBPWR
28	33342 34411	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|23aDMG|4TLV|5aDUR|6CDMG|7LHND|8aVULN|9RCR|aBPWR
29	33342 35411	2	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|23aDMG|4TLV|5aDUR|6CDMG|7BEXP|8aVULN|9RCR|aBPWR
30	33162 36411	2	   	272.13	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|24aDMG|3TLV|5aDUR|6CDMG|7DUST|8aVULN|9RCR|aBPWR
31	33342 36411	2	   	272.13	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCVC|23aDMG|4TLV|5aDUR|6CDMG|7DUST|8aVULN|9RCR|aBPWR
32	15163 33533	8	 * 	272.11	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	16aLIT|2DMG|3aDUR|4LWND|5TLV|78aVULN|9RCR|aBPWR
33	14115 23533	8	   	271.02	DCR|3VULN|3DUR|1TLV|2LIT|1ASPD|1SELL	1aLIT|23aDUR|4TLV|5ASPD|6RCR|79aVULN|8SELL|aBPWR
34	15163 63333	8	 * 	271.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	1aLIT|28DMG|36aDUR|4LWND|5TLV|7aVULN|9RCR|aBPWR
