0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11633 52162	10	 * 	281.94	DCR|4VULN|3DUR|2TLV	149DUR|2RMIN|3489VULN|49BPWR|5BEXP|6LIT|79TLV|aRCR
23	12352 31265	8	 * 	270.76	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aCDMG
24	12515 13116	10	   	270.45	DCR|3VULN|3DUR|2TLV|1AART	179DUR|249VULN|3BEXP|5AART|6LIT|89TLV|9BPWR|aRCR
25	12426 12112	3	 * 	268.77	DCR|4VULN|3DUR|1DMG|1AART	159DUR|2567VULN|3AART|4LEGI|5BPWR|8RCR|aDMG
26	12612 52152	5	   	268.77	DCR|4VULN|3DUR|1DMG|1AART	159DUR|2479VULN|39DUST|6AART|8RCR|9BPWR|aDMG
27	13623 42621	5	 * 	268.52	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2DLOT|35DMG|4TLV|6RCR|79aVULN
28	14624 12112	5	   	268.47	DCR|3VULN|2DUR|1TLV|1DMG|2AART	1aDUR|29AART|3DMG|4TLV|567VULN|8RCR
29	12161 33362	10	   	267.53	DCR|3VULN|3DUR|2TLV|2LIT	179DUR|269VULN|37LHND|47LIT|5RMIN|79BPWR|89TLV|aRCR
30	12161 33363	9	   	267.53	DCR|3VULN|3DUR|2TLV|2LIT	179DUR|269VULN|37LHND|47LIT|5RMIN|79BPWR|89TLV|aRCR
31	11523 53362	10	   	267.33	DCR|3VULN|3DUR|2TLV|2LIT	179DUR|2RMIN|39DUST|457VULN|67LIT|79BPWR|89TLV|aRCR
32	12661 33362	10	   	267.33	DCR|3VULN|3DUR|2TLV|2LIT	179DUR|269VULN|37DUST|47LIT|5RMIN|79BPWR|89TLV|aRCR
33	12623 53325	10	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	17DUR|257VULN|39DUST|4DMG|67LIT|7BPWR|8TLV|aRCR
34	13624 16121	5	 * 	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1DUR|2DLOT|3DMG|47TLV|569aVULN|8RCR
35	13624 62121	6	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1DUR|2DLOT|3DMG|46TLV|579aVULN|8RCR
36	12441 12446	4	   	265.34	DCR|5VULN|1TLV|1DUR|1AART	1DUR|25678VULN|3AART|4MBVNT|9RCR|aTLV
37	12354 35122	7	 * 	265.19	DCR|2VULN|3DUR|2DMG|2TLV|1SELL	178DUR|29VULN|3SELL|49TLV|59DMG|6RCR|9BPWR|aLWND
38	12222 11262	10	 * 	264.13	DCR|5VULN|2DUR|2CDMG	18DUR|24569VULN|348ERES|48BPWR|78CDMG|aRCR
39	12222 32142	10	   	264.13	DCR|5VULN|2DUR|1DMG	19DUR|24567VULN|346ERES|46BPWR|8RCR|aDMG
40	12222 32235	9	   	264.13	DCR|5VULN|2DUR|2CDMG	1aDUR|24567VULN|346ERES|46aBPWR|8aCDMG|9RCR
41	12222 32655	6	   	264.13	DCR|5VULN|2DUR|2CDMG	1aDUR|24569VULN|346ERES|46aBPWR|7aCDMG|8RCR
42	12222 12563	6	   	263.99	DCR|5VULN|1TLV|1DUR	1DUR|24569VULN|34ERES|4BPWR|7TLV|8ASPD|aRCR
43	14624 12123	5	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1DUR|2AART|3aDMG|4TLV|567VULN|8RCR|9ERES
44	12222 11336	9	   	263.19	DCR|5VULN|1DMG|1DUR|1CDMG	1DUR|24568VULN|34ERES|4BPWR|7CDMG|9DMG|aRCR
45	12222 32231	10	   	263.19	DCR|5VULN|1DMG|1DUR|1CDMG	1DUR|24567VULN|346ERES|46BPWR|8CDMG|9RCR|aDMG
46	12222 32115	10	   	263.19	DCR|5VULN|1DMG|1DUR|1CDMG	1DUR|24567VULN|346ERES|46BPWR|8RCR|9DMG|aCDMG
47	13562 23362	10	   	262.24	DCR|3VULN|3DUR|2TLV|1AART	179DUR|2DLOT|37BEXP|4AART|579VULN|6RMIN|79BPWR|89TLV|aRCR
48	12513 53125	10	   	262.18	DCR|3VULN|2DUR|1TLV|2ASPD|2LIT	17DUR|247VULN|3BEXP|58ASPD|67LIT|7BPWR|9TLV|aRCR
49	14231 24621	5	   	261.83	DCR|3VULN|3DUR|3CDMG|2AART	179DUR|28AART|3RCVC|4RMIN|579VULN|679CDMG|79BPWR|aRCR
50	12623 53163	8	   	261.75	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	17DUR|257VULN|3DUST|4DMG|67LIT|7BPWR|8ASPD|9RCR|aCDMG
51	22456 12111	4	   	261.69	DCR|5VULN|2DUR|2AART	1FEWX|2567aVULN|39AART|45DUR|5BPWR|8RCR
52	12426 12126	3	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	15DUR|2567VULN|3AART|4LEGI|5BPWR|8RCR|9CGEN|aTLV
53	12426 12136	3	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	15DUR|2567VULN|3AART|4LEGI|5BPWR|8RCR|9MLV|aTLV
54	12453 12111	3	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	19DUR|267aVULN|3AART|4TLV|5CGEN|8RCR
55	14324 12131	5	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	19DUR|2AART|3RMIN|4TLV|567aVULN|8RCR
56	14325 12131	4	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	19DUR|2AART|3RMIN|4TLV|567aVULN|8RCR
57	14523 12111	2	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	19DUR|2AART|3TLV|467aVULN|5CGEN|8RCR
58	14535 12111	2	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	19DUR|2AART|3TLV|4MLV|567aVULN|8RCR
59	12216 12111	5	   	261.58	DCR|4VULN|2DUR|1TLV|1AART	19DUR|267aVULN|3ERES|4AART|5TLV|8RCR
60	12436 12111	5	   	261.58	DCR|4VULN|2DUR|1TLV|1AART	19DUR|267aVULN|3AART|4ERES|5TLV|8RCR
61	45324 12111	5	   	261.58	DCR|4VULN|2DUR|1TLV|1AART	1ERES|2AART|39DUR|4TLV|567aVULN|8RCR
62	45325 12111	4	   	261.58	DCR|4VULN|2DUR|1TLV|1AART	1ERES|2AART|39DUR|4TLV|567aVULN|8RCR
63	12222 42111	7	   	261.58	DCR|4VULN|2DUR|1TLV|1AART	19DUR|245aVULN|34ERES|4BPWR|6AART|7TLV|8RCR
64	12611 52151	4	   	261.58	DCR|4VULN|2DUR|1TLV|1AART	19DUR|2479VULN|359DUST|6AART|8RCR|9BPWR|aTLV
65	45216 12111	5	   	261.58	DCR|4VULN|2DUR|1TLV|1AART	1ERES|2AART|367aVULN|49DUR|5TLV|8RCR
66	21325 52162	10	   	260.89	DCR|3VULN|3DUR|2TLV	19FEWX|2RMIN|359DUR|458VULN|59BPWR|6LIT|79TLV|aRCR
67	14563 11332	1	   	260.81	DCR|3VULN|3DUR|1TLV	12aDUR|3LIT|4TLV|568VULN|7RCR|9ASPD
68	11353 52162	10	   	260.79	DCR|3VULN|3DUR|2TLV	139DUR|2RMIN|489VULN|5BEXP|6LIT|79TLV|9BPWR|aRCR
69	12161 32462	10	   	260.79	DCR|3VULN|3DUR|2TLV	189DUR|269VULN|3LHND|4LIT|5RMIN|79TLV|9BPWR|aRCR
70	12161 32463	9	   	260.79	DCR|3VULN|3DUR|2TLV	189DUR|269VULN|3LHND|4LIT|5RMIN|79TLV|9BPWR|aRCR
71	12161 34362	10	   	260.79	DCR|3VULN|3DUR|2TLV	179DUR|269VULN|3LHND|4LIT|5RMIN|89TLV|9BPWR|aRCR
72	12161 34363	9	   	260.79	DCR|3VULN|3DUR|2TLV	179DUR|269VULN|3LHND|4LIT|5RMIN|89TLV|9BPWR|aRCR
73	13624 12112	5	   	260.60	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1aDUR|2DLOT|3DMG|4TLV|567VULN|8RCR|9AART
74	14624 12133	5	   	260.60	DCR|3VULN|2DUR|1TLV|1DMG|1AART	19DUR|2AART|3DMG|4TLV|567VULN|8RCR|aERES
75	12623 53413	10	   	260.59	DCR|4VULN|2DUR|1DMG|2LIT|1SELL	17DUR|2579VULN|3DUST|4DMG|67LIT|7BPWR|8SELL|aRCR
76	12224 11521	9	   	260.20	DCR|4VULN|2TLV|2DUR	18DUR|248aVULN|34ERES|48BPWR|5FEWX|6BELT|78TLV|9RCR
77	21636 15113	8	   	259.70	DCR|5VULN|1TLV|1DMG	14FEWX|2RMIN|34567VULN|4BPWR|8DMG|9TLV|aRCR
78	12213 25336	5	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1DUR|25aVULN|35ERES|4AART|5BPWR|6CDMG|7RCR|8DMG|9TLV
79	12433 25336	5	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1DUR|25aVULN|3AART|45ERES|5BPWR|6CDMG|7RCR|8DMG|9TLV
80	22222 32111	10	   	259.50	DCR|5VULN|1TLV|1DMG	1FEWX|24567VULN|346ERES|46BPWR|8RCR|9DMG|aTLV
81	32222 32111	10	   	259.50	DCR|5VULN|1TLV|1DMG	1LWND|24567VULN|346ERES|46BPWR|8RCR|9DMG|aTLV
82	12441 12442	4	   	259.20	DCR|5VULN|1DMG|1DUR|1AART	1DUR|25678VULN|3AART|4MBVNT|9RCR|aDMG
83	13621 42621	5	 * 	259.02	DCR|3VULN|2TLV|2DUR|1DMG	18DUR|2DLOT|3DMG|45TLV|6RCR|79aVULN
84	13624 16122	5	   	259.02	DCR|3VULN|2TLV|2DUR|1DMG	1aDUR|2DLOT|3DMG|47TLV|569VULN|8RCR
85	13624 62122	6	   	259.02	DCR|3VULN|2TLV|2DUR|1DMG	1aDUR|2DLOT|3DMG|46TLV|579VULN|8RCR
86	12222 32113	10	   	257.85	DCR|5VULN|1DMG|1DUR	1DUR|24567VULN|346ERES|46BPWR|8RCR|9DMG|aLIT
87	12222 32116	9	   	257.85	DCR|5VULN|1DMG|1DUR	1DUR|24567VULN|346ERES|46BPWR|8RCR|9DMG|aASPD
88	12222 32126	8	   	257.85	DCR|5VULN|1DMG|1DUR	1DUR|24567VULN|346ERES|46BPWR|8RCR|9ASPD|aDMG
89	45213 25333	5	   	257.73	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1ERES|2AART|35VULN|45DUR|5BPWR|6CDMG|7RCR|8DMG|9aTLV
90	12226 22262	10	   	257.71	DCR|5VULN|2DUR|1CDMG	16DUR|24679VULN|345ERES|46BPWR|8CDMG|aRCR
91	11342 33624	3	 * 	257.41	DCR|2VULN|3DUR|2TLV|2CDMG|1AART	134DUR|2RMIN|59CDMG|69TLV|79VULN|8RCR|9BPWR|aAART
92	13624 12124	5	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2DLOT|3DMG|4TLV|5679VULN|8RCR|aFEWX
93	13624 12126	5	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2DLOT|3DMG|4TLV|5679VULN|8RCR|aLWND
94	13624 12151	5	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2DLOT|3DMG|4TLV|567aVULN|8RCR|9LWND
95	13624 12123	5	   	257.30	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2DLOT|3DMG|4TLV|5679VULN|8RCR|aERES
96	13624 12125	5	   	257.30	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2DLOT|3DMG|4TLV|5679VULN|8RCR|aDUST
97	13624 12141	5	   	257.30	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2DLOT|3DMG|4TLV|567aVULN|8RCR|9DUST
98	12352 31161	7	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aRMIN
99	12352 31162	7	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aLWND
100	12352 31164	7	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aCGEN
101	12352 31261	8	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aRMIN
102	12352 31262	8	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aLWND
103	12352 31264	8	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aCGEN
104	12352 32166	7	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	19aDUR|29VULN|3SELL|4TLV|5FEWX|6RCR|7RCVC|89DMG|9BPWR
105	12352 32266	8	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	19aDUR|29VULN|3SELL|4TLV|5FEWX|6RCR|7RCVC|89DMG|9BPWR
106	12352 36161	6	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aRMIN
107	12352 36162	6	 * 	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aLWND
108	13623 42622	5	 * 	257.06	DCR|2VULN|3DUR|2DMG|1TLV	18aDUR|2DLOT|35DMG|4TLV|6RCR|79VULN
109	12352 31166	7	   	257.01	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aDUST
110	12352 31266	8	   	257.01	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4TLV|5FEWX|6RCR|89DMG|9BPWR|aDUST
111	12323 51161	7	   	257.01	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4FEWX|5LEGI|6TLV|89DMG|9BPWR|aRCR
112	12323 51261	8	   	257.01	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4FEWX|5LEGI|6TLV|89DMG|9BPWR|aRCR
113	12333 51161	7	   	256.91	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4DUST|5LEGI|6TLV|89DMG|9BPWR|aRCR
114	12333 51261	8	   	256.91	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	179DUR|29VULN|3SELL|4DUST|5LEGI|6TLV|89DMG|9BPWR|aRCR
115	22456 12112	4	   	256.58	DCR|4VULN|3DUR|2AART	1FEWX|2567VULN|39AART|45aDUR|5BPWR|8RCR
116	11636 31163	4	   	256.46	DCR|3VULN|3DUR|2LIT|1CDMG|1AART	147DUR|2RMIN|347VULN|47BPWR|5AART|67LIT|8LHND|9RCR|aCDMG
117	11342 33621	3	   	256.06	DCR|2VULN|3DUR|2TLV|2CDMG	134DUR|2RMIN|59CDMG|69TLV|79VULN|8RCR|9BPWR|aLIT
118	14183 81213	6	 * 	255.97	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG|1AART	17DUR|2AART|3MBVNT|46CDMG|56VULN|6BPWR|8DMG|9RCR|aTLV
119	21636 15212	8	   	255.88	DCR|5VULN|1TLV|1DUR	14FEWX|2RMIN|34567VULN|4BPWR|8RCR|9TLV|aDUR
120	12222 32131	10	   	255.68	DCR|5VULN|1TLV|1DUR	1DUR|24567VULN|346ERES|46BPWR|8RCR|9CGEN|aTLV
121	13324 12121	5	   	255.68	DCR|5VULN|1TLV|1DUR	1DUR|2DLOT|3RMIN|4TLV|5679aVULN|8RCR
122	11631 16533	7	   	255.64	DCR|4VULN|2DUR|1DMG|1AART	14DUR|25RMIN|3469VULN|4BPWR|7AART|8RCR|aDMG
123	12426 12152	3	   	255.54	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2567VULN|3AART|4LEGI|5BPWR|8RCR|9LWND|aDMG
124	14623 12131	3	   	255.54	DCR|4VULN|2DUR|1DMG|1AART	19DUR|2AART|3DMG|467aVULN|5CGEN|8RCR
125	22456 12123	4	   	255.54	DCR|4VULN|2DUR|1DMG|1AART	1FEWX|2567VULN|3AART|45DUR|5BPWR|8RCR|9ERES|aDMG
126	12213 55533	5	   	255.44	DCR|4VULN|2DUR|1DMG|1AART	17DUR|2569VULN|35ERES|4AART|5BPWR|8RCR|aDMG
127	12426 12142	3	   	255.44	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2567VULN|3AART|4LEGI|5BPWR|8RCR|9DUST|aDMG
128	12611 52152	4	   	255.44	DCR|4VULN|2DUR|1DMG|1AART	19DUR|2479VULN|359DUST|6AART|8RCR|9BPWR|aDMG
129	12222 45533	6	   	255.44	DCR|4VULN|2DUR|1DMG|1AART	17DUR|2459VULN|34ERES|4BPWR|6AART|8RCR|aDMG
130	12426 12116	4	   	254.97	DCR|4VULN|1TLV|2AART|1DUR	1DUR|2567VULN|39AART|45FEWX|5BPWR|8RCR|aTLV
131	12421 12116	4	   	254.87	DCR|4VULN|1TLV|2AART|1DUR	1DUR|2567VULN|39AART|4FEWX|8RCR|aTLV
132	12441 12116	3	   	254.87	DCR|4VULN|1TLV|2AART|1DUR	1DUR|2567VULN|39AART|4FEWX|8RCR|aTLV
133	14324 12111	5	   	254.87	DCR|4VULN|1TLV|2AART|1DUR	1DUR|29AART|3RMIN|4TLV|567aVULN|8RCR
134	14325 12111	4	   	254.87	DCR|4VULN|1TLV|2AART|1DUR	1DUR|29AART|3RMIN|4TLV|567aVULN|8RCR
135	22451 12116	4	   	254.87	DCR|4VULN|1TLV|2AART|1DUR	1FEWX|2567VULN|39AART|4DUR|8RCR|aTLV
136	12411 12116	3	   	254.77	DCR|4VULN|1TLV|2AART|1DUR	1DUR|2567VULN|39AART|4DUST|8RCR|aTLV
137	12416 12116	3	   	254.77	DCR|4VULN|1TLV|2AART|1DUR	1DUR|2567VULN|39AART|45DUST|5BPWR|8RCR|aTLV
138	12613 52116	4	   	254.77	DCR|4VULN|1TLV|2AART|1DUR	1DUR|2457VULN|3DUST|69AART|8RCR|aTLV
139	12615 12116	5	   	254.77	DCR|4VULN|1TLV|2AART|1DUR	1DUR|2467VULN|3DUST|59AART|8RCR|aTLV
140	11113 14125	3	 * 	254.49	DCR|2VULN|2TLV|2DUR|1DMG|2CDMG	19DUR|2RMIN|35CDMG|45TLV|5BPWR|6RCR|7DMG|8aVULN
141	12532 53325	10	   	254.34	DCR|3VULN|2DUR|1TLV|2LIT	17DUR|278VULN|35BEXP|4ASPD|67LIT|7BPWR|9TLV|aRCR
142	21323 53362	10	   	254.31	DCR|3VULN|2TLV|2DUR|2LIT	179FEWX|2RMIN|39DUR|457VULN|67LIT|79BPWR|89TLV|aRCR
143	12222 42123	10	   	254.18	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	18DUR|245VULN|34ERES|4BPWR|6AART|7TLV|9CDMG|aRCR
144	12222 42323	10	   	254.18	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	19DUR|245VULN|34ERES|4BPWR|6AART|7TLV|8CDMG|aRCR
145	14231 24521	5	   	254.06	DCR|3VULN|3DUR|3CDMG|1AART	179DUR|2AART|38RCVC|4RMIN|579VULN|679CDMG|79BPWR|aRCR
146	11213 11365	2	   	254.00	DCR|4VULN|3DUR|2LIT	159DUR|2RMIN|3aLIT|468aVULN|7RCR|aBPWR
147	11413 11365	3	   	254.00	DCR|4VULN|3DUR|2LIT	159DUR|2RMIN|3aLIT|468aVULN|7RCR|aBPWR
148	11523 53326	7	   	254.00	DCR|4VULN|3DUR|2LIT	179DUR|2RMIN|3DUST|4578VULN|67LIT|7BPWR|aRCR
149	16213 11365	1	   	254.00	DCR|4VULN|3DUR|2LIT	159DUR|2RMIN|3aLIT|468aVULN|7RCR|aBPWR
150	13623 33121	7	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2DLOT|35DMG|4TLV|6DMSP|79aVULN|8RCR
151	13623 42421	5	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2DLOT|35DMG|4TLV|6RCR|79aVULN|8DMSP
152	13623 42521	5	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2DLOT|35DMG|4TLV|6RCR|79aVULN|8RCVC
153	13624 12152	5	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2DLOT|3aDMG|4TLV|567VULN|8RCR|9LWND
154	12416 12111	4	   	253.92	DCR|5VULN|2DUR|1AART	19DUR|2567aVULN|3AART|45LWND|5BPWR|8RCR
155	22456 12131	4	   	253.92	DCR|5VULN|2DUR|1AART	1FEWX|2567aVULN|3AART|45DUR|5BPWR|8RCR|9DMSP
156	11356 25321	4	   	253.86	DCR|3VULN|3DUR|3CDMG|1AART	139DUR|2RMIN|479VULN|5AART|689CDMG|9BPWR|aRCR
157	11636 13611	4	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	146DUR|2RMIN|348VULN|4BPWR|5AART|7ERES|9RCR|aTLV
158	11652 25321	4	   	253.86	DCR|3VULN|3DUR|3CDMG|1AART	159DUR|2RMIN|379VULN|4AART|689CDMG|9BPWR|aRCR
159	12413 61353	1	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	134DUR|2RPLT|589VULN|6TLV|7RCR|aAART
160	12415 12111	5	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	159DUR|267VULN|3AART|4LWND|8RCR|aTLV
161	14311 25321	5	   	253.86	DCR|3VULN|3DUR|3CDMG|1AART	149DUR|2AART|3RMIN|579VULN|689CDMG|9BPWR|aRCR
162	14322 25321	3	   	253.86	DCR|3VULN|3DUR|3CDMG|1AART	159DUR|2AART|3RMIN|479VULN|689CDMG|9BPWR|aRCR
163	14324 12132	5	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	19aDUR|2AART|3RMIN|4TLV|567VULN|8RCR
164	14325 12132	4	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	19aDUR|2AART|3RMIN|4TLV|567VULN|8RCR
165	12112 52111	5	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	159DUR|247VULN|3LHND|6AART|8RCR|aTLV
166	45213 13111	8	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	1ERES|2AART|357VULN|458DUR|5BPWR|6RMIN|9RCR|aTLV
167	45213 22111	6	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	1ERES|2AART|357VULN|459DUR|5BPWR|6CGEN|8RCR|aTLV
168	13624 12142	5	   	253.84	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2DLOT|3aDMG|4TLV|567VULN|8RCR|9DUST
169	12411 12151	3	   	253.82	DCR|5VULN|2DUR|1AART	19DUR|25679VULN|3AART|49DUST|8RCR|9BPWR|aMLV
170	12411 12156	3	   	253.82	DCR|5VULN|2DUR|1AART	19DUR|25679VULN|3AART|49DUST|8RCR|9BPWR|aRPLT
171	12416 12151	3	   	253.82	DCR|5VULN|2DUR|1AART	19DUR|25679VULN|3AART|459DUST|59BPWR|8RCR|aLHND
172	12416 12153	3	   	253.82	DCR|5VULN|2DUR|1AART	19DUR|25679VULN|3AART|459DUST|59BPWR|8RCR|aCGEN
173	12426 12151	3	   	253.82	DCR|5VULN|2DUR|1AART	15DUR|2567aVULN|3AART|4LEGI|5BPWR|8RCR|9LWND
174	12447 12441	4	   	253.82	DCR|5VULN|2DUR|1AART	15DUR|25678VULN|3AART|4MBVNT|5BPWR|9RCR|aMLV
175	12447 12444	4	   	253.82	DCR|5VULN|2DUR|1AART	15DUR|25678VULN|3AART|4MBVNT|5BPWR|9RCR|aLWND
176	12112 12111	4	   	253.82	DCR|5VULN|2DUR|1AART	19DUR|2467aVULN|3LHND|5AART|8RCR
177	12114 52111	4	   	253.82	DCR|5VULN|2DUR|1AART	19DUR|2457aVULN|3LHND|6AART|8RCR
