0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31151 35521	1	 * 	292.45	DCR|4VULN|3DMG|3DUR	178aVULN|245DUR|379DMG|6RCR|7BPWR
35	32113 26535	1	   	276.70	DCR|4VULN|3DUR|2DMG	156aVULN|2DUST|3aDMG|46aDUR|6aBPWR|7BBNT|8RCR|9LEGI
36	31151 52163	1	   	275.32	DCR|2VULN|3DMG|3DUR|2LIT|1CDMG	17VULN|245DUR|379DMG|67LIT|7BPWR|8RCR|aCDMG
37	31223 26136	8	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	139VULN|2CDMG|49TLV|5ERES|6LHND|789DMG|9BPWR|aRCR
38	33131 25234	5	 * 	274.59	DCR|4VULN|3DMG|3CDMG	1589VULN|2CGEN|389DMG|4ERES|6LWND|789CDMG|89BPWR|aRCR
39	33131 25234	6	   	274.59	DCR|4VULN|3DMG|3CDMG	1589VULN|2CGEN|389DMG|4ERES|6LWND|789CDMG|89BPWR|aRCR
40	33131 55234	5	   	274.59	DCR|4VULN|3DMG|3CDMG	1589VULN|2CGEN|389DMG|4ERES|6LHND|789CDMG|89BPWR|aRCR
41	33132 25234	4	   	274.59	DCR|4VULN|3DMG|3CDMG	1589VULN|2CGEN|389DMG|4ERES|6LWND|789CDMG|89BPWR|aRCR
42	33132 55234	4	   	274.59	DCR|4VULN|3DMG|3CDMG	1589VULN|2CGEN|389DMG|4ERES|6LHND|789CDMG|89BPWR|aRCR
43	33131 35234	6	   	274.49	DCR|4VULN|3DMG|3CDMG	1589VULN|2CGEN|389DMG|4ERES|6DUST|789CDMG|89BPWR|aRCR
44	33131 45234	5	   	274.49	DCR|4VULN|3DMG|3CDMG	1589VULN|2CGEN|389DMG|4ERES|6DUST|789CDMG|89BPWR|aRCR
45	33132 45234	4	   	274.49	DCR|4VULN|3DMG|3CDMG	1589VULN|2CGEN|389DMG|4ERES|6DUST|789CDMG|89BPWR|aRCR
46	31221 62543	7	   	274.22	DCR|4VULN|2TLV|1DUR|2LIT|1CDMG	137aVULN|2CDMG|4aTLV|5CGEN|6DUR|8aLIT|9RCR|aBPWR
47	35211 51224	7	   	273.90	DCR|4VULN|2DMG|1TLV|2LIT	1679VULN|29LWND|38DMG|4TLV|59LIT|9BPWR|aRCR
48	35212 51224	7	   	273.90	DCR|4VULN|2DMG|1TLV|2LIT	1579VULN|29LWND|38DMG|4TLV|69LIT|9BPWR|aRCR
49	31135 24612	8	   	273.80	DCR|4VULN|2DMG|3CDMG|2LIT	136aVULN|234CDMG|3aBPWR|5MLV|7aDMG|8aLIT|9RCR
50	32331 22516	7	   	273.75	DCR|5VULN|1TLV|1DUR|1AART	13567VULN|2AART|4LIT|8RCR|9DUR|aTLV
51	31151 35114	1	   	273.71	DCR|3VULN|3DUR|2DMG|1AART	179VULN|245DUR|37DMG|6RCR|7BPWR|8LIT|aAART
52	31122 22454	4	 * 	273.71	DCR|5VULN|3TLV|3CDMG	13579VULN|239CDMG|379BPWR|478TLV|679ERES|aRCR
53	31136 32343	4	   	273.71	DCR|5VULN|2TLV|3CDMG	13579VULN|234CDMG|3BPWR|68TLV|aRCR
54	31233 32343	3	   	273.71	DCR|5VULN|2TLV|3CDMG	13479VULN|245CDMG|4BPWR|68TLV|aRCR
55	36211 51224	7	   	273.70	DCR|4VULN|2DMG|1TLV|2LIT	1679VULN|29DUST|38DMG|4TLV|59LIT|9BPWR|aRCR
56	36212 51224	7	   	273.70	DCR|4VULN|2DMG|1TLV|2LIT	1579VULN|29DUST|38DMG|4TLV|69LIT|9BPWR|aRCR
57	31143 12551	8	   	273.66	DCR|3VULN|2TLV|2DUR|3CDMG	137VULN|237CDMG|37BPWR|4FEWX|58DUR|67TLV|9ASPD|aRCR
58	32331 66433	10	   	273.60	DCR|4VULN|2DMG|1DUR|2LIT|1AART	1357VULN|2AART|47LIT|67DMG|7BPWR|8MLV|9DUR|aRCR
59	32311 63516	5	   	273.33	DCR|4VULN|2DMG|2DUR|1AART	138aVULN|2AART|4RMIN|5aDMG|6RCR|7RPLT|9aDUR|aBPWR
60	32113 25315	1	   	272.99	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	156VULN|2DUST|3DMG|46DUR|6BPWR|7CDMG|8RCR|9LIT|aTLV
61	36113 25315	2	   	272.99	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	156VULN|2DUST|3DMG|46DUR|6BPWR|7CDMG|8RCR|9LIT|aTLV
62	36213 25315	3	   	272.99	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	156VULN|2DUST|3DMG|46DUR|6BPWR|7CDMG|8RCR|9LIT|aTLV
63	32331 23413	10	   	272.33	DCR|5VULN|2TLV|2LIT|1AART	13568VULN|2AART|48LIT|78TLV|8BPWR|9RMIN|aRCR
64	32331 23421	8	   	272.33	DCR|5VULN|2TLV|2LIT|1AART	13568VULN|2AART|48LIT|78TLV|8BPWR|9RCR|aLWND
65	32331 23423	10	   	272.33	DCR|5VULN|2TLV|2LIT|1AART	13568VULN|2AART|48LIT|78TLV|8BPWR|9MLV|aRCR
66	32331 23424	8	   	272.33	DCR|5VULN|2TLV|2LIT|1AART	13568VULN|2AART|48LIT|78TLV|8BPWR|9RCR|aLHND
67	32331 23425	8	   	272.33	DCR|5VULN|2TLV|2LIT|1AART	13568VULN|2AART|48LIT|78TLV|8BPWR|9RCR|aBEXP
68	32331 23433	10	   	272.23	DCR|5VULN|2TLV|2LIT|1AART	13568VULN|2AART|48LIT|78TLV|8BPWR|9ERES|aRCR
69	31151 52351	1	 * 	272.21	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	17VULN|245DUR|37DMG|67LIT|7BPWR|8BEXP|9RCR|aTLV
70	31151 52121	1	   	272.11	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	17VULN|245DUR|37DMG|67LIT|7BPWR|8RCR|9DUST|aTLV
71	31131 52263	3	   	272.09	DCR|4VULN|2DUR|3CDMG|1DMG	1348VULN|234CDMG|34BPWR|59DUR|6RCVC|7RCR|aDMG
72	36212 12336	7	 * 	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1579VULN|29DUST|3DMG|4TLV|6RPLT|89DUR|9BPWR|aRCR
73	36212 15336	6	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1579VULN|29DUST|3DMG|4TLV|6RPLT|89DUR|9BPWR|aRCR
74	32412 32624	9	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	15aVULN|2AART|3BELT|4aTLV|6CGEN|7RCR|8DUR|9aDMG|aBPWR
75	31136 33351	3	   	271.95	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7DUR|8LHND|9ASPD|aRCR
76	31136 33651	3	   	271.95	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7DUR|8LWND|9ASPD|aRCR
77	31143 12211	8	   	271.82	DCR|4VULN|2TLV|3CDMG|1DUR	1378VULN|237CDMG|37BPWR|4FEWX|5DUR|67TLV|9CGEN|aRCR
78	31143 12213	10	   	271.82	DCR|4VULN|2TLV|3CDMG|1DUR	1378VULN|237CDMG|37BPWR|4FEWX|5DUR|67TLV|9LHND|aRCR
79	31143 12221	9	   	271.82	DCR|4VULN|2TLV|3CDMG|1DUR	1378VULN|237CDMG|37BPWR|4FEWX|5DUR|67TLV|9RMIN|aRCR
80	31143 12226	8	   	271.82	DCR|4VULN|2TLV|3CDMG|1DUR	1378VULN|237CDMG|37BPWR|4FEWX|5DUR|67TLV|9RPLT|aRCR
81	31143 12541	7	   	271.82	DCR|4VULN|2TLV|3CDMG|1DUR	1379VULN|237CDMG|37BPWR|4FEWX|5DUR|67TLV|8CGEN|aRCR
82	31243 12423	8	   	271.82	DCR|4VULN|3TLV|3CDMG|1DUR	1378VULN|278CDMG|49FEWX|5DUR|678TLV|78BPWR|aRCR
83	31243 12453	9	   	271.82	DCR|4VULN|3TLV|3CDMG|1DUR	1378VULN|278CDMG|4FEWX|5DUR|678TLV|78BPWR|9DMSP|aRCR
84	31143 12141	8	   	271.72	DCR|4VULN|2TLV|3CDMG|1DUR	1379VULN|237CDMG|37BPWR|4FEWX|5DUR|67TLV|8ERES|aRCR
85	31143 12263	9	   	271.72	DCR|4VULN|3TLV|3CDMG|1DUR	1378VULN|237CDMG|37BPWR|4FEWX|5DUR|679TLV|aRCR
86	31143 12641	7	   	271.72	DCR|4VULN|2TLV|3CDMG|1DUR	1379VULN|237CDMG|37BPWR|4FEWX|5DUR|67TLV|8ERES|aRCR
87	31242 12432	10	   	271.72	DCR|4VULN|3TLV|3CDMG|1DUR	1378VULN|278CDMG|4FEWX|5DUST|678TLV|78BPWR|9RCR|aDUR
88	31151 35523	1	   	271.40	DCR|3VULN|3DMG|3DUR	178VULN|245DUR|379DMG|6RCR|7BPWR|aDMSP
89	31151 35532	1	   	271.40	DCR|3VULN|3DMG|3DUR	178VULN|245DUR|37aDMG|6RCR|7BPWR|9LHND
90	31151 33631	1	   	271.30	DCR|3VULN|3DMG|3DUR	18aVULN|245DUR|389DMG|6RCR|7BBNT|8aBPWR
91	31151 33632	1	   	271.30	DCR|3VULN|3DMG|3DUR	18aVULN|245DUR|389DMG|6RCR|7BBNT|8BPWR
92	31151 35522	1	   	271.30	DCR|3VULN|3DMG|3DUR	178VULN|245DUR|379DMG|6RCR|7BPWR|aERES
93	31111 32111	3	 * 	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	137VULN|23CDMG|3BPWR|4RPLT|59DUR|6TLV|8DMG|aRCR
94	31122 56212	4	   	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	135VULN|23CDMG|3BPWR|4TLV|6DMG|7RCR|8BBNT|9aDUR
95	31236 56212	3	   	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	134VULN|24CDMG|4BPWR|5TLV|6DMG|7RCR|8BBNT|9aDUR
96	31151 52111	1	   	270.70	DCR|3VULN|3DUR|2DMG|2LIT	179VULN|245DUR|37DMG|67LIT|7BPWR|8RCR|aFEWX
97	31151 52112	1	   	270.70	DCR|3VULN|3DUR|2DMG|2LIT	179VULN|245DUR|37DMG|67LIT|7BPWR|8RCR|aBEXP
98	31151 52116	1	   	270.70	DCR|3VULN|3DUR|2DMG|2LIT	179VULN|245DUR|37DMG|67LIT|7BPWR|8RCR|aRMIN
99	32131 66113	7	   	270.28	DCR|3VULN|2DMG|1TLV|2AART|2LIT	157VULN|23AART|47LIT|67DMG|7BPWR|8LWND|9TLV|aRCR
100	32131 66413	7	   	270.28	DCR|3VULN|2DMG|1TLV|2AART|2LIT	157VULN|23AART|47LIT|67DMG|7BPWR|8LHND|9TLV|aRCR
101	33131 45234	4	   	269.79	DCR|3VULN|3DMG|3CDMG|1DUR	189VULN|2CGEN|389DMG|4ERES|5DUR|6DMSP|789CDMG|89BPWR|aRCR
102	31626 32612	1	   	269.72	DCR|4VULN|2TLV|2DUR|1AART|1SELL	1678VULN|28DUR|3SELL|4AART|58TLV|8BPWR|9MLV|aRCR
103	31626 32622	1	   	269.72	DCR|4VULN|2TLV|2DUR|1AART|1SELL	1678VULN|28DUR|3SELL|4AART|58TLV|8BPWR|9RCR|aCGEN
104	31231 22152	3	   	269.70	DCR|5VULN|1DMG|2CDMG|1DUR	1345aVULN|24CDMG|4BPWR|6RCR|7MLV|8DMG|9DUR
105	31231 26152	3	   	269.70	DCR|5VULN|1DMG|2CDMG|1DUR	1345aVULN|24CDMG|4BPWR|6RCR|7ZMB|8DMG|9DUR
106	31122 53642	4	 * 	269.62	DCR|4VULN|1TLV|2CDMG|1DMG	135aVULN|23CDMG|3BPWR|4TLV|6DMG|7LHND|8LIT|9RCR
107	31626 32623	1	   	269.62	DCR|4VULN|2TLV|2DUR|1AART|1SELL	1678VULN|28DUR|3SELL|4AART|58TLV|8BPWR|9RCR|aTBNT
108	31231 25152	3	   	269.60	DCR|5VULN|1DMG|2CDMG|1DUR	1345aVULN|24CDMG|4BPWR|6RCR|7ERES|8DMG|9DUR
109	31122 56113	4	   	269.52	DCR|4VULN|1TLV|1DMG|2CDMG	135aVULN|23CDMG|3BPWR|4TLV|6DMG|7RCR|8ASPD|9BBNT
110	31122 56122	4	   	269.52	DCR|4VULN|1TLV|1DMG|2CDMG	135aVULN|23CDMG|3BPWR|4TLV|6DMG|7RCR|8ASPD|9ERES
111	31236 56113	3	   	269.52	DCR|4VULN|1TLV|1DMG|2CDMG	134aVULN|24CDMG|4BPWR|5TLV|6DMG|7RCR|8ASPD|9BBNT
112	31236 56122	3	   	269.52	DCR|4VULN|1TLV|1DMG|2CDMG	134aVULN|24CDMG|4BPWR|5TLV|6DMG|7RCR|8ASPD|9ERES
113	32412 32354	8	 * 	268.98	DCR|3VULN|2TLV|2DUR|1DMG|1AART	15aVULN|2AART|3BELT|4aTLV|6CGEN|7RCR|8DMG|9aDUR|aBPWR
114	32331 22544	8	   	268.95	DCR|5VULN|2DMG|1AART	13567VULN|2AART|4LIT|89DMG|aRCR
115	31233 64612	6	   	268.88	DCR|3VULN|2TLV|2DUR|2CDMG|1AART	138VULN|24CDMG|58DUR|6AART|78TLV|8BPWR|9MLV|aRCR
116	31233 64622	6	   	268.88	DCR|3VULN|2TLV|2DUR|2CDMG|1AART	138VULN|24CDMG|58DUR|6AART|78TLV|8BPWR|9RCR|aCGEN
117	31233 64623	6	   	268.78	DCR|3VULN|2TLV|2DUR|2CDMG|1AART	138VULN|24CDMG|58DUR|6AART|78TLV|8BPWR|9RCR|aTBNT
118	31151 35163	1	   	268.67	DCR|2VULN|3DMG|3DUR|1CDMG	17VULN|245DUR|379DMG|6RCR|7BPWR|8LIT|aCDMG
119	35231 26216	8	   	268.65	DCR|4VULN|3DMG|3LIT	1789VULN|29LWND|378DMG|4BELT|578LIT|6RCVC|789BPWR|aRCR
120	36212 12336	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|29DUST|37DMG|4TLV|6RPLT|89DUR|9BPWR|aRCR
121	31131 52561	4	   	268.62	DCR|3VULN|2DMG|2DUR|3CDMG	13aVULN|234CDMG|3aBPWR|5aDUR|6RCVC|7RCR|8aDMG|9TBNT
122	35231 66233	8	   	268.55	DCR|4VULN|3DMG|3LIT	1678VULN|2LWND|378DMG|4BELT|578LIT|78BPWR|9RCR|aCGEN
123	32322 12368	5	   	268.26	DCR|3VULN|2DMG|2DUR|2AART	13aVULN|24AART|5ASPD|6MBVNT|7aDMG|8RCR|9aDUR|aBPWR
124	32131 23466	10	 * 	267.90	DCR|4VULN|2TLV|3AART|2LIT	1568VULN|239AART|48LIT|78TLV|8BPWR|aRCR
125	12352 25113	1	   	267.52	DCR|4VULN|3DUR|1DMG	1RMIN|246DUR|3569VULN|6BPWR|7RCR|8LIT|aDMG
126	26162 34311	6	   	267.43	DCR|5VULN|2DMG|1DUR	1RCVC|24589VULN|39DMG|6RCR|79ZMB|9BPWR|aDUR
127	32351 53313	3	   	267.40	DCR|4VULN|2TLV|1DMG|1AART	1356VULN|2AART|46TLV|6BPWR|7LIT|8DMG|9LWND|aRCR
128	32351 53363	3	   	267.40	DCR|4VULN|2TLV|1DMG|1AART	1356VULN|2AART|46TLV|6BPWR|7LIT|8DMG|9LHND|aRCR
129	26162 34311	7	   	267.33	DCR|5VULN|2DMG|1DUR	1RCVC|24589VULN|39DMG|6RCR|7RMIN|9BPWR|aDUR
130	32351 52333	3	   	267.30	DCR|4VULN|2TLV|1DMG|1AART	1356VULN|2AART|46TLV|6BPWR|7ASPD|8RCR|9BBNT|aDMG
131	32351 52363	3	   	267.30	DCR|4VULN|2TLV|1DMG|1AART	1356VULN|2AART|46TLV|6BPWR|7ASPD|8RCR|9TBNT|aDMG
132	31112 24613	3	   	267.16	DCR|4VULN|3CDMG|1DMG|1DUR|1AART	1356VULN|236CDMG|36BPWR|4RPLT|7DMG|8DUR|9AART|aRCR
133	31122 64532	4	   	267.16	DCR|4VULN|1TLV|2CDMG|1DUR|1AART	1359VULN|23CDMG|3BPWR|4TLV|6DUR|7RMIN|8AART|aRCR
134	31235 24613	3	   	267.16	DCR|4VULN|3CDMG|1DMG|1DUR|1AART	1346VULN|246CDMG|46BPWR|5RPLT|7DMG|8DUR|9AART|aRCR
135	31234 16116	3	   	267.15	DCR|4VULN|2DMG|3CDMG	134aVULN|24aCDMG|4aBPWR|5ASPD|6ZMB|7RCR|8aDMG|9BBNT
136	31131 34213	3	   	267.06	DCR|4VULN|3CDMG|1DMG|1DUR|1AART	1349VULN|234CDMG|34BPWR|5DUR|6ERES|7RCR|8AART|aDMG
137	31136 64112	4	   	267.05	DCR|4VULN|2DMG|3CDMG	135aVULN|234CDMG|3aBPWR|6LIT|7aDMG|8aERES|9RCR
138	31233 64112	3	   	267.05	DCR|4VULN|2DMG|3CDMG	134aVULN|245CDMG|4aBPWR|6LIT|7aDMG|8aERES|9RCR
139	35211 52212	7	   	266.26	DCR|3VULN|2DMG|1TLV|2CDMG	16aVULN|2LWND|3aDMG|4TLV|5LIT|7RCR|8aCDMG|9RPLT|aBPWR
140	35212 52212	7	   	266.26	DCR|3VULN|2DMG|1TLV|2CDMG	15aVULN|2LWND|3aDMG|4TLV|6LIT|7RCR|8aCDMG|9RPLT|aBPWR
141	31122 56511	4	   	266.18	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	135VULN|23CDMG|3BPWR|4TLV|6DMG|7RCR|8AART|9RMIN|aDUR
142	31122 56531	4	   	266.18	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	135VULN|23CDMG|3BPWR|4TLV|6DMG|7RCR|8AART|9ZMB|aDUR
143	31122 64522	4	   	266.18	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	135VULN|23CDMG|3BPWR|4TLV|6DUR|7RMIN|8AART|9RCR|aDMG
144	36211 52212	7	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	16aVULN|2DUST|3aDMG|4TLV|5LIT|7RCR|8aCDMG|9RPLT|aBPWR
145	36212 52212	7	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	15aVULN|2DUST|3aDMG|4TLV|6LIT|7RCR|8aCDMG|9RPLT|aBPWR
146	31122 56213	4	   	266.08	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	135VULN|23CDMG|3BPWR|4TLV|6DMG|7RCR|8BBNT|9DUR|aAART
147	31236 56213	3	   	266.08	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	134VULN|24CDMG|4BPWR|5TLV|6DMG|7RCR|8BBNT|9DUR|aAART
148	31254 52213	9	   	266.06	DCR|3VULN|2DMG|1TLV|2CDMG	138VULN|25CDMG|45DMG|5BPWR|6LIT|7LEGI|9TLV|aRCR
149	31124 56113	4	   	266.06	DCR|3VULN|2DMG|1TLV|2CDMG	13aVULN|23CDMG|3BPWR|4TLV|56DMG|7RCR|8ASPD|9BBNT
150	31124 56122	4	   	266.06	DCR|3VULN|2DMG|1TLV|2CDMG	13aVULN|23CDMG|3BPWR|4TLV|56DMG|7RCR|8ASPD|9ERES
151	31251 52253	10	   	266.03	DCR|3VULN|2DMG|2TLV|2CDMG	139VULN|29CDMG|46DMG|5CGEN|7RCVC|89TLV|9BPWR|aRCR
152	31251 53253	10	   	266.03	DCR|3VULN|2DMG|2TLV|2CDMG	139VULN|29CDMG|46DMG|57CGEN|89TLV|9BPWR|aRCR
153	31253 52253	10	   	266.03	DCR|3VULN|2DMG|2TLV|2CDMG	139VULN|29CDMG|46DMG|5MLV|7RCVC|89TLV|9BPWR|aRCR
154	32131 66321	10	   	266.03	DCR|3VULN|2DMG|2AART|2LIT|1CDMG	157VULN|23AART|47LIT|67DMG|7BPWR|8ASPD|9CDMG|aRCR
155	31121 62542	7	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	137aVULN|23CDMG|3BPWR|4TLV|5CGEN|6DUR|8LIT|9RCR
156	31122 51263	8	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	138aVULN|23CDMG|3BPWR|4TLV|5DMSP|6LIT|7DUR|9RCR
157	31126 51263	8	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	138aVULN|23CDMG|3BPWR|4TLV|5RCVC|6LIT|7DUR|9RCR
158	32331 23343	10	   	265.81	DCR|5VULN|1TLV|1AART	13569VULN|2AART|4LIT|7TLV|8ASPD|aRCR
159	32133 23434	9	   	265.78	DCR|3VULN|2TLV|3LIT|1DMG|2AART	168VULN|23AART|458LIT|78TLV|8BPWR|9DMG|aRCR
160	31232 51263	8	   	265.71	DCR|4VULN|1TLV|2CDMG|1DUR	138aVULN|24CDMG|5TLV|6LIT|7DUR|9RCR
161	31151 25151	1	   	265.66	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|245DUR|37DMG|67BEXP|7BPWR|8LIT|9RCR|aTLV
162	31122 14451	8	   	265.58	DCR|3VULN|2DUR|1TLV|3CDMG	138VULN|238CDMG|38BPWR|4TLV|5DMSP|6LWND|78DUR|9ASPD|aRCR
163	32351 52334	3	   	265.58	DCR|5VULN|2TLV|1AART	1356aVULN|2AART|46TLV|6BPWR|7ASPD|8RCR|9BBNT
164	31152 21151	1	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	15VULN|246DUR|36DMG|6BPWR|7LWND|8LIT|9RCR|aTLV
165	31152 24151	1	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	15VULN|246DUR|36DMG|6BPWR|7FEWX|8LIT|9RCR|aTLV
166	36216 21352	4	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	19VULN|2DUST|39DMG|4TLV|5RPLT|6RCR|7LIT|89aDUR|9BPWR
167	31232 14451	8	   	265.48	DCR|3VULN|2DUR|1TLV|3CDMG	138VULN|248CDMG|5TLV|6LWND|78DUR|8BPWR|9ASPD|aRCR
168	31122 22415	4	   	265.48	DCR|4VULN|3TLV|2CDMG|1DUR	1357VULN|23CDMG|37BPWR|478TLV|67ERES|9DUR|aRCR
169	31236 22415	3	   	265.48	DCR|4VULN|3TLV|2CDMG|1DUR	1347VULN|24CDMG|47BPWR|578TLV|67ERES|9DUR|aRCR
