0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16234 23335	2	 * 	275.09	DCR|4VULN|2DMG|1TLV|1DUR	18DUST|2589VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|aDUR
21	66233 44236	4	 * 	256.80	DCR|4VULN|3DMG	189BEXP|2789VULN|3ERES|4LIT|5MBVNT|689DMG|89BPWR|aRCR
22	16233 44236	4	   	256.50	DCR|4VULN|3DMG	189DUST|2789VULN|3ERES|4LIT|5MBVNT|689DMG|89BPWR|aRCR
23	25632 42123	6	 * 	256.42	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1RPLT|2DUR|357VULN|46CDMG|8DMG|9TLV|aRCR
24	25413 35213	8	 * 	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|28DUR|3CGEN|468VULN|5RMIN|78DMG|8BPWR|9CDMG|aRCR
25	51223 24432	10	 * 	256.13	ACR|4VULN|3DMG|3ASPD|1DUR	1RCR|2RMIN|379aVULN|4LEGI|5DUR|69aDMG|89aASPD|9aBPWR
26	23315 22323	2	   	255.82	DCR|4VULN|2DUR|2ASPD|1CDMG	1RPLT|29ASPD|3679VULN|4CDMG|5ZMB|89DUR|9BPWR|aRCR
27	41633 14236	2	 * 	255.22	DCR|2VULN|3DMG|3DUR	189CGEN|268DUR|3LIT|49VULN|5MBVNT|789DMG|89BPWR|aRCR
28	22646 22123	5	   	255.00	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|24LHND|3467VULN|4BPWR|5CDMG|8DMG|9TLV|aRCR
29	22632 22123	5	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|2LHND|3567VULN|4CDMG|8DMG|9TLV|aRCR
30	24632 22123	5	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|2BEXP|3567VULN|4CDMG|8DMG|9TLV|aRCR
31	66332 22123	5	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2567VULN|3RPLT|4CDMG|8DMG|9TLV|aRCR
32	16346 22123	5	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	14DUST|2467VULN|3RPLT|4BPWR|5CDMG|8DMG|9TLV|aRCR
33	16346 32123	6	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	14DUST|2467VULN|3RPLT|4BPWR|5CDMG|8DMG|9TLV|aRCR
34	21646 22123	5	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|24DUST|3467VULN|4BPWR|5CDMG|8DMG|9TLV|aRCR
35	21646 32123	6	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|24DUST|3467VULN|4BPWR|5CDMG|8DMG|9TLV|aRCR
36	25552 22323	1	 * 	254.29	DCR|4VULN|2DUR|2CDMG	1RPLT|29CDMG|3ASPD|4RMIN|5679VULN|89DUR|9BPWR|aRCR
37	16234 23361	2	 * 	254.18	DCR|3VULN|2DMG|2TLV	18DUST|258VULN|3aTLV|4MLV|6RCR|78DMG|8BPWR|9LIT
38	42424 23331	5	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	138CGEN|28aVULN|4TLV|5DUR|6RCR|78DMG|8BPWR|9BBNT
39	16234 23321	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	18DUST|258VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|9LWND|aDUR
40	16234 23341	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	18DUST|258VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|9LHND|aDUR
41	16245 23321	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	18DUST|248VULN|3TLV|5CGEN|6RCR|78DMG|8BPWR|9LWND|aDUR
42	16234 23351	2	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	18DUST|258VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|9LEGI|aDUR
43	25632 22153	5	   	253.26	DCR|4VULN|1DMG|1DUR|1CDMG	1RPLT|2DUR|3567VULN|4CDMG|8DMG|9ASPD|aRCR
44	51241 32235	4	 * 	253.22	ACR|4VULN|3DUR|1TLV|3LIT	1RCR|2RMIN|3689VULN|4CGEN|589LIT|789DUR|89BPWR|aTLV
45	51261 32235	3	   	253.22	ACR|4VULN|3DUR|1TLV|3LIT	1RCR|2RMIN|3689VULN|4CGEN|589LIT|789DUR|89BPWR|aTLV
46	51361 32235	2	   	253.22	ACR|4VULN|3DUR|1TLV|3LIT	1RCR|2RMIN|3689VULN|4CGEN|589LIT|789DUR|89BPWR|aTLV
47	25632 25223	5	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1RPLT|27DUR|356VULN|4CDMG|8ASPD|9TLV|aRCR
48	25633 22223	5	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1RPLT|25DUR|367VULN|4CDMG|8ASPD|9TLV|aRCR
49	25633 23133	5	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1RPLT|25DUR|369VULN|4CDMG|7TLV|8ASPD|aRCR
50	25635 22223	4	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1RPLT|25DUR|367VULN|4CDMG|8ASPD|9TLV|aRCR
51	25635 23133	4	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1RPLT|25DUR|369VULN|4CDMG|7TLV|8ASPD|aRCR
52	63216 32633	5	 * 	252.71	DCR|3VULN|3DUR|1TLV	139BEXP|2LIT|469VULN|579DUR|8RCR|9BPWR|aTLV
53	22635 32432	10	 * 	252.68	DCR|4VULN|3ASPD|1DMG|1CDMG	1RPLT|29aLHND|379aVULN|4CDMG|5DMG|6RCR|89aASPD|9aBPWR
54	13416 32633	5	   	252.41	DCR|3VULN|3DUR|1TLV	139DUST|2LIT|469VULN|579DUR|8RCR|9BPWR|aTLV
55	25641 32122	7	   	252.12	DCR|4VULN|2DUR|1TLV	1RPLT|24DUR|346aVULN|4BPWR|5LWND|7TLV|8RCR|9BEXP
56	25641 32132	7	   	252.12	DCR|4VULN|2DUR|1TLV	1RPLT|24DUR|346aVULN|4BPWR|5LWND|7TLV|8RCR|9FEWX
57	12213 16154	2	   	251.92	DCR|4VULN|2DUR|1TLV	19DUST|2TLV|3BELT|489aVULN|5TBNT|6RCR|79DUR|9BPWR
58	55631 32212	1	 * 	251.29	ACR|3VULN|2DMG|2DUR|1TLV|2LIT	1RCR|28DMG|38LIT|46aVULN|5TLV|78DUR|8BPWR|9BBNT
59	23314 13264	2	   	251.25	DCR|3VULN|2DMG|2ASPD|1CDMG|1AART	1RPLT|2aASPD|35aVULN|4CDMG|6LHND|7aDMG|8RCR|9AART|aBPWR
60	25332 22533	1	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1RPLT|2CDMG|3ZMB|4TLV|5679VULN|8DUR|aRCR
61	23563 31331	10	 * 	250.90	DCR|2VULN|2DUR|1TLV|2CDMG|2ASPD	1RPLT|2aASPD|3TLV|4aCDMG|57DUR|6LIT|8RCR|9aVULN|aBPWR
62	51231 22432	10	 * 	250.69	ACR|4VULN|3DUR|3ASPD|1DMG	1RCR|2RMIN|379aVULN|49aDUR|5DUST|6DMG|89aASPD|9aBPWR
63	25213 32223	7	   	250.68	DCR|3VULN|2DMG|2DUR|1SELL	1RPLT|29DUR|3ASPD|479VULN|5DMSP|6SELL|89DMG|9BPWR|aRCR
64	25214 32223	7	   	250.68	DCR|3VULN|2DMG|2DUR|1SELL	15RPLT|29DUR|3ASPD|479VULN|6SELL|89DMG|9BPWR|aRCR
65	25212 62123	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|3RCVC|457VULN|6DUR|8DMG|9TLV|aRCR
66	25232 22123	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RPLT|2CDMG|3RCVC|4DUR|567VULN|8DMG|9TLV|aRCR
67	13322 53622	10	 * 	249.44	DCR|5VULN|3LIT|1DUR	178DUST|278LIT|3ERES|4DUR|56789VULN|78BPWR|aRCR
68	23313 61163	7	 * 	248.61	DCR|3VULN|2DUR|3ASPD|1DMG	1RPLT|248ASPD|3ZMB|589VULN|68DUR|7RCR|8BPWR|aDMG
69	55215 32231	1	 * 	247.61	ACR|3VULN|3DMG|3DUR	1RCR|289DMG|3RCVC|489VULN|5CGEN|6LIT|789DUR|89BPWR|aDUST
70	55215 32232	1	   	247.61	ACR|3VULN|3DMG|3DUR	1RCR|289DMG|3RCVC|489VULN|5CGEN|6LIT|789DUR|89BPWR|aTBNT
71	55215 32233	1	   	247.61	ACR|3VULN|3DMG|3DUR	1RCR|289DMG|3RCVC|489VULN|5CGEN|6LIT|789DUR|89BPWR|aBBNT
72	16234 23311	2	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	18DUST|258VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|9FEWX|aAART
73	16245 23311	2	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	18DUST|248VULN|3TLV|5CGEN|6RCR|78DMG|8BPWR|9FEWX|aAART
74	22644 32113	7	   	247.20	DCR|4VULN|1TLV|1DUR|1AART	1RPLT|24LHND|346aVULN|4BPWR|5DUR|7TLV|8RCR|9AART
75	16344 32113	7	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	14DUST|246aVULN|3RPLT|4BPWR|5DUR|7TLV|8RCR|9AART
76	16345 31113	7	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	14DUST|246aVULN|3RPLT|4BPWR|5TLV|7DUR|8RCR|9AART
77	21644 32113	7	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1RPLT|24DUST|346aVULN|4BPWR|5DUR|7TLV|8RCR|9AART
78	21645 31113	7	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1RPLT|24DUST|346aVULN|4BPWR|5TLV|7DUR|8RCR|9AART
79	25633 22153	5	   	246.79	DCR|3VULN|2DUR|1DMG|1CDMG	1RPLT|25DUR|367VULN|4CDMG|8DMG|9ASPD|aRCR
80	23562 23333	4	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1RPLT|2ASPD|37TLV|4CDMG|569VULN|8DUR|aRCR
81	25532 23333	1	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1RPLT|2CDMG|3ASPD|47TLV|569VULN|8DUR|aRCR
82	25632 23353	5	   	246.43	DCR|3VULN|2TLV|1DUR|1CDMG	1RPLT|2DUR|356VULN|4CDMG|78TLV|9ASPD|aRCR
83	25633 42123	6	 * 	246.31	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1RPLT|25DUR|37VULN|46CDMG|8DMG|9TLV|aRCR
84	25151 23243	2	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1RPLT|2DUR|35aVULN|4AART|6RMIN|7RCR|8TLV|9DMG
85	16234 23362	2	   	246.10	DCR|3VULN|2DMG|1TLV	18DUST|258VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|9LIT|aLWND
86	16234 23363	2	   	246.10	DCR|3VULN|2DMG|1TLV	18DUST|258VULN|3TLV|4MLV|6RCR|78DMG|8BPWR|9LIT|aRCVC
87	63532 52311	9	   	246.10	DCR|3VULN|2DMG|1TLV	1BEXP|2LIT|346VULN|57DMG|8FEWX|9RCR|aTLV
88	13411 55122	7	   	246.06	DCR|4VULN|1DMG|1DUR|2LIT	13DUST|26LIT|4567VULN|6BPWR|8RCR|9DMG|aDUR
89	16264 23113	2	   	246.00	DCR|3VULN|2DMG|1TLV	1DUST|25aVULN|3TLV|47DMG|6RCR|8ASPD|9FEWX
90	16264 23123	2	   	246.00	DCR|3VULN|2DMG|1TLV	1DUST|25aVULN|3TLV|47DMG|6RCR|8ASPD|9LWND
91	16264 23133	2	   	246.00	DCR|3VULN|2DMG|1TLV	1DUST|259VULN|3TLV|47DMG|6RCR|8ASPD|aZMB
92	16264 23223	2	   	246.00	DCR|3VULN|2DMG|1TLV	1DUST|25aVULN|3TLV|47DMG|6RCR|8BEXP|9LIT
93	16234 23361	3	   	246.00	DCR|3VULN|2DMG|1TLV	18DUST|258VULN|3ERES|4MLV|6RCR|78DMG|8BPWR|9LIT|aTLV
94	16245 23333	2	   	246.00	DCR|3VULN|2DMG|1TLV	18DUST|248VULN|3TLV|5CGEN|6RCR|78DMG|8BPWR|9BBNT|aLIT
95	25352 22523	1	   	245.98	DCR|4VULN|2DUR|2CDMG	1RPLT|29CDMG|3ZMB|4RMIN|5679VULN|89DUR|9BPWR|aRCR
96	16264 23131	2	   	245.90	DCR|3VULN|2DMG|1TLV	1DUST|259VULN|3TLV|47DMG|6RCR|8ASPD|aTBNT
97	16264 23132	2	   	245.90	DCR|3VULN|2DMG|1TLV	1DUST|259VULN|3TLV|47DMG|6RCR|8ASPD|aERES
98	25222 22623	1	   	245.88	DCR|4VULN|2DUR|2CDMG	1RPLT|29CDMG|3RCVC|4MBVNT|5679VULN|89DUR|9BPWR|aRCR
99	16234 23322	2	   	245.87	DCR|3VULN|2DMG|2TLV	18DUST|258VULN|3aTLV|4MLV|6RCR|78DMG|8BPWR|9LWND
100	16234 23342	2	   	245.87	DCR|3VULN|2DMG|2TLV	18DUST|258VULN|3aTLV|4MLV|6RCR|78DMG|8BPWR|9LHND
101	16234 23352	2	   	245.77	DCR|3VULN|2DMG|2TLV	18DUST|258VULN|3aTLV|4MLV|6RCR|78DMG|8BPWR|9LEGI
