0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65213 41131	7	 * 	299.45	DCR|4VULN|3DMG|1DUR|1CDMG	18aFEWX|2DUR|368aVULN|4CDMG|5LIT|78aDMG|8aBPWR|9RCR
30	65213 11131	7	   	276.81	DCR|3VULN|3DMG|1DUR|1CDMG	18aFEWX|2DUR|38aVULN|4CDMG|5LIT|6RCVC|78aDMG|8aBPWR|9RCR
31	65213 14131	6	   	276.81	DCR|3VULN|3DMG|1DUR|1CDMG	18aFEWX|2DUR|38aVULN|4CDMG|5LIT|6RCVC|78aDMG|8aBPWR|9RCR
32	32131 41121	2	   	276.22	DCR|4VULN|2DMG|2DUR	168MLV|27DMG|348aVULN|58DUR|8BPWR|9RCR
33	32211 41121	4	   	276.22	DCR|4VULN|2DMG|2DUR	168MLV|27DMG|348aVULN|58DUR|8BPWR|9RCR
34	32215 11112	6	   	276.22	DCR|4VULN|2DMG|2DUR	18MLV|27DMG|3468VULN|58DUR|8BPWR|9RCR|aLHND
35	32215 11114	6	   	276.22	DCR|4VULN|2DMG|2DUR	18MLV|27DMG|3468VULN|58DUR|8BPWR|9RCR|aBEXP
36	32215 11115	6	   	276.22	DCR|4VULN|2DMG|2DUR	18MLV|27DMG|3468VULN|58DUR|8BPWR|9RCR|aDMSP
37	32215 11145	6	   	276.22	DCR|4VULN|2DMG|2DUR	18MLV|27DMG|3468VULN|58DUR|8BPWR|9ZMB|aRCR
38	32215 41121	5	   	276.22	DCR|4VULN|2DMG|2DUR	168MLV|27DMG|348aVULN|58DUR|8BPWR|9RCR
39	32231 41121	3	   	276.22	DCR|4VULN|2DMG|2DUR	168MLV|27DMG|348aVULN|58DUR|8BPWR|9RCR
40	32215 11113	6	   	276.12	DCR|4VULN|2DMG|2DUR	18MLV|27DMG|3468VULN|58DUR|8BPWR|9RCR|aBBNT
41	32215 11135	6	   	276.12	DCR|4VULN|2DMG|2DUR	18MLV|27DMG|3468VULN|58DUR|8BPWR|9ERES|aRCR
42	32215 16111	7	   	274.89	DCR|4VULN|2DUR|1DMG|1TLV	18MLV|2DMG|3468VULN|58DUR|7DMSP|8BPWR|9RCR|aTLV
43	32255 15111	6	   	274.89	DCR|4VULN|2DUR|1DMG|1TLV	18MLV|2DMG|3678VULN|4RCVC|58DUR|8BPWR|9RCR|aTLV
44	32215 14411	7	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1MLV|2DMG|3468VULN|57DUR|9RCR|aTLV
45	53511 21131	7	   	272.81	DCR|3VULN|3DMG|3CDMG|1NUKE	1NUKE|28aCDMG|38aVULN|4LIT|5BEXP|6RMIN|78aDMG|8aBPWR|9RCR
46	53511 24131	6	   	272.81	DCR|3VULN|3DMG|3CDMG|1NUKE	1NUKE|28aCDMG|38aVULN|4LIT|5BEXP|6RMIN|78aDMG|8aBPWR|9RCR
47	53511 34131	5	   	272.81	DCR|3VULN|3DMG|3CDMG|1NUKE	1NUKE|28aCDMG|38aVULN|4LIT|5BEXP|6RMIN|78aDMG|8aBPWR|9RCR
48	32135 11346	2	   	272.44	DCR|4VULN|2DMG|1TLV|1ASPD	1MLV|28DMG|3459VULN|6TLV|7RCR|aASPD
49	32215 11346	4	   	272.44	DCR|4VULN|2DMG|1TLV|1ASPD	1MLV|28DMG|3459VULN|6TLV|7RCR|aASPD
50	32235 11346	3	   	272.44	DCR|4VULN|2DMG|1TLV|1ASPD	1MLV|28DMG|3459VULN|6TLV|7RCR|aASPD
51	32215 11345	6	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1MLV|27DMG|3469VULN|5DUR|8ASPD|aRCR
52	32215 11416	6	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1MLV|27DMG|3468VULN|5DUR|9RCR|aASPD
53	32131 45126	2	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	168MLV|2DMG|3478VULN|58DUR|8BPWR|9RCR|aCDMG
54	32211 45126	4	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	168MLV|2DMG|3478VULN|58DUR|8BPWR|9RCR|aCDMG
55	32231 45126	3	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	168MLV|2DMG|3478VULN|58DUR|8BPWR|9RCR|aCDMG
56	22253 21221	3	   	272.22	DCR|4VULN|3LIT|2TLV|1CDMG|1ASPD	169LIT|29TLV|3ASPD|4CDMG|589aVULN|7RCR|9BPWR
57	21161 34131	2	   	272.12	DCR|3VULN|3DMG|3LIT|1CDMG	18aLIT|2BEXP|38aVULN|46FEWX|5CDMG|78aDMG|8aBPWR|9RCR
58	22355 61222	2	   	271.22	DCR|3VULN|2DMG|2TLV|2LIT|1CDMG	19LIT|29TLV|3CDMG|46DMG|589VULN|7RCR|9BPWR|aBELT
59	22355 61223	2	   	271.22	DCR|3VULN|2DMG|2TLV|2LIT|1CDMG	19LIT|29TLV|3CDMG|46DMG|589VULN|7RCR|9BPWR|aBEXP
60	32452 22223	2	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	13MLV|237DMG|3BPWR|4DUR|5TLV|68aVULN|9RCR
61	32255 11111	6	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	18MLV|27DMG|368VULN|4RCVC|58DUR|8BPWR|9RCR|aTLV
62	45521 23111	1	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|25DUR|3RCVC|468VULN|78MLV|8BPWR|9RCR|aTLV
63	32135 11624	2	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1MLV|2DMG|3459VULN|6TLV|7RCR|8AART|aDUR
64	32215 11624	4	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1MLV|2DMG|3459VULN|6TLV|7RCR|8AART|aDUR
65	32235 11624	3	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1MLV|2DMG|3459VULN|6TLV|7RCR|8AART|aDUR
66	32215 16116	7	   	269.64	DCR|4VULN|2DUR|1DMG|1ASPD	18MLV|2DMG|3468VULN|58DUR|7DMSP|8BPWR|9RCR|aASPD
67	32215 14511	8	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1MLV|28DMG|346VULN|57DUR|9RCR|aTLV
