0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12143 63213	8	 * 	285.51	DCR|4VULN|3DUR|1TLV|1DMG	17FEWX|278DUR|3DMG|4TLV|567aVULN|7BPWR|9RCR
71	22264 84435	8	 * 	258.01	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	17TLV|2RCVC|367VULN|4MBVNT|57CDMG|7BPWR|8DMG|9AART|aRCR
72	23253 63234	5	   	257.93	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	17TLV|2AART|39VULN|47LWND|57DUR|6RCR|7BPWR|8CDMG|aDMG
73	21443 32152	1	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	1TLV|2LWND|356VULN|49aDUR|7RCR|8CDMG
74	22433 32152	1	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	1TLV|29aDUR|356VULN|4LWND|7RCR|8CDMG
75	25333 32152	1	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	1TLV|256VULN|39aDUR|4LWND|7RCR|8CDMG
76	62314 12122	10	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	124DUR|3TLV|57aVULN|6CDMG|8FEWX|9RCR
77	62324 21513	6	 * 	257.84	ACR|3VULN|3DUR|2DMG|2TLV	127DUR|39TLV|4LWND|5RCR|69aVULN|89DMG|9BPWR
78	65334 22133	9	   	257.84	ACR|3VULN|3DUR|2DMG|2TLV	149DUR|29DMG|3LWND|5RCR|67aVULN|89TLV|9BPWR
79	12142 63513	10	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17FEWX|27DUR|35DMG|4TLV|67VULN|7BPWR|8CDMG|9RPLT|aRCR
80	21341 15334	1	   	257.51	DCR|2VULN|3DUR|2TLV|1DMG|1AART	17TLV|2LWND|347DUR|5AART|67VULN|7BPWR|8BEXP|9DMG|aRCR
81	12143 62234	6	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1FEWX|2DUR|3DMG|4TLV|567aVULN|8DMSP|9RCR
82	21443 31334	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|28LWND|356aVULN|4DUR|7DMG|9RCR
83	22433 31334	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2DUR|356aVULN|48LWND|7DMG|9RCR
84	22433 32514	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2DUR|356aVULN|4LWND|7RCR|8RCVC|9DMG
85	25333 31334	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|256aVULN|3DUR|48LWND|7DMG|9RCR
86	25333 32514	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|256aVULN|3DUR|4LWND|7RCR|8RCVC|9DMG
87	12142 63214	8	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	17FEWX|278DUR|35DMG|4TLV|67VULN|7BPWR|9RCR|aMLV
88	12142 63215	8	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	17FEWX|278DUR|35DMG|4TLV|67VULN|7BPWR|9RCR|aBEXP
89	12142 63216	8	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	17FEWX|278DUR|35DMG|4TLV|67VULN|7BPWR|9RCR|aLWND
90	22325 13235	1	 * 	257.31	DCR|2VULN|3DUR|2TLV|2CDMG|1AART	17TLV|237DUR|4AART|57CDMG|6RCR|7BPWR|8ERES|9aVULN
91	22354 13235	1	   	257.31	DCR|2VULN|3DUR|2TLV|2CDMG|1AART	17TLV|237DUR|47CDMG|5AART|6RCR|7BPWR|8ERES|9aVULN
92	62325 13235	3	   	257.31	DCR|2VULN|3DUR|2TLV|2CDMG|1AART	127DUR|37TLV|4AART|57CDMG|6RCR|7BPWR|8ERES|9aVULN
93	12142 63211	8	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	17FEWX|278DUR|35DMG|4TLV|67VULN|7BPWR|9RCR|aTBNT
94	12136 15413	7	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	1FEWX|246DUR|37DMG|5aVULN|8TLV|9RCR
95	12136 15413	8	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	1FEWX|246DUR|37DMG|5aVULN|8TLV|9RCR
96	12142 63222	9	   	257.11	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	17FEWX|278DUR|35DMG|4TLV|67VULN|7BPWR|9SELL|aRCR
97	61142 62213	8	   	257.06	DCR|2VULN|3DUR|2DMG|1TLV	178DUR|2DUST|35DMG|4TLV|6aVULN|9RCR
98	26133 63341	1	   	255.87	DCR|3VULN|2TLV|2DUR	18TLV|2LIT|348VULN|5ASPD|6ZMB|78DUR|8BPWR|9RMIN|aRCR
99	26133 63361	1	   	255.87	DCR|3VULN|2TLV|2DUR	18TLV|2LIT|348VULN|5ASPD|6ZMB|78DUR|8BPWR|9CGEN|aRCR
100	65112 63313	2	   	255.85	DCR|3VULN|3DUR|2DMG	178DUR|27DMG|35CGEN|4LHND|67aVULN|7BPWR|9RCR
101	65113 63313	2	   	255.85	DCR|3VULN|3DUR|2DMG	178DUR|27DMG|3CGEN|4LHND|5RCVC|67aVULN|7BPWR|9RCR
102	65136 22323	5	   	255.85	DCR|3VULN|3DUR|2DMG	148DUR|28DMG|3LHND|59aVULN|68ZMB|7RCR|8BPWR
103	65212 63313	3	   	255.85	DCR|3VULN|3DUR|2DMG	178DUR|27DMG|35CGEN|4LHND|67aVULN|7BPWR|9RCR
104	65213 63313	3	   	255.85	DCR|3VULN|3DUR|2DMG	178DUR|27DMG|3CGEN|4LHND|5RCVC|67aVULN|7BPWR|9RCR
105	61233 12511	1	   	255.85	DCR|3VULN|3DUR|2DMG	18aDUR|2RMIN|3FEWX|45aVULN|6RCVC|7RCR|9aDMG|aBPWR
106	61233 62511	1	   	255.85	DCR|3VULN|3DUR|2DMG	18aDUR|26RMIN|3FEWX|45aVULN|7RCR|9aDMG|aBPWR
107	23121 44611	2	   	255.78	DCR|3VULN|1TLV|2AART|1DUR|1CDMG	1TLV|25AART|3ASPD|4DUR|6RCR|79aVULN|8CDMG
108	23121 45111	2	   	255.78	DCR|3VULN|1TLV|2AART|1DUR|1CDMG	1TLV|25AART|3ASPD|4DUR|6RCR|7CDMG|89aVULN
109	15532 63213	8	   	255.75	DCR|3VULN|3DUR|2DMG	17FEWX|27DMG|348DUR|5ERES|67aVULN|7BPWR|9RCR
110	65132 63213	5	   	255.75	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|38LHND|5ERES|67aVULN|7BPWR|9RCR
111	22433 32344	1	 * 	255.68	DCR|5VULN|1TLV|1DUR	1TLV|2DUR|3569aVULN|4LWND|7RCR|8DUST
112	25333 32344	1	   	255.68	DCR|5VULN|1TLV|1DUR	1TLV|2569aVULN|3DUR|4LWND|7RCR|8DUST
113	22234 44123	3	   	255.53	DCR|3VULN|2DMG|3TLV|1AART	189TLV|2RCVC|379VULN|49DMG|5AART|6RCR|9BPWR|aDUST
