0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33182 61421	1	 * 	281.91	DCR|5VULN|2DMG|2DUR	1578aVULN|2MBVNT|38DUR|48DMG|6BELT|8BPWR|9RCR
37	31235 53622	1	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	178VULN|28DMG|348DUR|5AART|6TBNT|8BPWR|9ERES|aRCR
38	31415 11621	1	 * 	264.96	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	18VULN|268DMG|3TLV|45CDMG|78DUST|8BPWR|9DUR|aRCR
39	35412 53322	5	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	147VULN|2AART|3DUR|58DMG|6TBNT|9RCR|aTLV
40	33182 61422	1	   	263.57	DCR|4VULN|2DMG|2DUR	1578VULN|2MBVNT|38DUR|48DMG|6BELT|8BPWR|9RCR|aCGEN
41	33182 61424	1	   	263.57	DCR|4VULN|2DMG|2DUR	1578VULN|2MBVNT|38DUR|48DMG|6aBELT|8BPWR|9RCR
42	33182 61425	1	   	263.57	DCR|4VULN|2DMG|2DUR	1578VULN|2MBVNT|38DUR|48DMG|6BELT|8BPWR|9RCR|aFEWX
43	33182 61426	1	   	263.57	DCR|4VULN|2DMG|2DUR	1578VULN|2MBVNT|38DUR|48DMG|6BELT|8BPWR|9RCR|aDMSP
44	33188 61421	1	   	263.57	DCR|4VULN|2DMG|2DUR	178aVULN|2MBVNT|38DUR|48DMG|5RCVC|6BELT|8BPWR|9RCR
45	33182 61423	1	   	263.47	DCR|4VULN|2DMG|2DUR	1578VULN|2MBVNT|38DUR|48DMG|6BELT|8BPWR|9RCR|aERES
46	35412 12351	6	   	262.73	DCR|3VULN|1TLV|1DMG|1DUR|1AART	148VULN|2AART|3DUR|5DMG|6ASPD|7LIT|9RCR|aTLV
47	35413 12351	6	   	262.73	DCR|3VULN|1TLV|1DMG|1DUR|1AART	148VULN|2AART|3DUR|5ASPD|6DMG|7LIT|9RCR|aTLV
48	53362 21432	6	   	262.69	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1AART|2LIT|356VULN|46DUR|6BPWR|7TLV|8RCR|9CGEN|aCDMG
49	33274 24265	1	 * 	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	17aVULN|2MBVNT|3CDMG|47TLV|57DUR|6BBNT|7BPWR|8RCR|9AART
50	34323 38331	3	 * 	262.22	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|2RPLT|3MBVNT|49DMG|5LWND|6DUR|89TLV|9BPWR|aRCR
51	34324 38331	3	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|2RPLT|3MBVNT|49DMG|5LHND|6DUR|89TLV|9BPWR|aRCR
52	34382 14831	5	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	169VULN|2RPLT|3MBVNT|49TLV|5FEWX|7DUR|89DMG|9BPWR|aRCR
53	53362 25313	6	   	262.13	DCR|5VULN|2DUR|1AART	1AART|2LIT|3568aVULN|46DUR|6BPWR|7RCR|9ERES
54	34343 35831	3	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	149VULN|2RPLT|3MBVNT|5DUR|69TLV|7LEGI|89DMG|9BPWR|aRCR
55	21432 53335	9	 * 	261.82	DCR|3VULN|3DMG|3TLV	1DMSP|269TLV|3aZMB|4RCVC|59aVULN|79aDMG|8RCR|9aBPWR
56	52513 13622	1	   	261.78	DCR|4VULN|2DUR|1TLV|1AART	1AART|28DUR|3BBNT|4678VULN|58CGEN|8BPWR|9RCR|aTLV
57	35411 33622	4	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	1478VULN|2AART|38DUR|5BBNT|6RMIN|8BPWR|9RCR|aTLV
58	31121 23266	1	 * 	261.56	DCR|2VULN|3DMG|3DUR|2LIT	17VULN|279DMG|35LIT|4ERES|678DUR|7BPWR|aRCR
59	31232 53266	1	   	261.56	DCR|2VULN|3DMG|3DUR|2LIT	17VULN|279DMG|348DUR|5ERES|67LIT|7BPWR|aRCR
60	32464 24243	2	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2CDMG|37TLV|4MBVNT|57DUR|6BBNT|7BPWR|8RCR|9LIT
61	32467 24243	2	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2CDMG|37TLV|4MBVNT|5BBNT|67DUR|7BPWR|8RCR|9LIT
62	33274 24243	1	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2MBVNT|3CDMG|47TLV|57DUR|6BBNT|7BPWR|8RCR|9LIT
63	33277 24243	1	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2MBVNT|3CDMG|47TLV|5BBNT|67DUR|7BPWR|8RCR|9LIT
64	35431 63322	3	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	147VULN|2AART|34DUR|4BPWR|5BBNT|6MLV|8DMG|9RCR|aTLV
65	35412 53222	5	   	260.60	DCR|3VULN|2DUR|1TLV|1DMG|1AART	147VULN|2AART|38DUR|5DMG|6TBNT|9RCR|aTLV
66	35212 41323	6	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3BEXP|57DMG|67DUR|7BPWR|8LIT|9FEWX|aRCR
67	33132 61323	2	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	157VULN|2DUST|37DUR|47DMG|6AART|7BPWR|8LIT|9FEWX|aRCR
68	33325 61323	4	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2DUST|47DMG|5AART|67DUR|7BPWR|8LIT|9FEWX|aRCR
69	33366 61323	3	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2DUST|47DUR|57DMG|6AART|7BPWR|8LIT|9FEWX|aRCR
70	33532 61323	3	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	157VULN|2DUST|37DUR|47DMG|6AART|7BPWR|8LIT|9FEWX|aRCR
71	35512 41323	6	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3DUST|57DMG|67DUR|7BPWR|8LIT|9FEWX|aRCR
72	35512 61323	5	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3DUST|57DMG|67DUR|7BPWR|8LIT|9FEWX|aRCR
73	35112 41363	6	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3LHND|57DMG|67DUR|7BPWR|8LIT|9DUST|aRCR
74	35112 61363	5	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3LHND|57DMG|67DUR|7BPWR|8LIT|9DUST|aRCR
75	35212 41313	6	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3BEXP|57DMG|67DUR|7BPWR|8LIT|9LEGI|aRCR
76	35212 41363	6	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3BEXP|57DMG|67DUR|7BPWR|8LIT|9DUST|aRCR
77	34133 46211	1	   	260.41	DCR|5VULN|2DUR|2ASPD	12479VULN|3BBNT|49BPWR|59DUR|69ASPD|8RCR|aLWND
78	34133 46213	1	   	260.41	DCR|5VULN|2DUR|2ASPD	12479VULN|3BBNT|49BPWR|59DUR|69ASPD|8RCR|aRCVC
79	33132 61313	2	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	157VULN|2DUST|37DUR|47DMG|6AART|7BPWR|8LIT|9LEGI|aRCR
80	33325 61313	4	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2DUST|47DMG|5AART|67DUR|7BPWR|8LIT|9LEGI|aRCR
81	33366 61313	3	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2DUST|47DUR|57DMG|6AART|7BPWR|8LIT|9LEGI|aRCR
82	33532 61313	3	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	157VULN|2DUST|37DUR|47DMG|6AART|7BPWR|8LIT|9LEGI|aRCR
83	35512 41313	6	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3DUST|57DMG|67DUR|7BPWR|8LIT|9LEGI|aRCR
84	35512 61313	5	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3DUST|57DMG|67DUR|7BPWR|8LIT|9LEGI|aRCR
85	34336 34341	3	 * 	260.20	DCR|4VULN|2TLV|2DUR	1589VULN|2RPLT|3MBVNT|4FEWX|68TLV|78DUR|8BPWR|aRCR
86	12141 37642	4	   	259.96	DCR|4VULN|2TLV|2DUR|1SELL	1SELL|27DUR|3LWND|4MBVNT|579aVULN|67TLV|7BPWR|8RCR
87	33562 22332	10	   	259.81	DCR|4VULN|1DMG|1DUR|2LIT|1CDMG	156aVULN|2DUST|3DUR|45LIT|5BPWR|7DMG|8RCR|9CDMG
88	53322 21453	6	   	259.32	DCR|4VULN|1TLV|1DMG|1AART	1AART|2LIT|356aVULN|46FEWX|6BPWR|7TLV|8RCR|9DMG
89	34131 41432	1	   	259.30	DCR|4VULN|1TLV|1DUR|1CDMG	1245VULN|3BBNT|4BPWR|6RCR|7LIT|8DUR|9TLV|aCDMG
90	34384 18431	4	 * 	259.22	DCR|3VULN|2TLV|2DUR|1DMG	179VULN|2RPLT|3MBVNT|49TLV|5DMG|6LHND|89DUR|9BPWR|aRCR
91	34322 88431	3	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	179VULN|2RPLT|3MBVNT|4DMG|59TLV|6LEGI|89DUR|9BPWR|aRCR
92	31121 23551	1	   	258.79	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	17VULN|27DMG|35LIT|4ERES|67DUR|7BPWR|8DLOT|9RCR|aTLV
93	31232 53551	1	   	258.79	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	17VULN|27DMG|34DUR|5ERES|67LIT|7BPWR|8DLOT|9RCR|aTLV
94	35112 36142	10	   	258.55	DCR|4VULN|2DMG|1DUR|1AART	1468VULN|2AART|3LHND|57DMG|9DUR|aRCR
95	35212 43222	10	   	258.55	DCR|4VULN|2DMG|1DUR|1AART	1479VULN|2AART|3BEXP|58DMG|6DUR|aRCR
96	35412 35222	10	   	258.55	DCR|4VULN|2DMG|1DUR|1AART	1469VULN|2AART|3DUR|58DMG|7BEXP|aRCR
97	35412 36112	10	   	258.45	DCR|4VULN|2DMG|1DUR|1AART	1468VULN|2AART|3DUR|57DMG|9DUST|aRCR
98	26342 14211	3	   	258.27	DCR|3VULN|3DMG|2DUR	1DMSP|269DMG|3RCVC|4BBNT|569VULN|69BPWR|79DUR|8RCR|aCGEN
99	26342 14212	3	   	258.27	DCR|3VULN|3DMG|2DUR	1DMSP|269DMG|3RCVC|4BBNT|569VULN|69BPWR|79DUR|8RCR|aFEWX
100	26352 14211	3	   	258.27	DCR|3VULN|3DMG|2DUR	1DMSP|269DMG|3RCVC|4TBNT|569VULN|69BPWR|79DUR|8RCR|aCGEN
101	26352 14212	3	   	258.27	DCR|3VULN|3DMG|2DUR	1DMSP|269DMG|3RCVC|4TBNT|569VULN|69BPWR|79DUR|8RCR|aFEWX
102	12422 53316	2	   	258.19	DCR|3DMG|1VULN|2DUR|1TLV|2LIT|1CDMG|1SELL	1SELL|27DUR|3TLV|467DMG|57LIT|7BPWR|8CDMG|9VULN|aRCR
103	53362 26333	8	   	257.76	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1AART|28LIT|356VULN|46DUR|6BPWR|7DMG|9ASPD|aRCR
104	32121 24425	1	 * 	257.74	ACR|3VULN|3DUR|2DMG|2TLV	15aVULN|2RCR|369DUR|4DUST|7aTLV|8aDMG|aBPWR
105	53322 21433	6	 * 	257.60	DCR|5VULN|1TLV|1AART	1AART|2LIT|3569aVULN|46FEWX|6BPWR|7TLV|8RCR
106	53322 25363	6	   	257.60	DCR|5VULN|1TLV|1AART	1AART|2LIT|3568aVULN|46FEWX|6BPWR|7RCR|9TLV
107	35413 36111	7	   	257.57	DCR|4VULN|1DMG|1DUR|1AART	1468VULN|2AART|3DUR|5ASPD|7DMG|9RCR|aLIT
108	35413 36311	8	   	257.57	DCR|4VULN|1DMG|1DUR|1AART	1468VULN|2AART|3DUR|5ASPD|7DMG|9RCR|aLIT
109	53362 25322	6	   	257.44	DCR|4VULN|2DUR|1CDMG|1AART	1AART|2LIT|3568VULN|46DUR|6BPWR|7RCR|9LEGI|aCDMG
110	53362 21251	8	   	257.35	DCR|3VULN|2DUR|1TLV|1AART	1AART|2LIT|356VULN|46DUR|6BPWR|7ASPD|8ZMB|9RCR|aTLV
111	53362 21251	7	   	257.35	DCR|3VULN|2DUR|1TLV|1AART	1AART|2LIT|356VULN|46DUR|6BPWR|7ASPD|8CGEN|9RCR|aTLV
112	53362 21521	9	   	257.35	DCR|3VULN|2DUR|1TLV|1AART	1AART|2LIT|356VULN|46DUR|6BPWR|7ASPD|8RMIN|9RCR|aTLV
113	31121 23554	1	   	257.28	DCR|3VULN|2DMG|2DUR|2LIT	17aVULN|27DMG|35LIT|4ERES|67DUR|7BPWR|8DLOT|9RCR
114	33562 22313	10	   	257.28	DCR|3VULN|2DMG|2DUR|2LIT	156VULN|2DUST|39DUR|45LIT|5BPWR|7aDMG|8RCR
115	34122 61341	2	   	257.25	DCR|4VULN|2DMG|2LIT|1AART	147aVULN|2RPLT|3AART|5aLIT|6aDMG|8RCR|9TBNT|aBPWR
116	35116 61313	3	   	256.47	DCR|2VULN|3DMG|3DUR|1AART	17VULN|2AART|3LHND|457DMG|679DUR|7BPWR|8ZMB|aRCR
117	33562 22336	10	   	256.34	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	156VULN|2DUST|3DUR|45LIT|5BPWR|7aDMG|8RCR|9CDMG
118	32344 71138	7	 * 	256.11	DCR|3VULN|2DMG|2CDMG|1DUR	179VULN|27CDMG|3DUST|4MBVNT|5LIT|67DMG|7BPWR|8DUR|aRCR
119	32344 71238	8	   	256.11	DCR|3VULN|2DMG|2CDMG|1DUR	179VULN|27CDMG|3DUST|4MBVNT|5LIT|67DMG|7BPWR|8DUR|aRCR
120	33562 22313	8	   	255.82	DCR|4VULN|1DMG|1DUR|2LIT|1AART	1569VULN|2DUST|3DUR|45LIT|5BPWR|7DMG|8RCR|aAART
121	53362 21421	6	   	255.59	DCR|3VULN|2DUR|1TLV|2LIT|1AART	1AART|2aLIT|356VULN|46DUR|6BPWR|7TLV|8RCR|9FEWX
122	53362 21433	6	   	255.59	DCR|3VULN|2DUR|1TLV|2LIT|1AART	1AART|2aLIT|356VULN|46DUR|6BPWR|7TLV|8RCR|9CGEN
123	53322 21536	6	   	255.51	DCR|4VULN|1TLV|1DUR|1AART	1AART|2LIT|3569VULN|46FEWX|6BPWR|7TLV|8DUR|aRCR
124	35362 25321	6	   	255.49	DCR|3VULN|2DUR|1TLV|2LIT|1AART	158VULN|2AART|36LIT|46DUR|6BPWR|7RCR|9LEGI|aTLV
125	53362 21411	6	   	255.49	DCR|3VULN|2DUR|1TLV|2LIT|1AART	1AART|2aLIT|356VULN|46DUR|6BPWR|7TLV|8RCR|9LEGI
126	35431 13323	3	   	255.44	DCR|4VULN|2DUR|1DMG|1AART	147aVULN|2AART|34DUR|4BPWR|5BBNT|6ERES|8DMG|9RCR
127	35431 21323	3	   	255.44	DCR|4VULN|2DUR|1DMG|1AART	146aVULN|2AART|34DUR|4BPWR|5BBNT|7ERES|8DMG|9RCR
128	35436 11323	3	   	255.44	DCR|4VULN|2DUR|1DMG|1AART	145aVULN|2AART|34DUR|4BPWR|6BBNT|7ERES|8DMG|9RCR
129	35116 26321	9	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1468VULN|2AART|3LHND|5DUR|7LIT|9RCR|aTLV
130	35421 14222	10	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1789VULN|2AART|3DUR|4ASPD|5TLV|6MLV|aRCR
131	35421 24222	10	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1689VULN|2AART|3DUR|4ASPD|5TLV|7CGEN|aRCR
132	33314 21651	9	   	255.31	DCR|4VULN|1TLV|1DUR|1AART	1367VULN|2DUST|4LIT|5DUR|8RCR|9AART|aTLV
133	35362 63321	9	   	255.31	DCR|4VULN|1TLV|1DUR|1AART	1578VULN|2AART|3LIT|4DUR|6DUST|9RCR|aTLV
134	53362 63321	9	   	255.31	DCR|4VULN|1TLV|1DUR|1AART	1AART|2LIT|3578VULN|4DUR|6DUST|9RCR|aTLV
135	34133 44211	1	   	255.30	DCR|4VULN|3DUR|2ASPD	1249VULN|3BBNT|49BPWR|579DUR|69ASPD|8RCR|aMLV
136	34133 44213	1	   	255.30	DCR|4VULN|3DUR|2ASPD	1249VULN|3BBNT|49BPWR|579DUR|69ASPD|8RCR|aDMSP
137	34133 44212	1	   	255.20	DCR|4VULN|3DUR|2ASPD	1249VULN|3BBNT|49BPWR|579DUR|69ASPD|8RCR|aTBNT
138	31124 23246	1	   	255.19	DCR|2VULN|3DMG|2DUR|1CDMG|1SELL	17VULN|257DMG|3LIT|4ERES|67DUR|7BPWR|8CDMG|9SELL|aRCR
139	31122 63643	1	   	255.02	DCR|2VULN|3DMG|3DUR	17VULN|279DMG|3LIT|4ERES|567DUR|7BPWR|8LWND|aRCR
140	31122 13266	1	   	255.02	DCR|2VULN|3DMG|3DUR	17VULN|279DMG|3LIT|4ERES|578DUR|6RCVC|7BPWR|aRCR
141	31122 63143	1	   	254.92	DCR|2VULN|3DMG|3DUR	17VULN|279DMG|3LIT|4ERES|567DUR|7BPWR|8DUST|aRCR
142	31122 63366	1	   	254.92	DCR|2VULN|3DMG|3DUR	17VULN|279DMG|3LIT|48ERES|567DUR|7BPWR|aRCR
143	33321 33431	7	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	139aVULN|2DUST|4DMG|5ZMB|6TLV|7CDMG|8RCR
144	32252 43235	10	 * 	254.59	DCR|2VULN|2TLV|2DUR|1DMG|2CDMG	1aVULN|29CDMG|3RMIN|4aDUR|5LWND|6DMG|7aTLV|8RCR|aBPWR
145	35416 21313	3	   	254.56	DCR|2VULN|3DMG|1TLV|1DUR|1AART	17VULN|2AART|3DUR|457DMG|678DUST|7BPWR|9TLV|aRCR
146	32245 33236	4	   	254.53	DCR|4VULN|2DUR|2LIT|1CDMG	1578VULN|2CDMG|3RMIN|47LIT|67DUR|7BPWR|9CGEN|aRCR
147	35412 31251	6	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	146VULN|2AART|3DUR|5DMG|7LIT|8CGEN|9RCR|aTLV
148	32256 32111	5	   	254.37	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	19VULN|2CDMG|3RMIN|489DUR|5MBVNT|6AART|79DMG|9BPWR|aRCR
149	32268 32111	3	   	254.37	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	19VULN|2CDMG|3RMIN|4MBVNT|589DUR|6AART|79DMG|9BPWR|aRCR
150	33248 32111	1	   	254.37	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	19VULN|2MBVNT|3CDMG|4RMIN|589DUR|6AART|79DMG|9BPWR|aRCR
151	34512 16331	4	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	189VULN|2RPLT|39DMG|4DUR|5TLV|69LHND|7RCR|9BPWR|aZMB
152	34336 34831	3	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	159VULN|2RPLT|3MBVNT|49FEWX|6TLV|7DUR|89DMG|9BPWR|aRCR
153	34512 16332	4	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	189VULN|2RPLT|39DMG|4DUR|5TLV|69LHND|7RCR|9BPWR|aMBVNT
154	35412 36333	8	   	254.11	DCR|3VULN|2DMG|1DUR|1AART	146VULN|2AART|3DUR|57DMG|8LIT|9ASPD|aRCR
155	34133 11313	1	   	254.00	DCR|4VULN|3DUR|2LIT	1248VULN|3BBNT|48BPWR|568DUR|78LIT|9RMIN|aRCR
156	34133 11326	1	   	253.90	DCR|4VULN|3DUR|2LIT	1248VULN|3BBNT|48BPWR|568DUR|78LIT|9ERES|aRCR
157	33325 43464	10	   	253.84	DCR|3VULN|2DMG|1TLV|1DUR	139VULN|2DUST|47DMG|5MBVNT|6DUR|8TLV|aRCR
158	35431 11262	3	 * 	253.76	DCR|3VULN|3DUR|1TLV|1AART	148VULN|2AART|347DUR|4BPWR|5BBNT|6ERES|9TLV|aRCR
159	35431 13262	3	   	253.76	DCR|3VULN|3DUR|1TLV|1AART	147VULN|2AART|348DUR|4BPWR|5BBNT|6ERES|9TLV|aRCR
160	35431 21262	3	   	253.76	DCR|3VULN|3DUR|1TLV|1AART	146VULN|2AART|348DUR|4BPWR|5BBNT|7ERES|9TLV|aRCR
161	34512 16333	3	   	253.64	DCR|3VULN|3DMG|1TLV	189VULN|2RPLT|39aDMG|4LWND|5TLV|69LHND|7RCR|9BPWR
162	31235 53322	1	   	253.49	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17VULN|28DMG|34DUR|5AART|6TBNT|9RCR|aTLV
163	35412 51322	5	   	253.49	DCR|2VULN|2DMG|2DUR|1TLV|1AART	14VULN|2AART|37DUR|58DMG|6TBNT|9RCR|aTLV
164	35112 11243	5	   	253.35	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3LHND|57aDMG|67FEWX|7BPWR|8DUR|9RCR
165	35112 41243	5	   	253.35	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3LHND|57aDMG|67BEXP|7BPWR|8DUR|9RCR
166	35212 11225	5	   	253.35	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3BEXP|57aDMG|67FEWX|7BPWR|8DUR|9RCR
167	21121 31633	8	   	253.28	DCR|2VULN|3DMG|2TLV|1DUR	1DMSP|29TLV|39VULN|4DUR|5RPLT|6RCR|7FEWX|89aDMG|9BPWR
