0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35242 51222	9	 * 	283.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1CGEN|28aVULN|3TLV|4DMG|58DUR|6ASPD|78CDMG|8BPWR|9RCR
18	32225 36351	10	   	272.32	DCR|4VULN|2CDMG|1DMG|1DUR	17CGEN|2DUR|3478VULN|57CDMG|6RCR|7BPWR|9DMG|aLIT
19	21116 11434	7	   	272.22	DCR|4VULN|2TLV|1DMG|1DUR	1BELT|2LIT|3467VULN|56TLV|6BPWR|8DMG|9RCR|aDUR
20	21116 12434	6	   	272.22	DCR|4VULN|2TLV|1DMG|1DUR	1BELT|2LIT|3467VULN|56TLV|6BPWR|8DMG|9RCR|aDUR
21	32225 33355	10	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1CGEN|2aDUR|3478VULN|5CDMG|6RCR|9DMG
22	32235 33356	10	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1CGEN|24DUR|378aVULN|5CDMG|6RCR|9DMG
23	32633 36326	9	   	272.04	DCR|4VULN|2DUR|1DMG|1CDMG|1SELL	17CGEN|27DUR|3SELL|4578VULN|6RCR|7BPWR|9CDMG|aDMG
24	32633 36544	7	 * 	271.72	DCR|4VULN|3DUR|1DMG|1SELL	179CGEN|279DUR|3SELL|4579VULN|6RCR|79BPWR|8MBVNT|aDMG
25	32633 36323	9	 * 	271.52	DCR|5VULN|2DUR|1CDMG|1SELL	17CGEN|27DUR|3SELL|4578aVULN|6RCR|7BPWR|9CDMG
26	21223 11661	6	   	271.25	DCR|4VULN|2DMG|2LIT|1ASPD	1BELT|2aLIT|3ASPD|478aVULN|5RMIN|6aDMG|9RCR|aBPWR
27	16135 22422	2	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1BEXP|28aVULN|3TLV|4DUR|58DMG|6LWND|78LIT|8BPWR|9RCR
28	16135 12422	2	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1BEXP|28aVULN|3TLV|4DUR|58DMG|6DUST|78LIT|8BPWR|9RCR
29	33263 51222	9	   	269.97	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1CGEN|28DMG|3LWND|4TLV|58aVULN|6ASPD|78CDMG|8BPWR|9RCR
30	43263 51222	9	   	269.87	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1ERES|28DMG|3LWND|4TLV|58aVULN|6ASPD|78CDMG|8BPWR|9RCR
31	21126 11634	8	   	269.81	DCR|4VULN|2TLV|1DUR|2LIT|1ASPD	1BELT|24LIT|3467VULN|46BPWR|56TLV|8ASPD|9RCR|aDUR
32	22262 45332	10	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV|1NUKE	1BELT|2NUKE|38DUR|458VULN|68DMG|7RCR|8BPWR|9DMSP|aTLV
33	23525 12464	1	 * 	269.55	DCR|3VULN|3DUR|3ASPD|1AART	1BELT|2AART|38aASPD|48aVULN|5MBVNT|68aDUR|7TBNT|8aBPWR|9RCR
34	23642 42464	1	   	269.55	DCR|3VULN|3DUR|3ASPD|1AART	1BELT|2AART|38aVULN|48aDUR|5MBVNT|68aASPD|7TBNT|8aBPWR|9RCR
35	51342 14232	6	 * 	269.54	DCR|4VULN|2DUR|2TLV|1ASPD	1RMIN|28DUR|3RPLT|4ASPD|58TLV|678aVULN|8BPWR|9RCR
36	32225 36322	9	 * 	269.53	DCR|5VULN|3CDMG|1DUR	17CGEN|2DUR|3478aVULN|579CDMG|6RCR|7BPWR
37	32633 36352	10	   	269.40	DCR|4VULN|2DUR|1DMG|1ASPD|1SELL	17CGEN|27DUR|3SELL|4578VULN|6RCR|7BPWR|9DMG|aASPD
38	33312 26653	8	 * 	269.14	DCR|3VULN|3DMG|2DUR	19CGEN|279DMG|368VULN|4ERES|59DUR|9BPWR|aRCR
39	43343 61323	7	 * 	269.05	DCR|4VULN|3DMG	1ERES|24aDMG|3569VULN|7LIT|8RCR
40	43433 61323	7	   	269.05	DCR|4VULN|3DMG	13ERES|23aDMG|3BPWR|4569VULN|7LIT|8RCR
41	22262 45332	8	   	269.04	DCR|3VULN|3DMG|2DUR|1NUKE	1BELT|2NUKE|38DUR|458VULN|68aDMG|7RCR|8BPWR|9BBNT
42	32225 33352	10	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1CGEN|2DUR|3478VULN|5CDMG|6RCR|9DMG|aASPD
43	21126 11451	10	 * 	267.11	DCR|5VULN|3LIT|2TLV	1BELT|248LIT|3467aVULN|46BPWR|56TLV|9RCR
44	32235 33353	10	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1CGEN|24DUR|378VULN|5CDMG|6RCR|9aDMG
45	21116 11433	7	   	266.98	DCR|4VULN|2TLV|1DMG|1ASPD	1BELT|2LIT|3467VULN|56TLV|6BPWR|8DMG|9RCR|aASPD
46	21116 12433	6	   	266.98	DCR|4VULN|2TLV|1DMG|1ASPD	1BELT|2LIT|3467VULN|56TLV|6BPWR|8DMG|9RCR|aASPD
47	32235 36352	10	   	266.96	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	17CGEN|24DUR|378VULN|57CDMG|6RCR|7BPWR|9DMG|aASPD
48	22262 45323	9	 * 	266.71	DCR|3VULN|3DUR|2DMG|1NUKE	1BELT|2NUKE|38aDUR|458VULN|68DMG|7RCR|8BPWR|9BEXP
49	22262 45323	10	   	266.71	DCR|3VULN|3DUR|2DMG|1NUKE	1BELT|2NUKE|38aDUR|458VULN|68DMG|7RCR|8BPWR|9BEXP
50	32222 36366	5	   	266.71	DCR|3VULN|3DUR|2DMG	1aCGEN|256DUR|34aVULN|7BBNT|8RCR|9aDMG|aBPWR
51	32232 16366	5	   	266.71	DCR|3VULN|3DUR|2DMG	1aCGEN|245DUR|36aVULN|7BBNT|8RCR|9aDMG|aBPWR
52	32633 36351	10	   	266.70	DCR|4VULN|2DUR|1DMG|1SELL	17CGEN|27DUR|3SELL|4578VULN|6RCR|7BPWR|9DMG|aLIT
53	16633 25212	8	   	266.64	DCR|5VULN|1DUR|1CDMG|1AART	1BEXP|23589VULN|4DUR|6RCR|7AART|aCDMG
54	16633 33112	6	   	266.64	DCR|5VULN|1DUR|1CDMG|1AART	1BEXP|23579VULN|4DUR|6AART|8RCR|aCDMG
55	22262 45313	10	   	266.61	DCR|3VULN|3DUR|2DMG|1NUKE	1BELT|2NUKE|38aDUR|458VULN|68DMG|7RCR|8BPWR|9DUST
56	22262 45313	9	   	266.61	DCR|3VULN|3DUR|2DMG|1NUKE	1BELT|2NUKE|38aDUR|458VULN|68DMG|7RCR|8BPWR|9DUST
57	22262 45331	8	   	266.61	DCR|3VULN|3DUR|2DMG|1NUKE	1BELT|2NUKE|38aDUR|458VULN|68DMG|7RCR|8BPWR|9BBNT
58	35242 51223	9	   	265.96	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD|1AART	1CGEN|28VULN|3TLV|4DMG|58DUR|6ASPD|78CDMG|8BPWR|9RCR|aAART
59	32225 33351	10	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1CGEN|2DUR|3478VULN|5CDMG|6RCR|9DMG|aLIT
60	35245 33312	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1CGEN|278VULN|3TLV|4DMG|5CDMG|6RCR|9aDUR
61	21122 11661	6	 * 	265.35	DCR|4VULN|2DMG|3LIT	1BELT|24aLIT|3478VULN|4aBPWR|5aBEXP|6aDMG|9RCR
62	32633 36542	7	 * 	265.31	DCR|4VULN|3DUR|1CDMG|1SELL	179CGEN|279DUR|3SELL|4579VULN|6RCR|79BPWR|8MBVNT|aCDMG
63	16633 21232	7	   	265.29	DCR|5VULN|1DUR|1CDMG	1BEXP|23589VULN|4DUR|6RCR|7CDMG|aLIT
64	16633 21332	8	   	265.29	DCR|5VULN|1DUR|1CDMG	1BEXP|23589VULN|4DUR|6RCR|7CDMG|aLIT
65	16533 21523	8	 * 	265.25	DCR|4VULN|3DUR|1CDMG	1BEXP|259aVULN|348DUR|6RCR|7CDMG
66	33431 84433	6	 * 	264.73	DCR|5VULN|2DMG	13CGEN|23DMG|3BPWR|4789aVULN|5MBVNT|6RCR
67	16633 21412	7	   	264.69	DCR|4VULN|1DUR|1TLV|1CDMG|1ASPD	1BEXP|235aVULN|4DUR|6RCR|7CDMG|8TLV|9ASPD
68	33341 84433	6	   	264.63	DCR|5VULN|2DMG	1CGEN|24DMG|3789aVULN|5MBVNT|6RCR
69	35242 51221	9	   	264.61	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1CGEN|28VULN|3TLV|4DMG|58DUR|6ASPD|78CDMG|8BPWR|9RCR|aLIT
70	32225 36323	9	 * 	264.58	DCR|4VULN|2DUR|3CDMG	17CGEN|2aDUR|3478VULN|579CDMG|6RCR|7BPWR
71	32225 36341	8	   	264.58	DCR|4VULN|2DUR|3CDMG	17CGEN|29DUR|3478VULN|57aCDMG|6RCR|7BPWR
72	32235 36322	9	   	264.58	DCR|4VULN|2DUR|3CDMG	17CGEN|24DUR|378aVULN|579CDMG|6RCR|7BPWR
73	43433 42231	10	   	264.53	DCR|5VULN|2DMG	136ERES|23DMG|3BPWR|4579aVULN|8RCR
74	43433 62231	10	   	264.53	DCR|5VULN|2DMG	137ERES|23DMG|3BPWR|4569aVULN|8RCR
75	42225 31543	7	   	264.38	DCR|4VULN|2DUR|3CDMG	179ERES|2aDUR|349aVULN|59aCDMG|6RCR|8MBVNT|9aBPWR
76	51226 36112	4	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	1RMIN|26DUR|3469VULN|5AART|6BPWR|7ERES|8RCR|aTLV
77	51226 36112	5	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	1RMIN|26DUR|3469VULN|5AART|6BPWR|7ERES|8RCR|aTLV
78	51226 61112	7	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	1RMIN|26DUR|3469VULN|5AART|6BPWR|7ERES|8RCR|aTLV
79	32235 36351	10	   	264.27	DCR|3VULN|2DUR|2CDMG|1DMG	17CGEN|24DUR|378VULN|57CDMG|6RCR|7BPWR|9DMG|aLIT
80	21223 13661	6	   	264.26	DCR|3VULN|3DMG|2LIT|1ASPD	1BELT|2aLIT|3ASPD|48aVULN|5RMIN|67aDMG|9RCR|aBPWR
81	32225 36351	9	   	264.02	DCR|4VULN|1DMG|2CDMG|1DUR	17CGEN|2DUR|3478VULN|57CDMG|6RCR|7BPWR|9DMG|aRCVC
82	32225 36352	9	   	264.02	DCR|4VULN|1DMG|2CDMG|1DUR	17CGEN|2DUR|3478VULN|57CDMG|6RCR|7BPWR|9DMG|aBELT
83	32225 36353	9	   	264.02	DCR|4VULN|1DMG|2CDMG|1DUR	17CGEN|2DUR|3478VULN|57CDMG|6RCR|7BPWR|9DMG|aMLV
84	32225 36361	8	   	264.02	DCR|4VULN|1DMG|2CDMG|1DUR	17CGEN|2DUR|3478VULN|57CDMG|6RCR|7BPWR|9DMG|aRCVC
85	32225 36362	8	   	264.02	DCR|4VULN|1DMG|2CDMG|1DUR	17CGEN|2DUR|3478VULN|57CDMG|6RCR|7BPWR|9DMG|aBELT
86	32225 36363	8	   	264.02	DCR|4VULN|1DMG|2CDMG|1DUR	17CGEN|2DUR|3478VULN|57CDMG|6RCR|7BPWR|9DMG|aMLV
87	16633 33115	6	   	263.99	DCR|5VULN|1DUR|1ASPD|1AART	1BEXP|23579VULN|4DUR|6AART|8RCR|aASPD
88	21222 25461	8	 * 	263.93	DCR|3VULN|2DMG|2ASPD|3LIT	1BELT|27aLIT|35ASPD|45aVULN|5aBPWR|6RMIN|8aDMG|9RCR
89	32225 32356	10	   	263.82	DCR|4VULN|1DMG|2CDMG|1DUR	1CGEN|2DUR|348aVULN|57CDMG|6RCR|9DMG
90	21126 11633	8	 * 	263.77	DCR|4VULN|2ASPD|2TLV|2LIT	1BELT|24LIT|3467VULN|46BPWR|56TLV|8aASPD|9RCR
91	21222 51661	6	 * 	263.45	DCR|5VULN|2ASPD|2LIT	1BELT|2aLIT|35ASPD|4578aVULN|5aBPWR|6aBEXP|9RCR
92	21222 61661	5	   	263.45	DCR|5VULN|2ASPD|2LIT	1BELT|2aLIT|35ASPD|4578aVULN|5aBPWR|6aBEXP|9RCR
93	33312 25662	9	   	263.29	DCR|5VULN|1DMG|1DUR	1CGEN|2DMG|3678aVULN|4ERES|5DUR|9RCR
94	21222 51661	5	   	263.25	DCR|5VULN|2ASPD|2LIT	1BELT|2aLIT|35ASPD|4578aVULN|5aBPWR|6aDUST|9RCR
95	21116 11634	8	   	263.16	DCR|4VULN|2TLV|1DUR|1ASPD	1BELT|2LIT|3467VULN|56TLV|6BPWR|8ASPD|9RCR|aDUR
96	22262 45322	8	   	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1BELT|2NUKE|38DUR|458VULN|68DMG|7RCR|8BPWR|9LHND|aAART
97	22262 45332	9	   	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1BELT|2NUKE|38DUR|458VULN|68DMG|7RCR|8BPWR|9DMSP|aAART
98	21222 11516	8	 * 	263.03	DCR|4VULN|3ASPD|1TLV	1BELT|2LIT|356ASPD|4569VULN|56BPWR|7CGEN|8TLV|aRCR
99	21222 15116	8	   	263.03	DCR|4VULN|3ASPD|1TLV	1BELT|2LIT|356ASPD|4569VULN|56BPWR|7TLV|8RMIN|aRCR
100	21222 15216	7	   	263.03	DCR|4VULN|3ASPD|1TLV	1BELT|2LIT|356ASPD|4569VULN|56BPWR|7TLV|8CGEN|aRCR
101	21222 16516	8	   	263.03	DCR|4VULN|3ASPD|1TLV	1BELT|2LIT|356ASPD|4569VULN|56BPWR|7RMIN|8TLV|aRCR
102	21222 15216	8	   	262.93	DCR|4VULN|3ASPD|1TLV	1BELT|2LIT|356ASPD|4569VULN|56BPWR|7TLV|8ERES|aRCR
103	21222 15416	7	   	262.93	DCR|4VULN|3ASPD|1TLV	1BELT|2LIT|356ASPD|4569VULN|56BPWR|7TLV|8ERES|aRCR
104	32235 33355	10	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1CGEN|24aDUR|378VULN|5CDMG|6RCR|9DMG
105	21126 11431	7	   	262.62	DCR|4VULN|2TLV|1DMG|2LIT	1BELT|24LIT|3467VULN|46BPWR|56TLV|8DMG|9RCR|aDMSP
106	21126 11432	7	   	262.62	DCR|4VULN|2TLV|1DMG|2LIT	1BELT|24LIT|3467VULN|46BPWR|56TLV|8DMG|9RCR|aBEXP
107	21126 12431	6	   	262.62	DCR|4VULN|2TLV|1DMG|2LIT	1BELT|24LIT|3467VULN|46BPWR|56TLV|8DMG|9RCR|aDMSP
108	21126 12432	6	   	262.62	DCR|4VULN|2TLV|1DMG|2LIT	1BELT|24LIT|3467VULN|46BPWR|56TLV|8DMG|9RCR|aBEXP
109	21126 11435	7	 * 	262.52	DCR|4VULN|3TLV|1DMG|2LIT	1BELT|24LIT|3467VULN|46BPWR|56aTLV|8DMG|9RCR
110	21126 12435	6	   	262.52	DCR|4VULN|3TLV|1DMG|2LIT	1BELT|24LIT|3467VULN|46BPWR|56aTLV|8DMG|9RCR
111	21126 12115	10	   	262.10	DCR|5VULN|2TLV|2LIT	1BELT|24LIT|3469aVULN|46BPWR|56TLV|7RCR|8RMIN
112	21126 12215	10	   	262.10	DCR|5VULN|2TLV|2LIT	1BELT|24LIT|3469aVULN|46BPWR|56TLV|7RCR|8CGEN
113	21126 11333	10	   	262.10	DCR|5VULN|2TLV|2LIT	1BELT|24LIT|34679VULN|46BPWR|56TLV|8LWND|aRCR
114	32225 36433	10	   	262.04	DCR|3VULN|1DMG|2CDMG|1DUR|1ASPD|1AART	17CGEN|2DUR|347VULN|57CDMG|6RCR|7BPWR|8ASPD|9AART|aDMG
115	16633 21211	7	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1BEXP|2358VULN|4DUR|6RCR|7CDMG|9TLV|aLIT
116	16633 21311	8	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1BEXP|2358VULN|4DUR|6RCR|7CDMG|9TLV|aLIT
117	32633 36321	9	   	261.64	DCR|4VULN|2DUR|1CDMG|1AART|1SELL	17CGEN|27DUR|3SELL|4578VULN|6RCR|7BPWR|9CDMG|aAART
118	21222 33562	8	   	261.62	DCR|3VULN|3ASPD|2DUR|2LIT	1BELT|29LIT|359ASPD|45aVULN|59BPWR|6MLV|79DUR|8RCR
119	42241 15112	7	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1ERES|26DUR|379VULN|4AART|5DMG|8RCR|aTLV
120	42241 15112	6	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1ERES|26DUR|379VULN|4AART|5DMG|8RCR|aTLV
121	33433 22662	9	   	261.54	DCR|4VULN|2DMG|1DUR	13CGEN|23DMG|3BPWR|458aVULN|6RMIN|7DUR|9RCR
122	33343 22662	9	   	261.44	DCR|4VULN|2DMG|1DUR	1CGEN|24DMG|358aVULN|6RMIN|7DUR|9RCR
123	33431 83318	7	   	261.44	DCR|4VULN|2DMG|1DUR	13CGEN|23DMG|3BPWR|489aVULN|5MBVNT|6RCR|7DUR
124	33431 84472	6	   	261.44	DCR|4VULN|2DMG|1TLV	13CGEN|23DMG|3BPWR|478aVULN|5MBVNT|6RCR|9TLV
125	31222 25366	9	   	261.34	DCR|4VULN|2DMG|1DUR	1CGEN|2DUST|3467VULN|5DUR|8RCR|9aDMG
126	31222 26616	8	   	261.34	DCR|4VULN|2DMG|1DUR	1CGEN|2DUST|3469VULN|5DUR|7aDMG|8RCR
127	31223 41616	8	   	261.34	DCR|4VULN|2DMG|1DUR	1CGEN|2DUST|3459VULN|6aDMG|7DUR|8RCR
128	33312 26662	9	   	261.34	DCR|4VULN|2DMG|1DUR	1CGEN|27DMG|368aVULN|4ERES|5DUR|9RCR
129	33341 83318	7	   	261.34	DCR|4VULN|2DMG|1DUR	1CGEN|24DMG|389aVULN|5MBVNT|6RCR|7DUR
130	33341 84472	6	   	261.34	DCR|4VULN|2DMG|1TLV	1CGEN|24DMG|378aVULN|5MBVNT|6RCR|9TLV
131	51222 52213	10	   	261.26	DCR|4VULN|3DUR|1AART	1RMIN|256DUR|3489VULN|7AART|aRCR
132	43433 42232	8	   	261.24	DCR|4VULN|2DMG|1DUR	136ERES|23DMG|3BPWR|4579VULN|8RCR|aDUR
133	43433 42232	9	   	261.24	DCR|4VULN|2DMG|1DUR	136ERES|23DMG|3BPWR|4579VULN|8RCR|aDUR
134	43433 62232	9	   	261.24	DCR|4VULN|2DMG|1DUR	137ERES|23DMG|3BPWR|4569VULN|8RCR|aDUR
135	43433 62232	8	   	261.24	DCR|4VULN|2DMG|1DUR	137ERES|23DMG|3BPWR|4569VULN|8RCR|aDUR
136	21126 12231	7	 * 	261.24	DCR|3VULN|3LIT|2TLV|1DMG|1DUR	1BELT|24aLIT|346VULN|46BPWR|56TLV|7RCR|8DUR|9DMG
137	35221 45213	3	   	261.07	DCR|4VULN|2TLV|1DMG|1CDMG|1SELL	1CGEN|245aVULN|35TLV|5BPWR|6DMG|7CDMG|8RCR|9SELL
138	42222 13423	10	   	261.02	DCR|4VULN|3DUR|1AART|1SELL	178ERES|257DUR|3478VULN|6SELL|78BPWR|9AART|aRCR
139	32225 36321	9	   	261.00	DCR|4VULN|3CDMG|1DUR|1ASPD	17CGEN|2DUR|3478VULN|579CDMG|6RCR|7BPWR|aASPD
140	16342 26113	9	   	260.94	DCR|4VULN|3DMG	13BEXP|2589VULN|457DMG|5BPWR|6LHND|aRCR
141	16342 36113	9	   	260.94	DCR|4VULN|3DMG	13BEXP|2589VULN|457DMG|5BPWR|6FEWX|aRCR
142	16342 41113	9	   	260.94	DCR|4VULN|3DMG	13BEXP|2589VULN|456DMG|5BPWR|7LHND|aRCR
143	33113 26653	8	   	260.84	DCR|4VULN|3DMG	19CGEN|279DMG|3DUST|4ERES|5689VULN|9BPWR|aRCR
144	33431 84437	6	   	260.84	DCR|4VULN|3DMG	13CGEN|23aDMG|3BPWR|4789VULN|5MBVNT|6RCR
145	33341 84437	6	   	260.74	DCR|4VULN|3DMG	1CGEN|24aDMG|3789VULN|5MBVNT|6RCR
146	43311 82483	6	   	260.64	DCR|4VULN|3DMG	149ERES|279DMG|389aVULN|5MBVNT|6RCR|9BPWR
147	32235 33352	10	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1CGEN|24DUR|378VULN|5CDMG|6RCR|9DMG|aASPD
148	21112 11661	6	   	260.25	DCR|4VULN|2DMG|2LIT	1BELT|2aLIT|3478VULN|5aBEXP|6aDMG|9RCR|aBPWR
149	51342 14233	6	 * 	260.13	DCR|3VULN|3DUR|2TLV|1ASPD	1RMIN|28aDUR|3RPLT|4ASPD|58TLV|678VULN|8BPWR|9RCR
150	31222 26616	10	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1CGEN|2DUST|346aVULN|5DUR|7DMG|8RCR|9TLV
151	31223 41616	10	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1CGEN|2DUST|345aVULN|6DMG|7DUR|8RCR|9TLV
152	35245 33311	10	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1CGEN|278VULN|3TLV|4DMG|5CDMG|6RCR|9DUR|aLIT
153	35245 33311	9	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1CGEN|278VULN|3TLV|4DMG|5CDMG|6RCR|9DUR|aLIT
154	23531 26335	10	   	259.21	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1AART	1BELT|29ASPD|39DMG|4DUR|5ZMB|6AART|7RCR|89VULN|9BPWR|aTLV
155	16533 33115	6	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	1BEXP|2579VULN|34DUR|6AART|8RCR|aASPD
156	16633 33135	6	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	1BEXP|2357VULN|49DUR|6AART|8RCR|aASPD
157	32215 36353	10	   	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	17CGEN|2DUR|378VULN|4DMSP|57CDMG|6RCR|7BPWR|9aDMG
158	32225 36253	10	   	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	178CGEN|2DUR|347VULN|57CDMG|6RCR|7BPWR|9aDMG
159	33431 81382	9	   	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	139CGEN|23DMG|39BPWR|489VULN|5MBVNT|6RCR|79CDMG|aDUR
160	33431 37382	9	   	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	139CGEN|23DMG|39BPWR|489VULN|5MBVNT|69CDMG|7RCR|aDUR
161	21222 22461	8	   	258.92	DCR|3VULN|2DMG|2ASPD|2LIT	1BELT|2aLIT|35ASPD|45aVULN|5aBPWR|6RMIN|7DMSP|8aDMG|9RCR
162	33341 37382	9	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	19CGEN|24DMG|389VULN|5MBVNT|69CDMG|7RCR|9BPWR|aDUR
163	33341 81382	9	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	19CGEN|24DMG|389VULN|5MBVNT|6RCR|79CDMG|9BPWR|aDUR
164	35125 33353	10	   	258.84	DCR|4VULN|2DMG|1CDMG	1CGEN|2478VULN|3BEXP|5CDMG|6RCR|9aDMG
165	35335 33353	10	   	258.84	DCR|4VULN|2DMG|1CDMG	1CGEN|2478VULN|3LWND|5CDMG|6RCR|9aDMG
166	21223 12261	8	   	258.82	DCR|3VULN|2DMG|2ASPD|2LIT	1BELT|2aLIT|37ASPD|48aVULN|5RMIN|6aDMG|9RCR|aBPWR
167	21223 12661	7	   	258.82	DCR|3VULN|2DMG|2ASPD|2LIT	1BELT|2aLIT|37ASPD|48aVULN|5RMIN|6aDMG|9RCR|aBPWR
168	21122 11662	6	   	258.81	DCR|4VULN|1DMG|1DUR|2LIT	1BELT|24LIT|3478VULN|4BPWR|5BEXP|6DMG|9RCR|aDUR
169	21126 12114	9	   	258.81	DCR|4VULN|2TLV|1DUR|2LIT	1BELT|24LIT|3469VULN|46BPWR|56TLV|7RCR|8RMIN|aDUR
170	21126 12214	9	   	258.81	DCR|4VULN|2TLV|1DUR|2LIT	1BELT|24LIT|3469VULN|46BPWR|56TLV|7RCR|8CGEN|aDUR
171	21126 12246	7	   	258.81	DCR|4VULN|2TLV|1DUR|2LIT	1BELT|24LIT|346aVULN|46BPWR|56TLV|7RCR|8DUR|9DMSP
172	21126 12432	10	   	258.81	DCR|4VULN|2TLV|1DUR|2LIT	1BELT|24LIT|346aVULN|46BPWR|56TLV|7RCR|8FEWX|9DUR
