0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12316 11631	1	 * 	279.30	DCR|4VULN|3DUR|1TLV|1CDMG	178FEWX|2TLV|378DUR|478aVULN|5RPLT|6RCR|78BPWR|9CDMG
44	32532 13154	4	   	255.85	DCR|3VULN|3DUR|2DMG	145BEXP|245DUR|3MBVNT|459BPWR|6RCR|79DMG|89aVULN
45	32542 13154	3	   	255.85	DCR|3VULN|3DUR|2DMG	145BEXP|245DUR|3MBVNT|459BPWR|6RCR|79DMG|89aVULN
46	11332 13325	8	   	255.78	DCR|5VULN|1TLV|1DUR	1FEWX|2ZMB|34789VULN|5TLV|6DUR|aRCR
47	11332 13345	9	   	255.78	DCR|5VULN|1TLV|1DUR	1FEWX|2ZMB|34789VULN|5TLV|6DUR|aRCR
48	22242 13326	8	   	255.68	DCR|5VULN|1TLV|1DUR	1RMIN|2MBVNT|34789VULN|5TLV|6DUR|aRCR
49	22242 13356	9	   	255.68	DCR|5VULN|1TLV|1DUR	1RMIN|2MBVNT|34789VULN|5TLV|6DUR|aRCR
50	22334 23555	10	 * 	254.71	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1RMIN|2MBVNT|3aCDMG|4LIT|5aVULN|6RCR|7TLV|8DMG|9aDUR|aBPWR
51	22247 54623	5	   	254.39	DCR|5VULN|1TLV|2LIT	1RMIN|2MBVNT|34678VULN|58LIT|8BPWR|9RCR|aTLV
52	22282 54623	5	   	254.39	DCR|5VULN|1TLV|2LIT	1RMIN|2MBVNT|35678VULN|48LIT|8BPWR|9RCR|aTLV
53	11332 11615	7	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	1aFEWX|2ZMB|34aVULN|5TLV|6DUR|7aDMG|8RPLT|9RCR|aBPWR
54	62514 21345	10	   	254.18	DCR|3VULN|2DMG|3TLV	1LEGI|258VULN|3MBVNT|458TLV|58BPWR|6RMIN|78DMG|9RCR|aLIT
55	62514 21347	9	   	254.18	DCR|3VULN|2DMG|3TLV	1LEGI|258VULN|3MBVNT|458TLV|58BPWR|6RMIN|78DMG|9RCR|aLIT
56	22215 38353	8	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	1RMIN|2MBVNT|378VULN|48CGEN|58DMG|6RCR|8BPWR|9DUR|aTLV
57	22215 38363	9	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	1RMIN|2MBVNT|378VULN|48CGEN|58DMG|6RCR|8BPWR|9DUR|aTLV
58	22826 24482	3	   	254.11	DCR|3VULN|2TLV|2DUR|2LIT	1RMIN|2MBVNT|3aTLV|46aVULN|56LIT|6aBPWR|7RCR|8BEXP|9aDUR
59	11332 11324	9	   	254.00	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	18FEWX|2ZMB|348VULN|5TLV|6DUR|78DMG|8BPWR|9SELL|aRCR
60	12516 41833	5	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|2DUR|3MBVNT|457VULN|69DMG|8RCR|aTLV
61	21344 41837	5	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1RMIN|2DUR|37aVULN|4MBVNT|5TLV|69DMG|8RCR
62	22242 11837	7	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1RMIN|2MBVNT|34aVULN|5TLV|6DUR|79DMG|8RCR
63	22824 41837	3	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1RMIN|2MBVNT|3TLV|47aVULN|5DUR|69DMG|8RCR
64	62144 45231	9	   	253.93	DCR|3VULN|2DMG|2TLV|1SELL	1LEGI|29aVULN|3ASPD|4MBVNT|5aTLV|6aDMG|7SELL|8RCR|aBPWR
65	21344 14545	8	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RMIN|2aDUR|3aVULN|4MBVNT|5TLV|6LHND|7AART|8aDMG|9RCR|aBPWR
66	22823 84474	3	   	253.68	DCR|2VULN|2DMG|3TLV|2ASPD|1DUR	1RMIN|2MBVNT|358TLV|45VULN|58BPWR|68ASPD|78DMG|9RCR|aDUR
67	22215 34321	10	   	253.54	DCR|3VULN|3DMG|1TLV	1RMIN|2MBVNT|389VULN|48CGEN|578DMG|6RCR|8BPWR|aTLV
68	22265 34321	10	   	253.54	DCR|3VULN|3DMG|1TLV	1RMIN|2MBVNT|389VULN|48MLV|578DMG|6RCR|8BPWR|aTLV
69	13341 41457	4	   	253.54	DCR|3VULN|3DMG|1TLV	18FEWX|2MLV|378VULN|4MBVNT|568DMG|8BPWR|9TLV|aRCR
70	22248 12754	7	   	253.44	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	1RMIN|2MBVNT|348VULN|5DMG|68DUR|78LIT|8BPWR|9RCR|aCDMG
71	13316 11631	2	   	253.10	DCR|4VULN|3DUR|1CDMG	178FEWX|2MLV|378DUR|478aVULN|5RPLT|6RCR|78BPWR|9CDMG
72	13361 11631	5	   	253.10	DCR|4VULN|3DUR|1CDMG	178FEWX|2MLV|378aVULN|4RPLT|578DUR|6RCR|78BPWR|9CDMG
73	13363 11631	4	   	253.10	DCR|4VULN|3DUR|1CDMG	178FEWX|2MLV|378aVULN|4RPLT|578DUR|6RCR|78BPWR|9CDMG
74	33361 11631	5	   	253.10	DCR|4VULN|3DUR|1CDMG	178BEXP|2MLV|378aVULN|4RPLT|578DUR|6RCR|78BPWR|9CDMG
75	33363 11631	4	   	253.10	DCR|4VULN|3DUR|1CDMG	178BEXP|2MLV|378aVULN|4RPLT|578DUR|6RCR|78BPWR|9CDMG
76	22248 12751	7	   	253.02	DCR|3VULN|3DUR|1DMG|2LIT	1RMIN|2MBVNT|348VULN|5DMG|68aDUR|78LIT|8BPWR|9RCR
77	12316 11621	1	   	252.91	DCR|3VULN|3DUR|1TLV	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9LIT|aBEXP
78	12316 11623	1	   	252.91	DCR|3VULN|3DUR|1TLV	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9LIT|aLWND
79	12316 11626	1	   	252.91	DCR|3VULN|3DUR|1TLV	178FEWX|2TLV|378DUR|478VULN|5aRPLT|6RCR|78BPWR|9LIT
80	12316 11622	1	   	252.81	DCR|3VULN|3DUR|1TLV	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9LIT|aLEGI
81	12316 11624	1	   	252.81	DCR|3VULN|3DUR|1TLV	178FEWX|2TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|9LIT|aERES
82	21131 43143	4	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	1RMIN|28DUR|38TLV|4RPLT|568VULN|7DLOT|8BPWR|9RCR|aCDMG
83	22241 26752	5	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1RMIN|2MBVNT|348VULN|5LWND|68DMG|78LIT|8BPWR|9RCR|aTLV
84	62313 25622	3	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1LEGI|248VULN|3RMIN|5LHND|68DMG|78LIT|8BPWR|9RCR|aTLV
85	22242 43727	6	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1RMIN|2MBVNT|34aVULN|5TLV|6BELT|7aDMG|8aLIT|9RCR|aBPWR
86	12316 11561	1	   	252.71	DCR|3VULN|3DUR|1TLV	17FEWX|2TLV|379DUR|478VULN|5RPLT|6RCR|7BPWR|aLIT
87	12316 13661	1	   	252.71	DCR|3VULN|3DUR|1TLV	18FEWX|2TLV|389DUR|478VULN|5RPLT|6RCR|8BPWR|aLIT
88	12316 11661	1	   	252.68	DCR|3VULN|3DUR|2TLV	178FEWX|29TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|aBEXP
89	22214 36752	3	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	1RMIN|2MBVNT|348VULN|58DMG|6LEGI|78LIT|8BPWR|9RCR|aTLV
90	22244 36752	4	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	1RMIN|2MBVNT|348VULN|58DMG|6LEGI|78LIT|8BPWR|9RCR|aTLV
91	12316 11662	1	   	252.58	DCR|3VULN|3DUR|2TLV	178FEWX|29TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|aMBVNT
92	12316 11663	1	   	252.58	DCR|3VULN|3DUR|2TLV	178FEWX|29TLV|378DUR|478VULN|5RPLT|6RCR|78BPWR|aTBNT
93	12532 15154	4	   	252.48	DCR|3VULN|3DUR|2TLV	145FEWX|245DUR|3MBVNT|459BPWR|6RCR|79TLV|89aVULN
94	32532 15154	4	   	252.48	DCR|3VULN|3DUR|2TLV	145BEXP|245DUR|3MBVNT|459BPWR|6RCR|79TLV|89aVULN
95	32542 15154	3	   	252.48	DCR|3VULN|3DUR|2TLV	145BEXP|245DUR|3MBVNT|459BPWR|6RCR|79TLV|89aVULN
96	21131 43144	4	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|28aDUR|38TLV|4RPLT|568VULN|7DLOT|8BPWR|9RCR
97	21332 34432	10	   	252.22	DCR|4VULN|2DUR|1TLV	1RMIN|27DUR|379aVULN|4BELT|57CGEN|6RCR|7BPWR|8TLV
98	12316 13551	1	   	252.22	DCR|4VULN|2DUR|1TLV	1aFEWX|2TLV|3aDUR|478aVULN|5RPLT|6RCR|9RCVC|aBPWR
99	21136 11253	7	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|2aDUR|38TLV|4RPLT|5BELT|6RCR|7aVULN|9aDMG|aBPWR
100	21136 11253	6	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|2aDUR|38TLV|4RPLT|5BELT|6RCR|7aVULN|9aDMG|aBPWR
101	21336 32443	6	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|2aDUR|39VULN|4BELT|5RPLT|6aTLV|7aDMG|8RCR|aBPWR
102	12316 11535	1	   	252.12	DCR|4VULN|2DUR|1TLV	17FEWX|2TLV|37DUR|478aVULN|5RPLT|6RCR|7BPWR|9ERES
103	12316 13635	1	   	252.12	DCR|4VULN|2DUR|1TLV	18FEWX|2TLV|38DUR|478aVULN|5RPLT|6RCR|8BPWR|9ERES
104	21341 71316	4	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|2aDUR|37VULN|4MBVNT|5aDMG|6aTLV|8RPLT|9RCR|aBPWR
105	21344 41316	5	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|2aDUR|37VULN|4MBVNT|5aTLV|6aDMG|8RPLT|9RCR|aBPWR
106	22824 41316	3	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1RMIN|2MBVNT|3aTLV|47VULN|5aDUR|6aDMG|8RPLT|9RCR|aBPWR
107	62113 25622	3	   	251.31	DCR|3VULN|1TLV|1DMG|2ASPD|2LIT	1LEGI|248VULN|38ASPD|5LHND|6DMG|78LIT|8BPWR|9RCR|aTLV
108	12316 11516	1	   	251.24	DCR|3VULN|2DUR|1TLV|1DMG	17FEWX|2TLV|37DUR|478VULN|5RPLT|6RCR|7BPWR|9ZMB|aDMG
109	12316 11542	1	   	251.24	DCR|3VULN|2DUR|1TLV|1DMG	17FEWX|2TLV|37DUR|478VULN|5RPLT|6RCR|7BPWR|9DMG|aBEXP
110	12316 13616	1	   	251.24	DCR|3VULN|2DUR|1TLV|1DMG	18FEWX|2TLV|38DUR|478VULN|5RPLT|6RCR|8BPWR|9ZMB|aDMG
111	12316 13642	1	   	251.24	DCR|3VULN|2DUR|1TLV|1DMG	18FEWX|2TLV|38DUR|478VULN|5RPLT|6RCR|8BPWR|9DMG|aBEXP
112	12316 11541	1	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	17FEWX|2TLV|37DUR|478VULN|5RPLT|6RCR|7BPWR|9DMG|aERES
113	12316 11543	1	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	17FEWX|2TLV|37DUR|478VULN|5RPLT|6RCR|7BPWR|9DMG|aLEGI
114	12316 13641	1	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	18FEWX|2TLV|38DUR|478VULN|5RPLT|6RCR|8BPWR|9DMG|aERES
115	12316 13643	1	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	18FEWX|2TLV|38DUR|478VULN|5RPLT|6RCR|8BPWR|9DMG|aLEGI
116	62144 27222	10	   	251.04	DCR|2VULN|2TLV|2DUR|1DMG	1LEGI|27VULN|3ASPD|4MBVNT|57TLV|67DUR|7BPWR|8LIT|9DMG|aRCR
117	22242 11877	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1RMIN|2MBVNT|34aVULN|5TLV|69DUR|7DMG|8RCR
118	22248 14421	9	 * 	250.94	DCR|3VULN|2DUR|3CDMG|1DMG	1RMIN|2MBVNT|349VULN|5DMG|69DUR|789CDMG|9BPWR|aRCR
119	22248 71421	9	   	250.94	DCR|3VULN|2DUR|3CDMG|1DMG	1RMIN|2MBVNT|349VULN|5DMG|689CDMG|79DUR|9BPWR|aRCR
120	21124 53123	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RMIN|2DUR|3TLV|45aVULN|6CDMG|7DLOT|8DMG|9RCR
121	32662 24232	5	   	249.48	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	1BEXP|2aDUR|39LIT|4DMG|5aVULN|6LHND|7RCR|8aTLV|aBPWR
122	22353 14563	5	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1RMIN|2MBVNT|3aCDMG|4BELT|5aVULN|6TLV|7RCR|8DUR|9aDMG|aBPWR
123	32662 24232	6	   	249.38	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	1BEXP|2aDUR|39LIT|4DMG|5aVULN|6DUST|7RCR|8aTLV|aBPWR
