0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11433 33264	7	 * 	291.16	DCR|4VULN|2DMG|2CDMG|1DUR|1AART	15CDMG|2458VULN|3AART|5BPWR|6DUR|79DMG|aRCR
24	11433 23264	7	   	274.91	DCR|4VULN|2DMG|2CDMG|1AART	15CDMG|2458VULN|3AART|5BPWR|6FEWX|79DMG|aRCR
25	66141 32112	1	   	274.91	DCR|4VULN|3DUR|1CDMG|1AART	146DUR|2369VULN|5AART|6BPWR|7RCR|8CDMG|aBBNT
26	66141 32113	1	   	274.91	DCR|4VULN|3DUR|1CDMG|1AART	146DUR|2369VULN|5AART|6BPWR|7RCR|8CDMG|aDUST
27	11433 13277	7	   	274.81	DCR|4VULN|2DMG|2CDMG|1AART	15CDMG|2458VULN|3AART|5BPWR|6MBVNT|79DMG|aRCR
28	11433 13477	8	   	274.81	DCR|4VULN|2DMG|2CDMG|1AART	15CDMG|2458VULN|3AART|5BPWR|6MBVNT|79DMG|aRCR
29	11433 23364	7	   	273.58	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	15CDMG|245aVULN|3AART|5BPWR|6FEWX|7DMG|8RCR|9DUR
30	11433 33213	7	   	273.48	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	15CDMG|2458VULN|3AART|5BPWR|6DUR|7DMG|9DUST|aRCR
31	11433 33354	7	   	273.48	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	15CDMG|245aVULN|3AART|5BPWR|6DUR|7DMG|8RCR|9DUST
32	11433 33513	8	   	273.48	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	15CDMG|2458VULN|3AART|5BPWR|6DUR|7DMG|9DUST|aRCR
33	11433 33513	9	   	273.48	DCR|4VULN|1DMG|2CDMG|1DUR|1AART	15CDMG|2458VULN|3AART|5BPWR|6DUR|7DMG|9DUST|aRCR
34	41322 12232	2	 * 	273.22	DCR|3VULN|3DMG|2TLV|2LIT	1aLIT|2DMSP|3TBNT|467VULN|56aDMG|6aBPWR|8aTLV|9RCR
35	11433 31153	5	   	273.05	DCR|5VULN|2CDMG|1DUR|1AART	15CDMG|24579VULN|3AART|5BPWR|6RCVC|8DUR|aRCR
36	11433 34263	9	   	273.05	DCR|5VULN|2CDMG|1DUR|1AART	15CDMG|24578VULN|3AART|5BPWR|6DUR|9RCVC|aRCR
37	61117 23512	9	 * 	271.66	DCR|4VULN|3DUR|2TLV	138DUR|2MLV|4MBVNT|58TLV|6RCR|789aVULN|8BPWR
38	61161 23512	9	   	271.66	DCR|4VULN|3DUR|2TLV	138DUR|2MLV|48TLV|5MBVNT|6RCR|789aVULN|8BPWR
39	11433 43232	7	 * 	271.24	DCR|4VULN|3CDMG|1DMG|2AART	159CDMG|2459VULN|36AART|59BPWR|7RPLT|8RCR|aDMG
40	11433 43234	7	 * 	270.71	DCR|5VULN|3CDMG|2AART	159CDMG|2459aVULN|36AART|59BPWR|7RPLT|8RCR
41	11433 42313	10	   	270.61	DCR|5VULN|3CDMG|2AART	158CDMG|24578VULN|36AART|58BPWR|9DUST|aRCR
42	13221 43254	1	 * 	270.50	DCR|2VULN|3DMG|2DUR|2CDMG	15CDMG|269DMG|3LIT|45DUR|5BPWR|7aVULN|8RCR
43	11433 33133	6	   	269.76	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	15CDMG|2458VULN|3AART|5BPWR|6DUR|7LHND|9TLV|aRCR
44	11433 34133	6	   	269.76	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	15CDMG|2458VULN|3AART|5BPWR|6DUR|7FEWX|9TLV|aRCR
45	11433 34433	7	   	269.76	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	15CDMG|2457VULN|3AART|5BPWR|6DUR|8FEWX|9TLV|aRCR
46	11433 34433	8	   	269.76	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	15CDMG|2457VULN|3AART|5BPWR|6DUR|8BEXP|9TLV|aRCR
47	11433 34533	7	   	269.76	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	15CDMG|2457VULN|3AART|5BPWR|6DUR|8LHND|9TLV|aRCR
48	11433 62133	5	   	269.76	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	15CDMG|2458VULN|3AART|5BPWR|6LHND|7DUR|9TLV|aRCR
49	63151 32623	1	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	139DUR|2RPLT|4CDMG|59DMG|69VULN|7RCR|8TBNT|9BPWR|aTLV
50	66141 32212	1	   	269.67	DCR|4VULN|3DUR|1AART	146DUR|2368VULN|5AART|6BPWR|7RCR|9LHND|aLIT
51	66141 32222	1	   	269.67	DCR|4VULN|3DUR|1AART	146DUR|2368VULN|5AART|6BPWR|7RCR|9FEWX|aLIT
52	11433 34333	8	   	269.66	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	15CDMG|2457VULN|3AART|5BPWR|6DUR|8DUST|9TLV|aRCR
53	11433 34363	9	   	269.66	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	15CDMG|2457VULN|3AART|5BPWR|6DUR|8DUST|9TLV|aRCR
54	66122 18414	1	 * 	269.34	DCR|4VULN|2DUR|1DMG|1ASPD	17DUR|2357VULN|4TBNT|6MBVNT|7BPWR|8DMG|9ASPD|aRCR
55	63617 42442	10	 * 	269.09	DCR|3VULN|3DUR|2TLV|1DMG	12aDUR|3DMG|4MBVNT|5aTLV|6BELT|79aVULN|8RCR|aBPWR
56	13624 61232	1	 * 	268.83	DCR|2VULN|2DMG|2DUR|3CDMG|1TLV	137CDMG|29DMG|47VULN|57DUR|6TBNT|7BPWR|8RCR|aTLV
57	63243 21326	5	 * 	268.30	DCR|3VULN|3DUR|3ASPD	126DUR|37aVULN|47LHND|567ASPD|67BPWR|8LIT|9RCR
58	61124 22512	3	   	267.95	DCR|4VULN|3DUR|1TLV	136DUR|2MLV|4BEXP|568aVULN|6BPWR|7RCR|9TLV
59	61224 22512	2	   	267.95	DCR|4VULN|3DUR|1TLV	136DUR|2MLV|4BEXP|568aVULN|6BPWR|7RCR|9TLV
60	11433 43236	7	   	267.42	DCR|4VULN|3CDMG|2AART|1TLV	159CDMG|2459VULN|36AART|59BPWR|7RPLT|8RCR|aTLV
61	35634 21113	4	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	126FEWX|37DMG|47DUR|567VULN|67BPWR|8CDMG|9ERES|aRCR
62	11433 23343	7	   	267.19	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1AART	15CDMG|245VULN|3AART|5BPWR|6FEWX|7DMG|8RCR|9TLV|aDUR
63	11433 33342	7	   	267.19	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1AART	15CDMG|245VULN|3AART|5BPWR|6DUR|7DMG|8RCR|9TLV|aDMSP
64	11433 33344	7	   	267.09	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1AART	15CDMG|245VULN|3AART|5BPWR|6DUR|7DMG|8RCR|9TLV|aDUST
65	63624 22212	3	   	267.05	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	126DUR|38DMG|4BEXP|56VULN|6BPWR|7RCR|9TLV|aASPD
66	61126 24333	1	   	266.90	DCR|3VULN|2DUR|2CDMG|1TLV|2LIT	18DUR|2DUST|368VULN|49LIT|5TLV|78CDMG|8BPWR|aRCR
67	63243 22512	5	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	126DUR|38aVULN|4LHND|56ASPD|6BPWR|7RCR|9TLV
68	63414 42442	10	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	12aDUR|3TLV|4MBVNT|5aASPD|6BELT|79aVULN|8RCR|aBPWR
69	15243 21152	1	   	266.17	DCR|3VULN|3DUR|3CDMG|1ASPD	157CDMG|2RPLT|345DUR|57BPWR|678VULN|9ASPD|aRCR
70	63153 21152	1	   	266.17	DCR|3VULN|3DUR|3CDMG|1ASPD	135DUR|2RPLT|457CDMG|57BPWR|678VULN|9ASPD|aRCR
71	11361 46133	2	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1CDMG|2378VULN|4LIT|5CGEN|6DMG|9TLV|aRCR
72	11433 33163	8	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|69DUR|7DMG|8FEWX|aRCR
73	11433 33323	7	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|6aDUR|7DMG|8RCR|9CGEN
74	11433 33361	7	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|69DUR|7DMG|8RCR|aCGEN
75	11433 33362	7	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|69DUR|7DMG|8RCR|aLWND
76	11433 33363	7	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|69DUR|7DMG|8RCR|aRMIN
77	11433 33363	8	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|69DUR|7DMG|8BEXP|aRCR
78	11433 33364	7	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|69DUR|7DMG|8RCR|aLHND
79	11433 33663	7	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|69DUR|7DMG|8BEXP|aRCR
80	11433 35362	7	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|69DUR|7CGEN|8RCR|aDMG
81	11433 33334	7	   	265.42	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|6aDUR|7DMG|8RCR|9BBNT
82	11433 33366	7	   	265.42	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	15CDMG|245VULN|3AART|5BPWR|69DUR|7DMG|8RCR|aTBNT
83	63424 22223	3	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	126DUR|3TLV|49BEXP|56aVULN|6BPWR|7RCR|8DMG
84	63424 22232	3	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	126DUR|3TLV|4BEXP|56aVULN|6BPWR|7RCR|8DMG|9LWND
85	23246 22513	2	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1BEXP|234DUR|5DMG|68aVULN|7RCR|9TLV
86	33246 22513	2	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1FEWX|234DUR|5DMG|68aVULN|7RCR|9TLV
87	63631 22513	5	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	124DUR|3DMG|5BEXP|68aVULN|7RCR|9TLV
88	63631 32513	6	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	124DUR|3DMG|5BEXP|68aVULN|7RCR|9TLV
89	63632 12512	5	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	124DUR|3DMG|58aVULN|6LWND|7RCR|9TLV
90	63633 22512	4	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	124DUR|3DMG|5LWND|68aVULN|7RCR|9TLV
91	11433 41613	6	   	265.10	DCR|4VULN|1DMG|2CDMG|2AART	15CDMG|2457VULN|36AART|5BPWR|8DMG|9CGEN|aRCR
92	11433 42613	7	   	265.10	DCR|4VULN|1DMG|2CDMG|2AART	15CDMG|2457VULN|36AART|5BPWR|8DMG|9CGEN|aRCR
93	11433 46133	9	   	265.10	DCR|4VULN|1DMG|2CDMG|2AART	15CDMG|2459VULN|36AART|5BPWR|7MLV|8DMG|aRCR
94	11423 24253	8	   	264.57	DCR|5VULN|2CDMG|2AART	15CDMG|25789VULN|34AART|5BPWR|6FEWX|aRCR
95	23246 21153	2	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	17BEXP|234DUR|57DMG|67VULN|7BPWR|8CDMG|9ASPD|aRCR
96	33246 21153	2	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	17FEWX|234DUR|57DMG|67VULN|7BPWR|8CDMG|9ASPD|aRCR
97	63631 21153	5	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	124DUR|37DMG|57BEXP|67VULN|7BPWR|8CDMG|9ASPD|aRCR
98	63631 31153	6	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	124DUR|37DMG|57BEXP|67VULN|7BPWR|8CDMG|9ASPD|aRCR
99	13222 43254	1	   	264.09	DCR|2VULN|3DMG|2DUR|1CDMG	1CDMG|269DMG|3LIT|45DUR|7aVULN|8RCR
100	11433 56331	7	   	263.57	DCR|4VULN|3CDMG|1DMG|1AART	157CDMG|2457VULN|3AART|57BPWR|67ZMB|8DMG|9MLV|aRCR
101	41322 12235	2	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|2DMSP|3TBNT|467VULN|56DMG|6BPWR|8TLV|9RCR|aDUR
102	11334 34512	2	   	263.35	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1CDMG|238VULN|4ASPD|5DUR|6aDMG|7RCR|9DUST
103	11456 33133	4	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1CDMG|2568VULN|3AART|4DUR|7LHND|9TLV|aRCR
104	11433 13261	7	   	263.27	DCR|4VULN|3CDMG|1DMG|1AART	159CDMG|2458VULN|3AART|5BPWR|6MBVNT|7DMG|aRCR
105	11433 13461	8	   	263.27	DCR|4VULN|3CDMG|1DMG|1AART	159CDMG|2458VULN|3AART|5BPWR|6MBVNT|7DMG|aRCR
106	11452 32433	4	   	263.16	DCR|3VULN|2DUR|2AART|1TLV|1CDMG	1CDMG|256VULN|37AART|45DUR|5BPWR|8FEWX|9TLV|aRCR
107	11452 32533	4	   	263.16	DCR|3VULN|2DUR|2AART|1TLV|1CDMG	1CDMG|256VULN|37AART|45DUR|5BPWR|8LHND|9TLV|aRCR
108	11115 34232	2	   	263.02	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2aVULN|348DUR|5ASPD|6DMG|7RCR|9TLV
109	11433 17523	10	   	262.94	DCR|5VULN|3CDMG|1AART	158CDMG|24589VULN|3AART|58BPWR|6MBVNT|78LWND|aRCR
110	11433 31312	6	   	262.70	DCR|3VULN|2DUR|3CDMG|1ASPD|1AART	158CDMG|245VULN|3AART|58BPWR|68DUR|78LWND|9RCR|aASPD
111	11433 36312	7	   	262.70	DCR|3VULN|2DUR|3CDMG|1ASPD|1AART	158CDMG|245VULN|3AART|58BPWR|68DUR|78LWND|9RCR|aASPD
112	11433 36412	8	   	262.70	DCR|3VULN|2DUR|3CDMG|1ASPD|1AART	158CDMG|245VULN|3AART|58BPWR|68DUR|78LWND|9RCR|aASPD
113	11423 33343	7	   	262.63	DCR|2VULN|2DUR|1DMG|2CDMG|2AART|1TLV	15CDMG|25VULN|34AART|5BPWR|6aDUR|7DMG|8RCR|9TLV
114	11453 13234	7	   	262.45	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1CDMG|2aVULN|3AART|4DUR|5TLV|6ASPD|79DMG|8RCR
115	64234 23122	9	 * 	262.24	DCR|2VULN|3DUR|3LIT|2TLV|1DMG	169DUR|2RPLT|39VULN|4DMG|56TLV|69BPWR|789LIT|aRCR
116	11612 45231	3	 * 	262.14	DCR|2VULN|3DUR|2TLV|1DMG|2CDMG	1aCDMG|2aVULN|3DMG|4ERES|568DUR|7RCR|9aTLV|aBPWR
117	11431 43352	7	   	262.11	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CDMG|249VULN|3AART|5CGEN|6TLV|7aDMG|8RCR
118	11314 35532	2	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|238VULN|4ERES|5DUR|6DMG|7RCR|9TLV|aASPD
119	11334 34513	2	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|238VULN|4ASPD|5DUR|6DMG|7RCR|9DUST|aTLV
120	23126 21423	2	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1BEXP|2DUR|3678VULN|4LIT|5TLV|9CDMG|aRCR
121	53126 21423	2	   	262.00	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|2DUR|3678VULN|4LIT|5TLV|9CDMG|aRCR
122	61126 21423	1	   	261.90	DCR|4VULN|1DUR|1TLV|1CDMG	1DUR|2DUST|3678VULN|4LIT|5TLV|9CDMG|aRCR
123	11433 33333	7	   	261.84	DCR|3VULN|1DMG|2CDMG|1DUR|1ASPD|1AART	15CDMG|245VULN|3AART|5BPWR|6DUR|7DMG|8RCR|9BBNT|aASPD
124	63621 61213	3	   	261.69	DCR|3VULN|2DMG|2DUR	12DUR|35DMG|4BEXP|678VULN|9RCR|aLIT
125	63642 11213	6	   	261.69	DCR|3VULN|2DMG|2DUR	12DUR|34DMG|578VULN|6BEXP|9RCR|aLIT
126	63642 21213	6	   	261.69	DCR|3VULN|2DMG|2DUR	12DUR|34DMG|578VULN|6LHND|9RCR|aLIT
127	63642 21213	5	   	261.69	DCR|3VULN|2DMG|2DUR	12DUR|34DMG|578VULN|6BEXP|9RCR|aLIT
128	63643 31213	6	   	261.69	DCR|3VULN|2DMG|2DUR	12DUR|34DMG|5LHND|678VULN|9RCR|aLIT
129	11452 33113	4	   	261.68	DCR|4VULN|2DUR|1CDMG|1AART	1CDMG|2568VULN|3AART|45DUR|5BPWR|7LHND|9ERES|aRCR
130	11452 34113	4	   	261.68	DCR|4VULN|2DUR|1CDMG|1AART	1CDMG|2568VULN|3AART|45DUR|5BPWR|7FEWX|9ERES|aRCR
131	66141 32232	1	   	261.36	DCR|4VULN|3DUR|1AART	146DUR|2368VULN|5AART|6BPWR|7RCR|9RPLT|aDMSP
132	66141 32233	1	   	261.36	DCR|4VULN|3DUR|1AART	146DUR|2368VULN|5AART|6BPWR|7RCR|9RPLT|aRCVC
133	11423 31153	5	   	261.28	DCR|4VULN|2CDMG|2AART|1DUR	15CDMG|2579VULN|34AART|5BPWR|6RCVC|8DUR|aRCR
134	11423 34214	9	   	261.28	DCR|4VULN|2CDMG|2AART|1DUR	15CDMG|2578VULN|34AART|5BPWR|6DUR|9RMIN|aRCR
135	11423 34234	8	   	261.28	DCR|4VULN|2CDMG|2AART|1DUR	15CDMG|2578VULN|34AART|5BPWR|6DUR|9CGEN|aRCR
136	11433 41134	6	   	261.28	DCR|4VULN|2CDMG|2AART|1DUR	15CDMG|2457VULN|36AART|5BPWR|8DUR|9CGEN|aRCR
137	11433 42134	7	   	261.28	DCR|4VULN|2CDMG|2AART|1DUR	15CDMG|2457VULN|36AART|5BPWR|8DUR|9CGEN|aRCR
138	11433 42224	9	   	261.28	DCR|4VULN|2CDMG|2AART|1DUR	15CDMG|2457VULN|36AART|5BPWR|8CGEN|9DUR|aRCR
139	11433 42263	9	   	261.28	DCR|4VULN|2CDMG|2AART|1TLV	15CDMG|2457VULN|36AART|5BPWR|8CGEN|9TLV|aRCR
140	66141 32211	1	   	261.26	DCR|4VULN|3DUR|1AART	146DUR|2368VULN|5AART|6BPWR|7RCR|9LHND|aDUST
141	66141 32221	1	   	261.26	DCR|4VULN|3DUR|1AART	146DUR|2368VULN|5AART|6BPWR|7RCR|9FEWX|aDUST
142	66141 32231	1	   	261.26	DCR|4VULN|3DUR|1AART	146DUR|2368VULN|5AART|6BPWR|7RCR|9RPLT|aMBVNT
