0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11314 23366	10	 * 	288.52	DCR|4VULN|3DMG|3ASPD|1DUR	1RPLT|2DMSP|378ASPD|4DUR|578DMG|678aVULN|78BPWR|9RCR
31	65313 22334	2	 * 	268.88	DCR|3VULN|2TLV|2DUR|1DMG|1AART	18TLV|258VULN|3ERES|4DMG|6RCVC|78DUR|8BPWR|9RCR|aAART
32	12433 63614	8	 * 	268.51	DCR|4VULN|2TLV|2DUR	1RPLT|2aTLV|3LIT|4aDUR|579aVULN|6RCR|8MBVNT|aBPWR
33	16112 52532	8	 * 	268.08	DCR|3VULN|3DUR|1TLV|3ASPD	1RPLT|278ASPD|3RMIN|4DUST|578DUR|678VULN|78BPWR|9RCR|aTLV
34	11224 33145	9	 * 	267.86	DCR|2VULN|3DMG|2TLV|2DUR	1RPLT|2DMSP|37DUR|47TLV|579DMG|6RCR|7BPWR|8aVULN
35	11314 23361	9	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2DMSP|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aLHND
36	11314 23362	10	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2aDMSP|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR
37	11314 23363	10	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2DMSP|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aBEXP
38	11314 23364	10	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2DMSP|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aLWND
39	11314 23365	9	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2DMSP|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aLWND
40	15314 23361	9	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2RCVC|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aLHND
41	15314 23362	10	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2RCVC|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aDMSP
42	15314 23363	10	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2RCVC|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aBEXP
43	11314 23363	9	   	267.37	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2DMSP|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aMBVNT
44	11314 23365	10	   	267.37	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2DMSP|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aERES
45	15314 23363	9	   	267.37	DCR|3VULN|3DMG|3ASPD|1DUR	1RPLT|2RCVC|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aMBVNT
46	11314 23364	9	   	267.23	DCR|3VULN|3DMG|3ASPD|1DUR|1SELL	1RPLT|2DMSP|378ASPD|4DUR|578DMG|678VULN|78BPWR|9RCR|aSELL
47	11224 25513	6	   	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|2DMSP|37DUR|4TLV|57DMG|67VULN|7BPWR|8LIT|9CDMG|aRCR
48	11224 35513	5	   	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|2DMSP|37DUR|4TLV|57DMG|67VULN|7BPWR|8LIT|9CDMG|aRCR
49	12433 63316	9	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1RPLT|2TLV|3LIT|4DUR|578aVULN|6RCR|9DMG
50	11314 23535	9	   	265.24	DCR|4VULN|2DMG|2ASPD|1DUR	1RPLT|2DMSP|37ASPD|4DUR|57DMG|679aVULN|7BPWR|8RCR
51	11324 26332	10	   	265.24	DCR|4VULN|2DMG|2ASPD|1DUR	1RPLT|2DMSP|38ASPD|4689VULN|58DMG|7RCR|8BPWR|aDUR
52	11324 26335	9	   	265.24	DCR|4VULN|2DMG|2ASPD|1DUR	1RPLT|2DMSP|38ASPD|4689VULN|58DMG|7RCR|8BPWR|aDUR
53	15324 26332	10	   	265.24	DCR|4VULN|2DMG|2ASPD|1DUR	1RPLT|2RCVC|38ASPD|4689VULN|58DMG|7RCR|8BPWR|aDUR
54	11345 23382	10	   	264.77	DCR|3VULN|3DMG|3ASPD|1CDMG	1RPLT|2DMSP|378ASPD|4MBVNT|578DMG|678VULN|78BPWR|9CDMG|aRCR
55	65112 11352	5	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|258VULN|36LHND|4CGEN|78DMG|8BPWR|9DUR|aRCR
56	65113 11352	4	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|258VULN|36LHND|4CGEN|78DMG|8BPWR|9DUR|aRCR
57	11224 33156	9	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1RPLT|2DMSP|37DUR|47TLV|57DMG|6RCR|7BPWR|8aVULN|9LIT
58	11314 23524	10	   	260.28	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1RPLT|2DMSP|37ASPD|4aDUR|57DMG|67VULN|7BPWR|8RCR|9TLV
59	63221 62252	3	   	260.10	DCR|4VULN|2TLV|2DUR	17TLV|2FEWX|3LEGI|479aVULN|57DUR|6RCR|7BPWR|8BBNT
60	51334 23413	8	   	259.54	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	1RMIN|27DUR|3BEXP|4SELL|578DMG|67VULN|7BPWR|9RCR|aTLV
61	51334 24213	5	   	259.54	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	1RMIN|28DUR|3BEXP|4SELL|568DMG|78VULN|8BPWR|9RCR|aTLV
62	12433 63216	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|2TLV|3LIT|48DUR|57aVULN|6RCR|9DMG
63	12433 63313	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|2TLV|3LIT|4aDUR|578VULN|6RCR|9DMG
64	12433 63313	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|2TLV|3LIT|4aDUR|578VULN|6RCR|9DMG
65	12433 63413	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|2TLV|3LIT|4aDUR|579VULN|6RCR|8DMG
66	65313 22332	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|258VULN|3ERES|4DMG|6RCVC|78DUR|8BPWR|9RCR|aRMIN
67	65313 22333	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|258VULN|3ERES|4DMG|6RCVC|78DUR|8BPWR|9RCR|aFEWX
68	65313 22336	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|258VULN|3ERES|4DMG|6RCVC|78DUR|8BPWR|9RCR|aBEXP
69	65313 22362	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|258VULN|3ERES|4DMG|6RCVC|78DUR|8BPWR|9BEXP|aRCR
70	61613 62213	1	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|2LHND|3LEGI|47DUR|57aVULN|6RCR|7BPWR|8BBNT|9DMG
71	61621 62213	1	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|2LHND|3LEGI|47aVULN|57DUR|6RCR|7BPWR|8BBNT|9DMG
72	63221 62213	3	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|2FEWX|3LEGI|47aVULN|57DUR|6RCR|7BPWR|8BBNT|9DMG
73	63221 62353	3	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|2FEWX|3LEGI|479VULN|57DUR|6RCR|7BPWR|8ERES|aDMG
74	63221 62513	3	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|2FEWX|3LEGI|47aVULN|57DUR|6RCR|7BPWR|8TBNT|9DMG
75	65121 62213	4	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|27aVULN|3LHND|4DUST|57DUR|6RCR|7BPWR|8BBNT|9DMG
76	65313 22331	2	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|258VULN|3ERES|4DMG|6RCVC|78DUR|8BPWR|9RCR|aDUST
77	65313 22335	2	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|258VULN|3aERES|4DMG|6RCVC|78DUR|8BPWR|9RCR
78	11324 26333	9	   	258.65	DCR|4VULN|2DMG|2ASPD|1AART	1RPLT|2DMSP|38ASPD|4689VULN|58DMG|7RCR|8BPWR|aAART
79	15324 26333	9	   	258.65	DCR|4VULN|2DMG|2ASPD|1AART	1RPLT|2RCVC|38ASPD|4689VULN|58DMG|7RCR|8BPWR|aAART
