0	Index      	 *	Score 	Summary	Detail	
1	25562 21123	 * 	286.53	DCR|2TLV|2LIT|2MLV|3CDMG|1ASPD	1TBNT|2RMIN|358CDMG|45LIT|58BPWR|68MLV|78TLV|9ASPD|aRCR
19	56121 23121	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP|aAEFBLL
20	56121 23521	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8LHND|aAEFBLL
21	52243 33621	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3AIRHEL|4LWND|5LHND|6TLV|79RCR|8LIT|aVULN
22	56121 23622	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1aFEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8DUST
23	56121 23623	   	270.68	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8DUST|aCGEN
24	52121 23121	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8BEXP|aAEFBLL
25	52121 23521	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8LHND|aAEFBLL
26	52121 23526	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8LHND|aMBVNT
27	52121 23622	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1aFEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8DUST
28	52121 23623	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8DUST|aCGEN
29	52121 23624	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8DUST|aBELT
30	52121 23625	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8DUST|aRCVC
31	52121 23626	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8DUST|aBEXP
32	56121 23621	   	270.58	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2FRZARM|3LIT|4TLV|5VULN|6SNITOX|79RCR|8DUST|aAEFBLL
33	52121 23621	   	270.48	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2GSSFST|3LIT|4TLV|5VULN|6SNITOX|79RCR|8DUST|aAEFBLL
34	24322 22653	   	269.20	DCR|3VULN|1TLV|1LIT|1DMG	1TBNT|2LEGI|37aVULN|4AART|5TLV|6RCR|8DMG|9LIT
35	52235 23622	 * 	268.32	DCR|DCR|1TLV|1LIT|1DMG|1DUR	1FEWX|2GSSFST|3AIRHEL|4LHND|5DUR|6TLV|79RCR|8LIT|aDMG
36	22522 65131	 * 	266.11	DCR|2VULN|2TLV|2MLV|1ASPD	1TBNT|27MLV|37VULN|4LHND|5ERES|67TLV|7BPWR|8MBVNT|9ASPD|aRCR
37	23544 23223	 * 	265.15	DCR|3VULN|2TLV|2ASPD|1BBNT	1TBNT|28ASPD|37aVULN|48TLV|5BBNT|68GSSFST|8BPWR|9RCR
38	23234 22223	   	262.89	DCR|3VULN|1TLV|1LIT|1ASPD	1TBNT|2ASPD|3FEWX|4AART|5LIT|69aVULN|7TLV|8RCR
39	23434 22223	   	262.89	DCR|3VULN|1TLV|1LIT|1ASPD	1TBNT|2ASPD|3BEXP|4AART|5LIT|69aVULN|7TLV|8RCR
40	63331 35341	   	261.90	DCR|DCR|1TLV|1LIT|1CDMG|1BBNT	1CDMG|2LHND|3LWND|4LIT|5BBNT|6AME|7aRCR|8TLV|9ERES
41	33234 26421	 * 	260.07	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|28LHND|3MSLREG|4FEWX|58LIT|6MLV|78TLV|8BPWR|9VULN|aRCR
42	32234 26421	   	259.97	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|28FLTFST|3LHND|4FEWX|58LIT|6MLV|78TLV|8BPWR|9VULN|aRCR
43	42253 33411	 * 	259.82	DCR|2TLV|1LIT|1VULN|1MLV|2CDMG	1LHND|2DMSP|35TLV|45CDMG|5BPWR|6LIT|7VULN|8RCR|9LWND|aMLV
44	42253 33421	   	259.82	DCR|2TLV|1LIT|1VULN|1MLV|2CDMG	1LHND|2DMSP|35TLV|45CDMG|5BPWR|6LIT|7VULN|8RCR|9MLV|aLWND
45	42253 33422	   	259.82	DCR|2TLV|1LIT|1VULN|1MLV|2CDMG	1LHND|2DMSP|35TLV|45CDMG|5BPWR|6LIT|7VULN|8RCR|9MLV|aCGEN
46	42253 33423	   	259.72	DCR|2TLV|1LIT|1VULN|1MLV|2CDMG	1LHND|2DMSP|35TLV|45CDMG|5BPWR|6LIT|7VULN|8RCR|9MLV|aDUST
47	42253 35221	   	259.72	DCR|2TLV|1LIT|1VULN|1MLV|2CDMG	1LHND|2DMSP|35TLV|45CDMG|5BPWR|6LIT|7MLV|8RCR|9SNITOX|aVULN
48	24231 14818	 * 	259.70	DCR|DCR|2TLV|2DUR|1BBNT	1TBNT|2LEGI|3BBNT|48DUR|5MBVNT|6aRCR|78TLV|8BPWR|9BLASTR
49	22545 22323	 * 	259.15	DCR|2VULN|2TLV|1MLV|2CDMG|1SELL	1TBNT|2MLV|39VULN|4aTLV|56CDMG|7RCR|8SELL
50	52243 33622	   	258.65	DCR|DCR|1TLV|1LIT|1DMG	1FEWX|2GSSFST|3AIRHEL|4LWND|5LHND|6TLV|79RCR|8LIT|aDMG
51	41324 25211	   	257.87	DCR|DCR|1TLV|1LIT|1DUR|1BBNT|1SELL	19LHND|2FEWX|3TLV|4BBNT|5LIT|6SELL|7aRCR|8DUR
52	41324 25231	   	257.87	DCR|DCR|1TLV|1LIT|1DUR|1BBNT|1SELL	1LHND|2FEWX|3TLV|4BBNT|5LIT|6SELL|7aRCR|8DUR|9RCVC
53	22544 21123	   	257.40	DCR|2VULN|2TLV|1MLV|1BBNT	1TBNT|2MLV|36VULN|46TLV|5BBNT|6BPWR|7AAC|8MDPS|9RCR|aRPLT
54	25213 46111	 * 	257.09	ACR|DCR|2VULN|1TLV|1MLV	1TBNT|2RMIN|38RCR|4RPLT|5TLV|6MLV|7GSSFST|9aVULN
55	33124 14353	 * 	256.96	ACR|DCR|1TLV|1LIT|1VULN|1CDMG|1DUR	1ERES|2LHND|3aRCR|4LIT|5DUR|6VULN|7TLV|8MSLTOX|9CDMG
56	51625 33222	 * 	256.79	DCR|3VULN|3DMG|1TLV	124FEWX|367DMG|567VULN|67BPWR|8RCR|9BEXP|aTLV
