0	Index      	 *	Score 	Summary	Detail	
1	21435 31432	 * 	388.68	DCR|3VULN|1MDPS|1DUR|1AART	1AART|2DUR|368BEXP|469VULN|5AETHUN|6BPWR|7RCR|aMDPS
32	63332 61262	   	370.90	DCR|2VULN|1MDPS|3DUR|1CDMG	17aDUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MBVNT
33	63332 61263	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MBVNT|aAEWIND
34	63332 61264	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|2BOSS|3CDMG|45VULN|6RCR|8MDPS|9MBVNT|aASPD
35	21236 22361	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2DUR|3TLV|4RCVC|5TBNT|67VULN|8RCR|9MDPS|aASPD
36	21236 22362	   	370.90	DCR|3VULN|1MDPS|1TLV|1DUR|1AART	1AART|2DUR|3TLV|4RCVC|5TBNT|67aVULN|8RCR|9MDPS
37	21236 22363	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2DUR|3TLV|4RCVC|5TBNT|67VULN|8RCR|9MDPS|aERES
38	21236 22365	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2DUR|3TLV|4RCVC|5TBNT|67VULN|8RCR|9MDPS|aAEFBLL
39	21236 22366	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AART|2DUR|3TLV|4RCVC|5TBNT|67VULN|8RCR|9MDPS|aLIT
40	21352 23525	   	368.89	DCR|2VULN|1MDPS|3DUR|1AART	1AART|239DUR|39BPWR|4BBNT|5AAC|69VULN|7RCR|89CGEN|aMDPS
41	21351 23525	   	368.79	DCR|2VULN|1MDPS|3DUR|1AART	1AART|239DUR|39BPWR|4BBNT|5ASPD|69VULN|7RCR|89CGEN|aMDPS
42	21435 31532	   	368.79	DCR|2VULN|1MDPS|3DUR|1AART	1AART|289DUR|36BEXP|46VULN|5AETHUN|6BPWR|7RCR|aMDPS
