0	Index      	 *	Score 	Summary	Detail	
1	24334 51232	 * 	290.47	DCR|3LIT|3ASPD|1VULN|1MLV|1DMG	1DMG|256LIT|3RMIN|456ASPD|56BPWR|7BEXP|8RCR|9VULN|aMLV
28	24411 14333	 * 	274.43	DCR|2LIT|2MLV|1FLTARM|1VULN|1DMG	1DMG|23LIT|46MLV|5RMIN|7VULN|8CGEN|9FLTARM|aRCR
29	26224 32116	   	274.29	DCR|1LIT|2VULN|2DMG|1MLV|1AART|1DUR	18DMG|2RMIN|3DUR|46VULN|5MLV|7RCR|9LIT|aAART
30	24234 13633	 * 	273.93	DCR|3LIT|1FLTARM|1VULN|1DMG|1CDMG	1DMG|245LIT|35FEWX|5BPWR|6RMIN|7RCR|8CDMG|9FLTARM|aVULN
31	22533 34342	   	273.36	DCR|3LIT|2VULN|2DMG	19DMG|2FEWX|39VULN|4RCVC|569LIT|7RCR|8AART|9BPWR|aZMB
32	24522 33311	 * 	272.22	DCR|2LIT|2MLV|1VULN|1DMG|2CDMG	1DMG|2aLIT|3VULN|4ERES|5aCDMG|6RMIN|7BEXP|8RCR|9aMLV|aBPWR
33	25611 12322	   	271.69	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	13DMG|25VULN|45DUST|5BPWR|6BEXP|7RCR|8LIT|9ASPD|aMLV
34	13122 68252	 * 	271.41	DCR|3LIT|3VULN|2ASPD	1AART|2MBVNT|3LEGI|469VULN|579LIT|89ASPD|9BPWR|aRCR
35	23333 62145	 * 	271.06	DCR|2LIT|3VULN|2DMG	19DMG|2BEXP|3RMIN|49LIT|5BASHEA|6LSRHEA|7RCR|89aVULN|9BPWR
36	13522 12336	 * 	271.00	ACR|3LIT|2VULN|1MLV|2ASPD	1AART|2MBVNT|3RCR|49VULN|59aLIT|6ZMB|7MLV|89ASPD|9BPWR
37	25422 32111	   	270.96	DCR|2LIT|3VULN|2DMG|1DUR	18DMG|256VULN|3DUR|4FEWX|7RCR|9aLIT
38	25422 32351	   	270.96	DCR|2LIT|3VULN|2DMG|1DUR	19DMG|256VULN|3DUR|4FEWX|7RCR|8aLIT
39	55152 32111	   	270.96	DCR|2LIT|3VULN|2DMG|1DUR	1FEWX|256VULN|3DUR|48DMG|7RCR|9aLIT
40	65152 32111	   	270.96	DCR|2LIT|3VULN|2DMG|1DUR	1LWND|256VULN|3DUR|48DMG|7RCR|9aLIT
41	65162 32111	   	270.96	DCR|2LIT|3VULN|2DMG|1DUR	1LWND|246VULN|3DUR|58DMG|7RCR|9aLIT
42	32251 13653	   	270.10	DCR|2LIT|1FLTARM|1MLV|1VULN|1ASPD	1ZMB|2FEWX|3FLTARM|4RCVC|56LIT|7MLV|8VULN|9ASPD|aRCR
43	13522 62252	 * 	269.63	ACR|2LIT|4VULN|2ASPD|1CDMG	1AART|2MBVNT|3RCR|4679VULN|59LIT|89ASPD|9BPWR|aCDMG
44	22251 11213	   	269.58	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1DMG|27FEWX|3FLTARM|4RCVC|56LIT|8VULN|9MLV|aRCR
45	22251 13633	   	269.58	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1DMG|29FEWX|3FLTARM|4RCVC|56LIT|7MLV|8VULN|aRCR
46	22236 12561	   	269.48	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG|1DUR	1DMG|2FEWX|3FLTARM|4DUR|5BEXP|6MLV|78LIT|9VULN|aRCR
47	22232 12561	   	269.38	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1DUR	1DMG|2FEWX|3FLTARM|4DUR|5DUST|6MLV|78LIT|9VULN|aRCR
48	24424 33211	   	269.12	DCR|3LIT|2VULN|1DMG|1ASPD	1DMG|235LIT|45DUST|5BPWR|6aVULN|7RCR|8ZMB|9ASPD
49	32563 32152	   	268.57	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|2FEWX|34VULN|56LIT|7LWND|8RCR|9DMG|aMLV
50	35163 32152	   	268.57	DCR|2LIT|2VULN|1MLV|1DMG	1ZMB|24VULN|3FEWX|56LIT|7LWND|8RCR|9DMG|aMLV
51	32563 31152	   	268.47	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1ZMB|2FEWX|34VULN|56LIT|7DUR|8RCR|9DMG|aMLV
52	35163 31152	   	268.47	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1ZMB|24VULN|3FEWX|56LIT|7DUR|8RCR|9DMG|aMLV
53	24231 21535	   	268.22	DCR|3LIT|2VULN|2DMG	1aDMG|24aLIT|3FEWX|57CGEN|6RCR|8DMSP|9aVULN|aBPWR
54	24631 21335	   	268.22	DCR|3LIT|2VULN|2DMG	1aDMG|24aLIT|38LWND|57CGEN|6RCR|9aVULN|aBPWR
55	24531 21264	   	268.12	DCR|3LIT|2VULN|2DMG	19DMG|24aLIT|39VULN|579CGEN|6RCR|8MBVNT|9BPWR
56	34234 13161	   	267.70	DCR|3LIT|2VULN|1MLV	1ZMB|245LIT|35FEWX|5BPWR|6RMIN|7RCR|8aVULN|9MLV
57	12663 35221	   	266.76	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1AART|2LHND|3FLTARM|46LIT|5VULN|7CDMG|8RCR|9MLV|aRCVC
58	12663 35222	   	266.76	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1AART|2LHND|3FLTARM|46LIT|5VULN|7CDMG|8RCR|9MLV|aBELT
59	12663 35223	   	266.66	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1AART|2LHND|3FLTARM|46LIT|5VULN|7CDMG|8RCR|9MLV|aLEGI
60	25531 21351	   	266.58	DCR|2LIT|2VULN|3DMG	19aDMG|29VULN|34LIT|57CGEN|6RCR|89LWND|9BPWR
61	25531 22251	   	266.58	DCR|2LIT|2VULN|3DMG	19aDMG|29VULN|34LIT|58CGEN|6RCR|79LHND|9BPWR
62	24634 13133	   	266.52	DCR|3LIT|2VULN|2DMG	1aDMG|245LIT|35LWND|5aBPWR|6RMIN|7RCR|8aVULN|9aFEWX
63	24531 21261	   	266.48	DCR|2LIT|2VULN|3DMG	19aDMG|24LIT|39VULN|579CGEN|6RCR|8MBVNT|9BPWR
64	22533 34152	   	266.42	DCR|3LIT|2VULN|2DMG	19DMG|2FEWX|39VULN|4RCVC|569LIT|7RCR|8RMIN|9BPWR|aLHND
65	22533 34153	   	266.42	DCR|3LIT|2VULN|2DMG	19DMG|2FEWX|39VULN|4RCVC|569LIT|7RCR|8RMIN|9BPWR|aTLV
66	22533 34341	   	266.42	DCR|3LIT|2VULN|2DMG	19DMG|2FEWX|39VULN|4RCVC|569LIT|7RCR|8AART|9BPWR|aBEXP
67	25531 23251	   	266.38	DCR|2LIT|2VULN|3DMG|2DUR	19aDMG|29VULN|34LIT|58CGEN|6RCR|79DUR|9BPWR
68	24234 13123	   	266.32	DCR|3LIT|2VULN|2DMG|2DUR	1aDMG|245LIT|35FEWX|5aBPWR|6RMIN|7RCR|8aVULN|9aDUR
69	24634 13123	   	266.32	DCR|3LIT|2VULN|2DMG|2DUR	1aDMG|245LIT|35LWND|5aBPWR|6RMIN|7RCR|8aVULN|9aDUR
70	22533 34343	   	266.32	DCR|3LIT|2VULN|2DMG|1DUR	19DMG|2FEWX|39VULN|4RCVC|569LIT|7RCR|8AART|9BPWR|aDUR
71	25611 12331	   	266.12	DCR|3LIT|2VULN|2DMG	13DMG|25VULN|45DUST|5BPWR|6BEXP|7RCR|89aLIT
72	32261 43532	 * 	265.99	DCR|2LIT|2FLTARM|2DMG|1CDMG|2ZMB	18ZMB|2FEWX|38FLTARM|4RPLT|5CDMG|69DMG|78LIT|8BPWR|aRCR
73	24531 22622	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|24LIT|3aVULN|5CGEN|6RCR|7LHND|8BELT|9MLV
74	25531 22622	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|2aVULN|34LIT|5CGEN|6RCR|7LHND|8BELT|9MLV
75	13212 82216	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1AART|2MBVNT|38DUST|48VULN|58LIT|6RCR|7BELT|8BPWR|9DMG|aMLV
76	24414 22311	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|23LIT|4MLV|5FEWX|6RCR|7LWND|8DUR|9aVULN
77	24414 23231	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|23LIT|4MLV|5FEWX|6RCR|7aVULN|8CGEN|9DUST
78	24414 23311	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|23LIT|4MLV|5FEWX|6RCR|7aVULN|8DUR|9TLV
79	24531 21125	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|24LIT|39VULN|57CGEN|6RCR|8ERES|aMLV
80	25531 21125	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|29VULN|34LIT|57CGEN|6RCR|8ERES|aMLV
81	25611 12336	   	265.07	DCR|2LIT|2VULN|2DMG|1AART	13DMG|25VULN|45DUST|5BPWR|6BEXP|7RCR|89LIT|aAART
82	24123 66223	   	265.07	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|26LIT|3ZMB|47VULN|56FRZICY|6BPWR|8FEWX|9MLV|aRCR
83	24414 23131	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|23LIT|4MLV|5FEWX|6RCR|7aVULN|8NUKE|9DUST
84	24414 23323	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG|2DUR	1DMG|23LIT|4MLV|5FEWX|6RCR|7aVULN|89DUR
85	24123 62163	   	264.97	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|26LIT|3ZMB|49VULN|56FRZICY|6BPWR|7MLV|8DUST|aRCR
86	13482 25634	   	264.89	DCR|2LIT|2MLV|2VULN|1ASPD|1DUR	1AART|2MBVNT|39VULN|4DUR|59LIT|69MLV|7DMSP|8RCR|9BPWR|aASPD
87	22533 14151	   	264.78	DCR|2LIT|2VULN|3DMG	19aDMG|26FEWX|39VULN|4RCVC|59LIT|7RCR|8RMIN|9BPWR
88	25621 12353	   	264.68	DCR|2LIT|2VULN|3DMG	139DMG|25VULN|45LWND|5BPWR|6BEXP|7RCR|8aLIT
89	23333 62143	   	264.58	DCR|2LIT|2VULN|3DMG	19aDMG|2BEXP|3RMIN|49LIT|5BASHEA|6LSRHEA|7RCR|89VULN|9BPWR
90	12663 11343	 * 	264.52	DCR|3LIT|2VULN|1FLTARM	1AART|2LHND|3FLTARM|479LIT|5aVULN|6FEWX|8RCR
91	12663 32343	   	264.52	DCR|3LIT|2VULN|1FLTARM	1AART|2LHND|3FLTARM|469LIT|5aVULN|7BEXP|8RCR
92	26233 62143	   	264.48	DCR|2LIT|2VULN|3DMG|1DUR	19aDMG|2RMIN|3DUR|49LIT|5BASHEA|6LSRHEA|7RCR|89VULN|9BPWR
93	12663 21343	   	264.42	DCR|3LIT|2VULN|1FLTARM	1AART|2LHND|3FLTARM|479LIT|5aVULN|6LEGI|8RCR
94	25422 32116	   	264.34	DCR|3VULN|1LIT|2DMG|1AART|1DUR	18DMG|256VULN|3DUR|4FEWX|7RCR|9LIT|aAART
95	24521 23125	 * 	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1DMG|2LIT|379VULN|45ERES|6RCR|8CGEN|aMLV
96	25521 23125	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1DMG|279VULN|3LIT|45ERES|6RCR|8CGEN|aMLV
97	24531 22511	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1DMG|248LIT|3aVULN|5CGEN|6RCR|7LHND|9ASPD
98	25531 22511	   	264.08	DCR|3LIT|2VULN|1DMG|1ASPD	1DMG|2aVULN|348LIT|5CGEN|6RCR|7LHND|9ASPD
99	24531 23511	   	263.98	DCR|3LIT|2VULN|1DMG|1ASPD|1DUR	1DMG|248LIT|3aVULN|5CGEN|6RCR|7DUR|9ASPD
100	25531 23511	   	263.98	DCR|3LIT|2VULN|1DMG|1ASPD|1DUR	1DMG|2aVULN|348LIT|5CGEN|6RCR|7DUR|9ASPD
101	13712 24615	   	263.60	DCR|2LIT|3VULN|1MLV	1AART|2MBVNT|3LHND|47aVULN|59LIT|6MLV|8RCR
102	13712 24646	   	263.60	DCR|2LIT|3VULN|1MLV	1AART|2MBVNT|3LHND|479VULN|5aLIT|6MLV|8RCR
103	62322 36331	   	263.60	DCR|2LIT|3VULN|1MLV	1LWND|2FEWX|37aVULN|49LIT|5DUST|6MLV|8RCR
104	62364 32331	   	263.60	DCR|2LIT|3VULN|1MLV	1LWND|2FEWX|34aVULN|5MLV|69LIT|7DUST|8RCR
105	65324 32331	   	263.60	DCR|2LIT|3VULN|1MLV	1LWND|23aVULN|4FEWX|5MLV|69LIT|7DUST|8RCR
106	13212 24645	   	263.50	DCR|2LIT|3VULN|1MLV	1AART|2MBVNT|3DUST|49aVULN|57LIT|6MLV|8RCR
107	24334 16123	   	263.43	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1DMG|25LIT|3RMIN|45ASPD|5BPWR|6MLV|7RCR|8CGEN|9VULN|aFEWX
108	26224 32311	   	263.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|2RMIN|3DUR|46VULN|5MLV|7RCR|8aLIT|9RCVC
109	26224 32341	   	263.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|29RMIN|3DUR|46VULN|5MLV|7RCR|8aLIT
110	26224 32363	   	263.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|2RMIN|3DUR|46VULN|5MLV|7RCR|8aLIT|9BELT
111	24334 16122	   	263.33	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|1DUR	1DMG|25LIT|3RMIN|45ASPD|5BPWR|6MLV|7RCR|8CGEN|9VULN|aDUR
112	24334 16323	   	263.33	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|1DUR	1DMG|25LIT|3RMIN|45ASPD|5BPWR|6MLV|7RCR|8DUR|9FEWX|aVULN
113	24334 16333	   	263.33	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|1DUR	1DMG|25LIT|3RMIN|45ASPD|5BPWR|6MLV|7RCR|8DUR|9BEXP|aVULN
114	24414 21233	   	263.26	DCR|3LIT|1VULN|1MLV|1DMG	1DMG|239LIT|4MLV|5FEWX|6RCR|7CGEN|8ZMB|aVULN
115	26224 32351	   	263.23	DCR|2LIT|2VULN|1MLV|1DMG|2DUR	1DMG|2RMIN|39DUR|46VULN|5MLV|7RCR|8aLIT
116	12663 51222	   	263.16	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1AART|2LHND|3FLTARM|47LIT|5VULN|6LWND|8CDMG|9MLV|aRCR
117	24134 61222	   	263.08	DCR|1LIT|2DMG|1VULN|1MLV|2ASPD|1DUR	15DMG|2LIT|3ZMB|45ASPD|5BPWR|6DUST|7DUR|8RCR|9VULN|aMLV
118	12663 21222	   	263.06	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1AART|2LHND|3FLTARM|47LIT|5VULN|6LEGI|8CDMG|9MLV|aRCR
119	26131 14211	   	262.96	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	17DMG|2RMIN|3VENICY|4ASPD|56LIT|8VULN|9MLV|aRCR
120	13522 62253	   	262.92	ACR|2LIT|4VULN|2ASPD	1AART|2MBVNT|3RCR|4679VULN|59LIT|89ASPD|9BPWR|aZMB
121	34353 24325	   	262.89	DCR|2MLV|3VULN|1LIT|2ZMB	18ZMB|2LIT|38aVULN|4CGEN|5SPLREG|6MBVNT|78MLV|8BPWR|9RCR
122	22533 14342	   	262.77	DCR|2LIT|2VULN|2DMG|1CDMG	19DMG|26FEWX|39VULN|4RCVC|59LIT|7RCR|8AART|9BPWR|aCDMG
123	25422 32342	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1DMG|256VULN|3DUR|4FEWX|7RCR|8LIT|9RMIN|aMLV
124	26224 32362	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1DMG|2RMIN|3DUR|46aVULN|5MLV|7RCR|8LIT|9BELT
125	26131 12635	   	262.57	DCR|2LIT|2VULN|2DMG|1ASPD	1aDMG|2RMIN|3aVENICY|4ASPD|56LIT|7RCR|8RPLT|9aVULN|aBPWR
126	25422 32332	   	262.50	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1DMG|256VULN|3DUR|4FEWX|7RCR|8LIT|9DUST|aMLV
127	55152 32332	   	262.50	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1FEWX|256VULN|3DUR|4DMG|7RCR|8LIT|9DUST|aMLV
128	65152 32332	   	262.50	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1LWND|256VULN|3DUR|4DMG|7RCR|8LIT|9DUST|aMLV
129	65162 32332	   	262.50	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1LWND|246VULN|3DUR|5DMG|7RCR|8LIT|9DUST|aMLV
130	26224 32331	   	262.50	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1DMG|2RMIN|3DUR|46aVULN|5MLV|7RCR|8LIT|9DUST
131	24234 13111	   	262.38	DCR|3LIT|2VULN|1DMG|1ASPD	1DMG|245LIT|35FEWX|5BPWR|6RMIN|7RCR|8aVULN|9ASPD
132	24234 13141	   	262.38	DCR|3LIT|2VULN|1DMG|1ASPD	1DMG|245LIT|35FEWX|5BPWR|6RMIN|7RCR|89VULN|aASPD
133	24634 13111	   	262.38	DCR|3LIT|2VULN|1DMG|1ASPD	1DMG|245LIT|35LWND|5BPWR|6RMIN|7RCR|8aVULN|9ASPD
134	24424 13111	   	262.18	DCR|3LIT|2VULN|1DMG|1ASPD	1DMG|235LIT|45DUST|5BPWR|6RMIN|7RCR|8aVULN|9ASPD
135	25422 32151	 * 	262.03	DCR|3VULN|3DMG|1MLV|1DUR	18aDMG|256VULN|3DUR|4FEWX|7RCR|9MLV
136	34122 51236	   	261.75	DCR|2LIT|2VULN|1MLV|1CDMG|2ZMB	13ZMB|26LIT|4DUST|5CDMG|78VULN|9MLV|aRCR
137	25611 12323	   	261.74	DCR|3VULN|1LIT|2DMG|1ASPD	13DMG|25aVULN|45DUST|5BPWR|6BEXP|7RCR|8LIT|9ASPD
138	55262 23231	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|24VULN|3LHND|5FRZARM|6DMG|79LIT|8RCR|aMLV
139	22563 42332	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|2FEWX|36VULN|4LHND|59LIT|7DUST|8RCR|aMLV
140	24533 62132	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|24LIT|36VULN|5LWND|7LHND|8RCR|9DUST|aMLV
141	25163 42332	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|26VULN|3FEWX|4LHND|59LIT|7DUST|8RCR|aMLV
142	25533 62132	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|26VULN|34LIT|5LWND|7LHND|8RCR|9DUST|aMLV
143	62352 32332	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LWND|2FEWX|35VULN|4DMG|69LIT|7DUST|8RCR|aMLV
144	62353 42332	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LWND|2FEWX|36VULN|4DMG|59LIT|7DUST|8RCR|aMLV
145	62362 32332	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LWND|2FEWX|34VULN|5DMG|69LIT|7DUST|8RCR|aMLV
146	65262 32332	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LWND|24VULN|3LHND|5DMG|69LIT|7DUST|8RCR|aMLV
147	65322 32332	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LWND|23VULN|4FEWX|5DMG|69LIT|7DUST|8RCR|aMLV
148	24413 24233	   	261.46	DCR|3LIT|1VULN|1MLV|1DMG	1DMG|239LIT|4MLV|5CGEN|6FEWX|7RCR|8ZMB|aVULN
149	24226 52331	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|29LIT|3FEWX|4ERES|5aVULN|6MLV|7DUST|8RCR
150	24523 52331	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|29LIT|3aVULN|4ERES|5LWND|6MLV|7DUST|8RCR
151	24533 61132	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|24LIT|36VULN|5LWND|7DUR|8RCR|9DUST|aMLV
152	25523 52331	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|2aVULN|39LIT|4ERES|5LWND|6MLV|7DUST|8RCR
153	25533 61132	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|26VULN|34LIT|5LWND|7DUR|8RCR|9DUST|aMLV
154	24334 61122	   	261.43	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|1DUR	1DMG|25LIT|3RMIN|45ASPD|5BPWR|6DUST|7DUR|8RCR|9VULN|aMLV
155	24122 23642	   	261.15	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2LIT|3ZMB|48VULN|5ASPD|6LHND|7RCR|9RMIN|aMLV
156	24122 23632	   	261.05	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2LIT|3ZMB|48VULN|5ASPD|6LHND|7RCR|9DUST|aMLV
157	24122 23652	   	261.05	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2LIT|3ZMB|48VULN|5ASPD|6LHND|7RCR|9NUKE|aMLV
158	24135 23632	   	261.05	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2LIT|3ZMB|4ASPD|58VULN|6LHND|7RCR|9DUST|aMLV
159	22411 33535	   	260.97	DCR|2LIT|2VULN|2DMG|1ASPD	19DMG|2FEWX|3AART|49VULN|5aLIT|6ASPD|79TLV|8RCR|9BPWR
160	23411 33535	   	260.97	DCR|2LIT|2VULN|2DMG|1ASPD	19DMG|2BEXP|3AART|49VULN|5aLIT|6ASPD|79TLV|8RCR|9BPWR
161	12663 35211	   	260.87	DCR|2LIT|2VULN|1FLTARM|1CDMG	1AART|2LHND|3FLTARM|46LIT|59VULN|7CDMG|8RCR|aBEXP
162	12663 35212	   	260.87	DCR|2LIT|2VULN|1FLTARM|1CDMG	1AART|2LHND|3FLTARM|46LIT|59VULN|7CDMG|8RCR|aDMSP
163	34234 13633	   	260.80	DCR|3LIT|1FLTARM|1VULN|1CDMG	1ZMB|245LIT|35FEWX|5BPWR|6RMIN|7RCR|8CDMG|9FLTARM|aVULN
