0	Index      	 *	Score 	Summary	Detail	
1	46224 13112	 * 	279.15	DCR|2LIT|2MLV|3VULN	1LEGI|2RMIN|39MLV|4NUKE|59LIT|679VULN|8DMSP|9BPWR|aRCR
31	62512 14133	 * 	257.98	DCR|3VULN|1LIT|1MLV|2DUR|1CDMG	13DUR|23TLV|3BPWR|489VULN|5CDMG|6RCR|7MLV|aLIT
32	13126 42212	 * 	257.37	DCR|2LIT|2VULN|2DMG|1ASPD	1RCVC|29LHND|3CGEN|49LIT|5ASPD|67VULN|89DMG|9BPWR|aRCR
33	23126 42212	   	257.37	DCR|2LIT|2VULN|2DMG|1ASPD	1DMSP|29LHND|3CGEN|49LIT|5ASPD|67VULN|89DMG|9BPWR|aRCR
34	11125 42212	   	257.17	DCR|2LIT|2VULN|2DMG|1ASPD	1RCVC|29DUST|3CGEN|49LIT|5ASPD|67VULN|89DMG|9BPWR|aRCR
35	21125 42212	   	257.17	DCR|2LIT|2VULN|2DMG|1ASPD	1DMSP|29DUST|3CGEN|49LIT|5ASPD|67VULN|89DMG|9BPWR|aRCR
36	53126 42212	   	257.17	DCR|2LIT|2VULN|2DMG|1ASPD	19LHND|23ERES|49LIT|5ASPD|67VULN|89DMG|9BPWR|aRCR
37	63126 42212	 * 	256.97	DCR|2LIT|2VULN|2DMG|2DUR|1ASPD	19DUR|23ERES|49LIT|5ASPD|67VULN|89DMG|9BPWR|aRCR
38	13633 15234	   	256.01	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1RCVC|2LHND|39VULN|4CDMG|5MLV|6RCR|7DMG|8BEXP|aLIT
39	13633 15334	   	256.01	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1RCVC|2LHND|39VULN|4CDMG|5MLV|6RCR|7DMG|8FEWX|aLIT
40	23633 15234	   	256.01	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|2LHND|39VULN|4CDMG|5MLV|6RCR|7DMG|8BEXP|aLIT
41	23633 15334	   	256.01	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|2LHND|39VULN|4CDMG|5MLV|6RCR|7DMG|8FEWX|aLIT
42	52133 13124	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LHND|2TLV|3ERES|4CDMG|5MLV|6RCR|7DMG|89VULN|aLIT
43	53633 13124	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LHND|2ERES|3CDMG|4TLV|5MLV|6RCR|7DMG|89VULN|aLIT
44	13633 15113	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1RCVC|2LHND|38VULN|4CDMG|5MLV|6RCR|7DMG|9ERES|aLIT
45	13633 15125	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1RCVC|2LHND|38VULN|4CDMG|5MLV|6RCR|7DMG|9MBVNT|aLIT
46	23633 15113	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|2LHND|38VULN|4CDMG|5MLV|6RCR|7DMG|9ERES|aLIT
47	23633 15125	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|2LHND|38VULN|4CDMG|5MLV|6RCR|7DMG|9MBVNT|aLIT
48	63633 13124	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1DUR|2ERES|3CDMG|4TLV|5MLV|6RCR|7DMG|89VULN|aLIT
49	42152 21311	 * 	254.44	DCR|1LIT|2VULN|2DMG|1MLV	1LEGI|27DUST|37LHND|4aDMG|5MLV|67VULN|7BPWR|8LIT|9RCR
50	44352 21311	   	254.44	DCR|1LIT|2VULN|2DMG|1MLV	1LEGI|27LHND|37DUST|4aDMG|5MLV|67VULN|7BPWR|8LIT|9RCR
51	55152 21311	   	254.44	DCR|1LIT|2VULN|2DMG|1MLV	17LHND|27DUST|3LEGI|4aDMG|5MLV|67VULN|7BPWR|8LIT|9RCR
52	55352 21311	 * 	254.44	DCR|1LIT|2VULN|2DMG|1MLV|2DUR	17LHND|2DUST|37DUR|4aDMG|5MLV|67VULN|7BPWR|8LIT|9RCR
53	61152 21311	   	254.44	DCR|1LIT|2VULN|2DMG|1MLV|2DUR	17DUR|27LWND|3LEGI|4aDMG|5MLV|67VULN|7BPWR|8LIT|9RCR
54	65152 21311	   	254.44	DCR|1LIT|2VULN|2DMG|1MLV|2DUR	17DUR|2DUST|37LHND|4aDMG|5MLV|67VULN|7BPWR|8LIT|9RCR
55	65352 21311	   	254.44	DCR|1LIT|2VULN|2DMG|1MLV|2DUR	17DUR|2DUST|37LWND|4aDMG|5MLV|67VULN|7BPWR|8LIT|9RCR
56	65252 21311	   	254.24	DCR|1LIT|2VULN|2DMG|1MLV|2DUR	17DUR|27DUST|3LEGI|4aDMG|5MLV|67VULN|7BPWR|8LIT|9RCR
57	13633 43234	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1RCVC|2LHND|39VULN|4CDMG|5MLV|6DMG|7RCR|8BEXP|aLIT
58	13633 43334	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1RCVC|2LHND|39VULN|4CDMG|5MLV|6DMG|7RCR|8FEWX|aLIT
59	23633 43234	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|2LHND|39VULN|4CDMG|5MLV|6DMG|7RCR|8BEXP|aLIT
60	23633 43334	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|2LHND|39VULN|4CDMG|5MLV|6DMG|7RCR|8FEWX|aLIT
61	13633 43113	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1RCVC|2LHND|38VULN|4CDMG|5MLV|6DMG|7RCR|9ERES|aLIT
62	13633 43125	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1RCVC|2LHND|38VULN|4CDMG|5MLV|6DMG|7RCR|9MBVNT|aLIT
63	23633 43113	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|2LHND|38VULN|4CDMG|5MLV|6DMG|7RCR|9ERES|aLIT
64	23633 43125	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|2LHND|38VULN|4CDMG|5MLV|6DMG|7RCR|9MBVNT|aLIT
65	52133 43124	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LHND|2TLV|3ERES|4CDMG|5MLV|6DMG|7RCR|89VULN|aLIT
66	16533 25311	 * 	253.01	DCR|2LIT|1FLTARM|1VULN|1MLV	12RCVC|3DUST|47LIT|5FLTARM|6VULN|8RCR|9MLV|aLWND
67	26533 25311	   	253.01	DCR|2LIT|1FLTARM|1VULN|1MLV	1DMSP|2RCVC|3DUST|47LIT|5FLTARM|6VULN|8RCR|9MLV|aLWND
68	16533 25312	   	252.91	DCR|2LIT|1FLTARM|1VULN|1MLV|1DUR	12RCVC|3DUST|47LIT|5FLTARM|6VULN|8RCR|9MLV|aDUR
69	16533 25313	   	252.91	DCR|2LIT|1FLTARM|1VULN|1MLV	12RCVC|3DUST|47LIT|5FLTARM|6VULN|8RCR|9MLV|aERES
70	16533 25333	   	252.91	DCR|2LIT|1FLTARM|1VULN|1MLV	12RCVC|39DUST|47LIT|5FLTARM|6VULN|8RCR|aMLV
71	26533 25312	   	252.91	DCR|2LIT|1FLTARM|1VULN|1MLV|1DUR	1DMSP|2RCVC|3DUST|47LIT|5FLTARM|6VULN|8RCR|9MLV|aDUR
72	26533 25313	   	252.91	DCR|2LIT|1FLTARM|1VULN|1MLV	1DMSP|2RCVC|3DUST|47LIT|5FLTARM|6VULN|8RCR|9MLV|aERES
73	26533 25333	   	252.91	DCR|2LIT|1FLTARM|1VULN|1MLV	1DMSP|2RCVC|39DUST|47LIT|5FLTARM|6VULN|8RCR|aMLV
74	64313 36112	   	252.74	DCR|1LIT|2VULN|2DMG|1MLV|2DUR	19DUR|2RMIN|39DMG|48DMSP|5MLV|6LIT|79VULN|9BPWR|aRCR
75	13632 43133	   	251.19	DCR|3VULN|1LIT|1DMG|1CDMG	1RCVC|2LHND|389VULN|4CDMG|5ZMB|6DMG|7RCR|aLIT
76	23632 43133	   	251.19	DCR|3VULN|1LIT|1DMG|1CDMG	1DMSP|2LHND|389VULN|4CDMG|5ZMB|6DMG|7RCR|aLIT
77	14312 14133	   	251.13	DCR|3VULN|1LIT|1MLV|1SELL	1RCVC|2SELL|3LWND|489VULN|5ZMB|6RCR|7MLV|aLIT
78	24312 14133	   	251.13	DCR|3VULN|1LIT|1MLV|1SELL	1DMSP|2SELL|3LWND|489VULN|5ZMB|6RCR|7MLV|aLIT
79	52526 22212	   	250.76	DCR|2LIT|2VULN|2DMG	139LHND|23TLV|39BPWR|49LIT|5ZMB|67VULN|89DMG|aRCR
80	52226 22212	   	250.66	DCR|2LIT|2VULN|2DMG	19LHND|23TLV|49LIT|5ZMB|67VULN|89DMG|9BPWR|aRCR
81	62226 22212	   	250.46	DCR|2LIT|2VULN|2DMG|2DUR	19DUR|23TLV|49LIT|5ZMB|67VULN|89DMG|9BPWR|aRCR
82	53334 22252	 * 	249.86	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	14LHND|2ERES|3FEWX|5LIT|6RCR|7MLV|8DMG|9VULN|aFLTARM
83	13633 16134	   	249.59	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1RCVC|2LHND|39VULN|4CDMG|5MLV|6RCR|7BEXP|8ASPD|aLIT
84	23633 16134	   	249.59	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1DMSP|2LHND|39VULN|4CDMG|5MLV|6RCR|7BEXP|8ASPD|aLIT
85	13632 43135	   	249.48	DCR|3VULN|1MLV|1DMG|1CDMG	1RCVC|2LHND|389VULN|4CDMG|5ZMB|6DMG|7RCR|aMLV
86	23632 43135	   	249.48	DCR|3VULN|1MLV|1DMG|1CDMG	1DMSP|2LHND|389VULN|4CDMG|5ZMB|6DMG|7RCR|aMLV
87	46222 12134	   	249.39	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1LEGI|2RMIN|3MLV|4NUKE|5CDMG|6RCR|79VULN|8ASPD|aLIT
