0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21224 36122	1	 * 	279.33	DCR|5VULN|3TLV|1CDMG|1AART	1CDMG|24567VULN|345TLV|45BPWR|8AART|9LIT|aRCR
29	22361 45223	3	   	262.89	DCR|2VULN|2TLV|2DUR|1DMG|2CDMG	17CDMG|23TLV|4RMIN|57VULN|67DUR|7BPWR|8LIT|9RCR|aDMG
30	22364 35223	3	   	262.89	DCR|2VULN|2TLV|2DUR|1DMG|2CDMG	17CDMG|23TLV|4RMIN|57DUR|67VULN|7BPWR|8LIT|9RCR|aDMG
31	62531 15223	6	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	159VULN|26CGEN|3TLV|45DMG|5BPWR|7RCR|8LIT|aDUR
32	63163 53331	5	   	261.62	DCR|3VULN|3DMG|2TLV	157VULN|2BELT|367DMG|47TLV|7BPWR|8ERES|9RCR|aFEWX
33	22214 41421	7	 * 	261.58	DCR|3DUR|1VULN|2DMG|2TLV|3CDMG	138CDMG|24TLV|58aDUR|68DMG|7RCR|8BPWR|9VULN
34	63163 53332	5	   	261.52	DCR|3VULN|3DMG|2TLV	157VULN|2BELT|367DMG|47TLV|7BPWR|8ERES|9RCR|aDUST
35	13343 13178	2	 * 	261.47	DCR|3VULN|2DMG|1TLV|3ASPD	13aASPD|2aDMG|4TLV|5ZMB|69aVULN|7RCR|8MBVNT|aBPWR
36	21224 33163	1	   	261.36	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7CGEN|8RCR|aMLV
37	21224 33165	1	   	261.36	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7CGEN|8RCR|aLWND
38	21224 33166	1	   	261.36	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7CGEN|8RCR|aDMSP
39	21224 31162	1	   	261.26	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7ERES|8RCR|aCGEN
40	21224 31163	1	   	261.26	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7ERES|8RCR|aLHND
41	21224 31165	1	   	261.26	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7ERES|8RCR|aLWND
42	21224 31166	1	   	261.26	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7ERES|8RCR|aDMSP
43	21224 33132	1	   	261.26	DCR|5VULN|3TLV|1CDMG	1CDMG|2456aVULN|345TLV|45BPWR|7CGEN|8RCR|9ERES
44	21224 33161	1	   	261.26	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7CGEN|8RCR|aERES
45	21224 33164	1	   	261.26	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7CGEN|8RCR|aDUST
46	21224 31161	1	   	261.16	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7aERES|8RCR
47	21224 31164	1	   	261.16	DCR|5VULN|3TLV|1CDMG	1CDMG|24569VULN|345TLV|45BPWR|7ERES|8RCR|aDUST
48	21263 51116	1	   	261.07	DCR|2VULN|2DMG|1TLV|2ASPD|1CDMG|1AART	1CDMG|2aVULN|3TLV|4LIT|5aDMG|6LWND|7RCR|8aASPD|9AART|aBPWR
49	21263 61111	1	   	261.07	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|26VULN|3TLV|4LIT|56DMG|6BPWR|7BEXP|8AART|9DUR|aRCR
50	21263 66111	1	   	261.07	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|26VULN|3TLV|4LIT|56DMG|6BPWR|7AART|8LHND|9DUR|aRCR
51	21224 33145	1	   	260.99	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9AART|aLIT
52	21224 31145	1	   	260.89	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9AART|aLIT
53	22516 38231	4	 * 	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	19CDMG|2TLV|39DUR|4MBVNT|569VULN|7AART|8RMIN|9BPWR|aRCR
54	22621 22331	4	   	260.55	DCR|3VULN|2DUR|1TLV|2CDMG|1AART|1SELL	19CDMG|2TLV|3RPLT|4SELL|589VULN|69DUR|7AART|9BPWR|aRCR
55	62531 63132	6	   	259.85	DCR|3VULN|2DMG|1TLV|1CDMG	159VULN|2CGEN|3TLV|45DMG|5BPWR|6ZMB|7RCR|8CDMG|aLIT
56	21224 33111	1	   	259.63	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9LIT|aASPD
57	21224 13463	1	 * 	259.62	DCR|3VULN|2DMG|3TLV|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8aDMG|9CGEN
58	21224 31111	1	   	259.53	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9LIT|aASPD
59	21224 13433	1	   	259.52	DCR|3VULN|2DMG|3TLV|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8aDMG|9ERES
60	63331 53523	1	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	169VULN|23DUR|4ZMB|5DMG|7RCR|8ASPD|aTLV
61	21224 16226	1	   	259.27	DCR|4VULN|3TLV|1DUR|1CDMG	1CDMG|2458VULN|345TLV|45BPWR|6BELT|7CGEN|9DUR|aRCR
62	21224 12226	1	   	259.17	DCR|4VULN|3TLV|1DUR|1CDMG	1CDMG|2458VULN|345TLV|45BPWR|6BELT|7ERES|9DUR|aRCR
63	13453 31135	6	   	258.83	DCR|2VULN|2DMG|1TLV|2CDMG|2ASPD|1AART|1SELL	19ASPD|29DMG|36VULN|4TLV|5SELL|7AART|89CDMG|9BPWR|aRCR
64	21224 13333	1	   	258.28	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8RPLT|9DUR|aDMG
65	21224 13461	1	   	258.28	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9CGEN|aDUR
66	21224 21216	1	   	258.28	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BEXP|7LHND|8DUR|9RCR|aDMG
67	63113 16131	3	   	258.27	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|47DUR|5RCVC|7BPWR|9RCR|aFEWX
68	63113 16134	3	   	258.27	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|47DUR|5RCVC|7BPWR|9RCR|aLWND
69	63114 16131	5	   	258.27	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|4DMSP|57DUR|7BPWR|9RCR|aFEWX
70	63116 16131	4	   	258.27	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|4DMSP|57DUR|7BPWR|9RCR|aFEWX
71	21222 31616	1	   	258.18	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1CDMG|246VULN|34TLV|4BPWR|5TBNT|7LHND|8DUR|9RCR|aDMG
72	21224 13431	1	   	258.18	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9ERES|aDUR
73	21224 13453	1	   	258.18	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9DUST|aDUR
74	21224 51216	1	   	258.18	DCR|3VULN|3TLV|1DMG|1DUR|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6DUST|7LHND|8DUR|9RCR|aDMG
75	22632 23425	7	   	258.18	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1CDMG|25TLV|3RPLT|4DMG|6RCR|79aVULN|8DUR
76	63113 16132	3	   	258.17	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|47DUR|5RCVC|7BPWR|9RCR|aDUST
77	63114 16132	5	   	258.17	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|4DMSP|57DUR|7BPWR|9RCR|aDUST
78	63116 16132	4	   	258.17	DCR|3VULN|3DMG|2DUR	178VULN|2BELT|367DMG|4DMSP|57DUR|7BPWR|9RCR|aDUST
79	13424 43321	10	   	258.15	DCR|2VULN|2TLV|1DMG|2ASPD|1DUR|1CDMG	17ASPD|2DMG|37VULN|4CDMG|5LIT|67TLV|7BPWR|8LHND|9RCR|aDUR
80	21225 33216	1	   	258.08	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1CDMG|247VULN|34TLV|4BPWR|5DUST|6BBNT|8DUR|9RCR|aDMG
81	22636 41123	7	 * 	257.95	DCR|3VULN|2DMG|1TLV|2CDMG	1aCDMG|2TLV|3RPLT|4aDMG|5BEXP|6FEWX|79aVULN|8RCR|aBPWR
82	22636 41323	8	   	257.95	DCR|3VULN|2DMG|1TLV|2CDMG	1aCDMG|2TLV|3RPLT|4aDMG|5BEXP|6FEWX|79aVULN|8RCR|aBPWR
83	22522 33344	10	   	257.64	DCR|2VULN|3DUR|1TLV|2CDMG|1AART	19CDMG|2TLV|39aDUR|4LWND|5AART|6ASPD|79VULN|8RCR|9BPWR
84	13633 26622	8	 * 	257.62	DCR|2VULN|2DMG|1TLV|3LIT|1DUR	1ASPD|25DMG|345LIT|5BPWR|69VULN|7TLV|8RCR|aDUR
85	22632 21424	6	   	257.59	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	1aCDMG|25TLV|3RPLT|4aDMG|6RCR|7BEXP|8DUR|9aVULN|aBPWR
86	22632 22424	6	   	257.59	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	1aCDMG|25TLV|3RPLT|4aDMG|6RCR|7LWND|8DUR|9aVULN|aBPWR
87	63111 14113	3	   	257.38	DCR|3VULN|2DMG|2DUR|2LIT	179VULN|2BELT|3aDMG|49DUR|5TBNT|69LIT|8RCR|9BPWR
88	63126 35222	3	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|2BELT|37DMG|4BEXP|5DUST|67aDUR|7BPWR|8RCR|9TLV
89	63136 35222	4	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|2BELT|37DMG|4FEWX|5DUST|67aDUR|7BPWR|8RCR|9TLV
90	63152 35222	4	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|2BELT|37DMG|4DUST|5BEXP|67aDUR|7BPWR|8RCR|9TLV
91	63152 35222	5	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|2BELT|37DMG|4DUST|5FEWX|67aDUR|7BPWR|8RCR|9TLV
92	11421 31263	10	 * 	257.16	DCR|2VULN|3DMG|2DUR|3ASPD	125ASPD|2aBPWR|38aDMG|4RMIN|6aDUR|7aVULN|9RCR
93	16421 31263	10	   	257.16	DCR|2VULN|3DMG|2DUR|3ASPD	125ASPD|38aDMG|4RMIN|6aDUR|7aVULN|9RCR|aBPWR
94	64611 32233	7	   	257.03	DCR|4VULN|2DUR|2ASPD|2LIT	149aVULN|2RCVC|35ASPD|69DUR|7RCR|89LIT|9BPWR
95	21224 13414	1	   	256.89	DCR|3VULN|3TLV|1DMG|2LIT|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9aLIT
96	13643 16233	6	 * 	256.84	DCR|2VULN|2DMG|1TLV|3ASPD|3LIT	149ASPD|25DMG|359LIT|59BPWR|69VULN|7RCR|8RMIN|aTLV
97	13643 36233	5	   	256.84	DCR|2VULN|2DMG|1TLV|3ASPD|3LIT	149ASPD|25DMG|359LIT|59BPWR|69VULN|7RCR|8RMIN|aTLV
98	22516 32118	4	 * 	256.83	DCR|3VULN|2DUR|1TLV|3CDMG|1SELL	18aCDMG|2TLV|3aDUR|4MBVNT|56aVULN|7SELL|9RCR|aBPWR
99	63142 16133	3	 * 	256.80	DCR|4VULN|3DMG	1478VULN|2BELT|367DMG|57BEXP|7BPWR|9RCR|aASPD
100	21224 13411	1	 * 	256.65	DCR|3VULN|3TLV|1DMG|2CDMG	1aCDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9LIT
101	21325 15223	1	   	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	17CDMG|257VULN|3LEGI|47TLV|6RMIN|7BPWR|8LIT|9RCR|aDMG
102	13633 21221	7	 * 	256.11	DCR|3VULN|2DMG|3LIT|1DUR	1ASPD|25DMG|345LIT|5BPWR|679VULN|8RCR|aDUR
103	13633 26221	6	   	256.11	DCR|3VULN|2DMG|3LIT|1DUR	1ASPD|25DMG|345LIT|5BPWR|679VULN|8RCR|aDUR
104	13633 26221	5	   	256.11	DCR|3VULN|2DMG|3LIT|1DUR	1ASPD|25DMG|345LIT|5BPWR|679VULN|8RCR|aDUR
105	64412 23232	3	   	256.05	DCR|3VULN|3DMG|2LIT|1CDMG	139VULN|2RCVC|46LIT|569DMG|69BPWR|7RCR|89BEXP|aCDMG
106	64412 23132	3	   	255.85	DCR|3VULN|3DMG|2LIT|1CDMG	139VULN|2RCVC|46LIT|569DMG|69BPWR|7RCR|89DUST|aCDMG
107	22333 35323	3	 * 	255.53	ACR|3VULN|3DMG|3TLV|3CDMG	17aCDMG|23aTLV|478DMG|5RCR|67aVULN|7aBPWR|9RPLT
108	65513 22311	10	   	255.40	DCR|3VULN|2TLV|2DUR|2ASPD	15aVULN|2BEXP|3aDUR|4LWND|69ASPD|7aTLV|8RCR|aBPWR
109	61513 22311	10	   	255.30	DCR|3VULN|2TLV|2DUR|2ASPD	15aVULN|2DUST|3aDUR|4LWND|69ASPD|7aTLV|8RCR|aBPWR
110	21224 31123	1	 * 	255.27	DCR|4VULN|3TLV|3CDMG	19aCDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR
111	22622 35223	5	   	255.23	DCR|4VULN|3TLV|3CDMG|1SELL	157CDMG|27aTLV|3RPLT|4SELL|679aVULN|7aBPWR|8RCR
112	22622 65223	6	   	255.23	DCR|4VULN|3TLV|3CDMG|1SELL	157CDMG|27aTLV|3RPLT|4SELL|679aVULN|7aBPWR|8RCR
113	22623 35223	4	   	255.23	DCR|4VULN|3TLV|3CDMG|1SELL	157CDMG|27aTLV|3RPLT|4SELL|679aVULN|7aBPWR|8RCR
114	13422 26352	4	   	254.83	DCR|3VULN|2DUR|1DMG|2ASPD|1CDMG	17ASPD|2DMG|37aVULN|4CDMG|5LWND|67DUR|7BPWR|8BEXP|9RCR
115	13423 26352	5	   	254.83	DCR|3VULN|2DUR|1DMG|2ASPD|1CDMG	17ASPD|2DMG|37aVULN|4CDMG|5LHND|67DUR|7BPWR|8BEXP|9RCR
116	11152 26361	10	 * 	254.65	DCR|3VULN|2DUR|1TLV|3ASPD	12aASPD|2aBPWR|3FEWX|4aDUR|5TLV|6DUST|79aVULN|8RCR
117	62332 52151	1	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	18VULN|2MLV|38LIT|4TLV|5DMG|678DUR|8BPWR|9RCR|aBEXP
118	62332 52152	1	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	18VULN|2MLV|38LIT|4TLV|5DMG|678DUR|8BPWR|9RCR|aLHND
119	62332 52153	1	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	18VULN|2MLV|38LIT|4TLV|5DMG|678DUR|8BPWR|9RCR|aLWND
120	21651 32253	1	 * 	254.56	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1aCDMG|27aVULN|3LHND|4DMG|5AART|6aDUR|8RCR|9TBNT|aBPWR
121	64613 12123	8	   	254.05	DCR|4VULN|1TLV|1DUR	1459VULN|2RCVC|3ASPD|6LIT|7TLV|8RCR|aDUR
122	61322 63633	1	 * 	253.96	DCR|3VULN|3DUR|3CDMG|1AART	19aVULN|2BEXP|39aDUR|4RMIN|5TBNT|6RCR|7AART|89aCDMG|9aBPWR
123	13422 72224	10	   	253.94	DCR|2VULN|2DMG|2DUR|2CDMG|2ASPD	18ASPD|28DMG|39VULN|46CDMG|5MBVNT|78DUR|8BPWR|aRCR
124	26522 63133	6	   	253.86	DCR|3VULN|3DUR|3CDMG|1NUKE|1AART	19aCDMG|2FEWX|39aVULN|4NUKE|5AART|6RCR|7BBNT|89aDUR|9aBPWR
125	61322 63633	2	   	253.86	DCR|3VULN|3DUR|3CDMG|1AART	19aVULN|2DUST|39aDUR|4RMIN|5TBNT|6RCR|7AART|89aCDMG|9aBPWR
126	52322 63454	5	   	253.84	DCR|3VULN|2DMG|1TLV|1DUR	13aERES|26aVULN|4MBVNT|5TLV|7RCR|8DUR|9aDMG|aBPWR
127	13212 53461	5	   	252.97	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2DMG|3ERES|469VULN|5TLV|7RCR|8DUR|aLIT
128	63211 14112	3	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	179VULN|2BELT|3LHND|49DMG|5TBNT|69LIT|8RCR|9BPWR|aTLV
129	63411 14112	3	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	179VULN|2BELT|3FEWX|49DMG|5TBNT|69LIT|8RCR|9BPWR|aTLV
130	22522 33345	9	   	252.72	DCR|2VULN|2DUR|1TLV|2CDMG|1AART	19CDMG|2TLV|39DUR|4LWND|5AART|6ASPD|79VULN|8RCR|9BPWR|aLIT
131	21224 33142	1	   	252.68	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9AART|aZMB
132	21224 33143	1	   	252.68	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9AART|aRPLT
133	21224 33144	1	   	252.68	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9AART|aBEXP
134	21224 33146	1	   	252.68	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9AART|aLWND
135	63161 24112	3	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	179VULN|2BELT|39DMG|4TBNT|59LIT|6LEGI|8RCR|9BPWR|aTLV
136	21224 31142	1	   	252.58	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9AART|aZMB
137	21224 31143	1	   	252.58	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9AART|aRPLT
138	21224 31144	1	   	252.58	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9AART|aBEXP
139	21224 31146	1	   	252.58	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9AART|aLWND
140	21224 33141	1	   	252.58	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9AART|aLEGI
141	21224 66111	1	   	252.58	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2459VULN|345TLV|45BPWR|6BBNT|7RCR|8AART|aMLV
142	21224 66113	1	   	252.58	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2459VULN|345TLV|45BPWR|6BBNT|7RCR|8AART|aLWND
143	21224 66122	1	   	252.58	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|245aVULN|345TLV|45BPWR|6BBNT|7RCR|8AART|9MLV
144	13422 87221	5	 * 	252.50	DCR|3VULN|3CDMG|1DMG|2ASPD|1DUR	17ASPD|2DMG|379VULN|478CDMG|5MBVNT|6RCR|7BPWR|aDUR
145	21223 66114	1	   	252.48	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|249aVULN|345TLV|4BPWR|6BBNT|7RCR|8AART
146	21224 31141	1	   	252.48	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9AART|aLEGI
147	21224 66112	1	   	252.48	DCR|4VULN|3TLV|1CDMG|1AART	1CDMG|2459VULN|345TLV|45BPWR|6BBNT|7RCR|8AART|aTBNT
148	64131 31331	10	 * 	252.48	DCR|3VULN|3DUR|3TLV	19aVULN|2RCVC|3BEXP|49aDUR|5CGEN|6DUST|79aTLV|8RCR|9aBPWR
149	65331 31331	10	   	252.48	DCR|3VULN|3DUR|3TLV	19aVULN|23BEXP|49aDUR|5CGEN|6DUST|79aTLV|8RCR|9aBPWR
150	65531 31331	10	   	252.48	DCR|3VULN|3DUR|3TLV	19aVULN|24BEXP|39aDUR|5CGEN|6DUST|79aTLV|8RCR|9aBPWR
151	13343 13158	2	 * 	252.43	DCR|2VULN|3DMG|1TLV|3ASPD	13aASPD|29aDMG|4TLV|5ZMB|6aVULN|7RCR|8MBVNT|aBPWR
152	61522 61331	10	   	252.38	DCR|3VULN|3DUR|3TLV	19aVULN|2DUST|39aDUR|4ERES|5FEWX|6DMSP|79aTLV|8RCR|9aBPWR
153	65522 31331	10	   	252.38	DCR|3VULN|3DUR|3TLV	19aVULN|2BEXP|39aDUR|46ERES|5FEWX|79aTLV|8RCR|9aBPWR
154	63126 35221	3	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	17VULN|2BELT|37DMG|4BEXP|5DUST|67DUR|7BPWR|8RCR|9TLV|aASPD
155	63136 35221	4	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	17VULN|2BELT|37DMG|4FEWX|5DUST|67DUR|7BPWR|8RCR|9TLV|aASPD
156	63152 35221	4	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	17VULN|2BELT|37DMG|4DUST|5BEXP|67DUR|7BPWR|8RCR|9TLV|aASPD
157	63152 35221	5	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	17VULN|2BELT|37DMG|4DUST|5FEWX|67DUR|7BPWR|8RCR|9TLV|aASPD
158	61522 31331	10	   	252.28	DCR|3VULN|3DUR|3TLV	19aVULN|2DUST|39aDUR|46ERES|5FEWX|79aTLV|8RCR|9aBPWR
159	61525 31331	10	   	252.28	DCR|3VULN|3DUR|3TLV	19aVULN|2DUST|39aDUR|46ERES|5LHND|79aTLV|8RCR|9aBPWR
160	63331 63523	1	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	19VULN|23DUR|4ZMB|56DMG|7RCR|8ASPD|aTLV
161	11432 51243	2	 * 	251.96	DCR|3VULN|2TLV|3ASPD|2CDMG	129ASPD|2aBPWR|35aVULN|4aTLV|6RPLT|7RCR|8aCDMG
