0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43353 51221	5	 * 	297.85	DCR|4VULN|2DMG|2CDMG|1TLV|1DUR	18DMG|2TLV|3458VULN|68CDMG|7RCR|8BPWR|9CGEN|aDUR
46	12323 45136	8	   	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|235aVULN|46DUR|7aFEWX|8aDMG|9RCR|aBPWR
47	12325 32136	8	   	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|236aVULN|47DUR|5aBEXP|8aDMG|9RCR|aBPWR
48	12111 56236	4	 * 	275.43	DCR|3VULN|3DUR|3CDMG|1DMG	1RCVC|278VULN|378DUR|4CGEN|5DMG|678CDMG|78BPWR|9LWND|aRCR
49	12121 56236	5	   	275.43	DCR|3VULN|3DUR|3CDMG|1DMG	1RCVC|278VULN|378DUR|4DMG|5CGEN|678CDMG|78BPWR|9LWND|aRCR
50	12331 11221	2	   	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	1RCVC|258VULN|3TLV|48CDMG|68DMG|7RCR|8BPWR|9CGEN|aDUR
51	14331 11221	1	   	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	1RCVC|258VULN|3TLV|48CDMG|68DMG|7RCR|8BPWR|9CGEN|aDUR
52	43351 51221	4	   	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	18DMG|2TLV|348VULN|5DMSP|68CDMG|7RCR|8BPWR|9CGEN|aDUR
53	12323 52156	9	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1RCVC|2356VULN|47DUR|8DMG|9TLV|aRCR
54	43323 51222	5	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aCGEN
55	43323 51225	5	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aBELT
56	43323 51242	5	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9FEWX|aCGEN
57	43323 51251	5	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9MLV|aLHND
58	43323 51252	5	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9MLV|aRCVC
59	43323 51253	5	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9MLV|aLWND
60	43325 51222	4	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aCGEN
61	42411 36332	6	   	274.62	DCR|3VULN|3DMG|2TLV|1DUR	147DMG|2RCVC|347VULN|47BPWR|5RPLT|67TLV|8DUR|9ERES|aRCR
62	12331 11233	2	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	1RCVC|258VULN|3TLV|48CDMG|68aDMG|7RCR|8BPWR|9DUST
63	14331 11233	1	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	1RCVC|258VULN|3TLV|48CDMG|68aDMG|7RCR|8BPWR|9DUST
64	43323 51212	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9DUST|aCGEN
65	43323 51215	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9DUST|aBELT
66	43323 51223	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aDUST
67	43323 51231	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV|1NUKE	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aLHND
68	43323 51232	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV|1NUKE	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aRCVC
69	43323 51233	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV|1NUKE	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aLWND
70	43323 51243	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9FEWX|aDUST
71	43323 51262	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9LEGI|aCGEN
72	43325 51212	4	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9DUST|aCGEN
73	43325 51223	4	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aDUST
74	43325 51231	4	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV|1NUKE	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aLHND
75	43325 51232	4	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV|1NUKE	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aRCVC
76	43325 51233	4	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV|1NUKE	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aLWND
77	43351 51233	4	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	18aDMG|2TLV|348VULN|5DMSP|68CDMG|7RCR|8BPWR|9DUST
78	44323 31221	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aDUR
79	44323 31224	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aTLV
80	44323 31241	5	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9FEWX|aDUR
81	44325 31221	4	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aDUR
82	41361 33431	1	   	274.42	DCR|3VULN|3DMG|2CDMG|1DUR	178DMG|2TBNT|3DUR|489VULN|5MBVNT|68CDMG|8BPWR|aRCR
83	43361 33431	1	   	274.42	DCR|3VULN|3DMG|2CDMG|1DUR	178DMG|2BBNT|3DUR|489VULN|5MBVNT|68CDMG|8BPWR|aRCR
84	43323 51213	5	   	274.42	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9aDUST
85	43323 51263	5	   	274.42	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9LEGI|aDUST
86	43325 51213	4	   	274.42	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2TLV|358VULN|68CDMG|7RCR|8BPWR|9aDUST
87	44323 31211	5	   	274.42	DCR|3VULN|3DMG|2CDMG|1DUR	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9DUST|aDUR
88	44323 31214	5	   	274.42	DCR|3VULN|3DMG|2CDMG|1TLV	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9DUST|aTLV
89	44323 31234	5	   	274.42	DCR|3VULN|3DMG|2CDMG|1DUR|1NUKE	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aDUR
90	44323 31235	5	   	274.42	DCR|3VULN|3DMG|2CDMG|1TLV|1NUKE	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9NUKE|aTLV
91	44323 31261	5	   	274.42	DCR|3VULN|3DMG|2CDMG|1DUR	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9LEGI|aDUR
92	44325 31211	4	   	274.42	DCR|3VULN|3DMG|2CDMG|1DUR	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9DUST|aDUR
93	43321 31224	9	   	274.37	DCR|3VULN|3DMG|2TLV|1DUR|1SELL	149DMG|29TLV|379VULN|5RMIN|6SELL|8RCR|9BPWR|aDUR
94	13136 32625	10	   	274.16	DCR|5VULN|2DUR|1TLV	1RCVC|2LEGI|35689VULN|45DUR|5BPWR|7TLV|aRCR
95	43353 34211	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DMG|2TLV|3459VULN|6ZMB|7CDMG|8RCR|aDUR
96	43352 21216	4	   	273.68	DCR|3VULN|2DMG|2TLV|2CDMG|1ASPD	18DMG|26TLV|348VULN|58CDMG|7RCR|8BPWR|9LHND|aASPD
97	43352 21236	4	   	273.58	DCR|3VULN|2DMG|2TLV|2CDMG|1ASPD	18DMG|26TLV|348VULN|58CDMG|7RCR|8BPWR|9DUST|aASPD
98	42133 51743	2	 * 	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1aDMG|2RCVC|36aVULN|4MBVNT|56DUR|6aBPWR|7LWND|8RCR|9aCDMG
99	42133 52743	2	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	1aDMG|2RCVC|36aVULN|4MBVNT|56DUR|6aBPWR|7DUST|8RCR|9aCDMG
100	43351 31221	10	   	273.42	DCR|4VULN|2DMG|2TLV|1SELL	19DMG|29TLV|3479VULN|5RMIN|6SELL|8RCR|9BPWR|aLIT
101	12311 56262	2	 * 	273.12	ACR|3VULN|3DMG|3CDMG|1TLV|1DUR	1RCVC|278VULN|3TLV|4RCR|578DMG|678CDMG|78BPWR|9DUR|aLIT
102	43353 31252	6	   	273.05	DCR|5VULN|1DMG|1TLV	1DMG|2TLV|3458aVULN|6ZMB|7AART|9RCR
103	13111 56241	4	   	272.81	DCR|3VULN|3DMG|3CDMG	1RCVC|2LEGI|378VULN|4CGEN|578DMG|678CDMG|78BPWR|9LIT|aRCR
104	13511 26241	4	   	272.71	DCR|3VULN|3DMG|3CDMG	1RCVC|2LEGI|378CDMG|4ERES|578VULN|678DMG|78BPWR|9LIT|aRCR
105	43523 15111	10	 * 	272.13	DCR|3VULN|2DMG|2ASPD|3TLV	1aDMG|245TLV|3LIT|6aASPD|7RCR|89aVULN|aBPWR
106	44122 23335	4	 * 	272.03	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	149DMG|2ERES|39DUR|5CDMG|6TLV|7BBNT|89VULN|9BPWR|aRCR
107	12133 26226	1	   	272.02	DCR|3VULN|3DMG|3TLV|1CDMG	1RCVC|278TLV|378VULN|4CDMG|5LWND|678DMG|78BPWR|9BBNT|aRCR
108	12133 26256	1	   	272.02	DCR|3VULN|3DMG|3TLV|1CDMG	1RCVC|278TLV|378VULN|4CDMG|5LWND|678DMG|78BPWR|9TBNT|aRCR
109	12333 26226	2	   	272.02	DCR|3VULN|3DMG|3TLV|1CDMG	1RCVC|278VULN|378TLV|4CDMG|5LWND|678DMG|78BPWR|9BBNT|aRCR
110	12333 26256	2	   	272.02	DCR|3VULN|3DMG|3TLV|1CDMG	1RCVC|278VULN|378TLV|4CDMG|5LWND|678DMG|78BPWR|9TBNT|aRCR
111	13331 26215	2	   	272.02	DCR|3VULN|3DMG|3TLV|1CDMG	1RCVC|2LEGI|378TLV|4CDMG|578VULN|678DMG|78BPWR|9FEWX|aRCR
112	14333 26226	1	   	272.02	DCR|3VULN|3DMG|3TLV|1CDMG	1RCVC|278VULN|378TLV|4CDMG|5LWND|678DMG|78BPWR|9BBNT|aRCR
113	13331 26226	2	   	271.92	DCR|3VULN|3DMG|3TLV|1CDMG	1RCVC|2LEGI|378TLV|4CDMG|578VULN|678DMG|78BPWR|9BBNT|aRCR
114	13331 26256	2	   	271.92	DCR|3VULN|3DMG|3TLV|1CDMG	1RCVC|2LEGI|378TLV|4CDMG|578VULN|678DMG|78BPWR|9TBNT|aRCR
115	16121 56231	1	   	271.79	DCR|4VULN|2DMG|3CDMG	1RCVC|278MLV|3789VULN|49FEWX|59DMG|678CDMG|789BPWR|aRCR
116	12221 56231	3	   	271.79	DCR|4VULN|2DMG|3CDMG	1RCVC|2789VULN|378MLV|49FEWX|59DMG|678CDMG|789BPWR|aRCR
117	11432 23178	8	 * 	271.76	DCR|4VULN|3DUR|3LIT	1RCVC|29aLIT|39aDUR|4MBVNT|589aVULN|6RCR|7RMIN|9aBPWR
118	12312 43653	9	   	271.54	DCR|5VULN|3DUR	1RCVC|23489VULN|589BEXP|689DUR|7BELT|89BPWR|aRCR
119	12325 33653	9	   	271.54	DCR|5VULN|3DUR	1RCVC|23689VULN|489DUR|589BEXP|7BELT|89BPWR|aRCR
120	45331 21361	10	   	271.45	DCR|3VULN|2DMG|2DUR	1aDMG|2ZMB|37aVULN|4DUST|5LIT|6RCR|8AART|9aDUR|aBPWR
121	43323 31252	6	   	271.10	DCR|4VULN|2DMG|1TLV	14DMG|2TLV|358aVULN|6ZMB|7AART|9RCR
122	43112 62522	10	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	17DMG|2TLV|378DUR|4CGEN|5aVULN|67LIT|7BPWR|9RCR
123	43353 34221	10	   	270.98	DCR|3VULN|2DMG|2TLV|2CDMG	19DMG|29TLV|345VULN|6ZMB|79CDMG|8RCR|9BPWR|aLIT
124	43123 42311	6	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|579VULN|8LHND|aRCR
125	43123 42411	6	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|579VULN|8LWND|aRCR
126	43123 45311	7	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|579VULN|8LHND|aRCR
127	43126 42311	6	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|5LWND|789VULN|aRCR
128	43323 31311	5	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|359VULN|7DUR|8LHND|aRCR
129	43323 31411	5	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|359VULN|7DUR|8LWND|aRCR
130	43325 31311	4	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|359VULN|7DUR|8LHND|aRCR
131	43325 31411	4	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|359VULN|7DUR|8LWND|aRCR
132	43325 43311	8	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|389VULN|5BEXP|7DUR|aRCR
133	43326 43311	8	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|389VULN|5LHND|7DUR|aRCR
134	43123 45111	8	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|578VULN|9RCR|aRMIN
135	43123 45112	8	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|578VULN|9RCR|aCGEN
136	43123 42111	6	   	270.60	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|579VULN|8DUST|aRCR
137	43123 45111	7	   	270.60	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|579VULN|8DUST|aRCR
138	43123 45113	8	   	270.60	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|578VULN|9RCR|aDUST
139	43123 45123	8	   	270.60	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|3DUR|578VULN|9BBNT|aRCR
140	43323 31111	5	   	270.60	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|359VULN|7DUR|8DUST|aRCR
141	43325 31111	4	   	270.60	DCR|3VULN|3DMG|1TLV|1DUR	146DMG|2TLV|359VULN|7DUR|8DUST|aRCR
142	41324 23313	4	 * 	270.13	ACR|3VULN|3DMG|3DUR|2TLV	148DMG|2RCR|3aTLV|58aDUR|6TBNT|78aVULN|8aBPWR|9BBNT
143	12331 11216	2	   	269.97	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1RCVC|258VULN|3TLV|48CDMG|68DMG|7RCR|8BPWR|9LHND|aASPD
144	14331 11216	1	   	269.97	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1RCVC|258VULN|3TLV|48CDMG|68DMG|7RCR|8BPWR|9LHND|aASPD
145	53152 16112	9	   	269.95	DCR|4VULN|2DMG|1DUR	1aBEXP|2DUR|3aDMG|4LIT|5LHND|6RCR|789aVULN|aBPWR
146	53153 16112	9	   	269.95	DCR|4VULN|2DMG|1DUR	1aBEXP|2DUR|3aDMG|4LIT|5LWND|6RCR|789aVULN|aBPWR
147	12331 11236	2	   	269.87	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1RCVC|258VULN|3TLV|48CDMG|68DMG|7RCR|8BPWR|9DUST|aASPD
148	14331 11236	1	   	269.87	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1RCVC|258VULN|3TLV|48CDMG|68DMG|7RCR|8BPWR|9DUST|aASPD
149	43353 36312	5	   	269.75	DCR|4VULN|2DMG|1TLV	16DMG|2TLV|345aVULN|7RCR|8ZMB|9LIT
150	42336 34331	9	 * 	269.73	DCR|3VULN|2DMG|3ASPD|1DUR	18DMG|2RCVC|389ASPD|4DUR|5LWND|678VULN|8BPWR|aRCR
151	42336 34331	8	   	269.73	DCR|3VULN|2DMG|3ASPD|1DUR	18DMG|2RCVC|389ASPD|4DUR|5LWND|678VULN|8BPWR|aRCR
152	43312 31251	10	   	269.70	DCR|4VULN|2DMG|1TLV|1SELL	19DMG|2TLV|3579VULN|49CGEN|6SELL|8RCR|9BPWR|aLIT
153	43123 31436	7	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|2TLV|39DUR|568VULN|7BEXP|aRCR
154	43123 32436	6	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|2TLV|39DUR|568VULN|7BEXP|aRCR
155	43323 22436	5	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	14DMG|2TLV|358VULN|69DUR|7BEXP|aRCR
156	43334 23383	10	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2TLV|38aVULN|4DUST|5LWND|6MBVNT|7aDUR|9RCR|aBPWR
157	12211 26116	5	   	269.55	DCR|4VULN|3DMG	1RCVC|2478VULN|347MLV|478BPWR|5RPLT|678DMG|9LIT|aRCR
158	12251 26116	3	   	269.55	DCR|4VULN|3DMG	1RCVC|2578VULN|357MLV|4RPLT|578BPWR|678DMG|9LIT|aRCR
159	44323 31226	5	   	269.27	DCR|3VULN|3DMG|2CDMG|1ASPD	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9BEXP|aASPD
160	12123 13436	7	 * 	269.24	DCR|3VULN|3DMG|2DUR	1RCVC|25aVULN|37DUR|48aDMG|6aFEWX|9RCR|aBPWR
161	12123 23436	7	   	269.24	DCR|3VULN|3DMG|2DUR	1RCVC|25aVULN|37DUR|48aDMG|6aBEXP|9RCR|aBPWR
162	12621 43316	9	 * 	269.24	DCR|3VULN|3DMG|3ASPD	1RCVC|29aVULN|3BELT|479DMG|5RMIN|6RCR|89aASPD|9aBPWR
163	44323 31216	5	   	269.17	DCR|3VULN|3DMG|2CDMG|1ASPD	148DMG|2ERES|358VULN|68CDMG|7RCR|8BPWR|9DUST|aASPD
164	43321 31226	9	   	269.13	DCR|3VULN|3DMG|2TLV|1ASPD|1SELL	149DMG|29TLV|379VULN|5RMIN|6SELL|8RCR|9BPWR|aASPD
165	12315 21336	7	   	269.12	DCR|5VULN|2DUR|1ASPD	1RCVC|2347aVULN|5ASPD|6aDUR|8aLWND|9RCR|aBPWR
166	12315 21436	8	   	269.12	DCR|5VULN|2DUR|1ASPD	1RCVC|2347aVULN|5ASPD|6aDUR|8aBEXP|9RCR|aBPWR
167	12315 21536	7	   	269.12	DCR|5VULN|2DUR|1ASPD	1RCVC|2347aVULN|5ASPD|6aDUR|8aFEWX|9RCR|aBPWR
