0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63511 23231	7	 * 	284.23	DCR|3VULN|2DUR|2TLV|1DMG|2CDMG	17TLV|27CDMG|3DMG|49DUR|567VULN|7BPWR|8LIT|aRCR
26	41621 31221	1	   	281.10	DCR|5VULN|3DUR|1AART	1367aVULN|237DUR|37BPWR|47LHND|5AART|8RCR|9MLV
27	41621 31251	1	   	281.10	DCR|5VULN|3DUR|1AART	1367aVULN|237DUR|37aBPWR|47aLHND|5AART|8RCR|9aDUST
28	22131 31553	2	   	281.00	DCR|5VULN|3DUR|1AART	179DUR|27LWND|34679VULN|5AART|79BPWR|89ERES|aRCR
29	24131 31553	1	   	281.00	DCR|5VULN|3DUR|1AART	179DUR|27LWND|34679VULN|5AART|79BPWR|89ERES|aRCR
30	25131 31553	2	   	281.00	DCR|5VULN|3DUR|1AART	179DUR|27FEWX|34679VULN|5AART|79BPWR|89ERES|aRCR
31	25131 31553	1	   	281.00	DCR|5VULN|3DUR|1AART	179DUR|27BEXP|34679VULN|5AART|79BPWR|89ERES|aRCR
32	26131 31553	2	   	281.00	DCR|5VULN|3DUR|1AART	179DUR|27BEXP|34679VULN|5AART|79BPWR|89ERES|aRCR
33	42211 31553	4	   	281.00	DCR|5VULN|3DUR|1AART	14679VULN|27LWND|379DUR|5AART|79BPWR|89ERES|aRCR
34	42231 31553	3	   	281.00	DCR|5VULN|3DUR|1AART	14679VULN|27LWND|379DUR|5AART|79BPWR|89ERES|aRCR
35	23325 13155	7	 * 	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	137DUR|27ERES|4CDMG|58aVULN|67DMG|7BPWR|9RCR
36	23325 13435	9	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	137DUR|27ERES|4CDMG|58aVULN|67DMG|7BPWR|9RCR
37	42211 32426	7	 * 	277.54	DCR|3VULN|3DMG|2DUR	149VULN|25LWND|39DUR|6RCR|789DMG|9BPWR|aLIT
38	21125 15172	6	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17DUR|2AART|3CGEN|4MBVNT|578VULN|67DMG|7BPWR|9RCR|aCDMG
39	21524 32731	9	   	276.37	DCR|3VULN|3DUR|2DMG|1AART	168DUR|2AART|3RMIN|4MBVNT|56aVULN|6aBPWR|7aDMG|9RCR
40	26642 31121	1	 * 	275.62	DCR|2VULN|3DMG|3DUR|2CDMG	139DUR|23VULN|39BPWR|459DMG|6RMIN|7RPLT|89CDMG|aRCR
41	43313 13231	7	   	275.34	DCR|3VULN|2DMG|2DUR|1CDMG	147VULN|27ERES|39DUR|5CDMG|67DMG|7BPWR|8LIT|aRCR
42	26621 31223	1	   	275.21	DCR|4VULN|3DUR|1CDMG|1AART	137DUR|2367VULN|37BPWR|47LHND|5AART|8RCR|9MLV|aCDMG
43	41621 31223	1	   	275.21	DCR|4VULN|3DUR|1CDMG|1AART	1367VULN|237DUR|37BPWR|47LHND|5AART|8RCR|9MLV|aCDMG
44	42211 32221	8	   	275.12	DCR|3VULN|3DUR|2DMG	149VULN|25LWND|389DUR|6RCR|79DMG|9BPWR|aLIT
45	42215 32221	8	   	275.12	DCR|3VULN|3DUR|2DMG	149VULN|2LWND|389DUR|5DMSP|6RCR|79DMG|9BPWR|aLIT
46	42365 32221	8	   	275.12	DCR|3VULN|3DUR|2DMG	149VULN|2LWND|3DMSP|589DUR|6RCR|79DMG|9BPWR|aLIT
47	43315 31153	5	   	274.91	DCR|4VULN|3DUR|1CDMG|1AART	1459VULN|29ERES|379DUR|6RCR|8AART|9BPWR|aCDMG
48	63511 21412	6	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2CDMG|3DMG|4DUR|568aVULN|7MBVNT|9RCR
49	63511 61412	5	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2CDMG|3DMG|4DUR|568aVULN|7MBVNT|9RCR
50	42222 23435	4	 * 	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	189VULN|2LWND|38DUR|4aCDMG|5CGEN|68DMG|7RCR|8BPWR
51	23642 22112	1	 * 	273.20	DCR|2VULN|3DMG|2DUR|2ASPD|1AART	17DUR|2CGEN|37ASPD|457DMG|6AART|7BPWR|8RCR|9aVULN
52	22642 22112	1	   	273.10	DCR|2VULN|3DMG|2DUR|2ASPD|1AART	17DUR|2ERES|37ASPD|457DMG|6AART|7BPWR|8RCR|9aVULN
53	23642 22112	2	   	273.10	DCR|2VULN|3DMG|2DUR|2ASPD|1AART	17DUR|2ERES|37ASPD|457DMG|6AART|7BPWR|8RCR|9aVULN
54	26621 31235	1	   	272.56	DCR|4VULN|3DUR|1ASPD|1AART	137DUR|2367VULN|37BPWR|47LHND|5AART|8RCR|9LWND|aASPD
55	41621 31235	1	   	272.56	DCR|4VULN|3DUR|1ASPD|1AART	1367VULN|237DUR|37BPWR|47LHND|5AART|8RCR|9LWND|aASPD
56	25132 23126	2	 * 	271.76	DCR|4VULN|3DUR|2CDMG	169DUR|2FEWX|3479VULN|5RCVC|89CDMG|9BPWR|aRCR
57	26111 62423	1	   	271.76	DCR|4VULN|3DUR|1DMG	156DUR|236aVULN|4RMIN|6BPWR|7DMG|8FEWX|9RCR
58	41111 62423	1	   	271.76	DCR|4VULN|3DUR|1DMG	136aVULN|256DUR|4RMIN|6BPWR|7DMG|8FEWX|9RCR
59	26111 62143	1	   	271.66	DCR|4VULN|3DUR|1DMG	156DUR|236aVULN|4RMIN|6BPWR|7DMG|8MBVNT|9RCR
60	26131 33145	1	   	271.66	DCR|4VULN|3DUR|2CDMG	159DUR|239aVULN|4ERES|6RCR|7CGEN|89CDMG|9BPWR
61	26612 23843	1	   	271.66	DCR|4VULN|3DUR|1DMG	136DUR|238aVULN|3BPWR|4RMIN|5DMG|7MBVNT|9RCR
62	26612 24143	1	   	271.66	DCR|4VULN|3DUR|1DMG	136DUR|237aVULN|3BPWR|4RMIN|5DMG|8MBVNT|9RCR
63	41111 62143	1	   	271.66	DCR|4VULN|3DUR|1DMG	136aVULN|256DUR|4RMIN|6BPWR|7DMG|8MBVNT|9RCR
64	41131 33145	1	   	271.66	DCR|4VULN|3DUR|2CDMG	139aVULN|259DUR|4ERES|6RCR|7CGEN|89CDMG|9BPWR
65	41612 23843	1	   	271.66	DCR|4VULN|3DUR|1DMG	138aVULN|236DUR|3BPWR|4RMIN|5DMG|7MBVNT|9RCR
66	41612 24143	1	   	271.66	DCR|4VULN|3DUR|1DMG	137aVULN|236DUR|3BPWR|4RMIN|5DMG|8MBVNT|9RCR
67	43315 31334	5	 * 	271.56	DCR|4VULN|3DUR|2TLV	145aVULN|29ERES|37aDUR|6RCR|8aTLV|aBPWR
68	46231 13324	1	   	271.34	DCR|5VULN|3DUR	1278aVULN|3CGEN|45aDUR|6aMLV|9RCR|aBPWR
69	43161 13324	2	   	271.24	DCR|5VULN|3DUR	1378aVULN|23ERES|3aBPWR|45aDUR|6aMLV|9RCR
70	43311 13324	4	   	271.24	DCR|5VULN|3DUR	1478aVULN|2ERES|35aDUR|6aMLV|9RCR|aBPWR
71	43321 13324	3	   	271.24	DCR|5VULN|3DUR	1478aVULN|2ERES|35aDUR|6aMLV|9RCR|aBPWR
72	21125 15173	6	   	270.92	DCR|3VULN|2DMG|2DUR|2AART	17DUR|2aAART|3CGEN|4MBVNT|578VULN|67DMG|7BPWR|9RCR
73	13717 71342	10	   	270.48	DCR|5VULN|1TLV|1DUR|1ASPD	1ASPD|2MBVNT|3DUR|45678VULN|9RCR|aTLV
74	13713 45223	4	 * 	270.23	DCR|3VULN|3DUR|2ASPD|2TLV	18ASPD|2MBVNT|379DUR|48aVULN|58TLV|6RCR|8BPWR
75	13753 45223	3	   	270.23	DCR|3VULN|3DUR|2ASPD|2TLV	18ASPD|2MBVNT|379DUR|48aVULN|58TLV|6RCR|8BPWR
76	26621 31216	1	   	269.87	DCR|4VULN|3DUR|1AART	137DUR|2367VULN|37BPWR|47LHND|5AART|8RCR|9FEWX|aLIT
77	41621 31216	1	   	269.87	DCR|4VULN|3DUR|1AART	1367VULN|237DUR|37BPWR|47LHND|5AART|8RCR|9FEWX|aLIT
78	26143 61321	1	   	269.85	DCR|4VULN|2DMG|1DUR	1DUR|2356VULN|46DMG|6BPWR|7RPLT|8DMSP|9RCR|aLIT
79	21614 14133	6	   	269.84	ACR|4VULN|2DMG|2DUR|1TLV|1AART	17DUR|2AART|3TLV|4RCR|5789VULN|67DMG|7BPWR|aRMIN
80	22136 24262	5	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|27LWND|3FEWX|49DMG|578VULN|6RCR|7BPWR|aTLV
81	22136 24262	4	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|27LWND|3FEWX|49DMG|578VULN|6RCR|7BPWR|aTLV
82	42222 23463	4	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	18VULN|2LWND|389DUR|4CDMG|5CGEN|68DMG|7RCR|8BPWR|aTLV
83	25131 51252	2	   	269.77	DCR|4VULN|3DUR|1AART	167DUR|27FEWX|347aVULN|5AART|7BPWR|8RCR|9LIT
84	21614 14132	6	   	269.74	ACR|4VULN|2DMG|2DUR|1TLV|1AART	17DUR|2AART|3TLV|4RCR|5789VULN|67DMG|7BPWR|aDUST
85	63511 23221	7	   	269.64	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	17TLV|27CDMG|3DMG|4DUR|567VULN|7BPWR|8LIT|9RCVC|aRCR
86	13454 43527	3	 * 	269.63	DCR|3VULN|2DMG|3ASPD|1DUR	159ASPD|2MBVNT|3RMIN|49DMG|679VULN|8RCR|9BPWR|aDUR
87	13712 61143	6	   	269.63	DCR|3VULN|2DMG|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|468VULN|58DMG|7BELT|8BPWR|aRCR
88	13717 31143	6	   	269.63	DCR|3VULN|2DMG|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|458VULN|68DMG|7BELT|8BPWR|aRCR
89	42211 32422	7	   	269.24	DCR|3VULN|3DMG|2DUR	149VULN|25LWND|39DUR|6RCR|789DMG|9BPWR|aLHND
90	42211 32423	7	   	269.24	DCR|3VULN|3DMG|2DUR	149VULN|25LWND|39DUR|6RCR|789DMG|9BPWR|aMLV
91	42215 32422	7	   	269.24	DCR|3VULN|3DMG|2DUR	149VULN|2LWND|39DUR|5DMSP|6RCR|789DMG|9BPWR|aLHND
92	42215 32423	7	   	269.24	DCR|3VULN|3DMG|2DUR	149VULN|2LWND|39DUR|5DMSP|6RCR|789DMG|9BPWR|aMLV
93	26432 23243	3	 * 	269.19	DCR|3VULN|3DUR|2TLV|1DMG	148DUR|2BEXP|38TLV|5DMG|6FEWX|78aVULN|8BPWR|9RCR
94	62632 23243	3	   	269.19	DCR|3VULN|3DUR|2TLV|1DMG	18TLV|2BEXP|348DUR|5DMG|6FEWX|78aVULN|8BPWR|9RCR
95	42211 32421	7	   	269.14	DCR|3VULN|3DMG|2DUR	149VULN|25LWND|39DUR|6RCR|789DMG|9BPWR|aERES
96	42211 32424	7	   	269.14	DCR|3VULN|3DMG|2DUR|1NUKE	149VULN|25LWND|39DUR|6RCR|789DMG|9BPWR|aNUKE
97	42215 32421	7	   	269.14	DCR|3VULN|3DMG|2DUR	149VULN|2LWND|39DUR|5DMSP|6RCR|789DMG|9BPWR|aERES
98	64161 32123	2	   	269.09	DCR|3VULN|3DUR|2TLV|1DMG	13TLV|23aVULN|3BPWR|459DUR|6RCR|7FEWX|8DMG
99	66161 32123	1	   	269.09	DCR|3VULN|3DUR|2TLV|1DMG	13TLV|23aVULN|3BPWR|459DUR|6RCR|7FEWX|8DMG
100	63511 31135	7	   	269.08	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1AART	1TLV|2CDMG|3DMG|4DUR|589VULN|6RCR|7LIT|aAART
101	43221 13462	10	   	268.60	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	17aVULN|237ERES|4CDMG|5DUR|67DMG|7BPWR|8TLV|9RCR
102	63511 41412	5	   	268.60	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|2CDMG|36DMG|4DUR|58aVULN|7MBVNT|9RCR
103	64621 13231	7	 * 	268.59	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	17TLV|27VULN|3RCVC|4CDMG|59DUR|67DMG|7BPWR|8LIT|aRCR
104	66421 13231	7	   	268.59	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	17TLV|2RCVC|37VULN|4CDMG|59DUR|67DMG|7BPWR|8LIT|aRCR
105	21625 84423	10	   	268.10	DCR|4VULN|2DUR|2TLV|1AART	18DUR|2AART|38TLV|4MBVNT|5678VULN|8BPWR|9LHND|aRCR
106	12616 61333	10	   	267.98	DCR|5VULN|1DUR|1CDMG|1ASPD	1ASPD|2BEXP|3DUR|45678VULN|9CDMG|aRCR
107	41122 83418	9	 * 	267.93	DCR|3VULN|3DMG|2CDMG|1AART	168VULN|2AART|3CGEN|4MBVNT|58CDMG|789DMG|8BPWR|aRCR
108	26621 36131	1	   	267.67	DCR|5VULN|2DUR|1AART	13DUR|23689VULN|3BPWR|4LHND|5AART|7RCR|aCGEN
109	26621 36133	1	   	267.67	DCR|5VULN|2DUR|1AART	13DUR|23689VULN|3BPWR|4aLHND|5AART|7RCR
110	41621 36131	1	   	267.67	DCR|5VULN|2DUR|1AART	13689VULN|23DUR|3BPWR|4LHND|5AART|7RCR|aCGEN
111	41621 36133	1	   	267.67	DCR|5VULN|2DUR|1AART	13689VULN|23DUR|3BPWR|4aLHND|5AART|7RCR
112	25131 31334	1	   	267.67	DCR|5VULN|2DUR|1AART	17DUR|27BEXP|34679VULN|5AART|7BPWR|8LEGI|aRCR
113	26131 31334	2	   	267.67	DCR|5VULN|2DUR|1AART	17DUR|27BEXP|34679VULN|5AART|7BPWR|8LEGI|aRCR
114	26621 36132	1	   	267.57	DCR|5VULN|2DUR|1AART	13DUR|23689VULN|3BPWR|4LHND|5AART|7RCR|aBBNT
115	41621 36132	1	   	267.57	DCR|5VULN|2DUR|1AART	13689VULN|23DUR|3BPWR|4LHND|5AART|7RCR|aBBNT
116	24131 31334	2	   	267.47	DCR|5VULN|2DUR|1AART	17DUR|27DUST|34679VULN|5AART|7BPWR|8LEGI|aRCR
117	21114 14131	6	   	267.24	ACR|4VULN|2DMG|2DUR|1CDMG|1AART	17DUR|2AART|3CGEN|4RCR|5789VULN|67DMG|7BPWR|aCDMG
118	42222 23415	4	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18aVULN|2LWND|38DUR|4CDMG|5CGEN|68DMG|7RCR|8BPWR|9MLV
119	42222 23431	4	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	189VULN|2LWND|38DUR|4CDMG|5aCGEN|68DMG|7RCR|8BPWR
120	42222 23433	4	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	189VULN|2LWND|38DUR|4CDMG|5CGEN|68DMG|7RCR|8BPWR|aFEWX
121	22131 36166	2	   	267.16	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1DUR|2LWND|3468VULN|5AART|7RCR|9CDMG|aDMG
122	42222 23432	4	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	189VULN|2LWND|38DUR|4CDMG|5CGEN|68DMG|7RCR|8BPWR|aERES
123	11326 22112	1	 * 	267.07	DCR|2VULN|2DMG|3ASPD|2DUR|1AART	127ASPD|3MLV|47DMG|57DUR|6AART|7BPWR|8RCR|9aVULN
124	42211 32225	8	   	266.81	DCR|3VULN|3DUR|2DMG	149VULN|25LWND|389DUR|6RCR|79DMG|9BPWR|aBELT
125	42215 32225	8	   	266.81	DCR|3VULN|3DUR|2DMG	149VULN|2LWND|389DUR|5DMSP|6RCR|79DMG|9BPWR|aBELT
126	42211 32224	8	   	266.71	DCR|3VULN|3DUR|2DMG	149VULN|25LWND|389DUR|6RCR|79DMG|9BPWR|aMBVNT
127	42211 32226	8	   	266.71	DCR|3VULN|3DUR|2DMG	149VULN|25LWND|389DUR|6RCR|79DMG|9BPWR|aBBNT
128	42215 32224	8	   	266.71	DCR|3VULN|3DUR|2DMG	149VULN|2LWND|389DUR|5DMSP|6RCR|79DMG|9BPWR|aMBVNT
129	42215 32226	8	   	266.71	DCR|3VULN|3DUR|2DMG	149VULN|2LWND|389DUR|5DMSP|6RCR|79DMG|9BPWR|aBBNT
130	12632 23243	5	   	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	18ASPD|2BEXP|358DUR|4TLV|6FEWX|78aVULN|8BPWR|9RCR
131	42211 32222	8	   	266.57	DCR|3VULN|3DUR|2DMG|1SELL	149VULN|25LWND|389DUR|6RCR|79DMG|9BPWR|aSELL
132	42215 32222	8	   	266.57	DCR|3VULN|3DUR|2DMG|1SELL	149VULN|2LWND|389DUR|5DMSP|6RCR|79DMG|9BPWR|aSELL
133	42365 32222	8	   	266.57	DCR|3VULN|3DUR|2DMG|1SELL	149VULN|2LWND|3DMSP|589DUR|6RCR|79DMG|9BPWR|aSELL
134	43342 26213	3	   	266.51	DCR|3VULN|3DUR|2DMG	18aVULN|25ERES|35aDUR|4BBNT|5aBPWR|6RCR|7aDMG|9LEGI
135	41141 62214	1	   	266.36	DCR|2VULN|3DMG|3DUR|1ASPD	13VULN|256DUR|467DMG|6BPWR|8MBVNT|9RCR|aASPD
136	41142 63214	1	   	266.36	DCR|2VULN|3DMG|3DUR|1ASPD	13VULN|267DUR|456DMG|6BPWR|8MBVNT|9RCR|aASPD
137	16531 16231	2	   	265.82	DCR|3VULN|2DMG|2ASPD|1CDMG	18ASPD|2RCVC|3CDMG|478VULN|5TBNT|68DMG|8BPWR|9RCR|aLIT
138	11626 63112	1	   	265.63	DCR|2VULN|3ASPD|2DUR|1DMG|1TLV|1AART	126ASPD|3TLV|4DMG|56DUR|6BPWR|7AART|8RCR|9aVULN
139	21641 35323	10	   	265.62	DCR|3VULN|2DUR|2TLV|1DMG|1AART	17DUR|2AART|37TLV|4DMG|5CGEN|678VULN|7BPWR|9LHND|aRCR
140	26611 12251	1	   	265.35	DCR|4VULN|3DUR|1CDMG	135DUR|2389VULN|3BPWR|4RMIN|6CDMG|7RCR|aCGEN
141	41611 12251	1	   	265.35	DCR|4VULN|3DUR|1CDMG	1389VULN|235DUR|3BPWR|4RMIN|6CDMG|7RCR|aCGEN
142	26111 62148	1	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	156DUR|236VULN|4RMIN|6BPWR|7DMG|8MBVNT|9RCR|aTLV
143	41111 62148	1	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	136VULN|256DUR|4RMIN|6BPWR|7DMG|8MBVNT|9RCR|aTLV
144	46333 13235	1	 * 	265.25	DCR|4VULN|2DMG|2CDMG	128aVULN|3BBNT|4RCVC|58CDMG|68DMG|7RMIN|8BPWR|9RCR
145	66341 23112	8	   	265.25	DCR|4VULN|2DMG|2TLV	17TLV|2RCVC|37DMG|4RPLT|567aVULN|7BPWR|8DUST|9RCR
146	26611 12252	1	   	265.25	DCR|4VULN|3DUR|1CDMG	135DUR|2389VULN|3BPWR|4RMIN|6CDMG|7RCR|aMBVNT
147	26611 12253	1	   	265.25	DCR|4VULN|3DUR|1CDMG	135DUR|2389VULN|3BPWR|4RMIN|6CDMG|7RCR|aERES
148	41611 12252	1	   	265.25	DCR|4VULN|3DUR|1CDMG	1389VULN|235DUR|3BPWR|4RMIN|6CDMG|7RCR|aMBVNT
149	41611 12253	1	   	265.25	DCR|4VULN|3DUR|1CDMG	1389VULN|235DUR|3BPWR|4RMIN|6CDMG|7RCR|aERES
150	13253 44226	2	 * 	265.06	DCR|4VULN|2ASPD|2TLV|1DUR	18ASPD|2MBVNT|3BEXP|478aVULN|58TLV|6RCR|8BPWR|9DUR
151	13813 44226	4	   	265.06	DCR|4VULN|2ASPD|2TLV|1DUR	18ASPD|2MBVNT|3BEXP|478aVULN|58TLV|6RCR|8BPWR|9DUR
152	13853 44226	3	   	265.06	DCR|4VULN|2ASPD|2TLV|1DUR	18ASPD|2MBVNT|3BEXP|478aVULN|58TLV|6RCR|8BPWR|9DUR
153	42111 32326	8	 * 	264.93	DCR|5VULN|2DMG	1489aVULN|25LWND|39FEWX|6RCR|79DMG|9BPWR
154	42115 32326	8	   	264.93	DCR|5VULN|2DMG	1489aVULN|2LWND|39FEWX|5DMSP|6RCR|79DMG|9BPWR
155	42511 32326	8	   	264.93	DCR|5VULN|2DMG	1489aVULN|25LWND|39BEXP|6RCR|79DMG|9BPWR
156	43626 33311	9	 * 	264.90	DCR|3VULN|2DMG|3CDMG|1DUR	17aVULN|2ERES|3RCVC|479CDMG|57DMG|6RCR|7BPWR|8DUR
157	43226 33311	9	   	264.80	DCR|3VULN|2DMG|3CDMG|1DUR	17aVULN|23ERES|479CDMG|57DMG|6RCR|7BPWR|8DUR
158	42611 32326	8	   	264.73	DCR|5VULN|2DMG	1489aVULN|25LWND|39DUST|6RCR|79DMG|9BPWR
159	63511 26231	7	   	264.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2CDMG|37DMG|49DUR|56VULN|8LIT|aRCR
160	42223 25233	6	 * 	264.58	DCR|4VULN|2DUR|3CDMG	1568VULN|2LWND|38DUR|458CDMG|58BPWR|7TBNT|9RPLT|aRCR
161	42223 65233	5	   	264.58	DCR|4VULN|2DUR|3CDMG	1568VULN|2LWND|38DUR|458CDMG|58BPWR|7TBNT|9RPLT|aRCR
162	62642 33112	1	   	264.46	DCR|2VULN|3DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2DUR|3ASPD|456DMG|7AART|8RCR|9aVULN
163	21623 84436	10	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	1aDUR|2AART|3TLV|4MBVNT|5aLWND|679aVULN|8RCR|aBPWR
164	21625 24436	10	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	1aDUR|2AART|3TLV|4MBVNT|579aVULN|6aLHND|8RCR|aBPWR
165	21625 34436	10	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	1aDUR|2AART|3TLV|4MBVNT|579aVULN|6aLWND|8RCR|aBPWR
166	42223 22625	7	   	264.19	DCR|4VULN|2DUR|3CDMG|2SELL	1569VULN|2LWND|39DUR|459CDMG|59BPWR|78SELL|aRCR
167	63611 23231	7	   	264.17	DCR|3VULN|2DUR|2TLV|2CDMG	17TLV|27CDMG|3ZMB|49DUR|567VULN|7BPWR|8LIT|aRCR
168	42223 31612	9	   	263.92	DCR|4VULN|1DMG|2CDMG|1DUR	159aVULN|2LWND|3DUR|45CDMG|5BPWR|6ZMB|7RCR|8DMG
169	42223 31613	10	   	263.92	DCR|4VULN|1DMG|2CDMG|1DUR	159aVULN|2LWND|3DUR|45CDMG|5BPWR|6ZMB|7RCR|8DMG
170	16321 16235	4	 * 	263.82	DCR|3VULN|2DMG|2ASPD|2CDMG	18ASPD|2RCVC|37aVULN|48CDMG|5TBNT|68DMG|8BPWR|9RCR
171	63611 35312	9	 * 	263.82	DCR|4VULN|2TLV|2CDMG|1DUR	17TLV|27CDMG|3ZMB|4DUR|579aVULN|6RCR|7BPWR|8DUST
172	41142 63213	1	   	263.66	DCR|2VULN|3DMG|3DUR	13VULN|267DUR|456DMG|6BPWR|8MBVNT|9RCR|aLIT
173	41141 62213	1	   	263.66	DCR|2VULN|3DMG|3DUR	13VULN|256DUR|467DMG|6BPWR|8MBVNT|9RCR|aLIT
174	14511 14312	6	   	263.45	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1ASPD|24aVULN|3LWND|5CDMG|67DMG|8DUR|9RCR
175	13712 41153	5	   	263.44	DCR|2VULN|3DMG|2DUR|2ASPD	18ASPD|2MBVNT|39DUR|48VULN|568DMG|7BELT|8BPWR|aRCR
