0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21366 61322	5	 * 	287.49	DCR|5VULN|2DMG|3LIT|1DUR	1568aVULN|2DUR|38LHND|456LIT|568BPWR|78DMG|9RCR
18	24126 12323	2	   	269.84	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD|1AART	16VULN|25ASPD|3TLV|46DMG|6BPWR|7aDUR|8RCR|9AART
19	24626 12323	3	   	269.84	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD|1AART	16VULN|25ASPD|3TLV|46DMG|6BPWR|7aDUR|8RCR|9AART
20	24521 23532	9	   	269.19	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	148VULN|28ASPD|3DUR|5LWND|68TLV|7RCR|8BPWR|9DMG|aLIT
21	21366 61331	5	   	269.15	DCR|4VULN|2DMG|3LIT|1DUR	1568VULN|2DUR|38LHND|456LIT|568BPWR|78DMG|9LWND|aRCR
22	21366 61321	5	   	269.15	DCR|4VULN|2DMG|3LIT|1DUR	1568VULN|2DUR|38LHND|456LIT|568BPWR|78DMG|9RCR|aRMIN
23	21366 61323	5	   	269.15	DCR|4VULN|2DMG|3LIT|1DUR	1568VULN|2DUR|38LHND|456LIT|568BPWR|78DMG|9RCR|aLWND
24	23334 25532	6	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	137VULN|28RCVC|4LIT|57TLV|67DUR|7BPWR|9DMG|aRCR
25	24523 13122	10	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	14aVULN|2ASPD|3aDUR|5RPLT|6RCR|7CGEN|8DMG|9aTLV|aBPWR
26	24126 12341	2	   	267.55	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	16VULN|25ASPD|3TLV|46DMG|6BPWR|7DUR|8RCR|9LIT|aCDMG
27	23362 34261	10	 * 	266.88	DCR|4VULN|2DMG|2TLV|1SELL	138aVULN|26RCVC|4aTLV|5SELL|7aDMG|9RCR|aBPWR
28	24121 12353	2	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|2ASPD|3TLV|46DMG|5DMSP|6BPWR|79aDUR|8RCR
29	24123 12353	2	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|2ASPD|3TLV|46DMG|5RCVC|6BPWR|79aDUR|8RCR
30	24621 12353	3	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|2ASPD|3TLV|46DMG|5DMSP|6BPWR|79aDUR|8RCR
31	24623 12353	3	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|2ASPD|3TLV|46DMG|5RCVC|6BPWR|79aDUR|8RCR
32	21641 32325	10	 * 	265.15	DCR|4VULN|3DUR|3CDMG	169aVULN|238DUR|459CDMG|7RCR|9BPWR
33	21152 23511	10	   	264.89	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	148VULN|28DUR|3CGEN|5DMG|68LWND|7RCR|8BPWR|9CDMG|aTLV
34	21152 43511	10	   	264.89	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	148VULN|28DUR|3CGEN|5DMG|68FEWX|7RCR|8BPWR|9CDMG|aTLV
35	22152 53511	10	   	264.89	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	148VULN|28LHND|3CGEN|5DMG|68DUR|7RCR|8BPWR|9CDMG|aTLV
36	21252 23511	10	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	148VULN|28DUR|3ERES|5DMG|68LWND|7RCR|8BPWR|9CDMG|aTLV
37	21252 43511	10	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	148VULN|28DUR|3ERES|5DMG|68FEWX|7RCR|8BPWR|9CDMG|aTLV
38	22252 53511	10	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	148VULN|28LHND|3ERES|5DMG|68DUR|7RCR|8BPWR|9CDMG|aTLV
39	23335 13232	5	 * 	264.39	DCR|4VULN|2TLV|1DMG|2LIT	1389VULN|2RCVC|48LIT|5DMG|6FEWX|78TLV|8BPWR|aRCR
40	23335 43232	5	   	264.39	DCR|4VULN|2TLV|1DMG|2LIT	1389VULN|2RCVC|48LIT|5DMG|6LWND|78TLV|8BPWR|aRCR
41	23635 13232	5	   	264.39	DCR|4VULN|2TLV|1DMG|2LIT	1389VULN|2RCVC|38BPWR|48LIT|5DMG|6FEWX|78TLV|aRCR
42	23635 43232	5	   	264.39	DCR|4VULN|2TLV|1DMG|2LIT	1389VULN|2RCVC|38BPWR|48LIT|5DMG|6LWND|78TLV|aRCR
43	21662 23642	10	 * 	264.36	DCR|3VULN|3DUR|1TLV|1DMG	148VULN|238DUR|5MBVNT|68LWND|7RCR|8BPWR|9TLV|aDMG
44	21641 32322	10	 * 	264.16	DCR|3VULN|3DUR|3CDMG|1DMG	169VULN|238DUR|459CDMG|7RCR|9BPWR|aDMG
45	21662 43642	10	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	148VULN|238DUR|5MBVNT|6LEGI|7RCR|8BPWR|9TLV|aDMG
46	23335 53236	5	   	263.94	DCR|4VULN|2DMG|1DUR|2LIT	1367VULN|2RCVC|47LIT|57DMG|7BPWR|8RPLT|9DUR|aRCR
47	23523 16134	3	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	145VULN|2RCVC|34DMG|4BPWR|6DUR|7AART|8TLV|9ERES|aRCR
48	21152 23532	10	   	263.67	DCR|4VULN|2DMG|2DUR	148aVULN|28DUR|3CGEN|59DMG|68LWND|7RCR|8BPWR
49	22152 53532	10	   	263.67	DCR|4VULN|2DMG|2DUR	148aVULN|28LHND|3CGEN|59DMG|68DUR|7RCR|8BPWR
50	22152 53533	9	   	263.67	DCR|4VULN|2DMG|2DUR	148aVULN|28LHND|3CGEN|59DMG|68DUR|7RCR|8BPWR
51	21252 23532	10	   	263.57	DCR|4VULN|2DMG|2DUR	148aVULN|28DUR|3ERES|59DMG|68LWND|7RCR|8BPWR
52	22252 53532	10	   	263.57	DCR|4VULN|2DMG|2DUR	148aVULN|28LHND|3ERES|59DMG|68DUR|7RCR|8BPWR
53	22252 53533	9	   	263.57	DCR|4VULN|2DMG|2DUR	148aVULN|28LHND|3ERES|59DMG|68DUR|7RCR|8BPWR
54	21643 36132	9	 * 	262.96	DCR|2VULN|3DMG|2DUR|2CDMG|1AART|1SELL	18VULN|23DUR|48CDMG|5AART|689DMG|7SELL|8BPWR|aRCR
55	23522 32333	3	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	146VULN|2RCVC|34DMG|4BPWR|5DUST|7DUR|8LIT|9TLV|aRCR
56	24123 14133	7	   	262.23	DCR|4VULN|2DUR|1DMG|2ASPD	148aVULN|2aASPD|3BEXP|5RPLT|6RCR|7DMG|9aDUR|aBPWR
57	24123 14233	8	   	262.23	DCR|4VULN|2DUR|1DMG|2ASPD	148aVULN|2aASPD|3BEXP|5RPLT|6RCR|7DMG|9aDUR|aBPWR
58	21664 22331	10	   	262.13	DCR|5VULN|2DUR|1AART	14789VULN|23DUR|5ASPD|6AART|aRCR
59	24121 12323	2	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	16VULN|2ASPD|3TLV|46DMG|5DMSP|6BPWR|7aDUR|8RCR|9AART
60	24123 12323	2	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	16VULN|2ASPD|3TLV|46DMG|5RCVC|6BPWR|7aDUR|8RCR|9AART
61	24621 12323	3	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	16VULN|2ASPD|3TLV|46DMG|5DMSP|6BPWR|7aDUR|8RCR|9AART
62	24623 12323	3	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	16VULN|2ASPD|3TLV|46DMG|5RCVC|6BPWR|7aDUR|8RCR|9AART
63	24422 32333	3	   	261.90	DCR|4VULN|1TLV|2ASPD|1DUR	1346VULN|24ASPD|4BPWR|5DUST|7DUR|8LIT|9TLV|aRCR
64	24521 23513	8	   	261.87	DCR|4VULN|2TLV|2ASPD|1DUR	148aVULN|28ASPD|3DUR|5LWND|68TLV|7RCR|8BPWR|9BEXP
65	24521 23522	10	   	261.87	DCR|4VULN|2TLV|2ASPD|1DUR	148aVULN|28ASPD|3DUR|5LWND|68TLV|7RCR|8BPWR|9ZMB
66	23127 58141	10	 * 	261.62	DCR|3VULN|3DMG|2TLV|1NUKE	16aVULN|2RCVC|3RPLT|4MBVNT|56aDMG|6aBPWR|7RCR|8NUKE|9aTLV
67	23521 23532	9	   	261.62	DCR|3VULN|3DMG|2TLV	18aVULN|2RCVC|389DMG|4DUST|5LWND|68TLV|7RCR|8BPWR
68	23521 23562	8	 * 	261.62	DCR|3VULN|3DMG|3TLV	18aVULN|2RCVC|38aDMG|4DUST|5LWND|68aTLV|7RCR|8aBPWR|9TBNT
69	23526 23532	9	   	261.62	DCR|3VULN|3DMG|2TLV	18aVULN|2RCVC|389DMG|4DUST|5BEXP|68TLV|7RCR|8BPWR
70	23335 33661	6	   	261.15	DCR|3VULN|2DMG|1TLV|2LIT	137VULN|2RCVC|47LIT|57DMG|6DMSP|7BPWR|8TLV|9ASPD|aRCR
71	21151 53511	10	   	260.97	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG	148VULN|28DUR|3CGEN|5LWND|68ASPD|7RCR|8BPWR|9CDMG|aTLV
72	24121 23536	9	   	260.88	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	148VULN|28ASPD|3BEXP|5LWND|68TLV|7RCR|8BPWR|9DMG|aDUR
73	24521 23531	9	   	260.88	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	148VULN|28ASPD|3DUR|5LWND|68TLV|7RCR|8BPWR|9DMG|aRPLT
74	24521 23531	10	   	260.88	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	148VULN|28ASPD|3DUR|5LWND|68TLV|7RCR|8BPWR|9DMG|aZMB
75	24521 23532	10	   	260.88	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	148VULN|28ASPD|3DUR|5LWND|68TLV|7RCR|8BPWR|9DMG|aCGEN
76	24521 23533	9	   	260.88	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	148VULN|28ASPD|3DUR|5LWND|68TLV|7RCR|8BPWR|9DMG|aMLV
77	24521 23533	10	   	260.88	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	148VULN|28ASPD|3DUR|5LWND|68TLV|7RCR|8BPWR|9DMG|aRMIN
78	24521 23533	8	   	260.88	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	148VULN|28ASPD|3DUR|5LWND|68TLV|7RCR|8BPWR|9RPLT|aDMG
79	21251 53511	10	   	260.87	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG	148VULN|28DUR|3ERES|5LWND|68ASPD|7RCR|8BPWR|9CDMG|aTLV
80	26333 63116	5	   	260.80	DCR|3VULN|2DUR|1TLV|1DMG|1AART	167VULN|2AART|3DMG|4LHND|56DUR|6BPWR|8RMIN|9RCR|aTLV
81	21363 25363	8	 * 	260.69	DCR|3VULN|3DUR|2TLV	19aVULN|279DUR|3LHND|4LIT|5LEGI|69TLV|8RCR|9BPWR
82	24523 11521	6	   	260.51	DCR|5VULN|2DUR|2ASPD	14789VULN|28ASPD|38DUR|5RPLT|6RCR|8BPWR|aCGEN
83	24523 12521	7	   	260.51	DCR|5VULN|2DUR|2ASPD	14789VULN|28ASPD|38DUR|5RPLT|6RCR|8BPWR|aCGEN
84	24523 11522	6	   	260.41	DCR|5VULN|2DUR|2ASPD	14789VULN|28ASPD|38DUR|5RPLT|6RCR|8BPWR|aERES
85	24523 12522	7	   	260.41	DCR|5VULN|2DUR|2ASPD	14789VULN|28ASPD|38DUR|5RPLT|6RCR|8BPWR|aERES
86	24523 42332	10	   	260.41	DCR|5VULN|2DUR|2ASPD	1478aVULN|26ASPD|36DUR|5RPLT|6BPWR|9RCR
87	31631 52533	8	 * 	260.36	ACR|4VULN|3DMG|3DUR	1RCR|278aVULN|38aDUR|4CGEN|5DUST|68aDMG|8aBPWR|9RPLT
88	24126 12336	2	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	16VULN|25ASPD|3TLV|46DMG|6BPWR|7aDUR|8RCR|9LHND
89	24126 12351	2	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	16VULN|25ASPD|3TLV|46DMG|6BPWR|79DUR|8RCR|aBEXP
90	24126 12352	2	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	16VULN|25ASPD|3TLV|46DMG|6BPWR|79DUR|8RCR|aLWND
91	24121 15423	2	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	16VULN|27ASPD|3TLV|46DMG|5DMSP|6BPWR|8RCR|9aDUR
92	24123 15423	2	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	16VULN|27ASPD|3TLV|46DMG|5RCVC|6BPWR|8RCR|9aDUR
93	24121 12341	2	   	259.71	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	16VULN|2ASPD|3TLV|46DMG|5DMSP|6BPWR|7DUR|8RCR|9LIT|aCDMG
94	24123 12341	2	   	259.71	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	16VULN|2ASPD|3TLV|46DMG|5RCVC|6BPWR|7DUR|8RCR|9LIT|aCDMG
95	24621 12341	3	   	259.71	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	16VULN|2ASPD|3TLV|46DMG|5DMSP|6BPWR|7DUR|8RCR|9LIT|aCDMG
96	24623 12341	3	   	259.71	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	16VULN|2ASPD|3TLV|46DMG|5RCVC|6BPWR|7DUR|8RCR|9LIT|aCDMG
97	23335 13223	5	   	259.59	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	138VULN|2RCVC|48LIT|5DMG|6FEWX|78TLV|8BPWR|9DUR|aRCR
98	23335 43222	5	   	259.59	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	138VULN|2RCVC|48LIT|5DMG|6LWND|78TLV|8BPWR|9DUR|aRCR
99	23635 13223	5	   	259.59	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	138VULN|2RCVC|38BPWR|48LIT|5DMG|6FEWX|78TLV|9DUR|aRCR
100	23635 43222	5	   	259.59	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	138VULN|2RCVC|38BPWR|48LIT|5DMG|6LWND|78TLV|9DUR|aRCR
101	21112 13534	9	 * 	259.59	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3CGEN|46DUST|589DMG|7RCR|8BPWR|aTLV
102	21152 43533	8	   	259.51	DCR|4VULN|3DUR|1DMG	148aVULN|28aDUR|3CGEN|5DMG|68aFEWX|7RCR|8aBPWR|9RPLT
103	21212 13534	9	   	259.49	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3ERES|46DUST|589DMG|7RCR|8BPWR|aTLV
104	21252 23551	8	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	148VULN|28DUR|3ERES|5DMG|68LWND|7RCR|8BPWR|9LIT|aTLV
105	21252 43533	8	   	259.41	DCR|4VULN|3DUR|1DMG	148aVULN|28aDUR|3ERES|5DMG|68aFEWX|7RCR|8aBPWR|9RPLT
106	21331 11143	4	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	149VULN|27DUR|3LHND|5TLV|6LIT|8DMG|aRCR
107	21336 12143	6	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	149VULN|25DUR|3LHND|6TLV|7LIT|8DMG|aRCR
108	21361 52243	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	159VULN|28DUR|3LHND|4LIT|6DMG|7TLV|aRCR
109	21362 61143	5	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	169VULN|27DUR|3LHND|4LIT|5TLV|8DMG|aRCR
110	22631 11143	4	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	149VULN|2LHND|37DUR|5TLV|6LIT|8DMG|aRCR
111	22636 12143	6	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	149VULN|2LHND|35DUR|6TLV|7LIT|8DMG|aRCR
112	23513 32364	8	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	17aVULN|2RCVC|3DMG|4RMIN|5RPLT|6aTLV|8RCR|9aDUR|aBPWR
113	24121 23515	10	   	259.27	DCR|4VULN|2TLV|2ASPD|1CDMG	148aVULN|28ASPD|3BEXP|5LWND|68TLV|7RCR|8BPWR|9CDMG
114	25631 11143	4	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	149VULN|2LEGI|37DUR|5TLV|6LIT|8DMG|aRCR
115	21656 32233	9	   	259.11	DCR|4VULN|3DUR|2CDMG	1678VULN|234DUR|58CDMG|8BPWR|9RCR|aRPLT
116	21662 43441	10	 * 	259.02	DCR|3VULN|2TLV|2DUR|2CDMG	14aVULN|23DUR|5MBVNT|6LEGI|7RCR|8aCDMG|9aTLV|aBPWR
117	21662 43445	9	   	259.02	DCR|3VULN|2TLV|2DUR|2CDMG	14aVULN|23DUR|5MBVNT|6LEGI|7RCR|8aCDMG|9aTLV|aBPWR
118	21656 32232	9	   	259.01	DCR|4VULN|3DUR|2CDMG	1678VULN|234DUR|58CDMG|8BPWR|9RCR|aBBNT
119	24651 33312	10	   	258.98	DCR|2VULN|2TLV|2DUR|2CDMG|2ASPD	17VULN|27ASPD|36TLV|48DUR|57CDMG|7BPWR|9LIT|aRCR
120	24123 14133	8	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	14aVULN|2aASPD|3BEXP|5RPLT|6RCR|78DMG|9aDUR|aBPWR
121	24523 13161	10	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	14aVULN|2aASPD|39DUR|5RPLT|6RCR|7CGEN|8aDMG|aBPWR
122	26332 62224	8	   	258.55	DCR|4VULN|2DMG|1DUR|1AART	1567VULN|2AART|39DMG|4LHND|8DUR|aRCR
123	24125 23513	10	   	258.18	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	148VULN|28ASPD|3BEXP|5DUST|68TLV|7RCR|8BPWR|9CDMG|aDMG
124	31651 13333	3	 * 	257.96	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|24aVULN|39aDUR|5TLV|6LIT|7BBNT|8aDMG|aBPWR
125	31661 14333	5	   	257.96	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|25aVULN|39aDUR|4LIT|6BBNT|7TLV|8aDMG|aBPWR
126	31662 63333	5	   	257.96	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|26aVULN|39aDUR|4LIT|5TLV|7BBNT|8aDMG|aBPWR
127	25621 32253	9	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	179VULN|2LEGI|359DUR|4CDMG|6TLV|89CGEN|9BPWR|aRCR
128	25621 33253	9	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	189VULN|2LEGI|359DUR|4CDMG|6TLV|79CGEN|9BPWR|aRCR
129	21346 33511	10	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18VULN|28DUR|36LHND|4CGEN|58DMG|7RCR|8BPWR|9CDMG|aTLV
130	21112 13511	10	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18VULN|28DUR|3CGEN|46DUST|58DMG|7RCR|8BPWR|9CDMG|aTLV
