0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31253 23625	7	 * 	309.17	DCR|5VULN|2DMG|2DUR|1CDMG|1SELL	1SELL|2358aVULN|48DMG|68DUR|7RCR|8BPWR|9CDMG
20	31253 31265	9	 * 	282.61	DCR|4VULN|2DMG|2ASPD|1TLV|1SELL	1SELL|2359VULN|49DMG|6TLV|7BEXP|89ASPD|9BPWR|aRCR
21	31134 63622	7	 * 	282.22	DCR|3VULN|3DMG|3DUR|1SELL	1SELL|258VULN|368DUR|48aDMG|7RCR|8BPWR|9BEXP
22	31663 63211	6	 * 	282.21	DCR|4VULN|3DMG|2ASPD|1SELL	1SELL|258aVULN|348DMG|6RCR|78aCGEN|8aBPWR|9aASPD
23	63251 14323	10	 * 	281.42	DCR|4VULN|3DUR|2TLV	1589VULN|2BEXP|368DUR|4AART|78TLV|8BPWR|aRCR
24	31253 22134	9	 * 	280.74	DCR|5VULN|2DMG|1DUR|1SELL	1SELL|23579VULN|48DMG|6DUR|aRCR
25	31253 22164	8	 * 	280.74	DCR|5VULN|2DMG|1DUR|1SELL	1SELL|23579VULN|48DMG|6DUR|aRCR
26	31253 24334	9	 * 	280.74	DCR|5VULN|2DMG|1DUR|1SELL	1SELL|23589VULN|47DMG|6DUR|aRCR
27	31253 62133	9	 * 	280.74	DCR|5VULN|2DMG|1DUR|1SELL	1SELL|23579VULN|48DMG|6RCR|aDUR
28	31253 62163	8	 * 	280.74	DCR|5VULN|2DMG|1DUR|1SELL	1SELL|23579VULN|48DMG|6RCR|aDUR
29	31253 62321	10	 * 	280.74	DCR|5VULN|2DMG|1TLV|1SELL	1SELL|23578VULN|4aDMG|6RCR|9TLV
30	31253 64333	9	 * 	280.74	DCR|5VULN|2DMG|1DUR|1SELL	1SELL|23589VULN|47DMG|6RCR|aDUR
31	31663 22334	9	 * 	280.74	DCR|5VULN|2DMG|1DUR|1SELL	1SELL|25789VULN|34DMG|6DUR|aRCR
32	31663 62333	9	 * 	280.74	DCR|5VULN|2DMG|1DUR|1SELL	1SELL|25789VULN|34DMG|6RCR|aDUR
33	31363 64221	7	 * 	280.44	DCR|5VULN|3DMG|1SELL	1SELL|2458aVULN|348ZMB|48aBPWR|6RCR|78aDMG|9aERES
34	33323 54242	1	   	280.44	DCR|4VULN|2DUR|1TLV|2LIT|1ASPD|1SELL	1SELL|29LIT|3TLV|49DUR|5679VULN|8RCR|9BPWR|aASPD
35	31253 13661	7	 * 	279.74	DCR|5VULN|2DMG|2LIT|1SELL	1SELL|2358aVULN|48DMG|68aLHND|7RCR|8aBPWR|9aLIT
36	31111 12661	3	 * 	279.50	DCR|4VULN|2DUR|2ASPD|1DMG|1SELL	1SELL|2468VULN|34DUR|48BPWR|58DUST|78ASPD|9DMG|aRCR
37	31512 12661	3	 * 	279.50	DCR|4VULN|2DUR|2ASPD|1DMG|1SELL	1SELL|2458VULN|34DUST|48BPWR|68DUR|78ASPD|9DMG|aRCR
38	62112 12661	1	 * 	279.50	DCR|4VULN|2DUR|2ASPD|1DMG|1SELL	1258VULN|3DUST|4SELL|68DUR|78ASPD|8BPWR|9DMG|aRCR
39	31253 41481	5	 * 	279.44	DCR|5VULN|2DMG|2LIT|1SELL	1SELL|2358aVULN|4aDMG|6MBVNT|7RCR|9aLIT|aBPWR
40	31253 41481	4	 * 	279.44	DCR|5VULN|2DMG|2LIT|1SELL	1SELL|2358aVULN|4aDMG|6MBVNT|7RCR|9aLIT|aBPWR
41	31253 62326	9	 * 	279.40	DCR|5VULN|1DMG|1TLV|1DUR|1SELL	1SELL|23578VULN|4DMG|6RCR|9TLV|aDUR
42	31253 62341	10	 * 	279.40	DCR|5VULN|1DMG|1TLV|1DUR|1SELL	1SELL|23578VULN|4DMG|6RCR|9DUR|aTLV
