0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42532 11215	7	 * 	301.14	DCR|5VULN|2DMG|2CDMG|1DUR	12478VULN|3RMIN|57CDMG|67DMG|7BPWR|9RCR|aDUR
29	52336 22215	1	 * 	280.81	DCR|4VULN|3DMG|3LIT	14aDMG|2BBNT|345aVULN|4aBPWR|67aLIT|8TBNT|9RCR
30	55122 73121	2	 * 	279.00	DCR|3VULN|3DMG|2DUR	17aDMG|2AART|3MBVNT|47aVULN|57CGEN|6RCR|7aBPWR|8BEXP|9aDUR
31	55312 73121	4	   	279.00	DCR|3VULN|3DMG|2DUR	17aDMG|2AART|37aVULN|47CGEN|5MBVNT|6RCR|7aBPWR|8BEXP|9aDUR
32	55312 73121	3	   	279.00	DCR|3VULN|3DMG|2DUR	17aDMG|2AART|37aVULN|47CGEN|5MBVNT|6RCR|7aBPWR|8BEXP|9aDUR
33	42534 11213	7	   	278.24	DCR|5VULN|2DMG|1CDMG|1SELL	12478VULN|3RMIN|5SELL|67DMG|7BPWR|9RCR|aCDMG
34	42125 36323	8	   	277.93	DCR|4VULN|2DUR|1TLV|1CDMG	126aVULN|3AART|4TLV|58DUR|7RCR|9CDMG
35	51213 14352	6	   	277.34	DCR|3VULN|3DMG|2DUR	149DMG|27DUR|3LIT|56aVULN|8RCR
36	51213 33652	5	   	277.34	DCR|3VULN|3DMG|2DUR	149DMG|27DUR|3LIT|58aVULN|6RCR
37	42153 35121	9	   	276.97	DCR|5VULN|2TLV|1DMG	1268aVULN|3AART|4DMG|58FEWX|78TLV|8BPWR|9RCR
38	42153 35123	10	   	276.97	DCR|5VULN|2TLV|1DMG	1268aVULN|3AART|4DMG|58FEWX|78TLV|8BPWR|9RCR
39	31523 33335	1	 * 	276.57	DCR|3VULN|3DUR|2DMG	179FEWX|245DUR|349VULN|49BPWR|69DMG|8AART|aRCR
40	33122 12335	3	   	276.57	DCR|3VULN|3DUR|2DMG	134FEWX|249VULN|49BPWR|569DUR|79DMG|8AART|aRCR
41	34322 12335	2	   	276.57	DCR|3VULN|3DUR|2DMG	124FEWX|349VULN|49BPWR|569DUR|79DMG|8AART|aRCR
42	44122 12335	3	   	276.57	DCR|3VULN|3DUR|2DMG	149VULN|234FEWX|49BPWR|569DUR|79DMG|8AART|aRCR
43	56322 22533	2	 * 	276.44	DCR|2VULN|2DMG|3ASPD|2TLV|1DUR|1CDMG	18DMG|248ASPD|34VULN|48BPWR|5TBNT|6DUR|78TLV|9CDMG|aRCR
44	42333 13616	10	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT|1NUKE	1248VULN|3NUKE|5BELT|68LIT|78DMG|8BPWR|9DUR|aRCR
45	42532 11623	8	   	276.36	DCR|4VULN|2DMG|2CDMG|1ASPD	1247VULN|3RMIN|57CDMG|67DMG|7BPWR|8FEWX|9ASPD|aRCR
46	42332 11625	8	   	276.26	DCR|4VULN|2DMG|2CDMG|1ASPD|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|8FEWX|9ASPD|aRCR
47	42532 11123	7	   	276.26	DCR|4VULN|2DMG|2CDMG|1ASPD	1247VULN|3RMIN|57CDMG|67DMG|7BPWR|8DUST|9ASPD|aRCR
48	42532 11124	8	   	276.26	DCR|4VULN|2DMG|2CDMG|1ASPD	1247VULN|3RMIN|57CDMG|67DMG|7BPWR|8ERES|9ASPD|aRCR
49	42613 24223	5	   	276.26	DCR|4VULN|2DMG|2CDMG|1ASPD	1258VULN|38CDMG|4LHND|6ERES|78DMG|8BPWR|9ASPD|aRCR
50	42613 52223	7	   	276.26	DCR|4VULN|2DMG|2CDMG|1ASPD	1258VULN|38CDMG|4LHND|6ERES|78DMG|8BPWR|9ASPD|aRCR
51	42623 24223	3	   	276.26	DCR|4VULN|2DMG|2CDMG|1ASPD	1248VULN|38CDMG|5LWND|6ERES|78DMG|8BPWR|9ASPD|aRCR
52	42332 11124	8	   	276.16	DCR|4VULN|2DMG|2CDMG|1ASPD|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|8ERES|9ASPD|aRCR
53	42332 11125	7	   	276.16	DCR|4VULN|2DMG|2CDMG|1ASPD|1NUKE	1247VULN|3NUKE|57CDMG|67DMG|7BPWR|8DUST|9ASPD|aRCR
54	42112 53151	10	 * 	275.91	ACR|5VULN|2DMG|2TLV|1CDMG	1258aVULN|3AART|4RCR|68TLV|78DMG|8BPWR|9CDMG
55	42335 31612	6	   	275.83	DCR|5VULN|2DMG|1ASPD|1NUKE	12479VULN|3NUKE|57CGEN|67DMG|7BPWR|8RCR|aASPD
56	52336 21342	1	   	275.80	DCR|4VULN|3DMG|2LIT	148DMG|2BBNT|3458VULN|48BPWR|68LIT|7RMIN|9DUST|aRCR
57	55312 16131	9	   	275.01	DCR|4VULN|2DMG|2CDMG	18DMG|2AART|3579VULN|48CGEN|68CDMG|8BPWR|aRCR
58	41521 32433	1	   	275.01	DCR|4VULN|3DUR|1CDMG	1348VULN|247DUR|4BPWR|5FEWX|6AART|9CDMG|aRCR
59	51213 14335	6	   	274.92	DCR|3VULN|3DUR|2DMG	14DMG|27aDUR|3LIT|569VULN|8RCR
60	51213 33635	5	   	274.92	DCR|3VULN|3DUR|2DMG	14DMG|27aDUR|3LIT|589VULN|6RCR
61	55322 16131	9	   	274.81	DCR|4VULN|2DMG|2CDMG	18DMG|2AART|3579VULN|48ERES|68CDMG|8BPWR|aRCR
62	42133 33121	9	   	274.59	DCR|5VULN|2DMG	1268aVULN|3AART|4CGEN|58FEWX|78DMG|8BPWR|9RCR
63	42133 33123	10	   	274.59	DCR|5VULN|2DMG	1268aVULN|3AART|4CGEN|58FEWX|78DMG|8BPWR|9RCR
64	52331 12164	1	   	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	147DMG|2BBNT|347VULN|47BPWR|5TBNT|67CDMG|8DMSP|9TLV|aRCR
65	42636 22211	2	   	274.06	DCR|5VULN|2DUR|1TLV	12579VULN|3TLV|48DUR|6DUST|aRCR
66	42112 61315	10	 * 	273.13	ACR|5VULN|2DMG|2DUR	1259aVULN|3AART|4RCR|6BEXP|7aDMG|8aDUR|aBPWR
67	42332 42215	7	   	273.13	DCR|5VULN|1TLV|1DUR|1CDMG|1NUKE	12478VULN|3NUKE|5CDMG|6TLV|9RCR|aDUR
68	42123 33221	9	   	273.05	DCR|5VULN|1DMG|1TLV	1268aVULN|3AART|4TLV|5FEWX|7DMG|9RCR
69	42123 33223	10	   	273.05	DCR|5VULN|1DMG|1TLV	1268aVULN|3AART|4TLV|5FEWX|7DMG|9RCR
70	42153 35221	9	   	273.05	DCR|5VULN|1DMG|1TLV	1268aVULN|3AART|4DMG|5FEWX|7TLV|9RCR
71	42153 35223	10	   	273.05	DCR|5VULN|1DMG|1TLV	1268aVULN|3AART|4DMG|5FEWX|7TLV|9RCR
72	41526 32221	1	 * 	272.91	DCR|4VULN|3DUR|2ASPD	1345VULN|246DUR|4BPWR|79ASPD|8BEXP|aRCR
73	42331 15362	7	   	272.87	DCR|5VULN|2DUR|2LIT|1NUKE	12479VULN|3NUKE|5RPLT|69LIT|89DUR|9BPWR|aRCR
74	56132 12343	7	   	272.71	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1DMG|2ASPD|3AART|4aDUR|579VULN|6TLV|8RCR
75	41526 32331	1	   	272.36	DCR|4VULN|3DUR|1ASPD	1345VULN|246DUR|4BPWR|7ASPD|8AART|9CGEN|aRCR
76	42125 36121	9	   	272.06	DCR|4VULN|2DUR|2AART|1TLV	1268VULN|39AART|4TLV|5aDUR|7RCR
77	42112 53153	10	 * 	272.02	ACR|4VULN|3DMG|2TLV|1CDMG	1258VULN|3AART|4RCR|68TLV|78aDMG|8BPWR|9CDMG
78	31523 56231	1	   	271.86	DCR|4VULN|3DUR|1DMG	18FEWX|245DUR|348aVULN|48BPWR|6RCVC|7RCR|9DMG
79	41521 26233	1	   	271.86	DCR|4VULN|3DUR|1DMG	1348VULN|246DUR|48BPWR|58aFEWX|7RCR|9DMG
80	55223 11631	2	   	271.85	DCR|2VULN|3DMG|2DUR|2TLV	17aDMG|2AART|3aDUR|47VULN|57DUST|6MBVNT|7aBPWR|8RCR|9aTLV
81	55333 11631	3	   	271.85	DCR|2VULN|3DMG|2DUR|2TLV	17aDMG|2AART|3aVULN|47DUR|57DUST|6MBVNT|7aBPWR|8RCR|9aTLV
82	31523 51631	1	   	271.76	DCR|4VULN|3DUR|1DMG	1FEWX|245DUR|347aVULN|4BPWR|6RCVC|8RCR|9DMG
83	41521 21633	1	   	271.76	DCR|4VULN|3DUR|1DMG	1347VULN|246DUR|4BPWR|5aFEWX|8RCR|9DMG
84	41521 26222	1	   	271.76	DCR|4VULN|3DUR|2CDMG	1348VULN|246DUR|48BPWR|58FEWX|7RCR|9aCDMG
85	41521 26232	1	   	271.76	DCR|4VULN|3DUR|1DMG	1348VULN|246DUR|48BPWR|58FEWX|7RCR|9DMG|aBBNT
86	41521 21622	1	   	271.66	DCR|4VULN|3DUR|2CDMG	1347VULN|246DUR|4BPWR|5FEWX|8RCR|9aCDMG
87	41521 21632	1	   	271.66	DCR|4VULN|3DUR|1DMG	1347VULN|246DUR|4BPWR|5FEWX|8RCR|9DMG|aBBNT
88	41521 22532	1	   	271.66	DCR|4VULN|3DUR|1DMG	134aVULN|246DUR|4BPWR|5FEWX|7DMG|8RCR|9BBNT
89	42123 33121	10	   	271.30	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR|aRCVC
90	42123 33122	9	   	271.30	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR|aBEXP
91	42123 33123	9	   	271.30	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR|aRPLT
92	42123 33124	9	   	271.30	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR|aCGEN
93	42123 33125	9	   	271.30	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR|aLWND
94	42123 33126	10	   	271.30	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR|aLWND
95	42123 33111	9	   	271.30	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|589FEWX|78DMG|8BPWR|aRCR
96	42123 33131	8	   	271.30	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|589FEWX|78DMG|8BPWR|aRCR
97	55311 36111	8	   	271.30	DCR|4VULN|2DMG|1DUR	19DMG|2AART|3689VULN|49CGEN|5RMIN|7RCR|9BPWR|aDUR
98	42123 33122	10	   	271.20	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR|aERES
99	42123 33125	10	   	271.20	DCR|4VULN|2DMG|1TLV	1268VULN|3AART|4TLV|58FEWX|78DMG|8BPWR|9RCR|aDUST
