0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21222 55114	10	 * 	296.19	DCR|4VULN|2DMG|2DUR|2TLV	1DMSP|27DMG|36TLV|4789VULN|57DUR|7BPWR|aRCR
17	43112 21143	4	   	284.53	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|239VULN|4LIT|59aDUR|6AART|79DMG|8RCR|9BPWR
18	21321 16651	5	 * 	284.28	DCR|3VULN|3DMG|2TLV|1DUR	1DMSP|249DMG|3DUR|59TLV|69aVULN|7RCR|8AART|9BPWR
19	21321 26651	6	   	284.28	DCR|3VULN|3DMG|2TLV|1DUR	1DMSP|249DMG|3DUR|59TLV|69aVULN|7RCR|8AART|9BPWR
20	21322 42111	3	 * 	282.56	DCR|3VULN|3DMG|3DUR	1DMSP|27aDMG|347DUR|5BBNT|67aVULN|7aBPWR|8aCGEN|9RCR
21	21622 42111	1	   	282.56	DCR|3VULN|3DMG|3DUR	1DMSP|237DUR|47aDMG|5BBNT|67aVULN|7aBPWR|8aCGEN|9RCR
22	24222 35111	7	   	282.56	DCR|3VULN|3DMG|3DUR	1DMSP|257DUR|3aCGEN|47aDMG|67aVULN|7aBPWR|8BBNT|9RCR
23	24522 42111	3	   	282.56	DCR|3VULN|3DMG|3DUR	1DMSP|237DUR|47aDMG|5BBNT|67aVULN|7aBPWR|8aCGEN|9RCR
24	24622 42111	2	   	282.56	DCR|3VULN|3DMG|3DUR	1DMSP|237DUR|47aDMG|5BBNT|67aVULN|7aBPWR|8aCGEN|9RCR
25	26222 65111	7	   	282.56	DCR|3VULN|3DMG|3DUR	1DMSP|27aVULN|3aCGEN|47aDMG|567DUR|7aBPWR|8BBNT|9RCR
26	21222 26652	5	   	281.57	DCR|2VULN|3DMG|3DUR|1TLV	1DMSP|269DMG|3TLV|49VULN|569DUR|69BPWR|7RCR|8AART|aLWND
27	21222 26653	5	   	281.57	DCR|2VULN|3DMG|3DUR|1TLV	1DMSP|269DMG|3TLV|49VULN|569DUR|69BPWR|7RCR|8AART|aBEXP
28	42133 24341	3	 * 	281.41	DCR|5VULN|3CDMG|3TLV|1SELL	1SELL|289CDMG|3LIT|45689VULN|789TLV|89BPWR|aRCR
29	21213 61652	8	   	281.11	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	1DMSP|29DMG|3TLV|49LIT|5DUR|6ASPD|79aVULN|8RCR|9BPWR
30	21213 61252	7	   	281.11	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	1DMSP|29DMG|3TLV|49LIT|5DUR|6ASPD|789VULN|9BPWR|aRCR
31	41112 33534	1	 * 	280.34	DCR|5VULN|3DMG|1SELL	1SELL|2RMIN|34678VULN|567DMG|67BPWR|9RCVC|aRCR
32	22133 15353	3	 * 	279.85	DCR|5VULN|3DUR	1DMSP|289MLV|3LIT|4589aVULN|6RCR|789DUR|89BPWR
33	21222 36652	5	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV	1DMSP|29DMG|3TLV|469VULN|59DUR|7RCR|8AART|9BPWR|aCGEN
34	21225 13266	10	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV	1DMSP|28DMG|3TLV|478VULN|5AART|68DUR|8BPWR|9RMIN|aRCR
35	21225 13216	10	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	1DMSP|28DMG|3TLV|478VULN|5AART|68DUR|8BPWR|9ERES|aRCR
36	24223 22551	5	   	278.90	DCR|3VULN|3DMG|2DUR	1DMSP|29DUR|3CGEN|469DMG|5AART|7RCR|89aVULN|9BPWR
37	24221 35114	10	   	276.22	DCR|4VULN|2DMG|2DUR	1DMSP|27DUR|3CGEN|47DMG|5RCVC|6789VULN|7BPWR|aRCR
38	26222 25114	10	   	276.22	DCR|4VULN|2DMG|2DUR	1DMSP|2789VULN|36CGEN|47DMG|57DUR|7BPWR|aRCR
39	13325 62331	6	 * 	276.07	DCR|3VULN|3DMG|2ASPD|1DUR	158BEXP|28aVULN|3DUR|4aASPD|68aDMG|7RCR|8aBPWR|9RMIN
40	21326 54111	3	 * 	275.52	DCR|2VULN|3DMG|3DUR|2TLV	1DMSP|25aDMG|345DUR|5aBPWR|6aVULN|7aTLV|8BBNT|9RCR
41	52413 12263	1	   	275.06	DCR|4VULN|1DMG|1TLV|1DUR|2LIT	1CGEN|245aVULN|34LIT|4BPWR|6RCR|7DMG|8TLV|9DUR
42	13363 24522	3	   	275.01	DCR|4VULN|3DUR|1CDMG	1BEXP|2478VULN|346DUR|4BPWR|5AART|9CDMG|aRCR
43	21222 55231	7	   	273.55	DCR|3VULN|2DMG|2DUR|2TLV	1DMSP|27DMG|36TLV|479VULN|57DUR|7BPWR|8RCR|aBEXP
44	21222 55234	7	   	273.55	DCR|3VULN|2DMG|2DUR|2TLV	1DMSP|27DMG|36TLV|479VULN|57DUR|7BPWR|8RCR|aZMB
45	21222 55235	7	   	273.55	DCR|3VULN|2DMG|2DUR|2TLV	1DMSP|27DMG|36TLV|479VULN|57DUR|7BPWR|8RCR|aLHND
46	21222 55236	7	   	273.55	DCR|3VULN|2DMG|2DUR|2TLV	1aDMSP|27DMG|36TLV|479VULN|57DUR|7BPWR|8RCR
47	26313 35433	9	 * 	271.86	DCR|4VULN|3DUR|3TLV	1DMSP|289aVULN|39BEXP|478TLV|589DUR|6RCR|89BPWR
48	16313 51152	6	   	271.76	DCR|4VULN|3DUR|1DMG	17BEXP|237DUR|478aVULN|5LEGI|6RCR|7BPWR|9DMG
49	16313 52352	6	   	271.76	DCR|4VULN|3DUR|1DMG	18BEXP|238DUR|478aVULN|5LEGI|6RCR|8BPWR|9DMG
50	26521 13163	9	 * 	271.76	DCR|4VULN|3DUR|2CDMG	1DMSP|2479VULN|367DUR|5BELT|79BPWR|89CDMG|aRCR
51	52413 15312	1	 * 	271.76	DCR|4VULN|3DUR|3LIT	18CGEN|2459VULN|348LIT|48BPWR|6RCR|78aDUR
52	42322 42233	3	   	271.42	DCR|4VULN|3DUR|2CDMG|1SELL	1SELL|27CDMG|347DUR|5BBNT|678aVULN|7BPWR|9RCR
53	43151 11263	6	   	271.32	DCR|5VULN|2DUR|1CDMG|1SELL	1SELL|2349aVULN|56DUR|7CDMG|8RCR
54	43151 11263	5	   	271.32	DCR|5VULN|2DUR|1CDMG|1SELL	1SELL|2349aVULN|56DUR|7CDMG|8RCR
55	43111 21141	5	   	271.31	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|239VULN|4LIT|59DUR|6AART|79DMG|8RCR|9BPWR|aCGEN
56	43111 21145	5	   	271.31	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|239VULN|4LIT|59DUR|6AART|79DMG|8RCR|9BPWR|aLHND
57	43111 21146	5	   	271.31	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|239VULN|4LIT|59DUR|6AART|79DMG|8RCR|9BPWR|aFEWX
58	43111 61141	6	   	271.31	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|239VULN|4LIT|59DUR|6AART|79DMG|8RCR|9BPWR|aCGEN
59	43112 21141	4	   	271.31	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|239VULN|4LIT|59DUR|6AART|79DMG|8RCR|9BPWR|aCGEN
60	43112 21145	4	   	271.31	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|239VULN|4LIT|59DUR|6AART|79DMG|8RCR|9BPWR|aLHND
61	43112 21146	4	   	271.31	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|239VULN|4LIT|59DUR|6AART|79DMG|8RCR|9BPWR|aFEWX
62	21222 55224	7	   	270.87	DCR|2VULN|3DUR|2DMG|2TLV|1ASPD	1DMSP|27DMG|36TLV|47VULN|57aDUR|7BPWR|8RCR|9ASPD
63	21222 55241	7	   	270.87	DCR|2VULN|3DUR|2DMG|2TLV|1ASPD	1DMSP|27DMG|36TLV|47VULN|579DUR|7BPWR|8RCR|aASPD
64	21213 25365	4	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1DMSP|28DMG|3TLV|48LIT|568VULN|7RCVC|8BPWR|9DUR|aRCR
65	21213 25365	3	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1DMSP|28DMG|3TLV|48LIT|568VULN|7RCVC|8BPWR|9DUR|aRCR
66	21213 61653	8	   	269.85	DCR|2VULN|3DMG|1TLV|1DUR|2LIT|1ASPD	1DMSP|29aDMG|3TLV|49LIT|5DUR|6ASPD|79VULN|8RCR|9BPWR
67	26521 31631	6	   	269.54	DCR|4VULN|2DUR|2TLV|1ASPD	1DMSP|248aVULN|38DUR|5BELT|6RCR|78TLV|8BPWR|9ASPD
68	21213 61352	8	   	268.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1ASPD	1DMSP|29DMG|3TLV|49LIT|58DUR|6ASPD|79VULN|9BPWR|aRCR
69	21122 23462	4	   	268.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1ASPD	1DMSP|27DMG|35LIT|47DUR|67VULN|7BPWR|8ASPD|9TLV|aRCR
70	21213 35252	4	   	268.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1ASPD	1DMSP|29DMG|3TLV|49LIT|58VULN|6ASPD|79DUR|9BPWR|aRCR
71	21213 35252	3	   	268.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1ASPD	1DMSP|29DMG|3TLV|49LIT|58VULN|6ASPD|79DUR|9BPWR|aRCR
72	63223 41351	4	 * 	268.56	ACR|4VULN|3DUR|2DMG|1ASPD	178aLHND|278aVULN|3RCR|4ASPD|5ZMB|678DUR|78aBPWR|9aDMG
73	21222 26631	5	   	268.14	DCR|2VULN|3DMG|2DUR|1TLV	1DMSP|269DMG|3TLV|4aVULN|56DUR|6BPWR|7RCR|8AART
74	21624 15161	7	   	267.93	DCR|3VULN|3DMG|2TLV	1DMSP|289DMG|3AART|4MBVNT|59aVULN|69TLV|7RCR|9BPWR
75	21232 23265	8	 * 	267.93	DCR|3VULN|3DMG|3TLV	1DMSP|248DMG|346TLV|489BPWR|5AART|789VULN|aRCR
76	11612 51151	6	   	267.01	DCR|3VULN|3DUR|2DMG	137BEXP|2aLWND|478VULN|57aDUR|6RCR|7aBPWR|9aDMG
77	22133 15251	3	   	266.94	DCR|4VULN|2DUR|1DMG	1DMSP|29MLV|3LIT|4589VULN|6RCR|79DUR|9BPWR|aDMG
78	23133 15251	3	   	266.94	DCR|4VULN|2DUR|1DMG	1DMSP|29CGEN|3LIT|4589VULN|6RCR|79DUR|9BPWR|aDMG
79	22122 13353	4	   	266.86	DCR|4VULN|3DUR|2LIT	1DMSP|289MLV|35LIT|489DUR|6RCR|789aVULN|89BPWR
80	22132 15353	3	   	266.86	DCR|4VULN|3DUR|2LIT	1DMSP|289MLV|35LIT|489aVULN|6RCR|789DUR|89BPWR
81	22166 13353	5	   	266.86	DCR|4VULN|3DUR|2LIT	1DMSP|289MLV|34LIT|589DUR|6RCR|789aVULN|89BPWR
82	21423 13536	2	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3FEWX|457DUR|67aVULN|7BPWR|8RMIN|9RCR
83	24221 35233	7	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27aDUR|3CGEN|47DMG|5RCVC|679VULN|7BPWR|8RCR
84	24221 35242	7	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|279DUR|3CGEN|47DMG|5RCVC|67aVULN|7BPWR|8RCR
85	24225 35233	7	   	266.81	DCR|3VULN|3DUR|2DMG	15DMSP|27aDUR|3CGEN|47DMG|679VULN|7BPWR|8RCR
86	26222 25233	7	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|279VULN|36CGEN|47DMG|57aDUR|7BPWR|8RCR
87	26222 25242	7	   	266.81	DCR|3VULN|3DUR|2DMG	1DMSP|27aVULN|36CGEN|47DMG|579DUR|7BPWR|8RCR
88	21323 13532	2	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|679VULN|7BPWR|8RCR|aBEXP
89	21323 13534	2	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|679VULN|7BPWR|8RCR|aLWND
90	21323 13535	2	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|679VULN|7BPWR|8RCR|aLHND
91	24222 35332	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|257DUR|3CGEN|47DMG|67aVULN|7BPWR|8DUST|9RCR
92	26222 65332	10	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27aVULN|3CGEN|47DMG|567DUR|7BPWR|8DUST|9RCR
93	21322 42232	3	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|347DUR|5BBNT|678VULN|7BPWR|9RCR|aLWND
94	21322 42235	3	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|347DUR|5BBNT|678VULN|7BPWR|9RCR|aCGEN
95	21622 42232	1	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678VULN|7BPWR|9RCR|aLWND
96	21622 42235	1	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678VULN|7BPWR|9RCR|aCGEN
97	24522 42232	3	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678VULN|7BPWR|9RCR|aLWND
98	24622 42232	2	   	266.71	DCR|3VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678VULN|7BPWR|9RCR|aLWND
99	43124 13411	9	   	266.70	DCR|4VULN|2DUR|1DMG|1SELL	1SELL|237aVULN|47BEXP|57DUR|6RCR|7BPWR|8LIT|9DMG
100	26513 25223	7	 * 	266.63	DCR|3VULN|3ASPD|2DUR|2TLV	1DMSP|27aVULN|35DUR|47TLV|679ASPD|7BPWR|8RCR
101	21323 13531	2	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|679VULN|7BPWR|8RCR|aERES
102	21323 13533	2	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|3DUST|457DUR|679VULN|7BPWR|8RCR|aLEGI
103	21322 42231	3	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|347DUR|5BBNT|678VULN|7BPWR|9RCR|aDUST
104	21322 42236	3	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|27DMG|347DUR|5BBNT|678VULN|7BPWR|9RCR|aERES
105	21622 42231	1	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678VULN|7BPWR|9RCR|aDUST
106	21622 42236	1	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678VULN|7BPWR|9RCR|aERES
107	24522 42231	3	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678VULN|7BPWR|9RCR|aDUST
108	24622 42231	2	   	266.61	DCR|3VULN|3DUR|2DMG	1DMSP|237DUR|47DMG|5BBNT|678VULN|7BPWR|9RCR|aDUST
109	43151 13226	9	   	266.50	DCR|4VULN|2DUR|1DMG|1SELL	1SELL|2349VULN|56DUR|7DMG|8LIT|aRCR
110	43133 11661	8	   	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|238VULN|4ERES|58DMG|68aDUR|7RMIN|8BPWR|9RCR
111	21225 16151	8	 * 	266.27	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR	1DMSP|29DMG|3TLV|49VULN|5AART|6DUR|7LIT|89CDMG|9BPWR|aRCR
112	13323 62354	6	   	266.25	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	18BEXP|289VULN|3DUR|4ASPD|5RCVC|68DMG|7RCR|8BPWR|aTLV
